blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
18100172,1694278715,0x15dcd9d0d73bf2518cbdd14275069a74c948f50674cfe7ab52d8b18a23cd9cbc,1,0x7399d624aeba82d3d756d5fa80046b96795f506dd359b6503cfdea1e82a1be79,0x0000000000000000000000000000000000000000,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0x99856ab39bdd02a260df43a608c82da33aa10b33,1000000000000000,Friendchips.tech,FRIENDCHIPS,9,93,106329,9996537392,70886,11153935,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",6961519
18100760,1694285819,0xdf42b0ee5f7b916bcd80aada5823a6013615cd149d4daeca5c32eb43ae4e1c7b,3,0x4dc4fce7e53fc5809ca1b7d119e770472d84369e1211cbccd1302fdefe757d12,0x99856ab39bdd02a260df43a608c82da33aa10b33,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0xc47b46f2af75ef5d5611a1b7128c196d2c42c29a,550000000000000,Friendchips.tech,FRIENDCHIPS,9,108,1232738,11126201755,1214088,11646008,deprecated,0xda0a2311,,6960931
18108014,1694373539,0xa0a2299354c5c238aa12e95da90f2a43da481f8434f612cc018c06b906cd0e47,31,0x96c38abfca580f7d6feac165ed78f8ed18905086b845c9d49bfe9460d5c079e7,0x99856ab39bdd02a260df43a608c82da33aa10b33,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0x62605e2211246f9464b61f602350c4cb9cdfbd1b,16000000000000,Friendchips.tech,FRIENDCHIPS,9,117,91110,10536239507,60740,10488737,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",6953677
18108017,1694373575,0xa02425034a096877a4638aa1e73bc271097fc9fddfbda202930fdbc045245b71,32,0x2c8d3f92721e3f00fb0cc027fa9c317b91c28ecff4497ed48b15b8df26ad2590,0x99856ab39bdd02a260df43a608c82da33aa10b33,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0x17c09994ae351dac844d4f3fd81bf2fcda55397b,16000000000000,Friendchips.tech,FRIENDCHIPS,9,80,91110,9715426978,60740,7714699,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",6953674
18108019,1694373599,0x0a8fc2dd86152a5a2dcdc7f9ce29b613c67231f40f5bae9a303a58cd282d6dd7,33,0x54a3903d050ffd931eea3bc3ac0e71a06a9f8202171e2fc1b0dcd6f651493a1b,0x99856ab39bdd02a260df43a608c82da33aa10b33,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0x5f00cab44e088a4e41355b0931128a0592403847,16000000000000,Friendchips.tech,FRIENDCHIPS,9,85,91092,9399061445,60728,7985644,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",6953672
18108021,1694373623,0x328c4cf95574276c7f8b1ebfdae3b198fc638d9ed2bc24fa058c7b6dcd2a1aee,34,0xe09f0f79b270c5121f1b49af48034ba480e61ff5cc388f3dd6a5a79da98169f0,0x99856ab39bdd02a260df43a608c82da33aa10b33,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0x70370f82ad66e7e5365fbb8a957d2a312d634527,16000000000000,Friendchips.tech,FRIENDCHIPS,9,121,91110,8952989366,60740,12577617,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",6953670
18108024,1694373659,0x933ce1848923d46ec6d72bd334a957f35745169464f1585080e8794616a3e979,35,0x4a641e72f901d946ae5289a84afa9f2eb19e67c114a46374c8993985fce5aee5,0x99856ab39bdd02a260df43a608c82da33aa10b33,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0xa9cfa75409a76dea1732fc460f47eaf5a5cadcaa,16000000000000,Friendchips.tech,FRIENDCHIPS,9,118,91110,8911235421,60740,18312121,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",6953667
18108026,1694373683,0xde00cc28338b8c69b781e1187ade0cddb655b3f16815074ba13d49fb9e85adea,36,0x65cf100bef75c8b2e3c0b108cfde55a7c37900a55d8e2b854cf8b81aa9ed3bc3,0x99856ab39bdd02a260df43a608c82da33aa10b33,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0xb1e882a692fff91760fd16002e63944a9e85ac4c,16000000000000,Friendchips.tech,FRIENDCHIPS,9,89,91092,9362279046,60728,9069680,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",6953665
18108027,1694373695,0x0f1a55a18dc13caffbe7c410c094b4da805d4364b8679ef58636f7e4712bd02e,37,0x1fd220852009ba333db854ae4f913d339ceadfed9d4aba6f7269e091507b9c5a,0x99856ab39bdd02a260df43a608c82da33aa10b33,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0x3674840e64a5b2176052d9f65a9ac7e8dbf7bd5f,8000000000000,Friendchips.tech,FRIENDCHIPS,9,109,91128,9374581139,60752,10776682,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",6953664
18108030,1694373731,0x047cf5028abbb11ffb71284abd9079cffb8d259990bec2f89a8666fefa6512b5,38,0x140f27aa7ee9382abc190429029e1e4340f0a66bcd63a946a9344af42bdb2893,0x99856ab39bdd02a260df43a608c82da33aa10b33,0x082d7215fdfa70d969d7fb5e783f8fe86a463330,0x10a79bf1e26ae461e7ece9621d92a9f71346bead,8000000000000,Friendchips.tech,FRIENDCHIPS,9,91,91128,9099493994,60752,15057770,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",6953661
