blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12258859,1618679472,0x6abc9b2138727d8b591f3a37ded9893b3e4b18b085354c3d57d6b3777e3c5153,0,0x28bd84be07ce077e1edeea0b5f0a2b7d315387b6b5d184437cea6140f91558f0,0x0000000000000000000000000000000000000000,0x083880809244561f1abfaf9c6c515aedfd2e1269,0x9d75039df68cfb471796bf5037341292b3a6d4b7,1000000000000000000000000000,Dogzilla,DZILLA,18,91,2940144,149000001347,2940144,7138865,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12802853
12258887,1618679882,0xd33483ed4b0d5889487b3eec18fff83c9168671036fba82fe36fe3e2515b41e1,2,0x9da09f9e96cf103aa2f1faa38ff0eb1a1cc671e3e6d3cdf7ff742eca67f99b54,0x9d75039df68cfb471796bf5037341292b3a6d4b7,0x083880809244561f1abfaf9c6c515aedfd2e1269,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,980000000000000000000000000,Dogzilla,DZILLA,18,193,3034384,138000000000,2716849,11571728,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12802825
12258887,1618679882,0x21a084b56746ca013cb82328a1302d13cb48d5db27a52ca9415b543ed0b42b3c,888,0x9da09f9e96cf103aa2f1faa38ff0eb1a1cc671e3e6d3cdf7ff742eca67f99b54,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,0x083880809244561f1abfaf9c6c515aedfd2e1269,0xe031b36b53e53a292a20c5f08fd1658cddf74fce,68181247237793956874694703,Dogzilla,DZILLA,18,195,400000,138000000000,162292,11799572,deprecated,0xb8326983,,12802825
12258893,1618679918,0x45be28d221880a6aced0168c9909d9e43098dbbc1a2f3fcff84e825f56eb1810,16,0xde7bcee4f18f1e932c385424ec6d54a74cfc9241674ef16d8aea5c2e64d9f689,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,0x083880809244561f1abfaf9c6c515aedfd2e1269,0xb18be9d6c853214c7f9599472a3775c2e2f51f47,20662392810962552560309325,Dogzilla,DZILLA,18,9,202701,210000000000,158168,629068,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12802819
12258893,1618679918,0x7c3abc23fe7e3842adf24fc5d38e4fd284a984bbb3e131912cd00fe1e86bc097,89,0xde7bcee4f18f1e932c385424ec6d54a74cfc9241674ef16d8aea5c2e64d9f689,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,0x083880809244561f1abfaf9c6c515aedfd2e1269,0x06dd29f9115500c16f8060638b6197e20492f69d,19745380600293125321539235,Dogzilla,DZILLA,18,161,202688,180000000000,113540,6193256,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12802819
12258896,1618679952,0x6528d5b9545fe59e2b179a0b1cdf7c763b682a3665932e0fb80efa87a274274a,609,0x3215b93f6b76eb8d638aa9263eec4d186e883fe8e08161a8ba134792519ab3f9,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,0x083880809244561f1abfaf9c6c515aedfd2e1269,0x42080ad90b8bd2e817c58b7adb3beed809397e02,9547531747342192755230681,Dogzilla,DZILLA,18,102,152843,127000000000,123968,6518807,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12802816
12258898,1618679986,0x91150d094dcf0941f8a37e2ac90c9c86a2f7b6ca700d26a485b80778ae54bc86,524,0x2aee30e5c49fa88110fc33eaff6bb28a8c844b37f124d9ae4abfa819a5f23ea7,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,0x083880809244561f1abfaf9c6c515aedfd2e1269,0x5681b90ff9ce010dbccd9c9dcb36f8c16ac7d967,18480285981048182634810017,Dogzilla,DZILLA,18,257,152843,145000000000,123968,11755140,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12802814
12258902,1618680019,0x5af281bbfd04607537837cfade3e990587c6ae69d1861bba4184e0fb8a18bc85,148,0x4474e685310d4d56cb8fd5659e1b8eadea28603bd13631b14b0e810f903e6aa0,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,0x083880809244561f1abfaf9c6c515aedfd2e1269,0xaa8d8630ee1c3ea662e419f6e1a1ab933a4993c2,17703286778905874263297803,Dogzilla,DZILLA,18,54,164484,140000000000,123968,4098448,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12802810
12258904,1618680049,0x766c7a06dae77494093bc4f1cd37b49710cb6033a88575159ff6f3579c445b1d,49,0x0ed265ef33b07a48d58052a5b1f54e04deab2e2bb1f085a56081fcff3a5a6ce6,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,0x083880809244561f1abfaf9c6c515aedfd2e1269,0x1bc56fbc2852339638c6beb5de505ce623332437,8740180475558962078424578,Dogzilla,DZILLA,18,107,152843,129100000000,123968,9741226,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12802808
12258916,1618680210,0x73c5b7a9eb10ee27b7399fba45d856696268a192257b07b543ca926d80b45a35,129,0xddd29dd37d112a7933d6b500aa6126fe65d5f00d6c873b24689bb53a5536f996,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,0x083880809244561f1abfaf9c6c515aedfd2e1269,0x2721ae4210935f8831eb5af6adb7710687575b80,8395370216451920767096988,Dogzilla,DZILLA,18,70,164484,135300000000,123968,4832852,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12802796
12258920,1618680261,0xcfa2d147f7f0267c342271498f1564782b9c4ca4aaf10a7abfcbba566f15bd71,103,0x69de05b4c23cd33443d4be19327dc38b8a1c84b3e345453c2f9fcd90701c8b21,0x22492b8c5e8dfff4208e3c55df4c003f4822dbdb,0x083880809244561f1abfaf9c6c515aedfd2e1269,0x1f2f389e69301fa579d022940eaef198072e55ff,38007646471732663470555039,Dogzilla,DZILLA,18,104,164484,125000000000,123968,7784262,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12802792
