blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12444140,1621149930,0x0641e8073d8ae6c47bf4fd9fe498f5af9b748e2c8b603186383e6046690ad4a2,0,0x698e6cacd09015153a3e46e90723886c1e8a567cf3633f2308b670f4760a4436,0x0000000000000000000000000000000000000000,0x09ade3ab80b9f885eca960e8001a430d8021b591,0x178dd2297c9c5c2e23255677e31cdfbd6a18c66f,1000000000000000000000000000000000,SHIBASWAP,SHIBASWAP,18,59,1432249,59000000000,1432249,4085994,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12617554
12444310,1621152413,0x0c2dde671d2c079fd6fc02be9d62cc315f2b1d422ccdfb449c27f4bd7a0504b3,2,0x9589b417c5b325e6e42e19d2e64653492cef3e7287010c055f232cbfbe7ae8ed,0x178dd2297c9c5c2e23255677e31cdfbd6a18c66f,0x09ade3ab80b9f885eca960e8001a430d8021b591,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,500000000000000000000000000000000,SHIBASWAP,SHIBASWAP,18,254,3035500,67350000000,2717844,10554157,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12617384
12444314,1621152488,0xe256e35ef2e01a2166cc3222763b2cf44971ef02ade97629089e6ef8baeb6b1a,17,0x3b1cb87a6ee898b15f48ac7f4223f3b84ebdc8f6a972523ad32d896b8cd8ee4a,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0x7bb9737305f017f88b67e6a3c35c4e8a4abe4448,249125810783324512730403893659,SHIBASWAP,SHIBASWAP,18,32,200000,60000000000,154525,1652998,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617380
12444315,1621152490,0x9b9a4be7ffd1cffd859a8fd0b6fcd05b50fd0604640d4365c1e381f57cffc090,230,0xa11530a4095e41722456ba70e2aa62adde2e5cb0deca4e1533d7f30d3bd7e594,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0xd9b2692409157eca3ef70709440272017db3c84c,1241912630370239621584428067303,SHIBASWAP,SHIBASWAP,18,64,166376,98000000000,123670,4920585,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617379
12444315,1621152490,0x9a99f0c42d09ddf816538a0aac35de9a3f1c20e9ef7abe51674f9a512408887a,58,0xa11530a4095e41722456ba70e2aa62adde2e5cb0deca4e1533d7f30d3bd7e594,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0x210955c9e83b83b7f6c179cc0ae4ae4c2d7e0347,495034780655888310979104631323,SHIBASWAP,SHIBASWAP,18,66,166376,91000000000,113254,5054839,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617379
12444329,1621152625,0x5340640244a557a2d739417626c99453b8fe532b954afd1e7048660f40293efa,195,0x50e144da5e7762f1b7465f8e2893dd265bc25b9c876cd4fd5cdc7a36ad6d19da,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0x7ac8bbb1f3494317d10e36b5c0473d766c93c517,1479218438887306766134082465138,SHIBASWAP,SHIBASWAP,18,236,179073,60000000000,123670,8392887,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617365
12444329,1621152625,0xeb1bcf689524c87f48a3d9010b7a57d75fded66e9842e4dfec92522ebd324d0f,158,0x50e144da5e7762f1b7465f8e2893dd265bc25b9c876cd4fd5cdc7a36ad6d19da,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0xcf13c4af053450e8756658c7a966c20ed2ff40f2,629219029097054026390249123853,SHIBASWAP,SHIBASWAP,18,237,261358,60000000000,199758,8592645,deprecated,0x5c11d795,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617365
12444329,1621152625,0xdf8f8ae8adfb0738819cca63b4ed745e5be02755aab1805f062c36f866db6f08,3,0x50e144da5e7762f1b7465f8e2893dd265bc25b9c876cd4fd5cdc7a36ad6d19da,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0x19dc57425b4bbb3bca7fc3db9d0076c35be14018,4855556276059228601342008338403,SHIBASWAP,SHIBASWAP,18,298,164137,54175000000,113242,12910053,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617365
12444331,1621152655,0xab270b21f83d5b15a44a113fa9515e4ed2337f70aaf46b47301975219f61a1c7,197,0x728b4ef85028dfd6ac82a0582427725022d87498206ccbe9b3a4a8903cfbc04e,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0x8a0e79863e38781b130321372ea74b915caa3d7a,192239609152543212398318139914,SHIBASWAP,SHIBASWAP,18,190,179073,72000000000,123670,6042733,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617363
12444333,1621152754,0xceb0a6039a09666ba30397b9be4a93f47edc3c32b5bf306aa25968bfa6feb696,107,0xfea14261a23f2a433bfca0101da1bcdebb710a26476e8588bf39459c149a7612,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0x97bef50097ff75bc12a35c49b0a43c07ad37763e,145625836443923104048221133769,SHIBASWAP,SHIBASWAP,18,251,166362,62000000000,123658,11062616,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617361
12444334,1621152767,0xf053597c81eb229d057021d7f6372fb0a30d32da780853cebac3aace84c08782,221,0x874e0b110bdab07246d4ab30275ee44955cf9e9c3b72a9a12a505546fe3f7c89,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0xe8747a21e51598095eb1dc5ab91675d673dc2438,479655562817751156056861482678,SHIBASWAP,SHIBASWAP,18,34,166376,70000000000,123670,2100073,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617360
12444334,1621152767,0xdf5fbb8c43d62f37737fa1198a768141969da159be87e3b05266c9dba5f2a9aa,18,0x874e0b110bdab07246d4ab30275ee44955cf9e9c3b72a9a12a505546fe3f7c89,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0x655e7e3e6fbba15fa1ed931e26fc5e21d57b2c37,154252485870673204751081879788,SHIBASWAP,SHIBASWAP,18,150,179073,59400000000,113254,10226093,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617360
12444335,1621152795,0x018fe35222af6ba2c44613ead563fd4164da78b6343e4d1ee2dec98b7cef3092,80,0x9b405ca34b38ede28f67b00c3c2b321cb07eeeee9727641ef86a372de83667ba,0x71f24c3db2f4d34a7eb6ba3e5965f5083e27b72e,0x09ade3ab80b9f885eca960e8001a430d8021b591,0xc22f26cd5a87c28038acca26926f3d490ce6e0aa,230110766854533995940744069782,SHIBASWAP,SHIBASWAP,18,88,166376,57000000000,123670,8360065,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12617359
