blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12080891,1616313179,0x86a655cc566022798f8c3354812b6715d3acde960538d84ff4f4dcca98e70bbf,0,0x18135e88ac8f075f177c5a65758326d36e0cd8c272b5e3b0d8e28aa0119433b3,0x0000000000000000000000000000000000000000,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0x8bbe34cf7325c71efb168c6b160c48708564db8d,10000000000000000000000000000,Casper Network,CSPR,18,118,1420425,92000000000,1420425,6202942,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12980765
12086202,1616383774,0x011a4db53949d736e1928cfeaf1345613a21b98f59f94557b00c0d0a8b7fb020,2,0x090e15bd31740eb59cbae9dd2f2fe685e5287d67dd1f5233d80d0a4199691323,0x8bbe34cf7325c71efb168c6b160c48708564db8d,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0x91be2e7d3281ef10de0fa499db9e26afe395adf4,34000000000000000000000000,Casper Network,CSPR,18,109,3032799,123000000000,2716709,6836143,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12975454
12086222,1616383963,0x50d00cc868559821487518fe128dbcc59ff0fe6028fcf92ed29e5948931a5dad,3,0x4d71944a1a81b9eda61733d4e02cb29f582a963f96c2f34d7d2589c75f6247f4,0x91be2e7d3281ef10de0fa499db9e26afe395adf4,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0x72356e2b313574ac85c6943e43fac3ec2fa14d73,100000000000000000000000,Casper Network,CSPR,18,178,211099,131000000000,166625,11261769,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12975434
12086227,1616384014,0xb021d024717084abdb5e360ba52b920d17a060b7d2e79c1878d378ea910563fb,4,0xb7fea7f41b1487138a93c637fcfdbf89b4f03764f49efa43f07a6cd5994ebc8e,0x91be2e7d3281ef10de0fa499db9e26afe395adf4,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0xbd602c4853a609b432ffba1b18fc7270263210ba,134260528534034191417091,Casper Network,CSPR,18,156,169710,121000000000,128646,9908938,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12975429
12086235,1616384137,0x2c884758f385b0cfc8c4bcff9c7bbcb95eedb8692a9e44348c6af7253f27f1bb,5,0x0905873bb5ded976162d87fb336f655709284296d8dab6a57d0487eb2fd336f7,0x91be2e7d3281ef10de0fa499db9e26afe395adf4,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0x4124dd173b3c9e7b7389bba75708ef0b72babf85,300000000000000000000000,Casper Network,CSPR,18,53,164882,121000000000,136625,3995518,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12975421
12086235,1616384137,0xb3adc8fc6407dd60f08820e64aaf494d608e10347c1454b4cdf7fae31fea4f60,6,0x0905873bb5ded976162d87fb336f655709284296d8dab6a57d0487eb2fd336f7,0x91be2e7d3281ef10de0fa499db9e26afe395adf4,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0xac46415c44240c0087589bb8e0e29281dfccd279,65550341592113357909495,Casper Network,CSPR,18,58,169697,121000000000,116618,4496440,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12975421
12086238,1616384150,0xbb7c6321e60aad870c654a580abd43b7613dc7eaefc2495190ef70325ab50b18,125,0x09855985df4edf83599199aad32d38fe87f32d877cc32b63f292c61f2a1e69ae,0x91be2e7d3281ef10de0fa499db9e26afe395adf4,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0xcf70f455520862060526b22a480acf3a9d56c01b,13079188430456771967322,Casper Network,CSPR,18,207,169710,137000000000,128646,8835343,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12975418
12086246,1616384242,0xf41200a3ae4a7d350b218a6d950c029a2f775cb009456b96a755b0065f8405f2,87,0x009ead3d929deffc33e9c12298c58b449184c7e2fb28f19c7299415181e33de9,0x91be2e7d3281ef10de0fa499db9e26afe395adf4,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0x82412969100a310c006e865f5e4369efea8272f7,40411552482944541310005,Casper Network,CSPR,18,71,169697,140000000000,128634,4487078,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12975410
12086256,1616384427,0x68a5cf6dec83c77e74f260d5232942bf96687f4d4892e2f1910b1f247d4f5f1b,7,0xc28e293ba27085407589efc38a3b1a49b57c411cecce400c44e458c2e96db8e5,0x91be2e7d3281ef10de0fa499db9e26afe395adf4,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0x944ab2afad5610bf05da7f967684ad7959c38d6c,639610628677102819509673,Casper Network,CSPR,18,167,169710,121000000000,128646,11499448,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12975400
12086261,1616384450,0xc7e778aff66768327619c2932258b8f024c61ad64a62e7c72e7e246af30cef79,8,0x27983514695599013dde6e9d6145ff1552e1f00549d75b4a2530fff95b7a6ed6,0x91be2e7d3281ef10de0fa499db9e26afe395adf4,0x0ae7b7588de17fcb4eef73a5b2438ab90aa26345,0xe37da293c4cd314f679f4d2b003150974b129f0b,439403900709833514785226,Casper Network,CSPR,18,90,169697,121000000000,128634,5189199,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12975395
