blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13350501,1633321973,0x6b16e3e8e8c11ff6ea9ce57066ff1fb624c9918f7f6f7145bd32bbf951997003,197,0x5e6bae26ca01638f93c355042e3dda6985cc367102702312613107550b222201,0x00000000219ab540356cbb839cbe05303d7705fa,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0xb07fd3ef7c6d33c7f1c9fcf220ef2d31e216855d,1000000000000000000000000,This Will Make You Rich,GETRICH,18,3,1674783,94977877719,1674783,2137665,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",11711185
13350519,1633322162,0x7fa00b17d4852bcfcc130f877daf9208494bbcc85c02c16aa8a840dfbb577caf,200,0x20d368eda3ecf8478405764babc2c897da3dbf1bb549723207029ef64c043f8d,0xb07fd3ef7c6d33c7f1c9fcf220ef2d31e216855d,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,1000000000000000000000000,This Will Make You Rich,GETRICH,18,86,3304764,62788139701,2707490,13049954,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11711167
13350524,1633322247,0x5005a960cba61d406c326d5786fc31e8d3ec1b737e660e38cd8280cb7e386e30,437,0x61a424ee7e33099b6a55852902154d28f0311391e1ca1fd6ee9a6f9d6f0142ae,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x46081dfe1bc1e36b01e09389c80ccd1c511da9a4,4960273038901078125544,This Will Make You Rich,GETRICH,18,78,219008,78100000000,156429,4610815,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711162
13350528,1633322302,0x97b6d7c32d23068e6b1d5ef57871fa3eefc4c39f241291e19648c7ff488294da,180,0xf01c68a81f42829c8758f5f8c8629865079ed96a248ef726d93cd55801e710d7,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x33e9a9b2c39df902ebac00ae169b6212538cc223,9774225915842001488800,This Will Make You Rich,GETRICH,18,92,219008,82449156180,122229,5260286,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711158
13350530,1633322326,0x8bdaf259888897774ad216cc2960fe8e0e520f10f85198a4fcd95dc4c0fcbcac,13,0x4ed1a3896d3db218fa7d4e33b1099f5123ad847bd1fc143b86707aa280aaa81a,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x87575031811a645469393a8abb00030c6c255730,27986673562540563772775,This Will Make You Rich,GETRICH,18,110,218528,73745641530,184322,7949181,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711156
13350532,1633322346,0xd3ae4cf630ad7682ba63681dfb28ca307dbb3b4226918086c1d90b6ded29e558,880,0xf85959302fd3556e88afe020dd741d728326a222252e1ecc5c996bd62861ba97,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x8873497717453e307dcf9e778c35f6291517b8b8,9048797718426323430355,This Will Make You Rich,GETRICH,18,206,177332,68625348943,122241,15520641,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711154
13350532,1633322346,0xe1cf9aa067906df79e9b5de4bf0c60b293dc17e3a49aa0cddce97fc9f89aa245,49,0xf85959302fd3556e88afe020dd741d728326a222252e1ecc5c996bd62861ba97,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0xfee88c3a97452730f9675f660dddd0db4c2a6cb0,4460423191244561188974,This Will Make You Rich,GETRICH,18,337,177318,68125348943,111813,28834848,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711154
13350533,1633322372,0x3fbc4e3ab66b1573145f32a27b15b4cef05443219193f3a862627089de440d1b,1225,0x0df905f9f00430619a385c50cf2013995d5b3e7cc7cfa8440a8bd6c85343f911,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x4da054fb5eef39b2b6021458c5afb95317c9a3a1,2656130786188491894004,This Will Make You Rich,GETRICH,18,74,164619,76949111265,122229,5569073,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711153
13350534,1633322388,0x7c4d89404bd105f3992f4f690c375a9b070b1c2d73266e16e176ec2019122e1b,2376,0xc8bda36375160e2162692e7db9b5c4a45641c90c4ca491be691f8da86e558fec,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x04689288b3d01d37a8fe85688042238c1cd9e5fa,12967676118543165059415,This Will Make You Rich,GETRICH,18,375,220597,78698701803,186046,28478120,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711152
13350534,1633322388,0xabc9c51dac11e96833af95d38c82d71228b8ba9475449776649ec6b4550b0dc3,14,0xc8bda36375160e2162692e7db9b5c4a45641c90c4ca491be691f8da86e558fec,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x87575031811a645469393a8abb00030c6c255730,7604464012689442223786,This Will Make You Rich,GETRICH,18,376,210182,78698701803,167222,28645342,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711152
13350536,1633322483,0xe1d98d68b6a72c2b1945bd639b9a761fbb2697e530e3dbfadb7b35825ee30aa0,260,0x8d3ade3d3d42b6384f47d1e6134ffdd4a1ef1cbd304d5e9b4f4a434561b219da,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0xcd9759bf0460da7745adb1ebbe8bc55b2919c7e5,4203940302388576791579,This Will Make You Rich,GETRICH,18,144,164619,98558060166,122229,19208561,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711150
13350536,1633322483,0xded855842a3e67dd45c62e83aae09430d12f164dfab6816830d0e8259ba0af70,283,0x8d3ade3d3d42b6384f47d1e6134ffdd4a1ef1cbd304d5e9b4f4a434561b219da,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0xf8db2e1db83ae41a93b6405d3b7befb09cb4e858,8293618603251191684582,This Will Make You Rich,GETRICH,18,203,164634,98558060166,111825,25218446,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711150
13350540,1633322534,0xfb9748e8230f3ce2327d493b0914ed253d0c2651d8e82b50b5258ce3c30b69fd,30,0x5723eb25886b5cb0fa9d9767e45cfc918e6d244b0e6aac41322c973da9e1894e,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,145769780593026713753,This Will Make You Rich,GETRICH,18,76,475206,108785275299,270052,4438431,deprecated,0x8182b61f,"transformERC20Staging(address inputToken,address outputToken,uint256 inputTokenAmount,uint256 minOutputTokenAmount,tuple[] transformations)",11711146
13350540,1633322534,0xfb9748e8230f3ce2327d493b0914ed253d0c2651d8e82b50b5258ce3c30b69fd,30,0x5723eb25886b5cb0fa9d9767e45cfc918e6d244b0e6aac41322c973da9e1894e,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x96c195f6643a3d797cb90cb6ba0ae2776d51b5f3,435565336428017010,This Will Make You Rich,GETRICH,18,76,475206,108785275299,270052,4438431,deprecated,0x8182b61f,"transformERC20Staging(address inputToken,address outputToken,uint256 inputTokenAmount,uint256 minOutputTokenAmount,tuple[] transformations)",11711146
13350540,1633322534,0xfb9748e8230f3ce2327d493b0914ed253d0c2651d8e82b50b5258ce3c30b69fd,30,0x5723eb25886b5cb0fa9d9767e45cfc918e6d244b0e6aac41322c973da9e1894e,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x58e5ddc5f74f2ea5727d07b05b27162ea706c482,145334215256598696743,This Will Make You Rich,GETRICH,18,76,475206,108785275299,270052,4438431,deprecated,0x8182b61f,"transformERC20Staging(address inputToken,address outputToken,uint256 inputTokenAmount,uint256 minOutputTokenAmount,tuple[] transformations)",11711146
13350540,1633322534,0x368d7a520af29907e3731333eba25292a184f7f79b57898bfaf23b410e9833cc,181,0x5723eb25886b5cb0fa9d9767e45cfc918e6d244b0e6aac41322c973da9e1894e,0xd1a155de380a2bf9ceef3a99fc92c63736ac5307,0x19d895f6ffa425b6a265cf16d8b8d03ec284d87d,0x33e9a9b2c39df902ebac00ae169b6212538cc223,31714787877993258239399,This Will Make You Rich,GETRICH,18,205,156471,92876841242,94713,13283365,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711146
