blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12619766,1623502644,0x2f84b082c50b1cc075ac90f25f604b1c142b9ebe6ad20b526c47149e16846e78,0,0x564a60b9372e307ed7698719222defa3bf4739066985a7122e0afdad44dcc2bb,0x0000000000000000000000000000000000000000,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0xf345b8432dbdced08e2f8f45c3b143493ac5c069,1000000000000000000000000000000000,KISHUSWAP,KISHUSWAP,18,230,1432249,14000000000,1432249,13184430,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12441892
12619790,1623503027,0x0b77dc89d8188023575b5972fa28fb343eab9e966668c1c22d1ccbea81b9d36f,2,0x4aa4407e90fefd064617f88178f4c986e293b8717960337349bb6b91a3575710,0xf345b8432dbdced08e2f8f45c3b143493ac5c069,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0x38133e8c90d3ad13bbd10fe362d33ffb9ba1422c,500000000000000000000000000000000,KISHUSWAP,KISHUSWAP,18,47,3035500,17000000000,2717844,7306391,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12441868
12619798,1623503154,0x7bef619f58ff4ae597f9dda22247d0899ae81340dbb4a17a580b1283bf0f3730,3,0x4f5b2de6ab1399d8b05d745f0f760684409424c28151f6e83f06f44149f44ea8,0x38133e8c90d3ad13bbd10fe362d33ffb9ba1422c,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0xd5169f5bbc9adb641909c1dcfe11b24ad773e7cc,4935790171985306494252304523896,KISHUSWAP,KISHUSWAP,18,177,202368,15100000000,157870,11594871,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12441860
12619799,1623503170,0xef3561e4f007d15cf2782a1c3eaaf037edb1dcdb83db62fa76cc83f31ee88e5e,413,0xf58c1861729f6b3ee3c9d21cfb64636f7e68ebad1217151b4b1f7b523f598e88,0x38133e8c90d3ad13bbd10fe362d33ffb9ba1422c,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0xf5e720f8ac4ed9dae7f8b11a188290cd38fb77cc,73292961997339500288630102204,KISHUSWAP,KISHUSWAP,18,169,220736,12100000000,123646,14037125,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12441859
12619805,1623503262,0xd7d656a507bd4d120edc425337501df871db445f866e7fc1442184b175072343,4,0xeb5e0757571299ce30590d60ccf7bf85d3b7a35be5d52605fb43406fb6fd53b6,0x38133e8c90d3ad13bbd10fe362d33ffb9ba1422c,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0xce838c18a9426dad88e88bdcf710cec716f2eae6,7221298463797649537512391728327,KISHUSWAP,KISHUSWAP,18,31,164150,20000000000,123670,1783260,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12441853
12619805,1623503262,0x9c571a20c4a81fb0b1f0887d3ebfb3d37f5f91e50b9fe11cc8efaf319cfe66af,5,0xeb5e0757571299ce30590d60ccf7bf85d3b7a35be5d52605fb43406fb6fd53b6,0x38133e8c90d3ad13bbd10fe362d33ffb9ba1422c,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0xb56b722a3f65925a1ffc14625c38d7bfeef45913,9306496273947947934714576421640,KISHUSWAP,KISHUSWAP,18,68,164150,16100000000,113254,5353492,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12441853
12619805,1623503262,0x20108897f5a76d622f664c0d735cbf5cdb4c55e6d6d5ad0168c84b593156ad65,6,0xeb5e0757571299ce30590d60ccf7bf85d3b7a35be5d52605fb43406fb6fd53b6,0x38133e8c90d3ad13bbd10fe362d33ffb9ba1422c,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0x48c04ed5691981c42154c6167398f95e8f38a7ff,6927110571912197670069582941953,KISHUSWAP,KISHUSWAP,18,121,164150,15000000000,113254,9008257,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12441853
12619809,1623503376,0xf29f2dc42ae723f89ec55888815f0ac917fc2716a6f56d360e40648e48f36853,7,0x9571b323fe61505a2369b04868d61086960f05448ce7de0710e97762c9c5620a,0x38133e8c90d3ad13bbd10fe362d33ffb9ba1422c,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0xa544eb93a6daeb444129314325fff208467f2ac5,9767222996897951540489244379877,KISHUSWAP,KISHUSWAP,18,68,164150,15000000000,123670,5331224,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12441849
12619815,1623503428,0xedd4c10087a2b3c419fd701996e0544f9ca0bf5496ceebd2c8a97f523a750ed8,8,0xa3ac5d3fc2a895a8496e98317911c1872314ab199f05b4159632be15c92c0918,0x38133e8c90d3ad13bbd10fe362d33ffb9ba1422c,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0xb050a99b221ea5f8a5cd25617c3e3f5092afa665,12409704271324662768671971591766,KISHUSWAP,KISHUSWAP,18,175,164150,15000000000,123670,9691450,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12441843
12619821,1623503523,0x7a5590c8475d00d713dd3921079d8683ca20422a286db5ccd2c24264e1048926,9,0xd64126fbcab3a6f61241bb77934f6232c3c7dc840d0d46eb291360923a3d295d,0x38133e8c90d3ad13bbd10fe362d33ffb9ba1422c,0x19dcdc263d45f26eec1a06c665a126c30038fecc,0xeaf1a98f70aa0f7197a09d834051e9bbc73109bd,2003564320594939039119255186176,KISHUSWAP,KISHUSWAP,18,143,164150,16000000000,123670,7500654,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12441837
