blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
17737941,1689899195,0xf90e5fc91a31840d416ab183960f5530602092e362c5d7377e2322b254dc497b,0,0x46b0e08c9d0bad93993c1af9eb81b42e2c427136f1219c8721f7d0281616ce48,0x0000000000000000000000000000000000000000,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0x8dfd4f307b6011d4cb21007fd5658f0686523938,69420000000000000000000000000000,COPENHEIMER,COPE,18,16,1192833,23115517826,1192833,3676714,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",7174762
17737954,1689899351,0x4bbf4c4278fc3b8044f3a6a18b9c6733c762b402df5e64907e44dd9021881de5,2,0x05f7ae0d7cfd0ba486e67bd014048ca1b9d02ea66b22abecf87481012d8b67bf,0x8dfd4f307b6011d4cb21007fd5658f0686523938,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0x8dfd4f307b6011d4cb21007fd5658f0686523938,25424000000000000000000000000000,COPENHEIMER,COPE,18,12,100000,24682004605,56111,755757,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",7174749
17737958,1689899399,0x37526861489da7f1d2eeba15cff177166b4fa445232641e40c7f54685db2cba2,3,0xf6736ebe7f24d9ed764e7ee10d8e0ec158f81595bbe63ae38c4a0e683d2ec8c9,0x8dfd4f307b6011d4cb21007fd5658f0686523938,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0xf3235fbc5b5b5954f7e9f3c7c1d877254ceb8c3e,43996000000000000000000000000000,COPENHEIMER,COPE,18,89,3032645,19275412113,2710452,11549237,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",7174745
17737960,1689899423,0xd1e78d7cabb3a5ae48b709a55f086fcab7abbf4185affa9012566b366a1f49ca,97,0xda930aca0721e83e906d22de6f5c1ff9babd2df5cebbd8dde7b2e33d6d21c9d8,0xf3235fbc5b5b5954f7e9f3c7c1d877254ceb8c3e,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0x477b13a8520126018da5cb8c654aa3bb74b812fe,21921078342446290524173699410,COPENHEIMER,COPE,18,13,272069,23257118531,156126,894976,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",7174743
17737973,1689899579,0x05b0b8efbd0a1683704314e4467cd06e1f3b40ca13a8024d3f8890a13f43e7ed,957,0x5c8861db048c362458be3f94d74c2ad9f3aa108159912e8062cb4e02383ddbed,0xf3235fbc5b5b5954f7e9f3c7c1d877254ceb8c3e,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0x74de5d4fcbf63e00296fd95d33236b9794016631,21707688466239973548983143842,COPENHEIMER,COPE,18,56,226265,20598814230,182142,7014928,deprecated,0x5f575529,"swap(string aggregatorId, address tokenFrom, uint256 amount, bytes data)",7174730
17737973,1689899579,0x05b0b8efbd0a1683704314e4467cd06e1f3b40ca13a8024d3f8890a13f43e7ed,957,0x5c8861db048c362458be3f94d74c2ad9f3aa108159912e8062cb4e02383ddbed,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0x5c6e48cc9bb98cbcce4cb6c06f88ac20ac22d2f8,21707688466239973548983143842,COPENHEIMER,COPE,18,56,226265,20598814230,182142,7014928,deprecated,0x5f575529,"swap(string aggregatorId, address tokenFrom, uint256 amount, bytes data)",7174730
17737974,1689899591,0xea657c18b1d26948f41069d23e1a2f2e82103e30517648aa3c89c6a926cd2e30,123,0x0a8ec6b351400fb91e21393de1e4776a62c77eeb8e55991413cfd3bac635a867,0xf3235fbc5b5b5954f7e9f3c7c1d877254ceb8c3e,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0x4d66bae5f94dd75149051f264aa77808ff9ee378,11000000000000000087661128362,COPENHEIMER,COPE,18,105,209365,19992003326,146773,8762208,deprecated,0x3593564c,"execute(bytes commands,bytes[] inputs,uint256 deadline)",7174729
17737985,1689899723,0x0d2db9b58f0ee702343fac178ac776d4a23f559b4f8de65d9355d53a7c565845,962041,0x87e8d67fefa9078d32fa6372a1146b4a3a2a1135ebfe87d1353cd67904c0baae,0xf3235fbc5b5b5954f7e9f3c7c1d877254ceb8c3e,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,645272783982872524841226862592,COPENHEIMER,COPE,18,1,1072880,20619225079,751016,845427,deprecated,0x01341f3f,,7174718
17737985,1689899723,0xc142f7401f1bbf5c4da8a0d69e2a3b329c0ae4fa78a1f6512ce4aba563ae4237,25,0x87e8d67fefa9078d32fa6372a1146b4a3a2a1135ebfe87d1353cd67904c0baae,0xf3235fbc5b5b5954f7e9f3c7c1d877254ceb8c3e,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0x5d7c995cd6906fd5db35e55f8c9bee539821d818,211350594740346662509240893375,COPENHEIMER,COPE,18,4,186324,20669225079,117156,1281279,deprecated,0x3593564c,"execute(bytes commands,bytes[] inputs,uint256 deadline)",7174718
17737985,1689899723,0xf6af27f8bd3b2724aa8fa74e646d7d13751e1e8d6ab120e29d5418fa0df72ec3,962042,0x87e8d67fefa9078d32fa6372a1146b4a3a2a1135ebfe87d1353cd67904c0baae,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x1b78f8403db4de43a92d5d12336afc8b1c1d4086,0xf3235fbc5b5b5954f7e9f3c7c1d877254ceb8c3e,645272783982872524841226862592,COPENHEIMER,COPE,18,7,512561,108304360154,358793,1905098,deprecated,0x01753f3f,,7174718
