blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12823401,1626242223,0x5afd1c952b2723cc3aaa78fa51bce07ac425cd53afd42a73672e54cd0953d555,0,0x9c7286869af2e127a1fd956c793db63bbacb6d1bd767a75e877f13be91b987bb,0x0000000000000000000000000000000000000000,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0xfef9f1faaca43af9fda613b671c337e1147748cd,1000000000000000000000000000,Billion,BB,18,157,1422683,29400001531,1422683,13428103,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12238261
12823446,1626242835,0xb65e73e9e2e9414eea59fb6588fe42165d786259aaaa6e610285291b480b7228,2,0xc46bb246a9573813ec797207c1962df2e95973cae3e6c396ede703ff3dbe8561,0xfef9f1faaca43af9fda613b671c337e1147748cd,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0xeaab033e44802b1c56f8de3aed61028fcfc8ce7a,500000000000000000000000000,Billion,BB,18,27,3034127,35000000000,2716615,4055882,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12238216
12823451,1626242914,0x4e9cb6f88701c1747495833b98768ceef52ba5b2a6cf9beb674dba39d86b8fa8,3,0x19f70547118bb4df10a6ed6e54e7894cd3ef069dfddddb4d8e3551bc30e2e47f,0xeaab033e44802b1c56f8de3aed61028fcfc8ce7a,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0x5ad9325ef546b42f2a185e27097239f071345b3c,995015938219190933279041,Billion,BB,18,195,202328,36000000000,157834,11624034,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12238211
12823453,1626242954,0xbeb9f8617987585d3de88eb98809d5eea9c433d6696fc9f4776c642097e319fe,4,0xba4c7f2a80d4f148636de2b3c2764f60d501e745a5ecab9bb19eee0d16f68810,0xeaab033e44802b1c56f8de3aed61028fcfc8ce7a,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0x86bc8c4bdad04584de53da22419d60285369aa7b,4916232389394897740442115,Billion,BB,18,133,152484,34900001604,123646,12712832,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12238209
12823458,1626243025,0x18d6e447a25100f221b03eb52a61fd3c4ea043e8eb261d903117744c32ac9b08,5,0xe6dbb586144d090015a257dfa0a927f519b349826495a67bceea690f76d1f500,0xeaab033e44802b1c56f8de3aed61028fcfc8ce7a,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0x5ad9325ef546b42f2a185e27097239f071345b3c,5000000000000000000000000,Billion,BB,18,135,152333,32000000000,113901,10319426,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12238204
12823463,1626243059,0x6d0bf0ed6342cb65159d10984cf4c697e24d2204c58e83c3cbde6300f1d4874b,87,0x74b317407c0d248a2d2f7ba3134513733e2cc87729d370556eadf531f568968f,0xeaab033e44802b1c56f8de3aed61028fcfc8ce7a,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0xd10236a717d44e2fe66e1f98898f98f19d6e9393,95371168845360288939239,Billion,BB,18,122,179016,35000000000,123622,6645034,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12238199
12823466,1626243128,0x381eeb731093972f1a67151d03b83a9c38771bd828dbbe1cd6a903c43350fc34,151,0x2e30862d48465ab948dc2a9ec8bf09fedd93189487455e95e62fee5cef390c54,0xeaab033e44802b1c56f8de3aed61028fcfc8ce7a,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0x369d59b526588b14555e40a43f6d292208351cca,104865273995238056713100,Billion,BB,18,51,179030,33000000000,123634,4101982,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12238196
12823466,1626243128,0xd40cb663dea7c6037322406e8b8d7d3d8e51bc5b9c95b5e69277f4c53064d81c,6,0x2e30862d48465ab948dc2a9ec8bf09fedd93189487455e95e62fee5cef390c54,0xeaab033e44802b1c56f8de3aed61028fcfc8ce7a,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0x86bc8c4bdad04584de53da22419d60285369aa7b,14151305564476303997242290,Billion,BB,18,86,133376,32000000000,96130,7233898,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12238196
12823466,1626243128,0xd4059005aaf482b1690f889cc16fe1bf261165cab4d1700baad4eec4e666fbaa,7,0x2e30862d48465ab948dc2a9ec8bf09fedd93189487455e95e62fee5cef390c54,0xeaab033e44802b1c56f8de3aed61028fcfc8ce7a,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0x9dbb93d5ad0b96781ecc95248b9cb2aaf298755f,2947162468522101915955821,Billion,BB,18,87,164124,35000000000,113230,7347128,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12238196
12823468,1626243149,0xab9d9743da49a8a9ec111d9609b41485f6961df8b49da550ef144c30e6c9d753,8,0x52ac1aae39e348d208c4444c55186a8df83188261d62858033edbaeb40fda6f0,0xeaab033e44802b1c56f8de3aed61028fcfc8ce7a,0x1bccf41c420d1893f3c54812259f8f8bda566bbd,0x89300f6ac18c87948c802038d50777a82aafb081,8711312444724008948773517,Billion,BB,18,233,152484,35000000000,123646,11822888,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12238194
