blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
14431441,1647889050,0xd2b4a924c078cbf148f0a02065a3c690f8f24d3f04b8244806d48779f5da87fb,0,0xba3741ce10f8a850cf11af9bf68fc873b47186597bc15952b281a941b0a7256f,0x0000000000000000000000000000000000000000,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0x9e8b75a5e7497e330245c5b7fc2e5b7e33b383af,1000000000000000000,Giga Musk Inu,Giga Musk,9,147,4670576,34573152851,4670576,21927044,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",10630231
14431468,1647889410,0x6ef0a3ff4f244233bfb444387ce3b4ef1670c34658574240f2b3de9515a2a34e,2,0xb8117cb261475d4f501fab520080d00865eefa154e568e90c85a187dbc8371d6,0x9e8b75a5e7497e330245c5b7fc2e5b7e33b383af,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0x34546957ccd104f6fefdeb24c5f045181b25449e,1000000000000000000,Giga Musk Inu,Giga Musk,9,85,353461,52533248849,257559,7676199,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",10630204
14431485,1647889600,0x0b181e843ef5bad335c67df1c7067d5606acfc1b4482926c483a8c20b9585c1c,88,0x03102eb8a9733e30cf83e628c6b6edde1c416ae8acf1d24694a4919f1c69478e,0x34546957ccd104f6fefdeb24c5f045181b25449e,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0x75a292e7de2981184d8bd026b9e1d77a013365f9,8588274899254433,Giga Musk Inu,Giga Musk,9,52,1000000,41210874260,243688,5743326,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",10630187
14431486,1647889605,0x7585adf673e709be638d198ad5bcd7d2562dad2ea9e825899ba4851b58b27d4e,89,0xa99f1b2a98feebb59a192e192d5c08aadd0475d119e3fb14108305c5b0289fe3,0x34546957ccd104f6fefdeb24c5f045181b25449e,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0x75a292e7de2981184d8bd026b9e1d77a013365f9,8588544459007119,Giga Musk Inu,Giga Musk,9,54,1000000,39453121057,158460,3737444,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",10630186
14431486,1647889605,0x2e30667dfbb68f0d1917cbdbc6baf0c9423e1e9d89047d9fbb74548496f25119,865,0xa99f1b2a98feebb59a192e192d5c08aadd0475d119e3fb14108305c5b0289fe3,0x34546957ccd104f6fefdeb24c5f045181b25449e,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0x381202e56fe3aaf4b7b34b89fac0aa8ee9e7917e,8420419804970916,Giga Musk Inu,Giga Musk,9,59,590000,39453121057,165144,4335816,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",10630186
14431487,1647889613,0x9583d1ebdb9c0a281f11a11ce88414db262a323722064580890e2c1e8bc9d217,502,0xa5bf179720237922b432cb2b943280645ec44da691847ea7b225094923daacfc,0x34546957ccd104f6fefdeb24c5f045181b25449e,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0x0000000533d328b444f10101ed67d3b818c5d7ea,8700000000000000,Giga Musk Inu,Giga Musk,9,4,413656,49293906238,183011,553772,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10630185
14431487,1647889613,0xbe469ed5eb40610dbbd2073f6fa5dc3115bc883c75942f660a77262bebafd71f,3018,0xa5bf179720237922b432cb2b943280645ec44da691847ea7b225094923daacfc,0x34546957ccd104f6fefdeb24c5f045181b25449e,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0x1e9df8b502d1567fd184b90c7e96755baf605f1a,8700000000000000,Giga Musk Inu,Giga Musk,9,192,295840,36765246255,172643,13404667,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10630185
14431488,1647889625,0x966d7e03ffd0d4991f82561a11916e6178ff92e9a03aa8fb617b36d8f4023d2a,763,0x1939a88b2da89f1512e134e6d17a08e71c7fcd352cff2ddee942c4d79140055f,0x34546957ccd104f6fefdeb24c5f045181b25449e,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0xc44c985ad8533581db924123195ed8700377835e,8700000000000000,Giga Musk Inu,Giga Musk,9,56,295804,37505027916,183035,1970319,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10630184
14431489,1647889630,0xb5eb0af53089fbfec290ffaa9cabe3e2d898a6534f55c5534844aba9d7d34181,764,0x2c52d4bb68c6e56272974d21bd5afc7a01ec33093249d9d5ec0b74048a8389d5,0x34546957ccd104f6fefdeb24c5f045181b25449e,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0xc44c985ad8533581db924123195ed8700377835e,8700000000000000,Giga Musk Inu,Giga Musk,9,78,270154,35105275699,165935,5622043,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10630183
14431489,1647889630,0x94f069e3c002e0e4a864f2937a0d601e308dbc3964f076db4f44133f4968ac95,3019,0x2c52d4bb68c6e56272974d21bd5afc7a01ec33093249d9d5ec0b74048a8389d5,0x34546957ccd104f6fefdeb24c5f045181b25449e,0x253101757a84054b68a0460b6c77ca2b0e2c4291,0x1e9df8b502d1567fd184b90c7e96755baf605f1a,8700000000000000,Giga Musk Inu,Giga Musk,9,80,285814,35105275699,155543,6004300,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10630183
