blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
15481468,1662431856,0x2d82498e86cb862a1e4df806c90467090c0cbbb3ff4ee9f8092db0c7524396f0,3,0xcfdb2f43a9519b79466a0229a1a2b2a4653e024d0b251a32a7de654d532883a3,0x0000000000000000000000000000000000000000,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0xf7ffa6d60c20957eaf32d71223fd7ea2849272c8,1000000000000000000000000000,Ninki Shu,NINKI,18,60,5965632,17000000000,5965632,11232971,deprecated,0x60c06040,,9580192
15481488,1662432144,0x153350bd4ef65da20b241b86ce53b3ef9afc56bf2d25ba1083ea3101ae9ca863,5,0x248e3c9ae0b4486fe64e0375abf1af340d440915ba69b78d53427db816d6bc34,0xf7ffa6d60c20957eaf32d71223fd7ea2849272c8,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0xb45251ec2712c9122ca959279d793ccba96b8cd9,1000000000000000000000000000,Ninki Shu,NINKI,18,70,342571,15551663287,254078,4399922,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",9580172
15481500,1662432288,0x6812f91bd2df194110cbe6eefc2575001d072c6579b5d1b06793e6dd53f5ab4a,1783,0xf0e6fb922337375c118b180958252cb3a2b60b4051246fae69e4ae11b7125646,0xb45251ec2712c9122ca959279d793ccba96b8cd9,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,396000000000000000000000,Ninki Shu,NINKI,18,18,2500000,12629260076,272221,1096362,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",9580160
15481500,1662432288,0x6812f91bd2df194110cbe6eefc2575001d072c6579b5d1b06793e6dd53f5ab4a,1783,0xf0e6fb922337375c118b180958252cb3a2b60b4051246fae69e4ae11b7125646,0xb45251ec2712c9122ca959279d793ccba96b8cd9,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0xafc95089ed6682a54c0bea1515259034045be912,9504000000000000000000000,Ninki Shu,NINKI,18,18,2500000,12629260076,272221,1096362,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",9580160
15481500,1662432288,0x36827820e42c822ff0b12d3f89e7cbe45c0653c9446264b88ac447f56f3658a9,694,0xf0e6fb922337375c118b180958252cb3a2b60b4051246fae69e4ae11b7125646,0xb45251ec2712c9122ca959279d793ccba96b8cd9,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,387110036482823552419808,Ninki Shu,NINKI,18,19,2500000,12629260076,186966,1283328,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",9580160
15481500,1662432288,0x36827820e42c822ff0b12d3f89e7cbe45c0653c9446264b88ac447f56f3658a9,694,0xf0e6fb922337375c118b180958252cb3a2b60b4051246fae69e4ae11b7125646,0xb45251ec2712c9122ca959279d793ccba96b8cd9,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0xf387123253fb0d2cfe187a8a33cd48d156f0a2a2,9290640875587765258075399,Ninki Shu,NINKI,18,19,2500000,12629260076,186966,1283328,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",9580160
15481500,1662432288,0xaa87a2748fe61cdcd0bb9193e4a0896cd96fbdd81c36c88a9ade768d8c2322f7,2373,0xf0e6fb922337375c118b180958252cb3a2b60b4051246fae69e4ae11b7125646,0xb45251ec2712c9122ca959279d793ccba96b8cd9,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,396000000000000000000000,Ninki Shu,NINKI,18,20,2500000,12629260076,193859,1477187,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",9580160
15481500,1662432288,0xaa87a2748fe61cdcd0bb9193e4a0896cd96fbdd81c36c88a9ade768d8c2322f7,2373,0xf0e6fb922337375c118b180958252cb3a2b60b4051246fae69e4ae11b7125646,0xb45251ec2712c9122ca959279d793ccba96b8cd9,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0xce2b64f1d0442ddb7a5c5da0dc30aae5397bf0c7,9504000000000000000000000,Ninki Shu,NINKI,18,20,2500000,12629260076,193859,1477187,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",9580160
15481500,1662432288,0xc4b6e6d43ab781cec84a9005d6d3b64cce83b6829f656599f45f80d3c82ede53,2278,0xf0e6fb922337375c118b180958252cb3a2b60b4051246fae69e4ae11b7125646,0xb45251ec2712c9122ca959279d793ccba96b8cd9,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,399200000000000000000000,Ninki Shu,NINKI,18,22,750000,12629260076,209991,1787300,deprecated,0x530da4ac,,9580160
15481500,1662432288,0xc4b6e6d43ab781cec84a9005d6d3b64cce83b6829f656599f45f80d3c82ede53,2278,0xf0e6fb922337375c118b180958252cb3a2b60b4051246fae69e4ae11b7125646,0xb45251ec2712c9122ca959279d793ccba96b8cd9,0x37fdf3376e2ed8da3db05296436a6d85a0c38e8d,0x5bd8accb6d624ba8e0a9c017e02785144c0606ac,9580800000000000000000000,Ninki Shu,NINKI,18,22,750000,12629260076,209991,1787300,deprecated,0x530da4ac,,9580160
