blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13533421,1635800134,0xa5b6963848dfe62985e18a1ac8cbb136be5ee9a9798f4fd6c415b9e9fcc61b84,0,0x7f4fbb345752eb74c06b5b38ff63dcd8a970b23b0a10299e28ae96da28baadcd,0x0000000000000000000000000000000000000000,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0x66bbe46ed1c85b648b76f9e2d06290ba62faddcb,10000000000000000000000000000000,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,398,2391367,166255242419,2391367,28131923,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",11528269
13533451,1635800496,0x6e4c0ef44b74e4caa50d9d2726de4f91f0ec4c5cc317887fedbd0f6c783c58a8,3,0x0cac12b6936331b51807a5baebb7b0a6f580b33ad6d23e94858a5506a2b47fb8,0x66bbe46ed1c85b648b76f9e2d06290ba62faddcb,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0x4ba67e2195ffabae549a13dcb42edf08533c9a24,10000000000000000000000000000000,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,166,3311349,186179318647,2712964,17111596,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11528239
13533451,1635800496,0x2f701097a4cfac945a1d63d786b2e0603e3df6a8eafc4f83eefd34bbf210ac1e,114,0x0cac12b6936331b51807a5baebb7b0a6f580b33ad6d23e94858a5506a2b47fb8,0x4ba67e2195ffabae549a13dcb42edf08533c9a24,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0x7a29650d887bac28e35af9aaa3f8d315f182488d,302148680183046943661544988938,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,169,800000,186179318647,113321,17623359,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11528239
13533451,1635800496,0x0f6b99c0a0025d3625925c3ef17e598fde74cdada9240f864998956b0f82b754,360,0x0cac12b6936331b51807a5baebb7b0a6f580b33ad6d23e94858a5506a2b47fb8,0x4ba67e2195ffabae549a13dcb42edf08533c9a24,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0xe89c7309595e3e720d8b316f065ecb2730e34757,144316279323813039347574363718,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,170,300000,186179318647,109976,17733335,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11528239
13533451,1635800496,0xc3f29cc3124463d37775cc114caf5cdb4f4c5dd3e7956283a32af6109840cd28,118,0x0cac12b6936331b51807a5baebb7b0a6f580b33ad6d23e94858a5506a2b47fb8,0x4ba67e2195ffabae549a13dcb42edf08533c9a24,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0x4f78d9f99712a6c0ca0fd7b173c995d7a0f8245e,70556193362605543804232005195,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,171,500000,186179318647,113345,17846680,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11528239
13533453,1635800506,0xeb0778c0d2ec95994e1d4da4c76dae74b909cad2094545a646d54fdb3ecc8392,115,0x544faeeb7194ece83ddee7637ec48715f3e44517169b0b2353e09deec8ce2824,0x4ba67e2195ffabae549a13dcb42edf08533c9a24,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0x7a29650d887bac28e35af9aaa3f8d315f182488d,272096293509918636710135801543,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,115,800000,178572628066,140837,7636901,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11528237
13533454,1635800525,0x4bc405279de8bb1559347aad91d249e8ca3fe44e655881a38e2f3ccc614cecbd,89,0x2046e66414fd06dfc5c4893c78fe699ef4e94db8a0ba7e744605432fd0e49b43,0x4ba67e2195ffabae549a13dcb42edf08533c9a24,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0xf54cbf4b5a58c822d2f78de5808ccc138ca7b906,130264407080581499765480563741,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,4,276268,400000000000,124759,1445534,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11528236
13533454,1635800525,0x1a10905f975f2ce74445c7b74b8fdcdc36dba4ebec7d7962cfcc735a6e6315f5,868,0x2046e66414fd06dfc5c4893c78fe699ef4e94db8a0ba7e744605432fd0e49b43,0x4ba67e2195ffabae549a13dcb42edf08533c9a24,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0x74bc89a9e831ab5f33b90607dd9eb5e01452a064,249768982042663233749024724253,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,211,276196,181699917289,114295,17129575,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11528236
13533458,1635800568,0xc7028e3284761584bec32cdec5678eb1769d2c8805a1c9c728cdb0c60e7b69d0,110,0xa62b3a7cf5f46fd9a2983c13c9211c0d4997e3286d54e9127cec0daeccece507,0x4ba67e2195ffabae549a13dcb42edf08533c9a24,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0x02df832f6f4af41c05c8b7e572a70491fe7dd9a0,236377604021904555793839007972,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,115,400000,170702914230,123749,10199333,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11528232
13533458,1635800568,0xf9d8b1e7816092a33625d702671661ea2a16b312652468a08f49b05898882cc1,13,0xa62b3a7cf5f46fd9a2983c13c9211c0d4997e3286d54e9127cec0daeccece507,0x4ba67e2195ffabae549a13dcb42edf08533c9a24,0x3a862ba102c7a1e65548e8084b45ad589dca299d,0xd5c54c4b4dd1578faea797b97c81ab50c96ebd75,331729677477153739693383646062,Degenerate Monkey - https://t.me/degeneratemonkeyERC20,$DEGENMONKEY,18,151,208057,167702914230,113309,12499872,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11528232
