blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
15683141,1664987855,0x4f65177b980717606e311b22f4861e7f0800b432aa157955d25de83b98210da5,0,0xb3ccfc68414789281918eda4c6ac8acef326150d7bd1a2ce1e50fa8c91a03200,0x0000000000000000000000000000000000000000,0x42a4123c90df459f8098fd76a3be946920b49a43,0x82d03512481041d0ecd2862763fddf6f33a214a1,1000000000000000000000000000,Squid X,sQdX,18,256,6400144,41714770179,6400144,24542471,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",9378536
15683175,1664988263,0x4f176ba4373cd698c5ebc672ad0f0178e8eb7efc664937be0c394f330bd90213,3,0x73c49b62b573f4ab935c4975871751af3b0f9d7fef1b4c28195cf271911410a3,0x82d03512481041d0ecd2862763fddf6f33a214a1,0x42a4123c90df459f8098fd76a3be946920b49a43,0xa5a14e29511ef8c2f61335f87a0517c9efff39d8,1000000000000000000000000000,Squid X,sQdX,18,81,336850,29163920848,249309,5368443,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",9378502
15683226,1664988887,0x90821b9a57d59f82c2ccd6ccb2a4aa30864235ce700eadfd753f386340aaea2d,2065,0xf5631c6af26b7c7386f97ddeacc182ef9b09c53feaea4450a40446278fe6689a,0xa5a14e29511ef8c2f61335f87a0517c9efff39d8,0x42a4123c90df459f8098fd76a3be946920b49a43,0x42a4123c90df459f8098fd76a3be946920b49a43,1500000000000000000000000,Squid X,sQdX,18,12,2500000,46236099953,294439,760864,deprecated,0xfa9a2f6d,,9378451
15683226,1664988887,0x90821b9a57d59f82c2ccd6ccb2a4aa30864235ce700eadfd753f386340aaea2d,2065,0xf5631c6af26b7c7386f97ddeacc182ef9b09c53feaea4450a40446278fe6689a,0xa5a14e29511ef8c2f61335f87a0517c9efff39d8,0x42a4123c90df459f8098fd76a3be946920b49a43,0x82d03512481041d0ecd2862763fddf6f33a214a1,300000000000000000000000,Squid X,sQdX,18,12,2500000,46236099953,294439,760864,deprecated,0xfa9a2f6d,,9378451
15683226,1664988887,0x90821b9a57d59f82c2ccd6ccb2a4aa30864235ce700eadfd753f386340aaea2d,2065,0xf5631c6af26b7c7386f97ddeacc182ef9b09c53feaea4450a40446278fe6689a,0xa5a14e29511ef8c2f61335f87a0517c9efff39d8,0x42a4123c90df459f8098fd76a3be946920b49a43,0xff24718e21d90c3624f904803c7396bf2e3e8c65,13200000000000000000000000,Squid X,sQdX,18,12,2500000,46236099953,294439,760864,deprecated,0xfa9a2f6d,,9378451
15683226,1664988887,0x43b85025d4aeb6577c72270e3c077847086aeb61cb547cdc75b77040397bfe1b,126,0xf5631c6af26b7c7386f97ddeacc182ef9b09c53feaea4450a40446278fe6689a,0xa5a14e29511ef8c2f61335f87a0517c9efff39d8,0x42a4123c90df459f8098fd76a3be946920b49a43,0x42a4123c90df459f8098fd76a3be946920b49a43,1000000000000000000000000,Squid X,sQdX,18,22,750000,30136099953,179873,1393574,deprecated,0x530da4ac,,9378451
15683226,1664988887,0x43b85025d4aeb6577c72270e3c077847086aeb61cb547cdc75b77040397bfe1b,126,0xf5631c6af26b7c7386f97ddeacc182ef9b09c53feaea4450a40446278fe6689a,0xa5a14e29511ef8c2f61335f87a0517c9efff39d8,0x42a4123c90df459f8098fd76a3be946920b49a43,0x82d03512481041d0ecd2862763fddf6f33a214a1,200000000000000000000000,Squid X,sQdX,18,22,750000,30136099953,179873,1393574,deprecated,0x530da4ac,,9378451
15683226,1664988887,0x43b85025d4aeb6577c72270e3c077847086aeb61cb547cdc75b77040397bfe1b,126,0xf5631c6af26b7c7386f97ddeacc182ef9b09c53feaea4450a40446278fe6689a,0xa5a14e29511ef8c2f61335f87a0517c9efff39d8,0x42a4123c90df459f8098fd76a3be946920b49a43,0x555c9f6e96a9d05938ac6ab0d095112321a0ad5a,8800000000000000000000000,Squid X,sQdX,18,22,750000,30136099953,179873,1393574,deprecated,0x530da4ac,,9378451
15683226,1664988887,0x590d7d6d638f9e3ff35d63afa57e4f95c3170a1cba48af23385f55929b318f04,181,0xf5631c6af26b7c7386f97ddeacc182ef9b09c53feaea4450a40446278fe6689a,0xa5a14e29511ef8c2f61335f87a0517c9efff39d8,0x42a4123c90df459f8098fd76a3be946920b49a43,0x42a4123c90df459f8098fd76a3be946920b49a43,1000000000000000000000000,Squid X,sQdX,18,23,750000,30136099953,179873,1573447,deprecated,0x530da4ac,,9378451
15683226,1664988887,0x590d7d6d638f9e3ff35d63afa57e4f95c3170a1cba48af23385f55929b318f04,181,0xf5631c6af26b7c7386f97ddeacc182ef9b09c53feaea4450a40446278fe6689a,0xa5a14e29511ef8c2f61335f87a0517c9efff39d8,0x42a4123c90df459f8098fd76a3be946920b49a43,0x82d03512481041d0ecd2862763fddf6f33a214a1,200000000000000000000000,Squid X,sQdX,18,23,750000,30136099953,179873,1573447,deprecated,0x530da4ac,,9378451
