blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12664629,1624103393,0x0cd323ba74c2a80a912afa2756bd93dcafcba48bfcc175cd97fc1e2f7b515980,0,0x178dc7cc3aa0fc71b9971dd95ee125a5587171731f7d4a65b44db224087bf304,0x0000000000000000000000000000000000000000,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0xfa285147f293ab986f7c54b601cae5e670cd16b5,100000000000000000000000000000000,FoxSayfinance,FSY,18,56,1434758,6500000000,1434758,6774289,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12397020
12664718,1624104506,0xe6f8ee7c037666f28722bb8ec9640b04235dac3fc470ff95526c05a9fa6ac662,1,0x5ed754ca8cf715bcc0d9dd8b4399b42c86dd64b3696d3d7c994ff46a3f2cea55,0xfa285147f293ab986f7c54b601cae5e670cd16b5,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0x000000000000000000000000000000000000dead,40000000000000000000000000000000,FoxSayfinance,FSY,18,83,114661,11000000000,76441,6324031,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",12396931
12666495,1624128318,0xd65223ae2aacca36800b81f947870e3a321a623c47a67c75a1ab4426e913e468,2,0x260221fefce845ab88573f16858e38dd7bdfa6e3df498d3b31c7ffda7215acec,0xfa285147f293ab986f7c54b601cae5e670cd16b5,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0xf3c77452cb49f346932144f973b03d1d4df15ad1,59000000000000000000000000000000,FoxSayfinance,FSY,18,18,3309151,10000000000,2715929,4096436,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12395154
12666509,1624128495,0x89cf9d8fddb3fe672946fb20a9cf1987b143eb32ce4d845230570171f6cce38f,28,0xf72709bf4632797350e48ecde170d87c81f903c45f985d9574cfc170352a9805,0xf3c77452cb49f346932144f973b03d1d4df15ad1,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0xb958e19c60d01827de8a435c60d238936ee39e33,582423240294266166321771933819,FoxSayfinance,FSY,18,100,225134,13000000000,178244,9990686,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12395140
12666510,1624128502,0xca5dcce84f047363bda7e3d666758ee665ab0f3ed1c843c756dd4eac54ce1891,46,0x75e2768a0a21080af530b5eba279b5a1150641f0a7aea514bbff6e83a796945f,0xf3c77452cb49f346932144f973b03d1d4df15ad1,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0xed6eb4ca5e14e9b485176a8f306415ca784ecb7b,286912240227326594147584414459,FoxSayfinance,FSY,18,61,225134,12000000000,126944,4750781,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12395139
12666512,1624128541,0xabfa5fbcfa500d68b6640e0434bb611a30ac5089164764c1d73a57227736e1c8,32,0x9f93eaa8ac9d3808e142c2bc5f2be052f1b83c96273ac9f3af5609909130c316,0xf3c77452cb49f346932144f973b03d1d4df15ad1,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0xfae39a2503d0b212a26f119b75e2e37569bffa50,254788739404582407485222971377,FoxSayfinance,FSY,18,34,156169,13000000000,126944,3091581,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12395137
12666512,1624128541,0x6bfd1abcb92221e7b8e0658d790336ce001ff1fe8ac1b6f54dbd2083992bf011,78,0x9f93eaa8ac9d3808e142c2bc5f2be052f1b83c96273ac9f3af5609909130c316,0xf3c77452cb49f346932144f973b03d1d4df15ad1,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0x7297714aff93814eed12558b60fe150bb3bf65d0,615969199929592268638215866310,FoxSayfinance,FSY,18,65,156169,13000000000,116528,6020985,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12395137
12666512,1624128541,0x48a53b66ef6709c8c5d90b91db9252ef00d9a8ab2bb78b613b6d91ac2ee01fd2,29,0x9f93eaa8ac9d3808e142c2bc5f2be052f1b83c96273ac9f3af5609909130c316,0xf3c77452cb49f346932144f973b03d1d4df15ad1,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0x70f80c4a2d5ea3df0f2bc859c756315c13dcfc7a,439791592923200997450762942546,FoxSayfinance,FSY,18,87,225134,12000000000,116528,8502451,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12395137
12666513,1624128545,0xd586e8fc01e8ebef46c96ede9eafc3754187e3407388a2044f6466ad0acec40b,27,0xebdb52d2a29293e15a0f32883edc48a7c4ef7c07ce12ad327afcbbe2067fabf8,0xf3c77452cb49f346932144f973b03d1d4df15ad1,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0x9e45bce7be5c60d736a405273381502762baf024,59166999018026814950097784461,FoxSayfinance,FSY,18,76,167796,13000000000,126932,7243970,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12395136
12666514,1624128559,0x0c3335bd58156f6fa7b3ddee42f1f7f89c1a2bda8212f8d10e675830d8bf99a0,25,0x399fcbbfe14369555a96f5d1515cc82d4d79d108439b48d2817a21b9c2cdc670,0xf3c77452cb49f346932144f973b03d1d4df15ad1,0x5f7593e74433a6c6fc227f9517db8f62f9962c18,0xe12aaf074ddd243d408df8db8c51036b00d3d8b5,414042096067163646643883619051,FoxSayfinance,FSY,18,79,156156,13000000000,126932,8345283,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12395135
