blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12485775,1621708768,0x6cd252a4ebacf88f88c48bad6768938c68428cd654270d1c5fb6c8a7880ae6bf,29,0xec0b5eb6a2de3bfd6f8a336ec760eca509a681a62d40a0c4a9c1084071167d52,0x0000000000000000000000000000000000000000,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0xcab42da401da7d81ae485ce6ef2b4e2be1349b3d,1000000000000000000000000000000000,LIGMA,$BALLS,18,52,1422743,42000000000,1422743,6318925,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12575906
12485819,1621709304,0xdd24f9fca1bf97b917447d44817171e3f5eb99256c714f1805e0106a891bf7c9,31,0x95a3391f8a3b1072274a420f5487268da28a061ded2cc561eae196df65fd700e,0xcab42da401da7d81ae485ce6ef2b4e2be1349b3d,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0x1945d8d529cf4ce64f7098164c33c9e9ec99c218,1000000000000000000000000000000000,LIGMA,$BALLS,18,144,3283686,40000000000,2684600,14165528,deprecated,0xe8e33700,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",12575862
12485823,1621709365,0x8f930d40d972e9612d004f2220202fa37f7415cf3294a0c0b49a712b2210b5d6,926,0x3761cc1afb5b1456aa9df98f2c5d7832c86aad61a3ea69272532a9e1a0fa562a,0x1945d8d529cf4ce64f7098164c33c9e9ec99c218,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0x94b52ce06ce6b5d4220491e7a1deae36d27ddf71,38350578912951494403200369273377,LIGMA,$BALLS,18,24,220779,80000000000,157882,1178524,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12575858
12485824,1621709395,0x6621e435b39c231071252a4e84749be33e5a84334f646c890c35a512f5e17d53,216,0xf406d98c1ab2f348e4b8743130069d28ebef72d2f7dbf824d7f12b6a7a51924c,0x1945d8d529cf4ce64f7098164c33c9e9ec99c218,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0xa249933e8d1e4f95dbc3b90a2cc1b4b587e0befc,12136720037770894591946646478150,LIGMA,$BALLS,18,159,166375,42900000000,123670,10180545,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12575857
12485831,1621709467,0x616aa6a4009e9b03d2439f35bdc3b1ebce6a82df16063c835a739b449e4ef70a,1972,0x1358ff9a739c703905df70dcaa1a20d38c6f4cebc5b1109b939b94d58b21c1dc,0x1945d8d529cf4ce64f7098164c33c9e9ec99c218,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0x560a2642223aee8647b675b4dff2a630a8672cca,106402625935273662827002183353459,LIGMA,$BALLS,18,212,179088,47000000000,123682,12525520,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12575850
12485831,1621709467,0x8a23644de3b4c539bb9735ae114cdcd0dbe1c0f02cb984f2e6493bfa537ad338,927,0x1358ff9a739c703905df70dcaa1a20d38c6f4cebc5b1109b939b94d58b21c1dc,0x1945d8d529cf4ce64f7098164c33c9e9ec99c218,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0x94b52ce06ce6b5d4220491e7a1deae36d27ddf71,27412923380178341457315952054842,LIGMA,$BALLS,18,231,158241,46000000000,96166,14843941,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12575850
12485839,1621709561,0xfe5bb634007f4c6b96c93fcc90def8b3c063f10c72fabd24d2b465d11a4881ed,264,0x1d174fea2ea3365a9280603e68ac0809b7e1f4df027c51e5ef4b7008e80d8754,0x1945d8d529cf4ce64f7098164c33c9e9ec99c218,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0xf1e4c07190a3d6eb0ddf83f5f926dbca652c4c86,21516259498865627692683896719148,LIGMA,$BALLS,18,80,179073,50000000000,123670,4628155,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12575842
12485839,1621709561,0x1dde1f780f72ae34968247450ca2b4ee2d0fc0653ff993d05081ac64a9860e4f,108,0x1d174fea2ea3365a9280603e68ac0809b7e1f4df027c51e5ef4b7008e80d8754,0x1945d8d529cf4ce64f7098164c33c9e9ec99c218,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0x7bc8fac57fd00d7e9a0d9b61d241ca1801d98b31,39794861012125199733164165415120,LIGMA,$BALLS,18,85,179088,49000000000,113266,5032964,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12575842
12485870,1621709947,0xa57cd36978041133c81b6a99906da1a8897baae56d312c65450ce27ceb9ced1a,179,0x368a54542eb6d3998d9410da97d55f64ec97fbcebe0cbbd6ad22d3751e949cb6,0x1945d8d529cf4ce64f7098164c33c9e9ec99c218,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0x1d76b5284277cfbef9ff07c23aeca1251c91d066,15000000000000000000000000000000,LIGMA,$BALLS,18,50,186730,45000000000,131025,3081422,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12575811
12485889,1621710221,0xe39495090706029e20470bbc65f185f8910271d1d644d7518802e4c6cdad275e,180,0x96074a8bb994c6a91fe02cfaa9e256bb64963b6df9a90af18132b09a12f007c1,0x1945d8d529cf4ce64f7098164c33c9e9ec99c218,0x61395d8cfffc85dafc3246c23c17b3dbaf1322d0,0x1d76b5284277cfbef9ff07c23aeca1251c91d066,4845274334575000000000000000000,LIGMA,$BALLS,18,26,166239,48000000000,113949,2996601,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12575792
