blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
11800509,1612584932,0x5667306845cfc454e430598e29cfbfb3ba4e06ebdf49a00e7bceb030a3f59a94,5,0xa1dcf3fcc54d6d3f9cab5c0e8a79ab3d87113d66f67d4a5fd6fe2e56688f92cb,0x0000000000000000000000000000000000000000,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0xf96565085943ce9344b26c71653f4c37292ffdff,150000000000000000000000000,Finxflo,FXF,18,123,2881993,130000000000,2881993,11672982,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",13261197
11800526,1612585153,0xd7f282fa6b6afca8c7cff8b509b95b2b8a3854e814ec81c524af42286d3a77e2,7,0xc4ee18977d8f20a62cc8273115a8b4ecd585dc8ee0d036851a50ac8c61150050,0xf96565085943ce9344b26c71653f4c37292ffdff,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0xa115b773f16121c75a419314c0bfb989b6d85356,5400000000000000000000000,Finxflo,FXF,18,117,3032945,132000000000,2716844,8537483,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",13261180
11800529,1612585213,0x174f6154833dad55303d78c20219911a8f606021c2a6c88f69e6af8dd7e7d3c3,224,0x47915716d101108c382439f9bfeab8de1ec29992c338ed94468489d27723d56e,0xa115b773f16121c75a419314c0bfb989b6d85356,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0xa4779d483108e128653d0c8952558971a9196a17,145519907019488066599994,Finxflo,FXF,18,95,3000000,132000001123,158866,4246835,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13261177
11800539,1612585353,0xc24d19b498e711ad3c406db99d4225f0de2ebc4d2e1205da5c33e38b214801d6,199,0xb1c4fdea964acd14fc93ef85d226f970bf6e785a12fd642e4c9b68f68593d79b,0xa115b773f16121c75a419314c0bfb989b6d85356,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0x92051e7779635f023b60c07294730bae15ad1507,19747674351142900799200,Finxflo,FXF,18,37,3000000,132000001123,128866,3488409,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13261167
11800549,1612585428,0x07bbb9ebc787ce850a5f0810b7db5f08a8fc56c1d47f0bbe1429859c8a887b56,172,0x88a06cad1a8da26dfc6d8c99d4dc1b48f013442615bdcd484e7f84cc2756a2d4,0xa115b773f16121c75a419314c0bfb989b6d85356,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0xefd47dd3d497ec545551a6b7986dc3258081b3dc,91130663090460754580054,Finxflo,FXF,18,71,3000000,132000001123,128866,4079331,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13261157
11800558,1612585545,0xfe9690043bbfe2f41951a2fe064c3a9da541a7f454bf24205093f018df15696e,225,0xd5547c67fa345870064402eae2ce2fe05a8923429e7d3f05920863db66fb87dd,0xa115b773f16121c75a419314c0bfb989b6d85356,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0xc8f3381d911b2cf67eadc0eefe1b3c2e3e35da1e,48912787932699314354135,Finxflo,FXF,18,114,3000000,132000001123,128866,6352246,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13261148
11800566,1612585698,0x20d2e8ec736511d7c9a8343170dc1e686c1562329823f993849f3b75aefdbd93,200,0x623fa139fb3bac5d28a068c80b67f3d6a5ef611f54c1378679012e33bece8197,0xa115b773f16121c75a419314c0bfb989b6d85356,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0xdc895d93e780432e538d547297f50d44dfd585d9,31480674016162034265013,Finxflo,FXF,18,154,3000000,132000001123,128866,9609401,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13261140
11800585,1612585915,0xeb190512142ed30905132f5b75231db0fd60d35870987ac23e679db7b9663b22,173,0xd1bd82d794fa8e703f3c06da55a83b0a1e8ad00184d2e9fda0fc40f8d772156a,0xa115b773f16121c75a419314c0bfb989b6d85356,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0x6bd475a828e9e94d22ef9970cc909d449741329f,157916618713009323761793,Finxflo,FXF,18,116,3000000,132000001459,128866,7841772,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13261121
11800624,1612586375,0x4ecc5aed61dd7e023d3e34632f6d7f91f1ca37cc396aea28e06705dfa86ca3b4,226,0x7d2e297e516c8ae0d47d840c7c58f80e543fd19f8e34f27dee4db37bb2e74595,0xa115b773f16121c75a419314c0bfb989b6d85356,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0xce57342cc4b70de04ba709f90ac9f7b2387d1521,32354473911300883686792,Finxflo,FXF,18,78,3000000,130000000000,128866,4524053,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13261082
11800641,1612586591,0x987187104c00efdc91a64154d9514453b39a6bea607cdbccc3d6ea5a119c3734,201,0x73c1c899feabdc8e886a70bcbc3d4ea208cf91d3f21e8ab8932304c3f9ef175f,0xa115b773f16121c75a419314c0bfb989b6d85356,0x6672415ad8ad712e3c7f20223068e26f53d13bf5,0xe952a18a6dd572217a053395f0f26ed0081108df,9720097133305135651866,Finxflo,FXF,18,27,3000000,130000000000,128866,3088687,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13261065
