blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12753762,1625303899,0x340d5f93803bb2d5147ea3883c9034d3a494692104d154cf307c760a53db7d6a,0,0x7873cc098ae2833c1982ecf5f2a81055f2ec7c13203e41aa62cb8b8f9b2410d2,0x0000000000000000000000000000000000000000,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x976977295a187f0c14021dbf2fb7cb8ca83c78d1,1000000000000000000000000000000000,PolkaDoge,PDOGE,18,157,1422779,6000000000,1422779,13945229,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12307945
12753866,1625305539,0xb7e74e46ab099c22d2b7ba85a143e8e512c9e022f1064df6c93b4bec4e189f33,2,0xd89474e61d2b89be9b6cfc46ac9230c05e3735bb306d5406ab6a834e5819f458,0x976977295a187f0c14021dbf2fb7cb8ca83c78d1,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,360000000000000000000000000000000,PolkaDoge,PDOGE,18,100,3035494,12000000000,2717838,10951206,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12307841
12753897,1625306003,0x822aaef2c8b1abb4672c73f32920e8147f5eb86ba73f158abcbc662f6a8feb86,3,0xe13c784dc19230ab199ebc7b39b09ace3c28da03b3111f87d3594935f0bb5ae7,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xb9274b3078609b21f2be02fa0cdb34488c31e3db,1785698294004388125195898446245,PolkaDoge,PDOGE,18,144,202368,13100000000,157870,11075185,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307810
12753899,1625306017,0x6f464ec9667382891b52a4693ceaf534b9e9bfd123c50df96824508a1d6c59bf,4,0xe08fa540550e36b3a394cccd16d6610cd0e247c33e3ae5ed8b66f47bb7458256,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x8a0ee1a2f654e3ea9313698855f46e5da9ab83c0,620807213448628208707881969273,PolkaDoge,PDOGE,18,86,202368,13000000000,123670,10199498,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307808
12753920,1625306218,0xd458c754567f215b5e7abe37e0e922da1659330d2157dcb10b3df4d8a7e4d4e1,5,0xc6088f637f0a29ed1d1f6b1f94649f2651e57b01de7ac82f0facc29827d3b272,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x0b7dc67a6ecf6bc0388409ddde919aafcf0e0ff7,1942420092663927479221260050286,PolkaDoge,PDOGE,18,141,164150,12000000000,123670,11399267,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307787
12753923,1625306253,0x66987dc1f84b6493d8fa08aea2e356749809ba80d69d7654fe2e8edb0011218b,81,0xcb5a52db4fb74f2597933888531ea835f7b8c096e9091fe462c605b31f5ea248,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x0ea9f633759eed7d9e18bf9100de9a25d4b108ef,657759361043395899979754108362,PolkaDoge,PDOGE,18,123,350160,8800000000,294756,11979390,deprecated,0x5c11d795,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307784
12753937,1625306442,0xd6ff14df1328d55763a009d52ef05e746c549374ae43f7c13d11068aef425e93,6,0xd1ba164828721a9330b5525459b291c64941093bb3fd37cf456b6b3ef3707d19,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x2ea254a307342a81494f2f6735ec5476c932601d,4309435507577302602778024463253,PolkaDoge,PDOGE,18,55,164150,11000000000,123670,7346017,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307770
12753937,1625306442,0xcbd16070d330df072cb67840fdb70d6e1a066b886cd20aa3c18b0a59edd84eb1,7,0xd1ba164828721a9330b5525459b291c64941093bb3fd37cf456b6b3ef3707d19,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x94877cc2f6f157933a8e51b689f316fc376c4772,1000000000000000000000000000000,PolkaDoge,PDOGE,18,64,171183,11000000000,120621,8453184,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12307770
12753937,1625306442,0xd7dcb74f171487ca094c7bf214bc3e28f9d7d1d1c17687359782f61a6a65e0c9,8,0xd1ba164828721a9330b5525459b291c64941093bb3fd37cf456b6b3ef3707d19,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x94877cc2f6f157933a8e51b689f316fc376c4772,10000000000000000000000000000000,PolkaDoge,PDOGE,18,98,171183,10350000000,103521,14354855,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12307770
12753939,1625306456,0xed245907ec7e80b7657d8965a8f98fd47ce317e80b76cf4f3509b4961e8362d6,9,0xba6ba53fde70d21626763f6ace59097576bd913ac24d15baf54e8623cdf188ae,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,159673600895832741770492689959,PolkaDoge,PDOGE,18,139,164137,10350000000,123658,11215755,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307768
12753944,1625306558,0x9c6b997cac1b96f35c0254601fcf4746ad53adfbba6320ee8c3ff3707a978c4a,83,0x0a211a57b7425924e63f0e34f70d14ed4fb5a1e68de82cf264ac44ab9a203f45,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x0ea9f633759eed7d9e18bf9100de9a25d4b108ef,449143795673751301441728431955,PolkaDoge,PDOGE,18,162,240468,18700000000,193036,10555713,deprecated,0x5c11d795,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307763
12753945,1625306576,0x045d8f876dda006d0e47b1769b2dfd9d5a439861ab4353f3846398f6a94555ea,26,0x8b39663dc0c9b4b5732c6cdbc337e810d07457bfbd8e6489b8aad8b6648045fd,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x7e09dc779888c984cc23401957e1041a4915fca9,159101022074801870664675936823,PolkaDoge,PDOGE,18,60,179073,11000000000,123670,5341970,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307762
12753948,1625306606,0x8ae0811efc678ff3899adf3bdd8dd2c7edc22423ac4d81c9e2e2fb70fe06fb29,10,0x4295c6a5e5589153294b511bdf231dfd5e2294912f10980e1688f6036e078b3f,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xc5b042f220ece764bba4c37e1926b720288af061,1582834464880819648265978106113,PolkaDoge,PDOGE,18,149,152510,10350000000,123670,14529535,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307759
12753951,1625306626,0x050a84445ff5fd0473c37f41144c80ac3135b3b5e197c1100da9e5dc1704e63e,38,0xc13d527909ff7d51881df17bb0212d5098c0fc007144494b4687dcd1becd13e4,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xa317287ec35e5ebf70b04cf7994b53d103d085b8,31505457968392377469299218413,PolkaDoge,PDOGE,18,121,179059,9900000000,123658,11711336,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307756
12753955,1625306651,0x877f53eef883619d5bf44e9aed2457c64a10570a4cd952494ab44846ab0f6954,11,0xdd6b5f1db5463c3212d7ef47d7f0812dafadbcd1d845415cf71a3c4b0f86f12e,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xbc4cd0f43cbf5d2413f231fa033823d4bad70a7b,4660091154701651355602410615780,PolkaDoge,PDOGE,18,124,164150,11000000000,123670,5900223,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307752
12753964,1625306801,0x15a69029f8f363790988b0b6127fd85fe52f3beb95ee01c666abf04e2fa315ce,12,0x38580169543c34383745e2c7b310f703c038546d626fb477c5d1b22493ddb329,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xbc72bfa2199ac296fa4cf24de27453718976c605,2000000000000000000000000000000,PolkaDoge,PDOGE,18,119,171183,26000000000,131037,6349956,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12307743
12753964,1625306801,0xdb673966fbfc6b24bdcc9119aaae32098a509617a121a694c1d945b7f487da2d,13,0x38580169543c34383745e2c7b310f703c038546d626fb477c5d1b22493ddb329,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xb0213bb791d94595ce02b9fd91b4f22f770d654e,10265218245167916056845354597655,PolkaDoge,PDOGE,18,206,164150,23000000000,113254,10171765,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307743
12753966,1625306805,0x113c3ad3d6e5873939ba7c980eb23e0e6b915297f0cd8c694fada2c13e74065b,63,0x36d6a3b68a3292163e2a01017bbbe307835aacfc278c7a4d5c86d5535f976409,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x20510273157cea9c8fef50aab57b11d3c2315abd,8524565803408253638649879902,PolkaDoge,PDOGE,18,44,179059,10350000000,123658,3880662,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307741
12753968,1625306816,0x646fc921ca08ec188a189177e4aa812333fd9c0210f254e4e87d3827f514362b,14,0xaad957440de2a00d653399fca7878543451072ff150f2e8a32d2dd633fb8c284,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xbd4c616fafb31bcf3de34675eb497803e5776ee6,1544888917335971913002481243039,PolkaDoge,PDOGE,18,199,164150,12350000000,123670,11686351,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307739
12753971,1625306846,0x35f8065e18f1acd0264be1064ee5b11d312d777fa39cc0aa8efde2a84971503d,15,0x9a7d88ffd65af531d062d3bb916bdbdb383c6bd7f6dd505023f5d956b969a208,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xfa90b2997a509d728afa5d3828e1712be2083798,2789446253132816674871786335649,PolkaDoge,PDOGE,18,95,152510,12350000000,123670,8190720,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307736
12753976,1625306919,0x9536c3ce78883e43981318640e2fb1fec5717436a40b6efa629844dbe5a3ce78,16,0xdb93952336e912a7550c60e1c1a3a2b58f3b3d1a0ae2b3f1681b13bcd6c57d7c,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xbe90b210a45cfdac3a85a2e10961209dbbdd63e7,1000000000000000000000000000000,PolkaDoge,PDOGE,18,57,171183,10350000000,131037,3377374,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12307731
12753977,1625306925,0x055f67ed89a3c706f955a8028aa2c75b2a14e8234030f40bcbb6738f0a659875,15,0x89194fe774032a2f992d8c2856c49e0f9f4d66f98b63b935201ff8c82fd6d435,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xc319630cacd320c7ecbeda1d691c0d59197861fb,235707272319603063673896927110,PolkaDoge,PDOGE,18,68,237041,9675000000,207867,5220865,deprecated,0x5c11d795,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307730
12753980,1625306973,0x72975e2d6cf948974b1cd949f4e9ff7c2fb015ee0cb66fd0db97f384454984f0,17,0x12511a2689955d5284cdbbb5147aa959185b2d2d96b94fc993eebb194dee844e,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xe0d2de208e581556093447500ff652ff8a5e0123,3190770292622916270022661631815,PolkaDoge,PDOGE,18,118,164150,10350000000,123670,8044581,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307727
12753983,1625307022,0x123b0218a11f8dc3c0ec632080f9a45260c7c232a7e8a94cfe6a2cd0c529ea81,18,0xe07286dde234d5f0cce5e6d99bca76f5e8ecfdfd72dab25cbf3c5bfe1a8b58ce,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xe80d315349e6cbc79280c9d30e536c00affe6ef7,2500000000000000000000000000000,PolkaDoge,PDOGE,18,16,171169,11350000000,131025,1474722,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12307724
12753986,1625307067,0xb1d2ec85bc98a65e4f08670c53bdfc1d89ba6bac5dfc07a90a32e40f0a37c894,19,0xe960f6fc0925ac98af285067c333483d84ab268dcd9c864d47eddab30fa1a2bb,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x58ac48d9a9d91742d1e12affcf3a1f8b3e31a73d,3000000000000000000000000000000,PolkaDoge,PDOGE,18,92,159725,10350000000,131037,6745250,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12307721
12754010,1625307303,0x173ceaef481c81e6888a794e2a0d8d2c9c0e600791e93299f2e9e524a1dc5382,20,0x41c0a8bae593e58a1e627ac6cfd5e77508ddcc5cc43ef77d086e6e8f49b46b06,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x22df2e0032b1b42492c5fdbc40b49df8094cad29,1291406156807059876948623210323,PolkaDoge,PDOGE,18,69,164137,10000001459,123658,4164860,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307697
12754012,1625307329,0xe4b42593ee3e1d150deea995d65ecf3bc2f1209062e37f9d132f25172c013d6c,21,0xeff66e5f15a85df414c72d3d3bd094c087f01ebf36d52f0853417d2b06064ae7,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x9b1a1d93cbc4c3a5584b7e58656e6dac00b4fcee,1587694751333051156779871624583,PolkaDoge,PDOGE,18,74,164137,5000000000,123658,6495055,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307695
12754012,1625307329,0xdc49152e132047bb639809eaa7c843c56f1c32eff4845aebae8c8b65ffcf2a9a,22,0xeff66e5f15a85df414c72d3d3bd094c087f01ebf36d52f0853417d2b06064ae7,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xfc082f32648921dae662c7c85e919236b713f4bb,381288072513067013930559960770,PolkaDoge,PDOGE,18,75,164150,10000000000,113254,6608309,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307695
12754028,1625307504,0x0ff0a8e79a2f9f5fe1dec861081fb31a193b0cc9793333827aaa61e8c1b4951b,23,0xe1fee9ab32cfd53235a1fe57f9ada13826e9544d45df446c8cb1bd419b08a4a5,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xe56135d9d1c5385d094e98031aa8cfbe7aa05bf4,126882547626859750960247428296,PolkaDoge,PDOGE,18,17,164150,10000000000,123670,3040356,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307679
12754034,1625307609,0xedfe17a115a39fed40807cfce61e5a2062168db7e111fe9d157fdfd50288a971,275,0xcdd99972a0d9e5536e63acf6f42c56e0518d57b6fe14441fd59a6e1a9db1d791,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xb79fe3d43291212c1433d16423742e9fcd020c92,107838612202706216780335749498,PolkaDoge,PDOGE,18,140,179073,6000000000,123670,14372779,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307673
12754050,1625307865,0x84928a7ea69a6c6b40b57d7a1466dcc88ea1791dfb26b90eb600f56f2a726d34,24,0x37def3bec64c34e13344c6c08f1f5f53e9a025188a799f1f78c3c78c55ef138b,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xf1df7c40737385c907b027f47226f8faa196b1ed,126685689035301963379458592826,PolkaDoge,PDOGE,18,141,164150,8600000000,123670,11877981,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307657
12754050,1625307865,0x64f5246dc969f8b43bed2fe26b27cbc75a8c5490764e530071a8364db332c406,7,0x37def3bec64c34e13344c6c08f1f5f53e9a025188a799f1f78c3c78c55ef138b,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x01a6a9b0210e508159051b255aff1ba4429c706b,166225864236571572304452086910,PolkaDoge,PDOGE,18,142,204006,8500000000,151655,12029636,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307657
12754054,1625307930,0x2a295554d9427e3fee03bba3c75c22ff1f2e98de859302035363305d1bad0cbb,25,0xc8a2efd23fcc2cfd6b90d5790fcc992285b12679d6ba5af778829938f4afd6c6,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xbf26925f736e90e1715ce4e04cd9c289dd1bc002,1259660909006358380133016534481,PolkaDoge,PDOGE,18,108,164150,7000000000,123670,10676092,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307653
12754054,1625307930,0x3afa572e57473314348b6662da4a9542c697b687f9ee53a1eae346b314478acb,26,0xc8a2efd23fcc2cfd6b90d5790fcc992285b12679d6ba5af778829938f4afd6c6,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x77d72450b23a4f39381a4a1623cb4c10854eec60,6143985060574222602890850232829,PolkaDoge,PDOGE,18,109,164150,10000000000,113254,10789346,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307653
12754054,1625307930,0x0372b834fff1a0164c2b5a74ced66c1522359a866451ae2be8c24f0db00e374a,27,0xc8a2efd23fcc2cfd6b90d5790fcc992285b12679d6ba5af778829938f4afd6c6,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0x1e9df8b502d1567fd184b90c7e96755baf605f1a,24070954048880673770196041288,PolkaDoge,PDOGE,18,110,164137,10000000000,113242,10902588,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307653
12754063,1625308079,0x3ec01a950616754c6eb3d6d87f0eb7fd641822c4129654643b799481d97e1e34,28,0x6a3f422825486c9810d16c517ea7735441e16be2bea8c4fcf5eb70c508e79dcf,0xad5fa4ab553a840fbeb59a173d5adb36bf4f506b,0x699905cfddec8d474481bb47a11f8a7c0b091083,0xf5f76e1e8c9f1f2ca5205dbdb03ef4f39bb56876,180406940089536699843738012888,PolkaDoge,PDOGE,18,281,164150,11000000000,123670,13322245,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12307644
