blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12347551,1619862760,0xbd27b2926a0851487db4a133235658f859058c090ce5a2829980bd4c6231d94e,0,0x82e85f578da9b4039221f4b81f113652c3962826bd297bc2a57e774ff8a3e14f,0x0000000000000000000000000000000000000000,0x745c386ddc3a316a777cb83b952d1c944f898a47,0x518e506ee746ccf28f097fe28ffe42d13e6eaae1,218866667000000000000000000,makiswap.com,MAKI,18,71,1422779,31526110987,1422779,11523144,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12714110
12347649,1619863958,0x51218670dde41f887fae1ff0a76d083fb56811ada85786af43dd1bdd193d694d,2,0xc95dea9ffcdd39a1e2ef9247cc705a3798085ceded078410db2e6ab9b6802012,0x518e506ee746ccf28f097fe28ffe42d13e6eaae1,0x745c386ddc3a316a777cb83b952d1c944f898a47,0xdf213a810a6e21dddd51f83a721b113002698771,14708333000000000000000000,makiswap.com,MAKI,18,35,3034005,28000000000,2716506,4933264,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12714012
12347662,1619864166,0xb17daf2c38a84b60ce590961e0b20e68850166d82583fe1f94ff9413180ddfdd,24,0x268924435eda44504a8835284a4f1eb5fee14b63405b960368d35bc74eebcf9d,0xdf213a810a6e21dddd51f83a721b113002698771,0x745c386ddc3a316a777cb83b952d1c944f898a47,0x821652239076e81b0e23d3301b8dae020b99015f,586544928628246305537,makiswap.com,MAKI,18,109,202315,36000000000,157822,6298500,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12713999
12347665,1619864221,0x8474dd3a5c1183f27d70b3df432ac625c8303245c0eb2fc75948db0ce72ffc55,3,0x1b0cd87be6b942d673dec3f5de3445690a91cb04578a8699ad25010adad6b51e,0xdf213a810a6e21dddd51f83a721b113002698771,0x745c386ddc3a316a777cb83b952d1c944f898a47,0x15640c0dec793579dfcbafcfd93b17c18aa417bf,58419180404156687416818,makiswap.com,MAKI,18,184,202328,29000000000,123634,14160401,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12713996
12347671,1619864273,0xc2311e21a54aaf6a22427097b8fbb3fb55f70001892ef478e731d73d1e9faaeb,262,0x7ecad9a2367189f99b1e576bfa3a5a0e82cb6d1fa048bafa897e2842552c7108,0xdf213a810a6e21dddd51f83a721b113002698771,0x745c386ddc3a316a777cb83b952d1c944f898a47,0xd0488d9bb737aeb5d5122edf57f63c78a6cff0f3,2908744527020790743935,makiswap.com,MAKI,18,98,164098,34000000000,123622,4598576,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12713990
12347672,1619864283,0xbb2b7e2486bf7666b45a573248247c4483eaa3a04519090146ed138967dc3255,4,0x9ebece2daaf4239d27aa55d111c1b3818d8efc7d0fde942bbf85864c3e917837,0xdf213a810a6e21dddd51f83a721b113002698771,0x745c386ddc3a316a777cb83b952d1c944f898a47,0xb1c13a556bdaa07e176ce4340c4506db1b8fb26b,29024022791020326668959,makiswap.com,MAKI,18,175,164111,29000000000,123634,8929974,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12713989
12347677,1619864344,0x054f207b65edd74718bc19e1f0ca028318301ab106a0118fd3a5a8e7782e5f1c,5,0x7724a2c9a3fd104759c88c645e77fb0801d28ede7bd057c2c26cf6871dd559ff,0xdf213a810a6e21dddd51f83a721b113002698771,0x745c386ddc3a316a777cb83b952d1c944f898a47,0x8ee4f5e3e274f45a010c174134daad8b7030d457,114954150388691374831540,makiswap.com,MAKI,18,73,164111,29000000000,123634,4149665,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12713984
12347683,1619864459,0x2125fe9a74c664d09cb53f3037bacce01da3ac0859e4bc901f8141ab84834aaf,38,0x2a2a525a10de79f83bc97420141a38925f716c6bed8124f551999d39e24f29df,0xdf213a810a6e21dddd51f83a721b113002698771,0x745c386ddc3a316a777cb83b952d1c944f898a47,0x8e91706103cce38f3595d8c28562fdb615d2ca64,102840110861281878585496,makiswap.com,MAKI,18,41,210931,67500000000,168367,2103502,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12713978
12347692,1619864587,0x57e95a476db9626accf0a0aceca0242b28025543d7e6eafb205ad2c977b79caf,7,0x5bf7e7ea005f781cbebcf2ad86086aba0a364f76d3b03540e668094c2d386a59,0xdf213a810a6e21dddd51f83a721b113002698771,0x745c386ddc3a316a777cb83b952d1c944f898a47,0xc4d009e8368c6682aa6716ae8aedd557ea56cf91,30000000000000000000000,makiswap.com,MAKI,18,182,171156,30000000000,131013,11550005,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12713969
12347693,1619864603,0xb82ef5ffd74b34e00ab7a861714790c7c85819498206d5709bbac8f56b9d9097,54,0x61939a291dc21145a2a68be9a60cf0b23ed1bf0fe9f0d9fb4fc6b44646415742,0xdf213a810a6e21dddd51f83a721b113002698771,0x745c386ddc3a316a777cb83b952d1c944f898a47,0x8c14de7ba472a1d723464f1a7e01d538ea7ca05a,1000000000000000000000,makiswap.com,MAKI,18,99,171143,35000000000,131001,4578454,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12713968
