blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12727483,1624949493,0xe639805791517613e1cfcd52d08b230faa99ca542ace389d5c1cdfc76bf13308,0,0x89c46311ff8be2dbd34b771b07bd15ecd7d88357dba08c4a01cb7dbad1249471,0x0000000000000000000000000000000000000000,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0x663f7c296a9b913fa64e66b8d888d45d1a8906c2,200000000000000000000000000,EmiSwap,ESW,18,63,1422683,5010000000,1422683,7367219,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12334180
12727558,1624950378,0x1b28009ca39ad6ed91d7b227dbebd3e7b09f2df2cf20e8e3504ba212bef0ecbb,2,0x10af8107a29d9a98396dc5c3d953bf6f8a5143c32dfea00b298bc65e97c1ea0e,0x663f7c296a9b913fa64e66b8d888d45d1a8906c2,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0x4ace5e346adab2c56d96e03cc6a57dbc8b398a46,1600000000000000000000000,EmiSwap,ESW,18,86,3033736,13000000000,2716264,7848701,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12334105
12727567,1624950549,0x2d41324061658340328cafd970808cc5a47299f4d1f28e5e61d1b53c1a956ce3,3,0x9beaf313495e5e37dd8607aab5a2fec9fe2ea0024ace475a83805cd9fba85014,0x4ace5e346adab2c56d96e03cc6a57dbc8b398a46,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0xd39d088cabe93c77205d3c6c8efb8c58a62c0f4a,7936436862241725000870,EmiSwap,ESW,18,134,202328,12000000000,157834,10093642,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12334096
12727573,1624950615,0x7fa733657aab5323d5cab0daf8d6973ca0daadaad65bcebc655188c0cf008eb4,64,0xc6726921eb8a898afe040757428aa2b06f9d4a62f569107fb62223c57ae295e6,0x4ace5e346adab2c56d96e03cc6a57dbc8b398a46,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0xf4c2f603ebd4b8c7bdd739cacddc5bfc91fc9621,15793747523204620548,EmiSwap,ESW,18,67,179001,12100000000,123610,5750852,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12334090
12727577,1624950690,0xa220b8f3499e159dbdd43093274dba051bace6fb53c4fd9a39b94a8e5a69e19b,65,0x655104fa44a3eea1e613c6cd661a96206332e7a042566ed1be159081c89f70f4,0x4ace5e346adab2c56d96e03cc6a57dbc8b398a46,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0xf4c2f603ebd4b8c7bdd739cacddc5bfc91fc9621,23690033041250170228,EmiSwap,ESW,18,82,145472,12100000000,106522,6096487,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12334086
12727577,1624950690,0xfad50967038ea90fec227d6e0581e98d37b15a7f1531a2bda1c4046163bd8148,311,0x655104fa44a3eea1e613c6cd661a96206332e7a042566ed1be159081c89f70f4,0x4ace5e346adab2c56d96e03cc6a57dbc8b398a46,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0x8564d64422b0cf60b8f3010809c4d40bb80399ea,73434618905389836846,EmiSwap,ESW,18,156,179016,12000000000,113206,11765622,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12334086
12727581,1624950763,0x10b479bc99666e84c5d4f672a87b73898f2f1a16252d000ef39f64b75b7cb98e,4,0xaae7164787f12bc8eebfb97f6d1c45f74b7af01ffaa4bb5c6d1271089795430b,0x4ace5e346adab2c56d96e03cc6a57dbc8b398a46,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0x5a58f53bc8454374059145ba4f3edef63110ac64,10000000000000000000000,EmiSwap,ESW,18,146,171156,14000001459,131013,9518199,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12334082
12727584,1624950790,0x1208d5b565179b0c87991f8382dc23a8ab956ca3614cbb1eb570b0415d184083,5,0x62beceb1904df04f135be74969743be65e49c814f71c3fcbbf1c1d200de315c4,0x4ace5e346adab2c56d96e03cc6a57dbc8b398a46,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0x5a84452940963be8102126c16eb16469c39f856c,4664285484113182925346,EmiSwap,ESW,18,221,164098,13000001459,123622,13589432,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12334079
12727589,1624950846,0xcc090538fa7e35f70f71d56c3f0587f14ac351e04169de6c0d0e6bdf346f13a7,6,0x01ad5ee28a0b57178e36332b81991906c3caa522fb3eeea9446d9e482726f115,0x4ace5e346adab2c56d96e03cc6a57dbc8b398a46,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0x02346a1466fd9497c83bf5113b0541d24b2c3bbd,1935327382419112875658,EmiSwap,ESW,18,260,164098,13000001459,123622,14687420,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12334074
12727593,1624950915,0x05a6de61ecab8333827332f590a53393a36bfcec519027d6466200999dfbfd95,7,0xf74b97f6189841406688c4406d529c994d3c60aef32a1b1c9db95c1c14a5da40,0x4ace5e346adab2c56d96e03cc6a57dbc8b398a46,0x7880f5b7a75a7175da2ee34d16c9c288d2e20f1d,0x5128bd76343f3a2ba579376a0c60346412b62a3a,15313250739643299941552,EmiSwap,ESW,18,98,164111,13000001459,123634,6664338,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12334070
