blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
14950037,1655035747,0x949c4a58c2363f027c9918b2ab9f98d0ccb4008b16693d74148c513c4cc78796,0,0x7e93a04c76d6961e6ba58a278b34b2fced4b3dc66781c591e4d678c97d0cfabc,0x0000000000000000000000000000000000000000,0x7b508333ac4847e49271edd24ef4516a422a436d,0xadda9d710328496737c3a53dd0416d696ee7e8cf,2000000000000000000000,Naro Inu,NARO,9,191,3564582,19016959102,3564582,22659208,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",10111632
14950041,1655035846,0x1b4d9b8c16cbd4f9b041ffcbb79a89329be28b047f44eda40f9a7cf7aad540db,1,0x58ff91fd211d6010b99dcf77638487ac5a2c8aab1e04c08eb445b955b9dfdcee,0xadda9d710328496737c3a53dd0416d696ee7e8cf,0x7b508333ac4847e49271edd24ef4516a422a436d,0x7b508333ac4847e49271edd24ef4516a422a436d,2000000000000000000000,Naro Inu,NARO,9,199,124422,23481079946,70599,19127753,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",10111628
14950050,1655035963,0x07812ac90b084968aff92523eee08efee93980e0aa5215ed3b88b71907f09a21,3,0x6ef6a725f287d88cacff639e3c5018b89fa4afeda83a0e78a1fddfedcbf2d45b,0x7b508333ac4847e49271edd24ef4516a422a436d,0x7b508333ac4847e49271edd24ef4516a422a436d,0x22f2f3fa2eff98334eeddf185f9fece513c4e5a9,2000000000000000000000,Naro Inu,NARO,9,29,2894825,20368386879,2824680,6815318,deprecated,0xe8078d94,addLiquidity(),10111619
14950051,1655035965,0x0215ea04afd47af51d77ab6dd8a26daa7a4410a990096f56e424b13c6188202d,1340,0xa92e019a4e6174425d7914a416fbd232c5693d030593ecde049489159d5a4571,0x22f2f3fa2eff98334eeddf185f9fece513c4e5a9,0x7b508333ac4847e49271edd24ef4516a422a436d,0xa10e3af40d3a4ebcb7406cbf3eb16c1a0acb1888,18399999999080000000,Naro Inu,NARO,9,121,1800000,20230373327,304822,9300804,deprecated,0x7419c508,"swapETHForExactTokens(uint256 amountOut, address to)",10111618
14950053,1655036006,0xfe6d3f04adb31efb1c26729d6caf3580554d4b9fed495e086fbb9128c1e65d12,1263,0x9fc0fbd9c30c80ae86fc58a9673ad4aa7db82ac0c404052fe16cffc55124290a,0x22f2f3fa2eff98334eeddf185f9fece513c4e5a9,0x7b508333ac4847e49271edd24ef4516a422a436d,0xdbf9f9a56a46dfdb97706487fa7bfd120d942d29,18042114559117549954,Naro Inu,NARO,9,102,278258,21300579601,206177,10634505,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",10111616
14950055,1655036025,0x2fc2ebfc007612f5d55a6f6d16dad614cbbdc6346cc6119a96a0b9d83726f079,15,0x421cb44c8195a6dde55a8869b7b15de235fca8f76226265b5709b1f949321ecf,0x22f2f3fa2eff98334eeddf185f9fece513c4e5a9,0x7b508333ac4847e49271edd24ef4516a422a436d,0xf4eb7ff9c9cd3bb2293929e6d9afda1842878489,36800000000000000000,Naro Inu,NARO,9,149,250858,19030768945,203469,11831416,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10111614
14950057,1655036054,0x6c663926d46d9621149894a94aa9189f6e30034a7c3588f91761f282d9550f88,13,0xb746fa386fb44996446583e26ae40f1768a1ee3369810832dc8550ea778039a9,0x22f2f3fa2eff98334eeddf185f9fece513c4e5a9,0x7b508333ac4847e49271edd24ef4516a422a436d,0xa5297a7de2693783f79acb407162c5bd880d54f6,36800000000000000000,Naro Inu,NARO,9,17,239400,18717198011,203469,1443919,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10111612
14950058,1655036061,0xfe74dc9742ae58220095815ba8e29f79cf129b327447121649e297a3a169f9b8,196,0xb875504f89909547805008ec52ef2b7b5b212752ecdbb28606af525d8f047de7,0x22f2f3fa2eff98334eeddf185f9fece513c4e5a9,0x7b508333ac4847e49271edd24ef4516a422a436d,0xb3707bdbc26ddac060dd015c8de9b632a3bed70d,36800000000000000000,Naro Inu,NARO,9,63,1000000,18419735263,203469,7944864,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10111611
14950058,1655036061,0xd994e850605aed341c9fb9576eb345a543d5c228e600f28d7f756ae96b3bcdad,1761,0xb875504f89909547805008ec52ef2b7b5b212752ecdbb28606af525d8f047de7,0x22f2f3fa2eff98334eeddf185f9fece513c4e5a9,0x7b508333ac4847e49271edd24ef4516a422a436d,0x9aec0738bc9a2bbc54f190ff58db9a1f58bdfdd0,36800000000000000000,Naro Inu,NARO,9,123,1000000,17419735263,193053,13879817,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10111611
14950058,1655036061,0x6f0477e905f82c9a36ac0d266d8d8d05e94306a066e026c8547d8e7ffa0c5d98,11,0xb875504f89909547805008ec52ef2b7b5b212752ecdbb28606af525d8f047de7,0x22f2f3fa2eff98334eeddf185f9fece513c4e5a9,0x7b508333ac4847e49271edd24ef4516a422a436d,0xb40414472b5d823cb828a5be11da0e275b952e3a,36800000000000000000,Naro Inu,NARO,9,239,250858,16919735263,193053,24679458,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",10111611
