blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13540222,1635892612,0xc3f2185ae0a2415009a3a2d74048a6f6c18fe744c822c53cc5b408737c93e45c,0,0xdbb63a0356fb55e2572c04bc633455c53e3d7b82eea7e2d5dbcbe5a8955a5425,0x0000000000000000000000000000000000000000,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0x2dd2c85cfc57fed53695a5ab8ec06b863a39efad,32000000000000000000000000,Misaki Inu,MISAKI,9,319,1438155,187284298793,1438155,23140246,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",11521430
13540250,1635892961,0xdda3dd70c7e0208ccd4fabd46a9f08618803beb831d9995578df371e6152c321,2,0x69bd1509e1b05eed3518ffdeaeb803c2919ccd292f7f4d5c2282a13e5601382b,0x2dd2c85cfc57fed53695a5ab8ec06b863a39efad,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0x1f68fca11c04dfe1454386d3198bbd842c88d78b,32000000000000000000000000,Misaki Inu,MISAKI,9,285,3333110,160965541492,2731115,26337450,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11521402
13540256,1635893026,0xf2c35ea7047fb8cd7cfe74bbd2de8d340c0719d237f9a9aa3566da69cdf4122c,968,0xcc18d64f5c0b8a453d43803cea31d93595f7bbaa23390529ed90d1c5555286b6,0x1f68fca11c04dfe1454386d3198bbd842c88d78b,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0x777d226e39ea777740cd6755eb98bb231ef1e0c4,2363784544713640068163295,Misaki Inu,MISAKI,9,172,220683,250000000000,157803,8150738,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11521396
13540257,1635893135,0x84ea9877e33e05a4f9434eaea9026b3fc7fc23de3f133c2ca315c8bb1def1aea,964,0x4ae4aa0b5f5769e881b51f6ac920ec798c0050c055398717921db441acff29a0,0x1f68fca11c04dfe1454386d3198bbd842c88d78b,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0xffce05977d9bbb31a2afeb10980f7e35247d1121,1055374033250723322214565,Misaki Inu,MISAKI,9,370,220654,169184694825,123579,27972462,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11521395
13540258,1635893139,0x7c6a8f70a0eed31c8c05ced03e8512472d4c9d4b9d3bc585fe366609e8e611ee,514,0x0ccc63adf8f7208d3f55ffca1ac300216270df0f89a19dea20239f3023e76907,0x1f68fca11c04dfe1454386d3198bbd842c88d78b,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0x308092d19c2680b590e3fac72184dbb0da4de28c,982691274882557840459125,Misaki Inu,MISAKI,9,227,220669,190077631885,123591,14281932,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11521394
13540263,1635893186,0x64fe80d203032cdd2bf4fb4c259b1f06c313591ebd468acfe6078d025e776b2a,44,0xbf37517ca573e9d676ee40a0e8272627f967d943511d9ec9812699a298f6498a,0x1f68fca11c04dfe1454386d3198bbd842c88d78b,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0x404f5a67f72787a6dbdbf73e5cfebd17216e9d32,466385675487086115105099,Misaki Inu,MISAKI,9,201,202978,184955466947,125153,10212498,deprecated,0xd9627aa4,"sellToUniswap(address[] tokens, uint256 sellAmount, uint256 minBuyAmount, bool isSushi)",11521389
13540267,1635893214,0x8b05c1dae7b65931055448d1cfdafa65d0e4e4d07a33f53c9b86800cada0926e,1,0x71ecdc95b817f1d67de71aeb43ca9904ba6b28572e4811cbe41086c2ff648bb7,0x1f68fca11c04dfe1454386d3198bbd842c88d78b,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0x9d7eedccccfda22e0c2683df8334b1ee5ccd6ba9,1717810959436781271105337,Misaki Inu,MISAKI,9,26,178992,172529573418,123603,1474186,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11521385
13540273,1635893288,0x1e5472a4344985e0d94c69f8d0cc7f77398a1e27c5c61fcf42ad4b011c4b4952,0,0x76df5eaaeaecb72249934f2c922c9ce70afbd149df7edea5414050d4a10ce86f,0x1f68fca11c04dfe1454386d3198bbd842c88d78b,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0x6c2c0289f2bb6fae8f550322e73bbb90e05cfaf8,278445571301169530301039,Misaki Inu,MISAKI,9,425,166280,175206681131,123591,25629651,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11521379
13540286,1635893446,0xe07284085b732b5e0c194c288986a1f9bc8d14f3639a7daedbf4f0767935aa77,0,0xbde7768add1ae78875f2094d87f19a1f0d5306be1cbab0d5bc529ea512c7a442,0x1f68fca11c04dfe1454386d3198bbd842c88d78b,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0xfbb5e1f40e028fd05777657cc836f02b22e2eae8,2481935368634768518083944,Misaki Inu,MISAKI,9,421,178992,161591921558,123603,26466192,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11521366
13540288,1635893495,0x9ccf2433766746df4fe03254dc773157d737f8692af9839b5d02b9faacae215d,1350,0x94e4079f560b33ec13fd5ec10ee095bdfade43b0341a50f2b7dafed722974a25,0x1f68fca11c04dfe1454386d3198bbd842c88d78b,0x7e519f052a395cd39fe6219f7ddb3a27a3e147ed,0xa8c4afeda3a0bda301b4cb0af991c2b51c6c36c1,2296569409179561087453748,Misaki Inu,MISAKI,9,18,178992,218900000000,123603,1180051,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11521364
