blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
15234746,1659062083,0x4897c9edbb880f7d1f77f6a94d6e8ba59b4ff6cf88553699d041d895e2e45845,64,0x0136ea7a4b1cda0597a8a461141c4785fd2339a9a8fdc8ed841b538957a1a7e8,0x0000000000000000000000000000000000000000,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0xd48d72e6a4d96a3327cb72fb76daff13449b89c7,100000000000000000,HEPHAISTOS,HEPHAISTOS,9,23,4517034,9265363089,4517034,6536804,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",9826957
15234768,1659062489,0xe805c187fe79bc99820a88226a5383931b1498ca18021e092e260ea3a27335c2,67,0xb1f6b79762ead0fd187798f42e6fb603a4a5ed3c10adc7c68e6f166eca86a6e7,0xd48d72e6a4d96a3327cb72fb76daff13449b89c7,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0x25ec450fd02ca8f7c190df2324b6aa82d5c43754,100000000000000000,HEPHAISTOS,HEPHAISTOS,9,218,3325881,15090037656,2740203,18692652,deprecated,0xe8e33700,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",9826935
15234777,1659062565,0xda45c56eec92099d7d44b83c2e5544d45139fd1b55c0f20af1bf086da174563a,341,0x675ed69cd824b034b90dc3a5b1d91ceb8da7b265c1c066cd5458fb3a5a748d9e,0x25ec450fd02ca8f7c190df2324b6aa82d5c43754,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0xb9826e3af06c77fc035d6a6593334bebf5d3bf2f,2797657865397522,HEPHAISTOS,HEPHAISTOS,9,237,300717,11421261776,262860,22098758,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",9826926
15234777,1659062565,0x16173fe7e19d4b08cf822f40da0767cfc25a49a7834473026bdd5c1e6ebec381,1048,0x675ed69cd824b034b90dc3a5b1d91ceb8da7b265c1c066cd5458fb3a5a748d9e,0x25ec450fd02ca8f7c190df2324b6aa82d5c43754,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0x4513325e5581afab07a0c53a6c3877eeeefaa223,299999032420504,HEPHAISTOS,HEPHAISTOS,9,266,278949,11421261776,178383,24459074,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",9826926
15234779,1659062596,0xadf64671f640746c49d62069a44d9d98a688cdee0f2806602756e41f75951985,3726,0xacf17e2caefd39d9dd3b510db26599241ccc6161476940919a196186d8c05353,0x25ec450fd02ca8f7c190df2324b6aa82d5c43754,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0x3f3c754b18173a76f68ca4decfa7b5ee127068b0,2778302887449414,HEPHAISTOS,HEPHAISTOS,9,98,225417,11704207751,181534,10371438,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",9826924
15234784,1659062639,0xde2f13e737d749ab656e7fcf0634d00d84260e984a0bb30351f1090ccae2f8a8,522,0x52b9fa38fd1ae3df678fdb2934307a14d669968b6f2ffbba32164e35c73e4056,0x25ec450fd02ca8f7c190df2324b6aa82d5c43754,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0xd315c47de7f33be2f5ee1c1fbee1b353ec4d732c,2996527061523711,HEPHAISTOS,HEPHAISTOS,9,11,404975,20326477159,242670,1173600,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",9826919
15234786,1659062655,0x82a5007682cc2a9398cc78db5815ca8a0fe82cf6660b360ab0abfdb351311994,5695,0x55c4ff69fa1e6264bcea06ed45a2275f284de58465f0247164c3b68a9cd6a5e0,0x25ec450fd02ca8f7c190df2324b6aa82d5c43754,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0x136db729ebdf358b7a9e29caba768504cd5c6dc8,2242593713192338,HEPHAISTOS,HEPHAISTOS,9,33,278902,9747795135,207462,3666716,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",9826917
15234787,1659062658,0xef6daf58a9e96d434f25760cba2df38c2d410e2cc54bf87453889612df897eff,189,0xcf8b387be39c82b272e61385cbd0d688ef31ef3bd1af44414841a05f37e74756,0x25ec450fd02ca8f7c190df2324b6aa82d5c43754,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0x957e0a60c879616214ac6a002dad0d05b4a76a2b,2998998014309150,HEPHAISTOS,HEPHAISTOS,9,18,404957,19247795135,242658,1776846,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",9826916
15234787,1659062658,0xde1efe2e8abeb986da6fdad49b958f489e07433a8a5c097bac39b88b0be72902,50,0xcf8b387be39c82b272e61385cbd0d688ef31ef3bd1af44414841a05f37e74756,0x25ec450fd02ca8f7c190df2324b6aa82d5c43754,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0x8e12c38d291cdd2d751d6a58954c4ead18ffaf26,2998998014309150,HEPHAISTOS,HEPHAISTOS,9,19,373727,19247795135,221838,1998684,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",9826916
15234788,1659062683,0x6425809276cb94b7ac888f5ca51cf19ac632602392256f56bf4c24a6d29ce8de,266,0xb035d4a0e6635114296ceee0b7b9e5448c45788db7e40674846b61362085874b,0x25ec450fd02ca8f7c190df2324b6aa82d5c43754,0x8b26e3358dc17ab99b2d9b4ec2cab7df22c87d5e,0xb19846d939ab5bfbecdb2d65173f0a9191cf70fa,2211297749109420,HEPHAISTOS,HEPHAISTOS,9,10,1000000,20536097304,228600,1381828,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",9826915
