blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12504466,1621958477,0x734da655c3929a7074de762df9c6c217ca6b04489aeae02db3c9814e7c47655a,0,0xb348e8e648916a4aa8ca124e097cdc9ea10c24aa92455e29b30b7aa67cb0f914,0x0000000000000000000000000000000000000000,0x922d24925acb720c381df7d90873543ea3cbdb4a,0xf5e670d0611f96b5f641a41ed276f2ce9484df72,100000000000000000000000000,Gitcoin,GTC,18,107,1422695,47000000000,1422695,10742557,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12557207
12504486,1621958707,0x177aa85df5fe1617e6986012eed7e13456f93c36b04b94eaf21d29bdfa8fef44,2,0xc6a6a9c0d23f869ee3c0c2c295c8b0a35f0f8cdcab183a688b13b21f0fa98481,0xf5e670d0611f96b5f641a41ed276f2ce9484df72,0x922d24925acb720c381df7d90873543ea3cbdb4a,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,800000000000000000000000,Gitcoin,GTC,18,71,3033709,52000000000,2716240,7366399,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12557187
12504498,1621958850,0x8fd16b26496daadcf0df180b961d730ebb950a972942434f3d660fc863774898,3,0x61782f59117518026e4b1b92811dd93fe325de5f7389fbd5ed9273d4dd8fda5b,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0xb4cf38ab9fbdbed00b79c851c9e4639b9cce757f,2649860297610939643916,Gitcoin,GTC,18,73,202315,55000000000,157822,9802296,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557175
12504498,1621958850,0xa3a1b07ecfb1b9019e9e17b0e4290bf5b335d6af66bd43140347f892859dc061,4,0x61782f59117518026e4b1b92811dd93fe325de5f7389fbd5ed9273d4dd8fda5b,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0xb4cf38ab9fbdbed00b79c851c9e4639b9cce757f,1318345015453280684937,Gitcoin,GTC,18,74,202315,55000000000,96106,9898402,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557175
12504498,1621958850,0xfbffb011625204fb012f059ae1c9c627d4f7eed4c4bc67183a1ff0bfddf7790b,5,0x61782f59117518026e4b1b92811dd93fe325de5f7389fbd5ed9273d4dd8fda5b,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0xafbd82b33e0fb070da19684be3f3db03d62edb21,5230045399928004984165,Gitcoin,GTC,18,75,202328,55000001459,113218,10011620,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557175
12504502,1621958882,0xe3e906c138a117784d7f6b65031313ba446743c5f260ff974878987e49f32659,6,0xfa096b1d73d08cd49c22a0e2b9db6be618e33d7522a14615b0b99a014e660742,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0xda76ffdb5dfcd35840ce6d951c55e4b9fc3cd7f3,12779054800705816350275,Gitcoin,GTC,18,193,164111,53000000000,123634,12611444,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557171
12504505,1621958924,0x8fff0505ba50900fdfb7b302f55e94f912095d3c2b446425cfa98fa1c1013a9c,314,0x8107e2371b40ca2588d859ea814487cb887e76b405f6801be0734a2ca9171b5f,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0xda7742f2c0405018603e7f5a135ca577bc89d854,251357543900024223115,Gitcoin,GTC,18,74,179016,60000000000,123622,8722814,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557168
12504508,1621958975,0x60ff25c460c60099c73cc2b1c1c32cc0a0c9741c167eeeb40411e71953a12b82,53,0x9437b671fd77407a7c740cb302dcbde77fe070203b3b6927a7e45927a756bbd8,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0xa946311fd7dc161f7041440ea73edbb404632f12,502227674620854009632,Gitcoin,GTC,18,167,179016,50000000000,123622,13800457,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557165
12504515,1621959062,0x6a57bbdac206c61586eb75e37d90f73f103f05d8f5f42555e0664eb37c1f35ce,7,0xe05467c27c30fa42c49b4f910ef5a2db3285ad435a6441aa0693027ecb3835ad,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0x30b8a82c7014454be3bf67bb172f6312e2639b63,20000000000000000000000,Gitcoin,GTC,18,64,171156,55600001605,131013,3967720,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12557158
12504515,1621959062,0x33a19a63ba7f9bcb96fc3a395f9fd2da5776edb4e9b076ddf368e073541a28c9,8,0xe05467c27c30fa42c49b4f910ef5a2db3285ad435a6441aa0693027ecb3835ad,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0x652ad82d4ccba3b162094b7bee69436d36754317,2660665930349586458765,Gitcoin,GTC,18,80,164098,52000000000,113206,5050745,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557158
12504515,1621959062,0xbe0be2ed8659934bc013b49abd24bb08d5db046574dbadff4ad18ff3e2e45598,9,0xe05467c27c30fa42c49b4f910ef5a2db3285ad435a6441aa0693027ecb3835ad,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0x415a561eb4d6fe1d28e5b3fee3091db1fd0cfea8,708866833869088834807,Gitcoin,GTC,18,81,152457,52000000000,113206,5163951,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557158
12504515,1621959062,0x68a66a36777f3077800e21d9bbd3ade972b9469acdbeaaa2da1106d033b10edd,10,0xe05467c27c30fa42c49b4f910ef5a2db3285ad435a6441aa0693027ecb3835ad,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0x7619111eaad0ac0287f8b5775491f0610c2a89e0,7016081604215232062976,Gitcoin,GTC,18,82,164111,53000000000,113218,5277169,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557158
12504519,1621959111,0x7daecbffd28c2572fbc5c92ef484467acc47c4bcb5b6badb433d2f496fedf22f,68,0xdf3cbcd5d35b88e096d3d2aed5e72cb826e73259a3cad5c10bfbafc565485f05,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0xc057b936fcde096d980b7a092f021e9465fb1913,891505943403965011960,Gitcoin,GTC,18,241,232924,55000000000,185715,10094959,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557154
12504521,1621959148,0x2300c9da3f59855ab6c91c60a983c7e39e749ce9cffbc107ed45cb20ab61477b,11,0x22c44852c909a8abe82e89393b73809e8ea95df9f09fbc6e602fd6b1efbfeacd,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0x4e4e7870cc48f815b310c268ce096d901baab6ed,2304189083611091805181,Gitcoin,GTC,18,59,152457,53000000000,123622,4786729,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557152
12504521,1621959148,0xf1a87fa654e2421f603001b087963abee2fc44c2852a82fc0efffe72b5151772,1057,0x22c44852c909a8abe82e89393b73809e8ea95df9f09fbc6e602fd6b1efbfeacd,0xc5cb0c397380b3e5fbcf246afc87ef7def2aa4d2,0x922d24925acb720c381df7d90873543ea3cbdb4a,0x8fa565f1da748e80ecc67a84dc8645170eb82b6c,697486569486903030406,Gitcoin,GTC,18,94,234993,50000001561,151607,9056333,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12557152
