blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12740025,1625118886,0x52a2c9afc0d16307bd9c95d83348854b5b7383a2235205d5d9472c040cf0816f,0,0x072cdbdeeaf9fa2dc7cafe12b615462e11bb174a37c28e346caaa8062d851121,0x0000000000000000000000000000000000000000,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xe8407b1472894eedb94bc73d32279b99b2760710,1000000000000000000000000000000000,ShibaSwap,ShibaSwap,18,154,1432249,11000001459,1432249,11648076,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12321681
12740037,1625119102,0xe5aae7dd379f013e803bd21fe7394641c3afe9b7228e1c194d8d20c705b88bd2,2,0x5ce008833d75d37dfc0205638bc4390bf9683d5e1c438e0e96b4a92ff418f745,0xe8407b1472894eedb94bc73d32279b99b2760710,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,500000000000000000000000000000000,ShibaSwap,ShibaSwap,18,50,3035635,12000000000,2717965,5948798,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12321669
12740048,1625119224,0x5d2b5ffe40bca8e7227ca27f58b164a76b7c9dae0fee5fd10143eb331e45a153,3,0x6d568552302a9a9a404db6173f56ab073544422dac0e38997b9d31cd9d89a134,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xe5c53c862c24f9adab163e2cbc00dd501b5258c3,1263983592845864854106239353744,ShibaSwap,ShibaSwap,18,182,202368,13000000000,157870,11270180,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321658
12740064,1625119438,0x03f9360b7a2bdf363bb34b87abed6d1af3bb157f2aa48f9d088be2e723038a58,4,0xd9b19666b45c8498259de2c2428d2b6c7629d588e652f2b82e0a1c9581e48c49,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0x910760ef0fa3c77507ba94f3f0fc221a1de6078b,447205827150754323175036149005,ShibaSwap,ShibaSwap,18,54,164164,13000000000,123682,5567219,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321642
12740064,1625119438,0x55d184581d97e8f4b8d4c26f0f34eb13943374cf24e3d1b17c1ac5d8ebfad661,5,0xd9b19666b45c8498259de2c2428d2b6c7629d588e652f2b82e0a1c9581e48c49,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0x0aafdfe699014b73db2aee082872498003b7b965,3313527280414409142933572589530,ShibaSwap,ShibaSwap,18,55,164164,14000000000,113266,5680485,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321642
12740065,1625119439,0x230c320c116f44554cefaeae803ce3d1c0e83aeaded895b04aed82cf6b0837d6,6,0xc41d9c9563943ff60fea76d0050626a74efd97a7926ad5a3d55fcb8bfc4cd10a,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xe3dbb5735779c92087f628e9de73d5f1ecdc4578,1458825174050297774175864097751,ShibaSwap,ShibaSwap,18,147,152524,17000000000,123682,11056800,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321641
12740066,1625119472,0x7636e9143a053e45e90ce0219b9376147b4dfb5b3e8871c6a65e9830d7021209,7,0x14397ac3a575fc185badf17cab4ff678053614d819de71d85051bbfc8189869b,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xfac70b3b2b870127ced8adfd4dcd73f0514ebf6b,656483286606807360910717662107,ShibaSwap,ShibaSwap,18,197,152524,16000000000,123682,14749223,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321640
12740066,1625119472,0x4a12ece1bf70c722a1c8ea592b5d9ff6278c88676910bc8e6736cad6d2dd2dd9,8,0x14397ac3a575fc185badf17cab4ff678053614d819de71d85051bbfc8189869b,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xc00001b4dbfc12bc3106be5ae1e52eae58a66d5b,1673998241428951335011454333004,ShibaSwap,ShibaSwap,18,198,152511,17000000000,113254,14862477,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321640
12740067,1625119519,0xf0410e08a657813bf2cc1a67cf00d3fcf3fcc27d0ab644e893fb79954e55f56e,9,0x042094a2165d957ad6419c8c3b876bf85590fa680b59f18accf801fc00f272c1,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0x1440a0f034d80f7d464849e49fe8225010ad5ffc,960323102076216943776107765918,ShibaSwap,ShibaSwap,18,101,152524,17000000000,123682,6132265,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321639
12740069,1625119535,0x4ce68fdf0664b2d5fc5867a4d8ac204a6dde3c8239dd5984d232368644a1c536,10,0x41319db614fce6e125a9a226de565270f846f8404a8a13078a73a60ea27a2577,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xbb00a5a2ae7450818f51d3a81e2e74ac29f52dc1,1433313151973003627391833720908,ShibaSwap,ShibaSwap,18,169,164150,18000000000,123670,13369730,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321637
12740072,1625119579,0x2f80a2458f1c9c1810b2a3d8fc9a20ed7da5400d8a9dd101faa4e35c63a8f647,11,0x0caa0ffbf382b5360fb7e743b038057988e0f1475de08cc954afd1c66b256f57,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0x04b3c206f91f7eb2f9711021303f4f4c56be4811,1168572333608122711360500602279,ShibaSwap,ShibaSwap,18,68,164164,19000000000,123682,5086133,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321634
12740076,1625119760,0xb21bc8ea9b9ccac3e7e7ed592f5ba3f533a500336148d2b7056cc397fec8f7a1,12,0xf2cc4753c1cd411aa48dab325d8740b75bae0fbeb4f4590eaf2e27b499bd48eb,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xf352a5d64432d4a73449595b1ef430be05073097,877421952010306898646903108874,ShibaSwap,ShibaSwap,18,42,164164,20000000000,123682,5717507,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321630
12740077,1625119765,0xde2c5d9cc2abbfdab8ac4973cfdf898d0f0cb6df8e9963a333c3622325816d41,3,0xe0c7c28c16939c30d08f947e9827a6fbc5e94fd0aefc7dcd157463c7173bd4a4,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xe9ae8a971dbd777c6cc4330bbc732cf18c591ee6,37787814863953899074860472815,ShibaSwap,ShibaSwap,18,139,164150,16400000729,123670,11124730,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321629
12740083,1625119825,0x74c4036ddcc67e0977fa35639c08a04ded1e01b63be993817acc003ca3ad0f6d,36,0x763412a00d913f1a6498b0dbc6c88e1052f9f2c7227757056c02d11e928cc18a,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xefb7639db6db6beb42ab0b7c61bc5060e7c0dd52,75558013214308858744149218661,ShibaSwap,ShibaSwap,18,198,179059,16500000000,123658,13484955,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321623
12740085,1625119841,0x3a3e3d8ee630db6d93abc8e53d4d27a5ef37dc546f2bc546772449c73e84f9b4,13,0xac368152bc71fb7518b9aac72c4c6389d0856a4a776d2730e4cf1bb3e4f268b3,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0x7df1024d117e64fd0479d44c0c5e38371dde5cfc,2816587249416902947804877860227,ShibaSwap,ShibaSwap,18,82,164164,18000000000,123682,6838673,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321621
12740090,1625119914,0x4490c816141406bcc1f5d4250e1225cc3985b87e0291e6e6500a300099731464,37,0xc932afe8cf0c8fd1102bf4cc3d5f62312669f9569086f90028e41d5097b0295c,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xefb7639db6db6beb42ab0b7c61bc5060e7c0dd52,74661445476726742865684495173,ShibaSwap,ShibaSwap,18,118,158227,13200000000,106570,14409504,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321616
12740092,1625119962,0x95d407c6bd2bd0d16e4aad37c03b8196ca71956e5760c00e15cc7de153ebaf34,14,0xe883f7c89b6259743e0e6468f490c99a68bc910589aca532f89ef6aaba2ede38,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0x78a888bdf55b5ca17c06ce34e8516e5f84f5fc34,559226929837137832096635660774,ShibaSwap,ShibaSwap,18,203,152524,16000000000,123682,14591045,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321614
12740099,1625120074,0x29bbd0e57753a4faf0746cfbfe181c1becf86d542f575b279972c5e24e3cac1e,15,0x15ee812a0082d60f2b422eb32ded1f4a74353617686bc3cbb1e272e7bbb170fe,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xf7e93d87aa7e3ca8af1f41a831908b4a29e0856a,1021894764101814471457679354962,ShibaSwap,ShibaSwap,18,119,164164,15400000000,123682,10724984,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321607
12740102,1625120117,0x62ca2caf3b9d36bb561bf757c6646a4ea013e05f3977db6d91fd695e3d4ddd4d,16,0x7e9b2cfe80f49b208244540f81e5210880e590c3c2ac854dbdb7391274c3850d,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0x1560252cd307edfe74e87b1adc95dfa2d0e1bd4b,2214639876487520892000950649626,ShibaSwap,ShibaSwap,18,61,164164,15400000000,123682,1725436,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321604
12740102,1625120117,0xdd673a98a811bdcb39f4bba25305d720956440bb4c233044fca64efa77887149,17,0x7e9b2cfe80f49b208244540f81e5210880e590c3c2ac854dbdb7391274c3850d,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0xc5b0302e2e8cefc7552265fc705ca44e713fb8ba,1516438852253331110582309519925,ShibaSwap,ShibaSwap,18,70,164164,15000000000,113266,2903564,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321604
12740110,1625120161,0x4b4fb5b84237fd5b009f58115b3023b8283b36acc555c01d1412b6cb1981a62e,90,0x4d4c899997224a237c2660298735ddb4b48b8c03bccb566838da055b9d42ba07,0x5043d583bb715d16f4ca0f36af48ef1dbadf32e6,0x92a6e37c5307883ebf3dcf1f3253752fb905c9d4,0x1ed3b563a433d4be2a257fc74ff960894862cc26,182542272546320337385966195,ShibaSwap,ShibaSwap,18,163,151134,14000000000,120289,12297677,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12321596
