blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12346002,1619841397,0x2aecffed6dcbed36420db8f4615516befb3b3e16ca7a588b7442300c49e8d283,0,0x2da67d7e9315fe40613173cc2360f4ecf2a820b25596ba5d88e3dc25d875357b,0x0000000000000000000000000000000000000000,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0xdc793ea31cd065a490a7788642b0469db8e08f5f,100000000000000000000000000,Doge Nigga,DNG,18,147,1836362,29000000000,1836362,13279010,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12715680
12346046,1619841773,0x37b390fbcf556f33474e915d5605edcfa56a3d73c45a13ec5982dc99b77c38db,2,0xec43eafd6ff6ab9b1faaebb0d82d314c2bf8166154eeb8e7c1835bf6dd7285d0,0xdc793ea31cd065a490a7788642b0469db8e08f5f,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0xdbd5f24304b92d99607206d01cf6a8c61b585afa,100000000000000000000000000,Doge Nigga,DNG,18,18,3059618,28000000000,2724791,9516142,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12715636
12346063,1619842002,0x07f699401a65ed1426128e3e28aaedf656d3e0662fd6e6ece6d2c51e694e2b6a,26,0x53c2db40d47d46ceba79d2e2863f1f4d31f716588fd39e863314e958528cc488,0xdbd5f24304b92d99607206d01cf6a8c61b585afa,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0x7adaa45e7d86a77ff528d052594c575799376fa2,1000000000000000000,Doge Nigga,DNG,18,69,212111,28000000000,168245,5416080,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12715619
12346255,1619844623,0xb625c97cc3c35698e865a6a559c6e27290d229ef7306ba78945b48ec7c402323,1035,0xe02e42c4fda02cdcd7f48f099e79edc8aa3d5d773bb787ba75c19af35e9145dc,0xdbd5f24304b92d99607206d01cf6a8c61b585afa,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0x152072bf08f2f37ec5327e26e8d6051152b63af2,619266185141292520234300,Doge Nigga,DNG,18,35,167525,847000000000,126690,1493234,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12715427
12346308,1619845334,0xb4d58f017e8a1360f0e76e3b2a5339815a48017a15e80c06b87f5a4e72ca72c8,4,0xb9dd20760c3b49303a9386f936e9ebe3d00041c18968da5a903165471feaf9a9,0xdbd5f24304b92d99607206d01cf6a8c61b585afa,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0xb485f8c4c83108f555a1768aad6b379f6690c41a,1215782048920350756178947,Doge Nigga,DNG,18,120,167525,27000000000,126690,7012941,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12715374
12346358,1619846023,0x32394692e46b12c1fd8066935cd84a077f3f19a439185a5ee9d4b09727b103ac,2,0xdef40e90fc23f2b12a55cfbeea94e0882fe4ffaed70dc5282c54481e33975cac,0xdbd5f24304b92d99607206d01cf6a8c61b585afa,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0x1d7bd69606d225452aa9136ab4a30d9b7569a17f,1186351685051618514771244,Doge Nigga,DNG,18,149,167525,28000000000,126690,10831809,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12715324
12347435,1619861048,0x2d43f8ef2fccf12de622ab4ee18042e1347b27871c7d6a632ff579b9c5bfcc06,69,0x67f4ed2ed2f798b6a90a70d730bd8583a831ac9fce238cf1826fc870a1d38f4a,0xdbd5f24304b92d99607206d01cf6a8c61b585afa,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0xf88a399fa4e408469533de7b242dad348b34813e,3392906705131994761097396,Doge Nigga,DNG,18,135,167538,41000000000,126702,8267397,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12714247
12347567,1619862934,0x79b507f092ac9ed75741063999991a2b04c5af821d4407108b30c4492fcec34d,302,0x8479c1e3cdd6c35d5150eaaa4ae8083430312da64aa58db26d2162f18b809e1c,0xdbd5f24304b92d99607206d01cf6a8c61b585afa,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0x1a8012c5584aafb252de19ccfae27167e8a157ce,1078707174041470155589560,Doge Nigga,DNG,18,158,167525,37000000000,126690,7197628,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12714115
12347589,1619863198,0x57989941350ff5e8218a5290c930daf8629f6b8ecb9ceea0c21395f528ef0070,22,0x9e6ec5dbd3a8ca795c237f2e085552ee63cb5ee918ed4d31384a2d788d64b51d,0xdbd5f24304b92d99607206d01cf6a8c61b585afa,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0xb4c59a499a1746b5db23cefb92563c407fda91c7,2560703039706470523473201,Doge Nigga,DNG,18,17,164788,33000000000,126702,1315594,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12714093
12347644,1619863908,0x2c473508fa28f019af5e4e0cbdc9bd856a63f08e59d54b4c0e06ffeb422ba8d1,13,0xcc43f1120ae9fbf5168fed224bff2661433e5f87792a44d2786ad1d8e9805169,0xdbd5f24304b92d99607206d01cf6a8c61b585afa,0x93ae110c7ebad5ecc7bd52963a3641a3cc26fbe4,0x9eee6f9f5e923f1015640e8ca97c04a46458e987,1486916711676478371804020,Doge Nigga,DNG,18,58,167538,30000000000,126702,3245595,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12714038
