blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13307107,1632736485,0x2806a6245dc66c62b5b194ec1b80ad17373681af874b9edf69e79fc74a944c08,0,0xed0cbca55dad47dd42c2f2d141ebbdfa8b292d62139f30ddd54ea6775c86e8c8,0x0000000000000000000000000000000000000000,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0x438225bbc7f05e3dddc6f7a38066be449f544a73,10000000000000000,Arweave.org,ARW,9,268,879934,61652217631,879934,18000314,deprecated,0x60008054,,11754542
13307113,1632736572,0xe907db4374f941ae57859c846111cc32e2a2ea7284c30013132a7a358b8e2782,1,0x15a6898367936d292539928b53531f1048bffbae72c6fb73f08db67b28a0892b,0x438225bbc7f05e3dddc6f7a38066be449f544a73,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0x000000000000000000000000000000000000dead,5000000000000000,Arweave.org,ARW,9,137,100000,55054890287,53358,13911138,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",11754536
13307140,1632736965,0xab3adbfc75f75b368b5a7d7deb04a2363fe242b5977d33f573b21f256bf1ec77,3,0xb02ac04f6e10d437cbbc40388fbce512dfad6adbc9e856490fd59e73a32a3292,0x438225bbc7f05e3dddc6f7a38066be449f544a73,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0x1ea70f47358e3e4bcf53cd6e6476eefbd684d15e,5000000000000000,Arweave.org,ARW,9,98,3322224,51024253924,2722071,26575450,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11754509
13307146,1632737046,0xbfbdec2c38026b6edfff95420f485e3210a22383b9fca99cee051a3fe4c79c43,6,0x4d14ea5ea8cbf3bd235bb492b8f2ba78ef0dc58931693023e8f8b191028c7f28,0x1ea70f47358e3e4bcf53cd6e6476eefbd684d15e,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0x6eb4dfe75706983bb282e40d123c63af674ea80f,68829280897236,Arweave.org,ARW,9,168,217190,56084550313,154937,12437366,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11754503
13307146,1632737046,0xa94e4e45abb0b7123ad062a1efb219379cfdf2c96cf41fbae1cbb689fc28ae13,158,0x4d14ea5ea8cbf3bd235bb492b8f2ba78ef0dc58931693023e8f8b191028c7f28,0x1ea70f47358e3e4bcf53cd6e6476eefbd684d15e,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0xe919c13700e3d4d25a201832513740a713bdce75,95099855058232,Arweave.org,ARW,9,244,217176,56084550313,110309,20284543,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11754503
13307148,1632737081,0xc7bbdc41421448178e702d27d1aafe593e5dd51ec5feaab44ae5dd4ee1a7edb0,5,0x4d4c2a068c2858668dfde5b8e89a13a9d35082a2e49985e6add9129ebe3be409,0x1ea70f47358e3e4bcf53cd6e6476eefbd684d15e,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0x9ba400a2543762661ef7d8d63c618a31678260ce,46184877452919,Arweave.org,ARW,9,318,175470,61591432926,120713,24015547,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11754501
13307152,1632737162,0xd2d5a0274905ce5575ff8752cbe794ecb61d782a96a88d5730be8bebbce47d19,5,0xf198348266aacdfcc0332e3f4ccfb73f99333a6af00495ee595d94ac82b43737,0x1ea70f47358e3e4bcf53cd6e6476eefbd684d15e,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0x37a84066e8497ab2aa4b4ba8b5819babe97c546e,107322208882213,Arweave.org,ARW,9,311,175498,58939003861,120737,22466743,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11754497
13307153,1632737190,0x40a8bd590971f87a29a2ecd0a03147c979de0ed9733d8394ed2df071407181a8,6,0xd266814925577513ad7b27bd44f39d7e78fb29f75ef03eb11501a0faf7826ff6,0x1ea70f47358e3e4bcf53cd6e6476eefbd684d15e,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0xaff4040f39ad6cf2e58bd1898a1c76ab24595965,60408283139703,Arweave.org,ARW,9,121,175498,66117294982,120737,12475615,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11754496
13307158,1632737307,0x454fedaace4d722804ddca60332a605c955a6bf753ced10d7787b0ca168f84fc,159,0x9168f17df17bd5970fe4f5fea3801c5bff5d1fbeee461eb2f0dc7ef955bc4fe2,0x1ea70f47358e3e4bcf53cd6e6476eefbd684d15e,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0xe919c13700e3d4d25a201832513740a713bdce75,399223871772958,Arweave.org,ARW,9,90,154639,72545943859,103625,5254872,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11754491
13307162,1632737384,0xddf9420c5822f09049fb0a5747bf26d70c8f5aba984ea08e9ed258007c425b2b,6,0x3be3190847a98a340aa5ad2b1167061eaf952ed9335fd023515bc9cf4596ce95,0x1ea70f47358e3e4bcf53cd6e6476eefbd684d15e,0x97c041ac152d7ccb4d21cb2ee87e504ddd148c34,0x390267376545634e8235f79e66aa026a29493f41,87023281007865,Arweave.org,ARW,9,184,175498,70152380894,120737,12764944,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11754487
