blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12906355,1627364615,0x84645560e1a3fe1547f32b8d43780c627bff70e4051f490c43558c64fc8cae1a,0,0xc023c1ede1668a501231dd59d5634b62ae34621a564d6e2b3bb8959347501b1b,0x0000000000000000000000000000000000000000,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0xc8fd9532a7fd4e09f41a826fb531225b4638e9a9,1000000000000000000000000000,Yield Guild Games Token,YGG,18,137,1422887,12000000000,1422887,14215483,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12155337
12906394,1627365170,0xd3d173a0c72c2c9b9633881b2c2f3ee52e91a5f3406af1b7005592e2b89ff5ed,2,0xe00c791e713a1e2a333c5d1688f5e7b3fae7ebe4e08ad93e60b09dffb77d7d60,0xc8fd9532a7fd4e09f41a826fb531225b4638e9a9,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0xab5c1b04605a0535ac17f9ecc34874f3593dd7ad,3300000000000000000000000,Yield Guild Games Token,YGG,18,71,3033762,13000000000,2716288,8444975,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12155298
12906404,1627365277,0xc600e299d7d923e1adda9fa4d2c6ab580579c2bf9e00bb785cea59fdb411068b,3,0xfaa02f1653ce8d718b7b176f4d28aab2a03fac79fa6cf2fc97fd65142579e072,0xab5c1b04605a0535ac17f9ecc34874f3593dd7ad,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0xf12c9308a1e6e9f0a0e4059607f4b22e6ea3b25d,21789174619363298608581,Yield Guild Games Token,YGG,18,56,202328,14200000000,157834,6036342,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12155288
12906406,1627365307,0x371bdbdf6803cad29676ed368eb8ab541d73d0c5958092e64e7894015474e623,4,0x44788a7f2532b7dbe3777a37aba9aec6a955f9a71209169ecb13f8d070f2b79f,0xab5c1b04605a0535ac17f9ecc34874f3593dd7ad,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0x1ac7c010a7623f646d391c0c3e95135004702c8f,4323266088231163339652,Yield Guild Games Token,YGG,18,24,152457,14200000000,123622,1710634,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12155286
12906407,1627365308,0xa83ea49c6443b68e50af8032dd1c429ca885dd04f6aa836ffdbbc0ba99ac2e05,5,0xd5a51bdb53da100ca390096c79cc7d5a8ace765abe7af691f783a6830489aca2,0xab5c1b04605a0535ac17f9ecc34874f3593dd7ad,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0x90e637d2a6db7a6d0e2dcc763368974e39644325,2157351202027848251805,Yield Guild Games Token,YGG,18,182,152457,14200000000,123622,13975845,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12155285
12906409,1627365340,0x7e3b0f35d8219a8343b3f9aa6b0768c713eb61a3ad021123b34342564455b59b,6,0xe5266435d60ff304f68c54c44ee5db6e38387829596899cb468bca81fd55d0b4,0xab5c1b04605a0535ac17f9ecc34874f3593dd7ad,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0x6de2b77d89759c1275b99175494e29299f845cbc,5000000000000000000000,Yield Guild Games Token,YGG,18,130,171156,14200000000,131013,8867171,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12155283
12906421,1627365412,0xfdb240e76f298c817d8b600e5e75cc04cfc2f6d5e9fb9ef4729354a7dbf71577,7,0xed6fe57c87ad1d1a95ab65486b6253e569372551b19cc7716454f78b12f9e324,0xab5c1b04605a0535ac17f9ecc34874f3593dd7ad,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0xbb431c391ce885cfc03faa32c16774bc37abb050,42428307984951323817006,Yield Guild Games Token,YGG,18,96,164111,13000000000,123634,9342395,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12155271
12906428,1627365574,0x07740dde5d383a854ac27efe003307807879f2e980093a9e0914701315742b95,8,0xb168e97a3c2efe5d1a96750b7f859bdd77501f73923b1a6cda573a7074528bde,0xab5c1b04605a0535ac17f9ecc34874f3593dd7ad,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0x1ac7c010a7623f646d391c0c3e95135004702c8f,10000000000000000000000,Yield Guild Games Token,YGG,18,78,152346,12000000000,113913,8183728,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12155264
12906428,1627365574,0x0887aa879c17de497eb0e5c6e5ec062207c7bb70ab8f45b01158d2874c0a7f63,9,0xb168e97a3c2efe5d1a96750b7f859bdd77501f73923b1a6cda573a7074528bde,0xab5c1b04605a0535ac17f9ecc34874f3593dd7ad,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0x999cf9541930754fddafa6799a180127372de2d9,6230281916967578139920,Yield Guild Games Token,YGG,18,79,164111,15000000000,113218,8296946,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12155264
12906433,1627365603,0xffd7d2ac23dfb7cfd40748e768aac3850e208901fec6bb0074271adfb4b7fd05,715,0x9b39dd7992b7f17f2440b7ef29c8da727d40d2e877154981f2b8ed72dcb96632,0xab5c1b04605a0535ac17f9ecc34874f3593dd7ad,0x9a693d11b6a87b582e380af954ba3cffa93c59c5,0xb0d8846ab58bf83580a9c92319e1b63514f912ee,500000000000000000000,Yield Guild Games Token,YGG,18,62,186702,25300000000,131001,3033818,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12155259
