blockNumber,timeStamp,hash,nonce,blockHash,from,to,contractAddress,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13964091,1641635537,0xe3e9c4a2bdd73de83e86e19766e98828bfa1c41f76a19fbea5c4532ff63532f9,12,0x5759ee4ccc1d10e52f3dfc56ccc56ca85cf7bab9bf9532908c746d15d8251cbc,0x0000000000000000000000000000000000000000,0x7f13440f93d2b49e0e06fe04fa7ed7cf55c4c1ae,0xaacf3c7845551f21484e7ed4b2652ad046031e72,1000000000000000000000000000,Slope Finance,SLOPE,18,112,1540303,52000000000,1540303,10860722,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",11097605
14024891,1642447134,0x23483c24b540a167c5228f307b5d8af6144be516afa6e617e1b6e590e36f9b90,14,0xbcbd49bce57597d7bb7f2ab630f35e2336fae766ebc99a930d40a971a2ab0ec0,0x7f13440f93d2b49e0e06fe04fa7ed7cf55c4c1ae,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xaacf3c7845551f21484e7ed4b2652ad046031e72,900000000000000000000000000,Slope Finance,SLOPE,18,317,3328552,111122460576,2732111,24714646,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11036805
14024902,1642447326,0x8b9b4da792ed8eb764e791779a58b12980f673e7c5c431f939cfab90e7bdfd60,90,0x629a89fe879c38f5a9895c7ff582746f11d22fd02be42135a1d3ddae68331fdc,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xae102adbcb6adca2c3d9860c36cb88c35dc4509f,0xaacf3c7845551f21484e7ed4b2652ad046031e72,597802660498322115234074,Slope Finance,SLOPE,18,319,253544,152238149438,183995,22819948,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",11036794
14024907,1642447442,0x86904c041eb0189eba2d9a3bc410de58c28473da6a3a45891b47ed4e41c88f91,564,0x6f0888e39b695025d20442c2f5fae50479170bb5d2d13b40a85a017df1d72e61,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xfddd8b8b4470a2fbdccf2682eb4f05585432f351,0xaacf3c7845551f21484e7ed4b2652ad046031e72,5934624716225227323183859,Slope Finance,SLOPE,18,8,750000,250000000000,126788,814627,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11036789
14024969,1642448203,0xfe7ce53d88a56ae5d0a76e530f6fc01f31aed1996a9f7b80aa4e7ebf795c9343,31,0x40d18af704cff50593abffdaae974e3f93258a203725f61945c09db3ef4b6d21,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x3677373c2e89ff86903e27578e7a65be89048f30,0xaacf3c7845551f21484e7ed4b2652ad046031e72,80466156084316035760130437,Slope Finance,SLOPE,18,106,190042,218666222426,132719,15240246,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",11036727
14025085,1642449704,0xcb9b4efbbc9517cec03e4fbbe21715bbf10dc50f19e1f8b691cb958fad59ab17,22,0x0c2071a8fc3590ce9f88e3a3bdf7706cc70733b1ec40753445c1d7b2b8f36f05,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x1c6d2e5bd68d3a144d9671206bf1b9a086b6eebe,0xaacf3c7845551f21484e7ed4b2652ad046031e72,187673631000079540068776863,Slope Finance,SLOPE,18,91,167769,158355595856,126908,8061079,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11036611
14025162,1642450664,0x7ba31f0e8d9b384709d5b4daa0adfe2c9d54025d5bcc940226788bce44f5d507,23,0xb372a9c7f664c3b8dba6dd60f02fe82d06604f6fb30cf3e414e7fb78d4a39ca3,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x5e8304b5600cccba6d6292c6687ac9ead0ec6288,0xaacf3c7845551f21484e7ed4b2652ad046031e72,137514786328308580612685905,Slope Finance,SLOPE,18,32,167783,137557956573,126920,3015928,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11036534
14025173,1642450812,0x279be41799db43be69aa6a5b3f7996762dcfcf15122bcffc460abec7b3615ef6,749,0xf939f7d6530290bf1a6e9393139b644e3194911d57af576631fa4869ef497deb,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x88288ea1186776621bd9daa6e91a1ec7269ad090,0xaacf3c7845551f21484e7ed4b2652ad046031e72,3483928912214776722842152,Slope Finance,SLOPE,18,245,190042,119388814514,132719,17829177,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",11036523
14025218,1642451651,0x4c642cf1ca215b89a0e627b32f21bf4409e28405636e0cd5da983b469c7c436a,13,0x1586bc3f5dfcfa7eaf4d1826109c4b227cb62a451270a08b0f80ec64a8ce7f47,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xffffe1b9fc34776849f5f040a748606de0febbd2,0xaacf3c7845551f21484e7ed4b2652ad046031e72,1018251633264363263162922,Slope Finance,SLOPE,18,92,190028,177730341932,132707,7916011,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",11036478
14025239,1642451842,0x6ead92a47dfe5bfbc3357969709315f9d4bea7c917cf2374ecc55329cf9e8035,32,0x043620f1c597a35c003aca73192135e1da220021c3e723c5d35579a9742c60a5,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x13307b8854a95946b54a904100afd0767a7a577b,0xaacf3c7845551f21484e7ed4b2652ad046031e72,126975232247192220839405924,Slope Finance,SLOPE,18,53,167769,119074531728,126908,4021069,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11036457
14025250,1642451953,0xe9d21d5dafec657abff9c359f5ce1398a6cbfa47890b61cf708ff58909b3e5e2,83,0xc96a90f9f6d1f8deffb790171a7f3a421f123665a16e215daeb78a94abdda3ed,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0xcefb1791df4008c44349aa6040453b2b5449d23e,0xaacf3c7845551f21484e7ed4b2652ad046031e72,5714719244666737058538488,Slope Finance,SLOPE,18,78,289477,135735319025,223082,5926509,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",11036446
14025285,1642452361,0xe8c09aad8e0b7d95544c8206d2f6cb1713357cb8f30f5f2a6ea1649166ab460a,33,0xb55c946eaa8b0ca3de1bdceb447448171be3126e8b2a7159e1b552531e54fb9d,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xaacf3c7845551f21484e7ed4b2652ad046031e72,53686534697418047511632148,Slope Finance,SLOPE,18,284,167783,123817970769,126920,22621208,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11036411
14026923,1642473763,0xd20ebaf25018f6dfe24be3726ff9d0531ae416ee5a4a2f0edf5265d17d95617a,86,0x6a9a49481def4cb62c0af09afbb869658c1a9d2f5f5210ff48f4fc490842492c,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x0d747819834ddb27e03cc2acf174096e2255cffe,0xaacf3c7845551f21484e7ed4b2652ad046031e72,207604216327329147617627,Slope Finance,SLOPE,18,124,190014,119900000000,132695,8727022,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",11034773
14027645,1642483649,0x44a4ea8fd0f17045afe0804cae7eb9faa965fdb2dc70c5c8905a769cebeb0764,35,0xcf7c8eb140ebb3293ecf2fb1ac57449414236c84bef7447e391b508bb93fd70b,0x9612626cee3b2e3d2d91c4800ab1f07e15f0a162,0x23dfed05485be8a3f39f6de0e5ac460888abcce8,0xaacf3c7845551f21484e7ed4b2652ad046031e72,44970306116825283487816506,Slope Finance,SLOPE,18,43,167769,132257277563,126908,3564309,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11034051
