blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
15687080,1665035363,0xaf122a9ddf71e13257224a16b8c76755fd6623ac5b908ebb5d30ec8231e42390,8,0xe679ea5b790263f8867649f6c6fe1c5ce265a70e659d38b8747d0ab1b2ee0cda,0x0000000000000000000000000000000000000000,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0x93e7cb109bb3121906efea06176da12183d76291,10000000000000000000000000000,Dejitaru Kaida,$KDA,18,168,3817549,3103411696,3817549,18652640,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",9374608
15687088,1665035459,0xae4fef21f423751ba724aec854bca8c5bc50447a00e65d426ab5e20b703a6cf0,10,0xd750db0a93aaed7ea2fa99b78ca0572654aefa31784966fb913b0a6fec7ac88e,0x93e7cb109bb3121906efea06176da12183d76291,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0x1753b51778b941bfe1c379e5291390e7ad3ed21a,10000000000000000000000000000,Dejitaru Kaida,$KDA,18,84,3327744,4837106234,2726594,15976498,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",9374600
15687094,1665035531,0x49f3e8a7519a0a2c9aa597bc7489592ab5007ba1105de2d7b2049d0517e39d90,1584,0x70a64350a475703f0854d558ce6b9a27603312293192fbd82b43a870e1db59d0,0x1753b51778b941bfe1c379e5291390e7ad3ed21a,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0xfc4c2e6e96b0ab1b898f3d5c1a7d5a8d21a4ecf9,210512374104309869914985018,Dejitaru Kaida,$KDA,18,73,283134,4873975360,210616,6247280,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",9374594
15687097,1665035567,0x44c8d3dfcf83945a3d78b2f70305b723bf86fadb0103c001ec6ada8f319733d3,1108,0x412e4e65565bce0e003ada0ebb82e28136fec0470e87730bddc59b83d7d8a45b,0x1753b51778b941bfe1c379e5291390e7ad3ed21a,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0x31532aa0137b1c1e1b9164c3fe11634f4218c5b7,325973557525844992029824284,Dejitaru Kaida,$KDA,18,60,204249,4786121445,159328,5146674,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",9374591
15687099,1665035591,0xe9f8bbcfb931795e532c3e133e2615cc6532ed8fb8c7c22beac73206c50391b6,1093,0x42bb9289441e68ccd173871df6a1e1f9d61a66cf50e7cf576db9d1e3419c5a1b,0x1753b51778b941bfe1c379e5291390e7ad3ed21a,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0x6f8c5acab0bc6b3cae1fd23e4be010783231f00b,418279182788701316781532345,Dejitaru Kaida,$KDA,18,98,220360,4678372052,159328,11745615,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",9374589
15687102,1665035627,0x17d0ad255b0a602f754b821829c764c9b88a292ccdb735d325149cc8b960b092,196,0xff5db9c3e959ed25b90540a4dde88d4933c0f4233eec2d6f1804853cd32f4cc4,0x1753b51778b941bfe1c379e5291390e7ad3ed21a,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0x201710ec5e9d5d6b64e46c77a8bb40c4adbd98bb,39797963701745391112017534,Dejitaru Kaida,$KDA,18,37,212425,5487013856,154321,2109590,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",9374586
15687104,1665035651,0x4b29d9fdb0792c2d777a5be90b94c3029385258d0ba34375bd48973938cff7b2,890,0x29c854d7ce34b704eb08b688e9198cc7242e4df772d96a1e8eb7402c9888d412,0x1753b51778b941bfe1c379e5291390e7ad3ed21a,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0x0db551b8f83d8748db3071d2b0368608da372b16,152686120008403778193330230,Dejitaru Kaida,$KDA,18,100,204235,4671365759,159316,8521433,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",9374584
15687108,1665035699,0x5095677353d004a62f22b96ccc9ddb4f5ca8659b96a12babc5efe9b23d1213c3,446,0x69a43510c9db1cbef9d2b44ba9503cdaf78ae32fa92d74edd72d2f1abab7b4d1,0x1753b51778b941bfe1c379e5291390e7ad3ed21a,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0xcfae0b76aab7ccd864d09766fcce71ede1b4e214,30524932126099809674706656,Dejitaru Kaida,$KDA,18,308,220332,4572338236,159304,17833944,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",9374580
15687112,1665035747,0xfcfff186d91351a39c0c70566dbde4fd3fbbef268a3311e60820ff90be61ccfb,1947,0xeb8c97becc8f099ae5fd1fa7b235a51e43ab2e99bd58583c7b9dddc6f18dc351,0x1753b51778b941bfe1c379e5291390e7ad3ed21a,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0xdafe07ab611c37fd2263f84307b9e4555fc68fcd,252637625958568127717102540,Dejitaru Kaida,$KDA,18,8,220360,5964026090,159328,833163,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",9374576
15687115,1665035783,0xfc59d07c0d9f5618ddf7512e6f2965b596cd55d40123d0cb787aaf16a6c2bd58,1587,0xd11af7926b27b52b9aed9e117e1c38c66aa3e73cf8d3fd5dbe6e122d9f728e83,0x1753b51778b941bfe1c379e5291390e7ad3ed21a,0xadeb4bea795961be8b318fe53d84f9e8e6eadb45,0xfc4c2e6e96b0ab1b898f3d5c1a7d5a8d21a4ecf9,149974495028724000983710637,Dejitaru Kaida,$KDA,18,90,199501,5486602599,142216,7556163,deprecated,0x5ae401dc,"multicall(uint256 deadline, bytes[] data)",9374573
