blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12080859,1616312701,0x727068707569d3a7ea8ad7e56ea031a86daed94a402b25c4d4b3fdc29fd50027,0,0xc3d09b197f1830b2b6a994e38eef462abd151340179c9aeb4a6242a43171d43b,0x0000000000000000000000000000000000000000,0xb7f624ded791c262dff65517a335ba1c0700037e,0xd2381897c7a49bd934e545ce6bd7f983da1890d2,20000000000000000000000000000,Shyft Network,SHFT,18,29,1410991,91100000000,1410991,3376123,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12980838
12092737,1616470974,0x6679d838b5d0a070bef464c762ed9e860e4ea84eb726f09a8aef0b3b2fb315eb,2,0x90de9271361ba8611501c5d0782ab4b1de665f0ce9efac712ac822e4940c1dd2,0xd2381897c7a49bd934e545ce6bd7f983da1890d2,0xb7f624ded791c262dff65517a335ba1c0700037e,0x17ec9640a077d99b3713a7110fab699dd6962e1d,5000000000000000000000000,Shyft Network,SHFT,18,44,3032496,135000000000,2716437,5878971,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12968960
12092753,1616471213,0x58f778267918a12a7784c4e0c4a9a1b696111f2769eee4b1d12ae225d2fba3e0,3,0xe8448b11cc6468974c419b0fe421fa2cbcbc7c000b19d780baa3e3795f04ee4f,0x17ec9640a077d99b3713a7110fab699dd6962e1d,0xb7f624ded791c262dff65517a335ba1c0700037e,0x70eb207be21b66c28e4fd93d49c8a1eb5836545a,8885965522097266117287,Shyft Network,SHFT,18,107,203207,136000000000,158622,4547595,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12968944
12092759,1616471246,0xef5d863ccf68cd09078e21c153ec31b7b68910c2b84a778bee188198c8bdd9e9,4,0x952a75f6bd46ae27b5f278f0b139638a49cd520a3b7e5022bf39e9e1d0119e97,0x17ec9640a077d99b3713a7110fab699dd6962e1d,0xb7f624ded791c262dff65517a335ba1c0700037e,0x51b91eeb17c1fc1255a6976a050eba4ab4fc6134,20000000000000000000000,Shyft Network,SHFT,18,56,178073,124000000000,136601,4635796,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12968938
12092767,1616471348,0xb32df3f8c09d9325a3af52ae4d6627376b8d3d22eb1c2817d2db14b53ca93715,5,0xd4e405d3cb42ce0c7cd85710609cf4961a27406a751380ce9d4556521916a5cf,0x17ec9640a077d99b3713a7110fab699dd6962e1d,0xb7f624ded791c262dff65517a335ba1c0700037e,0x10f4675a31eb987697c5011140bf631cc45a993f,34948856383550175180196,Shyft Network,SHFT,18,76,169682,124000000000,128622,5688806,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12968930
12092767,1616471348,0x33250bb706d2accbc58b2e23294c70a8019bd5b2ff5a5ac8afa4abcbe3327a18,6,0xd4e405d3cb42ce0c7cd85710609cf4961a27406a751380ce9d4556521916a5cf,0x17ec9640a077d99b3713a7110fab699dd6962e1d,0xb7f624ded791c262dff65517a335ba1c0700037e,0x32476b2585269c6863c423b80dea03c81a9e8625,93621648346002343806276,Shyft Network,SHFT,18,77,169682,139000000000,116606,5805412,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12968930
12092770,1616471378,0xa9ad6bbba7973e2fb42cbe0b7b55b035167a9c987d9fd0d859d132655eb3d5ec,286,0x55f9b35e1183d426686386da0e67ec7f7261ee111bfb05dfb7ce14d5e27639d7,0x17ec9640a077d99b3713a7110fab699dd6962e1d,0xb7f624ded791c262dff65517a335ba1c0700037e,0xce6722b470fdfa5f3457763cd31991eb4c3393d6,5837365320295795493025,Shyft Network,SHFT,18,146,169682,124000000000,128622,11057819,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12968927
12092772,1616471418,0x9ef43e1569668fb34ba47e9ae9e1591a37d36549323f3d304eb78507ac9ae04a,100,0xd43ac0d1454bdbd5e381b4a073f9dc22b4bf80a7fa6216c9bd9a7efd74353985,0x17ec9640a077d99b3713a7110fab699dd6962e1d,0xb7f624ded791c262dff65517a335ba1c0700037e,0x53ca71c291606e14fd5664fdb898847e3f8e6d98,488313527365748104382,Shyft Network,SHFT,18,282,169669,133100000000,128610,11856171,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12968925
12092779,1616471490,0x20ca23cb5c9bd8ba704b277e79ff4ce3076ceae818028e109260dbcb90b96096,183,0xfeaefb700b72d5ff93af111907ae870d81ea2aafb91c29db597410bdde6be8be,0x17ec9640a077d99b3713a7110fab699dd6962e1d,0xb7f624ded791c262dff65517a335ba1c0700037e,0x8b9a7e0570592eadc531f426e4cc36b88592bef6,2496908188994277499870,Shyft Network,SHFT,18,17,175867,155000000000,119959,1040592,deprecated,0x2e95b6c8,"unoswap(address srcToken, uint256 amount, uint256 minReturn, bytes32[])",12968918
12092783,1616471545,0xe64a5c5c658fd89f0706ae7c67a4cb4a2957e1ce6434e2c549a979c8d0a1f79a,7,0xc09962594938523f79ba59f877a788801248a7f4b53ba0e82234c3e8616ad9a9,0x17ec9640a077d99b3713a7110fab699dd6962e1d,0xb7f624ded791c262dff65517a335ba1c0700037e,0xd98e6008c2be593049bcd18302965e3850ab0859,50000000000000000000000,Shyft Network,SHFT,18,166,178073,126000000000,136601,10299999,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12968914
