blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12581269,1622986684,0xa00bbf7d4103111c5db61a89168182a66c3958d120d146ceee9e0bdc8e362671,0,0xb27cc1e681d5a8ec7e3d6b4dfe9abd818188e6719e89cdd7ba17b91044dbac4e,0x0000000000000000000000000000000000000000,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0xb4d8cce7c980e77da6405736129d6d041447e4b4,420000000000000000000000000,Duet Governance Token,DUET,18,103,1422875,11010000000,1422875,8236103,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12480389
12581302,1622987152,0xabc292d524d9e943aaa5d9f6357e61d6a8bcf70524626db4ff57696e1438e423,2,0x5dff66172a38e07c7181e980b966d3910e214fae85d9378f520a295b31b66dab,0xb4d8cce7c980e77da6405736129d6d041447e4b4,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,5400000000000000000000000,Duet Governance Token,DUET,18,158,3033858,13000000000,2716373,10510091,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12480356
12581310,1622987314,0x636e9ad7406181cc28831e75fc501081b406c8ee1e1c278dfbb6f24bebdba5fe,3,0x79bda51bfb5ab5c87f7063fdf330efa2e68c5eed90eefcf1848b74c3a6c1ddd7,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0x832668b0fc7d007f5c40375457ce147d6235ca9d,26785474410065821877938,Duet Governance Token,DUET,18,162,202315,13000000000,157822,11935639,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480348
12581311,1622987329,0x565b7a1cefd4c8b9a247ad96ee0f22336a6139e45231e445b53c22ab0e30424c,4,0x2db113222bc07d49cf6d39f0b7d07d30dcbaf715518d5a639ebd80544986ac3c,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0x4af4af9c6b5d6564aea36e88d6b8258edcf4bbfe,7983783656280377372160,Duet Governance Token,DUET,18,212,152471,14000000000,123634,12932140,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480347
12581314,1622987399,0xafa5b6d825781dcc55c40cc75e1e29203588c1f6eac64d95103fa6c2714766da,5,0x061380eb4ac78e231d47dabdb2499c2c164c904a6e0622936dfa9dd48ed57aca,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0x3a409eff50a47aeef294e3f0bb3874490dd99abc,30385824343087253229308,Duet Governance Token,DUET,18,91,164111,14000000000,123634,6417416,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480344
12581318,1622987440,0x33143234172287fb511e58b8db9261895cdaa436d6a8f7464f018637dba5da5a,6,0x9e8f4d3b35f13811aaaad68332d81f80622e5fdb79872817e616c6b9bb62142a,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0x549afb2f9cdb90fdef7861b65c2bcf80aabbf765,5249302867748727455277,Duet Governance Token,DUET,18,148,164111,14000000000,123634,9339510,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480340
12581320,1622987468,0x11ea86a4b2e553a82043f50e618ed1020fa4cca258e217322ecf2fa2274dfe74,37,0x28a1112b64ef87431814d02322db7198db2d25df2f236459c27026a70bb9931c,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0x9d300755dcce529224d120c28c12834a3acb4033,1048618081549734869171,Duet Governance Token,DUET,18,21,179016,25000000000,123622,1309912,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480338
12581325,1622987541,0x070973a14e57f473f88a5795235fa6fb202266cc30276b559ef5340eea9228f4,7,0x2f123739a0bb2cf0ebb1c6dd80a202dfd2243cc331838f5dfec0f0924a033945,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0x4d0b5e5b2c78a8b348454e9851fdd0c692c1a37f,42898789203441690809050,Duet Governance Token,DUET,18,61,164098,14000000000,123622,5074481,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480333
12581327,1622987567,0x0556c0f391571c2ba634beeab98253b0577333435d12cb08c54389dd6fb21ead,8,0x430a945723e8d774f7e500e06c67b5916458ccdf3dcd6fcfccce91b3b749dd59,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0x64dcca7415f7f0b0781b08525ec0dc5ba0e09fa9,51080202611450492068238,Duet Governance Token,DUET,18,61,164111,14000000000,123634,4483220,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480331
12581328,1622987577,0xae2d167c886c45ba5e53989cb89d231e45f3771d6032caaf06123bb354792b09,9,0xbe73e0137b8e2d27f9cfde9c271b1ee27968ff5f140dc5a5fc8662062ae58daa,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0xf5dcafa051318bdfdb6f5a78ad5086b1538322c5,39211021446232743353017,Duet Governance Token,DUET,18,15,164111,13000000000,123634,914770,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480330
12581333,1622987672,0xd70c5ec3b7c17b757aa6dafba8f3ba160bec32d49914bd3bcc9a437c86f8b491,112,0xd9e13fb1b608cdb160d4df290be0ccabe94ddd72628090a19b6b26b5ea405a78,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0xcb0ab40b53829d047f711735b5a39a1436d0e723,49828488743992120993,Duet Governance Token,DUET,18,102,179016,13200000000,123622,11344732,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480325
12581333,1622987672,0xcfc874b24f0f82880572412567e90f5afd1363f5ffe18b9eec5ad577a7e46525,10,0xd9e13fb1b608cdb160d4df290be0ccabe94ddd72628090a19b6b26b5ea405a78,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0xdcf93c5c95a623e02d3670f4fe0e5076ed82338b,45685602357678644077164,Duet Governance Token,DUET,18,111,164111,13000000000,113218,12210161,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480325
12581333,1622987672,0x89995d8d380e1f2e61df70d5f6e05318efc925eae0f1feda12c0825f7b4c18ef,11,0xd9e13fb1b608cdb160d4df290be0ccabe94ddd72628090a19b6b26b5ea405a78,0x9f76917d417e89712601bdb540d6cd72f8eec3e8,0xbc7351d62c463d8b2417f9a35c4134dbb701b258,0xf06371cfecd87065ec3aaf792252fe02305f0cb2,12209540166885338726529,Duet Governance Token,DUET,18,112,164111,14000000000,113218,12323379,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480325
