blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13542650,1635925809,0x4b54320880f3536698e9513975f1a961b3bbed0c7757c72d787a14caad95e09d,3,0x7e0792ed3df6a504c69590b3bc49031473cd648dcfb58e8bb120063d1a0eec1b,0x0000000000000000000000000000000000000000,0xc19f837a02991a01f7456503ab28a19b64f17607,0x6df20a6fc5fd8fb0e5e8d4e1e337266ba39ad072,1000000000000000000000000000,Vikings Moon Inu,VIKINGS INU,9,166,1501226,131418802317,1501226,10130747,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",11519046
13542664,1635925975,0x3d4b5a579d75bf1fbe61c53c26af8d098fa4e00e6c22a561f16d7ab1e8bd4650,5,0x911e706be73b7d826050537f771468fb1766811942dc4af35fc95d9163a2f00c,0x6df20a6fc5fd8fb0e5e8d4e1e337266ba39ad072,0xc19f837a02991a01f7456503ab28a19b64f17607,0x323d1e915b2d7b6773ba40b37c0661e5a5f9b626,1000000000000000000000000000,Vikings Moon Inu,VIKINGS INU,9,179,3325140,134555001234,2724469,14234192,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11519032
13542664,1635925975,0x4817fa56198b3fc52c2c569ec00d4184caae3a3cd13ec5ccff5a7c0e4e716b0d,767,0x911e706be73b7d826050537f771468fb1766811942dc4af35fc95d9163a2f00c,0x323d1e915b2d7b6773ba40b37c0661e5a5f9b626,0xc19f837a02991a01f7456503ab28a19b64f17607,0x2992ce7dc4950540678ffbbda8070bf8c2728828,19550169617820656117026491,Vikings Moon Inu,VIKINGS INU,9,180,900000,134555001234,111443,14345635,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11519032
13542668,1635926017,0x1eef9a8320f6294b935de73c24313185d834fc7bf86d5d581a09a4104d2137fc,59,0xe8e9d21b8d5dfe1119803ac765c92c57809e14e72f54d33806488c3cb72cf6fb,0x323d1e915b2d7b6773ba40b37c0661e5a5f9b626,0xc19f837a02991a01f7456503ab28a19b64f17607,0x53e65516164690287c967453c00e287b4e7875bd,97780182143746404506484404,Vikings Moon Inu,VIKINGS INU,9,1,500002,352000000000,155021,271769,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11519028
13542668,1635926017,0xe63401d83aed8b764ebe1071d010be7bbe680ea936086c345b46b1ac11eddf58,1450,0xe8e9d21b8d5dfe1119803ac765c92c57809e14e72f54d33806488c3cb72cf6fb,0x323d1e915b2d7b6773ba40b37c0661e5a5f9b626,0xc19f837a02991a01f7456503ab28a19b64f17607,0xb497b8f7fd61645d17cec96584d124bd18a9ec28,92663118805277207598016177,Vikings Moon Inu,VIKINGS INU,9,2,217440,200000000000,110525,382294,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11519028
13542669,1635926052,0xe0cf2c72cb9097d15733103b4e2530b7143deaae25f27c87ec2361b767893d78,191,0x3f8b631592f639652e4126645e6c0af531aa6626c0c962fd19371114152fdaf5,0x323d1e915b2d7b6773ba40b37c0661e5a5f9b626,0xc19f837a02991a01f7456503ab28a19b64f17607,0x121c7815ec467de3741d29c7c2b96d6dc6f26827,12243625503440931410010894,Vikings Moon Inu,VIKINGS INU,9,398,196938,111797111586,120857,26130390,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11519027
13542671,1635926067,0xe2a51304e0ee791bd74b6c7dcd97136ce11a99f82490eda75caee6f191613fcf,7588,0x37cfff2308208ca66bc1f2019d65fa445e2abfee1372324d6c5850862cfd0c46,0x323d1e915b2d7b6773ba40b37c0661e5a5f9b626,0xc19f837a02991a01f7456503ab28a19b64f17607,0x5136a9a5d077ae4247c7706b577f77153c32a01c,72830808229353400579257692,Vikings Moon Inu,VIKINGS INU,9,48,147852,187000000000,117596,3982440,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11519025
13542671,1635926067,0xf60a8ed2657210cc2e30b3be56091d0787a4e5addb40193c5da7068cff2d6814,521,0x37cfff2308208ca66bc1f2019d65fa445e2abfee1372324d6c5850862cfd0c46,0x323d1e915b2d7b6773ba40b37c0661e5a5f9b626,0xc19f837a02991a01f7456503ab28a19b64f17607,0x0ae81f1e4d5f709eea63e68113113eaf52724a93,16120772058014549523816701,Vikings Moon Inu,VIKINGS INU,9,343,175762,134092632032,110537,26757225,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11519025
13542671,1635926067,0xf24195808a58984eec207e9b759e1b641b5867d1ffca377a4d54951fc9bba8b6,244,0x37cfff2308208ca66bc1f2019d65fa445e2abfee1372324d6c5850862cfd0c46,0x323d1e915b2d7b6773ba40b37c0661e5a5f9b626,0xc19f837a02991a01f7456503ab28a19b64f17607,0xdbbdb4d45b5880df4bd515c1ef5dbb6592aeb078,30124353628609896465087137,Vikings Moon Inu,VIKINGS INU,9,344,175762,134092632032,110537,26867762,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11519025
13542672,1635926122,0x24bdc0bf7679e83b9fdb36641eea5a72e9b98309252cee456cbc3dcdf144d6bf,2,0x73d52a1b502c1e1417536c7a6bce9c3d19ac27bd381728ae36f526ac89446532,0x323d1e915b2d7b6773ba40b37c0661e5a5f9b626,0xc19f837a02991a01f7456503ab28a19b64f17607,0x7d114ed75e755fd5e39b83c3e666220a5caeea63,170707280765192550802937250,Vikings Moon Inu,VIKINGS INU,9,195,163065,151343337460,120953,11814732,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11519024
