blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13248822,1631956951,0x454cddad23a64521fa9d034510f6bdcaabd699dca8da022f6d70c351ffa8a456,0,0xda9010971338103ab478a0102287f52aba98657a6a3a26bcc9b4039d86a31e4e,0x0000000000000000000000000000000000000000,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x717b996a411241ee1cc180646faffc278c420f3d,1000000000000000000000000000,MatrixETF,MDF,18,118,1432129,40000000000,1432129,13840471,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",11812866
13248865,1631957614,0x7c360c9583e2943a71af5e681bf0541315f3c172259e840e3e7888b16d37571a,2,0x2233561b6c1d5f73a2fd3885693aa9b91931d835b272fbce183ef59bba467a7c,0x717b996a411241ee1cc180646faffc278c420f3d,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,25085714000000000000000000,MatrixETF,MDF,18,246,3034080,45000000000,2716574,20117321,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11812823
13248876,1631957748,0xebdd595120884a5f6100e6ce0edacc76c1d4e97ae1438e4317d274a7d375ad8d,126,0xca4ac3e863f10074e9cde87e368e42e538fbe81b1b4a4828e31cbec95ae91d24,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x96d67202e78f679dac6fe1766f1da9ca76271c47,62370683217081424549310,MatrixETF,MDF,18,253,220652,41768880250,157776,21690111,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812812
13248880,1631957790,0xcaff37e2886368b57aad9dab37d938c1cc64d0af734a4a569e076deafce08629,3,0x79126e85da212b9b94bff3c587b3f73fe945dd765a3d879294b00167b0764074,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xd84e459d5692dbecb13e43e238178b761aa1f5fd,57107307524021523023362,MatrixETF,MDF,18,85,202264,40001497262,123576,6990505,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812808
13248884,1631957809,0x382651ac4146dd2c16789fe79a385449554ba3be118612ab142038275990099b,4,0xb98409efad10e0f0c91805a380594316855ef6c43ac79291ad1ad96402a58bc5,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x6fe9ccec75fb91fa3a86ca87b52c517ca5cd5a25,100000000000000000000000,MatrixETF,MDF,18,25,208712,38155654278,130955,1582224,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11812804
13248892,1631957978,0x4d53c45750ecb97aec96df03b2ec69204fee9130b63956c745d85d77c016dec3,5,0x18df0f66eda7a3817a720507445be3d44b65132fa05143ee6afbfb6a8f68e7d9,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x337cc87f6738ecd42cdaffc69a704bf3b21faa16,122266268379695823555871,MatrixETF,MDF,18,130,164047,43095943961,123576,9317086,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812796
13248892,1631957978,0xdcdd2e18980fc367b75ccdc7e50a44343b3a34da2a7ea2808e685ea477d6521c,6,0x18df0f66eda7a3817a720507445be3d44b65132fa05143ee6afbfb6a8f68e7d9,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x41427a1488a16a150959347d05c33e54d4d8467e,240957063119649929097035,MatrixETF,MDF,18,266,164047,43095943961,113160,24765878,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812796
13248901,1631958037,0xb32a6d0877acd26ec0329375716f29539c099bfcf86348474dbd1df02bc32d35,7,0x4630ca02c8b34d669c80333bdb47a41f1e27ac082450de5f686613e844df2917,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xb88a66748152b5ffa55073a49d17f92d9a678b59,71372586659559677237938,MatrixETF,MDF,18,214,164047,34184022445,123576,17496477,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812787
13248904,1631958065,0xf0fc97f773bbf46ae84fa118005724e9e1f8a8546eb774d5bc793892691d394a,8,0xead25ca9ebbd1fcbe0f70af713385b53a2320e74e8f03dafc9f0f85bd0757c43,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xb9000c853a9cf145525900577687fd6f76651daa,60000000000000000000000,MatrixETF,MDF,18,34,171066,34776733802,130931,3174582,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11812784
13248912,1631958153,0xa53838e580b853ad8a8869927f4cb8a6be3aea57714cde91ae07aff64277c9be,9,0x2b5db56f3866eb0da9b96dbeed2156378af4970429e6bdae93f71e8c2d8d567c,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x121c7815ec467de3741d29c7c2b96d6dc6f26827,23581973398115124834960,MatrixETF,MDF,18,194,164047,36097365618,123576,10399078,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812776
13248939,1631958482,0x4fefd0e1167f45d30391745a8a6630c6ef1ccb9f16c9972235086b05aa035f42,10,0xbcc24ab9ef39ef9b8f7a8319e4c95a4d2eae6fdadcd9e93fcddc68fd5906db5e,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x6632d36f72e8a55a817c89392d09529efe0d6978,187024978132007672301368,MatrixETF,MDF,18,91,164047,35867024360,123576,8409701,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812749
13248961,1631958717,0x0ac9e07615f83d8828166fb32ab1331d95f914e325284a3a91ee79a46f96992a,11,0x9ef1f7161dc65a7203cb649aaf78dc01e25d4260ac787fb953ab674cfeea4889,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xa3defad51473fe5741a54bb89561feb75930b2ec,150000000000000000000000,MatrixETF,MDF,18,437,171092,37305112264,130955,26860884,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11812727
13248976,1631958935,0x0ff7206227336e5129730ee5984de5dfada17bf48955fafd7aa4055d1b878b94,12,0x109158552bb3d77877dd47babc9f10e68d1db345e0b654686af549871391708c,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xdddd34f88b475dae9fef76af218b00cca0d7a06a,79919625902153747362175,MatrixETF,MDF,18,183,164034,38240562958,123564,15746666,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812712
13248994,1631959180,0x3a0e3f3e0029658fbbe4747e11d2ba79de062e64ce4a8620c6d03cd57ae5c298,13,0x4d1930a5ac1949b68747796248f113d7dc14f8494c7179632a077cba67b56cd1,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xd436c37b515d60f3b57f3d08d1a315152bc6dc82,300000000000000000000000,MatrixETF,MDF,18,198,171092,36534309188,130955,17935565,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11812694
13249016,1631959448,0x31ada48ae15dfafff7a8ab8bb6f7d28186f4b7dc7c48ea6ae1ea12c9b7c0a147,14,0x111e1327d255d9793caa6e73246b3c576769a93faf96e956b8ffe7de7c62b2b1,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x0122d6753b3d21d920555589f50b24a18e2ac480,112630130531058595414191,MatrixETF,MDF,18,277,164047,32118333544,123576,26100984,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812672
13249029,1631959643,0x19cbfd021b56911e6b467f380426a8c10f83b4c697f73b90c93bcea88a1a8deb,15,0x0feaa0fffebc5d6a7bdc00861e6047ec5aadb5b7aec340879e1f528043240af0,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xbe7ba7e6d97b1add5a49becbf8b225e089734b76,431510126577745030788815,MatrixETF,MDF,18,121,164047,39053761775,123576,12095521,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812659
13249054,1631959975,0x63b7b252a7d66aa6365c14b75883b6329d900cb59a1d81bc2b488174cb1b31bd,576,0x49ebaf3b5ee99ae78c351718412e439e3a428dbd44f77f7079e3ff6c93ece5f0,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xa61aa80aeefdf398906012585839cde459677b09,5996454463683334210548,MatrixETF,MDF,18,318,234924,32045462082,176965,24922263,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812634
13249063,1631960092,0x65fd081cf92c06970979638039c8009d8983922ed0a290a7fdcf1a47454e491d,16,0x5914025ab797395419e86f240b723b714256bbbd581c818655c811b1159763bb,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x666666a0200c2b78eddd1ef279488c6a714f010d,787154211562708179891976,MatrixETF,MDF,18,367,164047,34838816247,123576,27526196,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812625
13249098,1631960606,0x6255bae78f304bc148096443d3b415fb66721d303741ff319d4d4b939157ee07,17,0xa97cd5fbfa97da98a17661bfa13a783d495081e8069df28578c82dcd3086ec1a,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xa87b7f41c16a0427bf3fcd99f9c873c0682da221,59081793468865594507767,MatrixETF,MDF,18,251,164047,36388890953,123576,25143942,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812590
13249125,1631960984,0x081c2ff2e1a57b299bf5db8b2b1c450331128c2b51454a507884c0e385dc6579,18,0x896ef04c43c25e2d363a4dd993b3514bf3db774d358deeecb3d2c01529471130,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x13fe6bcbaed87605de848abe366822642f470be9,233226678323504454053080,MatrixETF,MDF,18,225,164034,42589379510,123564,24580036,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812563
13249209,1631961922,0xad896e80f395a5ee0b5ca29ddc972f3a32e94d0319f7f751dcaf2139f73e60c1,977,0x7c64817f3b33fbef3b080e2e1421d5f64be24a2ebd06c0ec56db484c1f470744,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xadf19f52b1755dadf3b7479e745b973f2c401154,5444796933844854250858,MatrixETF,MDF,18,67,227060,37400000000,180828,4489758,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812479
13249214,1631961998,0x38db6fe71786652f2d267b13cfdc2dbac3db89a757fdf79cbe949d98717b3751,11,0x94eaaab50cc9b07f7b20e048e1effffafdadffa49549aa0e0bb4f461d1232ad8,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x4be98856eb2c3216af1492381d25550f43c06903,3190746944114478118780,MatrixETF,MDF,18,67,178946,35142381286,123564,7309049,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812474
13249227,1631962183,0xf13252dbad43201128089c6d67040a9bf2df48abf7e897069f82afcf51033e7f,19,0xcd8f6a03a9bd180a11527a5b77b33ff92375e948f718a03aa44453b8e1e8d8df,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x2a6dba9377b6b1897a8c5224c2d9f7e0cbff2e64,303216592742314605905651,MatrixETF,MDF,18,97,164047,37816117209,123576,3422262,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812461
13249549,1631966547,0x52aed22b94f5dfe9be2d25c15b4ebd85bb76b72fc8aa6e420ca3d30884195783,209,0x2a02fb759e7b1f9667bcb6bff7e7cf64cef723c8ad488ac7ad0e6caf620f0458,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x6c319d73fea4962e454ea1c07ca70cba542df8b3,107086860872178574932187,MatrixETF,MDF,18,79,245383,51700000000,191297,4565281,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11812139
13281964,1632399699,0x1a84f6663aba374af35a16d370396182a83f01add789dd7764b94b2d874b60e5,110,0x1ef06015adc5e2cd5e500f7525d7f4211b9c116abb3d7847d0a281603c292041,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0xe82846429b6295dbb4ba548a7c21b988c651090b,30000000000000000000000,MatrixETF,MDF,18,75,171092,43723230903,130955,5972955,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11779724
13306404,1632726296,0x1e18de8d0363f7f3c0093d152b3a3c0b8ee6a251692b68e3ac7e7fa99a6ecd5b,20,0x2b1307f0cbd19c40f509e02f36836f2f9a1669b4dcb82ef006c06baf7a2cfb41,0x35f1f561dbcac9bc0eca9579fff3868bb83126da,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,21552575121247697375533813,MatrixETF,MDF,18,31,291369,61390587407,210255,2398313,deprecated,0xded9382a,"removeLiquidityETHWithPermit(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline, bool approveMax, uint8 v, bytes32 r, bytes32 s)",11755284
13306404,1632726296,0x1e18de8d0363f7f3c0093d152b3a3c0b8ee6a251692b68e3ac7e7fa99a6ecd5b,20,0x2b1307f0cbd19c40f509e02f36836f2f9a1669b4dcb82ef006c06baf7a2cfb41,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xc21f36b84b03711465f8c0084ca60985b9e570c9,0x717b996a411241ee1cc180646faffc278c420f3d,21552575121247697375533813,MatrixETF,MDF,18,31,291369,61390587407,210255,2398313,deprecated,0xded9382a,"removeLiquidityETHWithPermit(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline, bool approveMax, uint8 v, bytes32 r, bytes32 s)",11755284
