blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12060783,1616045818,0xa3b5421d3e5d58035d34efeb82cd5de1bf27644f0f13a7771554c7f2151d13fa,76,0xb1b159b88a8fb5b095841ef71dc43f0f26f30f36ae1ad87dc53452ad5a515b66,0x0000000000000000000000000000000000000000,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0x7a2ee77ae0f3bd48569e80197b9f540cb849eb81,20000000000000000000000000000,Tidal Finance,TIDAL,18,108,2882089,129000000000,2882089,7798328,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",13000891
12060797,1616046040,0x07cc85164d6c8e0f27552d8a7a9e771c181f902b4da9c94f45e769f50ecbc17a,78,0x9b93ce10607d4e680f6d36b052904650320c1101b3bf962649710ba7c6c90a90,0x7a2ee77ae0f3bd48569e80197b9f540cb849eb81,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0x3ffd338a17e71ca4f374c121419a799d1dfd67e4,48000000000000000000000000,Tidal Finance,TIDAL,18,81,3033243,130000000000,2717112,10874274,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",13000877
12060801,1616046075,0xb3d2341e36c2228b41b1293fdcdf24d36cbf943b1b726c22bf1ebb20c663eee1,79,0xeacbdd51551ecb43df2eaf648a2fb4a6ad90816445e8e5b77977175c9741fd9f,0x3ffd338a17e71ca4f374c121419a799d1dfd67e4,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0x0ac7550ccb12b1a141619b0fbd1b87fe0d8909b1,938408141655391493617271,Tidal Finance,TIDAL,18,39,3000000,129500000000,158784,2077321,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13000873
12060805,1616046122,0xc2376089337b6231d6b52ab81a56072814deb6a0d2488321c90a8f3969e5ec1a,80,0xb23483c962428cd775f335bf80dc2c484b8824c3d5c829c32f254f9f056d8083,0x3ffd338a17e71ca4f374c121419a799d1dfd67e4,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0xa9c5215dfc3715dc2adf3745055115b972359c8b,349291227963673441944338,Tidal Finance,TIDAL,18,25,3000000,129500000000,128772,1491912,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13000869
12060818,1616046368,0x99ca82b6fe2636617c09816d69e8052ffaaa7045ec90086b3e836078318671aa,81,0x88ad84bdb188d93ef38d07daa1c7218bd6f3f0f0919ab5c8783699f3da8077cc,0x3ffd338a17e71ca4f374c121419a799d1dfd67e4,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0xc0b98f74abb85fb94473c852f2b6daf59e503571,90462652583785837161669,Tidal Finance,TIDAL,18,6,3000000,130500000000,128784,345292,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13000856
12060820,1616046400,0xbdbec49fc6c1340846df7889f120c99761dd955b0567b08e981b3629f2a0bb70,82,0x0ff20f19d25f5819d26e8e0d5436f6f9263c8a6437e0d5c878a29aca069ce547,0x3ffd338a17e71ca4f374c121419a799d1dfd67e4,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0x85b881a71790d74b7fa0850322cfe02db8f8cda8,114832307934516839170496,Tidal Finance,TIDAL,18,59,3000000,137000000000,128784,5495612,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13000854
12060821,1616046406,0x01db0bb17f7604432172dc6bfff3915295ca60454af413dc480e5cf2ed47ac34,109,0x31ca2cb0b9b62dc397b6be05f1a6d81b193695ab1ddeb7c3d0a8a09243f9a8ca,0x3ffd338a17e71ca4f374c121419a799d1dfd67e4,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0x62399611940a8f0a9ed0826ff7b213e69d9a6899,22449671735193303994797,Tidal Finance,TIDAL,18,141,156545,127500000000,128880,10850873,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13000853
12060823,1616046431,0xaa365ccc80e943333d9432a2670cc2d3e3384e23f113df71f1f83aefe1a57bfa,83,0xa55ced7db3e7e8265b4029ee991b71dca07a81d7ded72bc8d6c46e0c839044db,0x3ffd338a17e71ca4f374c121419a799d1dfd67e4,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0xe6421e8592c2381f0770088e069395303ad5504f,307606361609853227831034,Tidal Finance,TIDAL,18,74,3000000,139000001459,128784,4301471,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13000851
12060827,1616046475,0xba674d927925c25035ab95ad521857976098e870135345267be7900475578b21,84,0xde8bd9e52db00eb09aacfe7fd7902cee25ba5795155573baadda3bb75ff56437,0x3ffd338a17e71ca4f374c121419a799d1dfd67e4,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0x87317e1359014ac36b6ca2f6c0c78d8f10ed2b8e,590202788762371401456998,Tidal Finance,TIDAL,18,16,3000000,142000000000,128784,1086302,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13000847
12060832,1616046509,0xcfbd3487f4d20f7688031463a30f3a3552789945797b72edc01eb76f4a2855ad,85,0x1eff433e9661cd6bf6ca13ed89d049496c45004f46e795d2713001f0045d32a5,0x3ffd338a17e71ca4f374c121419a799d1dfd67e4,0xc61cdaa8a989521205ef0d9b332b00aaf571a7ab,0x8d0e22069414fb1aee2da9d5bef8845bbbc1d711,306506935925810933880182,Tidal Finance,TIDAL,18,14,3000000,136000001459,128784,1311435,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13000842
