blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13653899,1637438737,0x1846c305d954db67e56139dc8473bfb3a561b063ab3627bae90f51f7d681567c,0,0xaa8518012042f745efa132302c15ff6dea1bac1eb828f14f020b72244c0591b1,0x0000000000000000000000000000000000000000,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0x13190dc7d15b7ac1b160b6ba64b8e65bdc65e2be,100000000000000000000,DOBBY,Dobby Inu,9,134,2261885,116511803046,2261885,13424918,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",11407748
13653970,1637439637,0x3a0184fa9d49b9a39118e4025ae6fd27aa20e5675329d0af3903c9a218d32569,2,0x4dfae33276e91634515ce9dac2f231ae5f06a89ee271eb63a5d37d27f30a289a,0x13190dc7d15b7ac1b160b6ba64b8e65bdc65e2be,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0x97a97c1b4d19a2ea6ae0792c71c2cbd8a67cb349,100000000000000000000,DOBBY,Dobby Inu,9,265,3332235,103496000201,2730401,28781097,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11407677
13653970,1637439637,0x5a36dd3220d1a55f888307425bfa1c25094e74352bea73ccec10c498c4263b6c,761,0x4dfae33276e91634515ce9dac2f231ae5f06a89ee271eb63a5d37d27f30a289a,0x97a97c1b4d19a2ea6ae0792c71c2cbd8a67cb349,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0x97a5feedd38a1bf2286f55713ed16fb9f4f2f0b9,4748297375815592703,DOBBY,Dobby Inu,9,267,900000,103496000201,114149,29044450,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11407677
13653970,1637439637,0x2d2f7b8097de6c03b67bf208b34080af5b2d97e2b6db68ceaee6f7efc70e5d46,735,0x4dfae33276e91634515ce9dac2f231ae5f06a89ee271eb63a5d37d27f30a289a,0x97a97c1b4d19a2ea6ae0792c71c2cbd8a67cb349,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0xbc0825296fc28cedae4daf54e9c048783a4344e5,2208664500228198573,DOBBY,Dobby Inu,9,269,900000,103496000201,114149,29185915,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11407677
13653972,1637439656,0xf3b5a90d680c754644ac2a9d1f6af62820a63523210c1ff6845c75b7b5717c36,142,0x82406ebafb18c17a2c931ca6ff13aed322a93afc9dca408d3328f55d64567975,0x97a97c1b4d19a2ea6ae0792c71c2cbd8a67cb349,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0xb0cbb6d59f75d507be7c190b2d761c660d589343,1694410817206136228,DOBBY,Dobby Inu,9,9,1000000,210000000000,157735,1518540,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11407675
13653973,1637439684,0x272abb2d4c862b685d72eabd46a6be57aa80db791c5c77192f3a1075e418775c,9672,0x305915761c5c1e6d356c7bebacd94c746467187351dea595e7077da6094b8a80,0x97a97c1b4d19a2ea6ae0792c71c2cbd8a67cb349,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0xfcf6a3d7eb8c62a5256a020e48f153c6d5dd6909,4731884523553271797,DOBBY,Dobby Inu,9,7,192691,366300000000,120178,1518004,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11407674
13653973,1637439684,0x0d9dd07670903cac288438ac33099b7fefcaf3c1f9843cd453cd16b2ac8184f5,240,0x305915761c5c1e6d356c7bebacd94c746467187351dea595e7077da6094b8a80,0x97a97c1b4d19a2ea6ae0792c71c2cbd8a67cb349,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0x26424b6dfeb3c13da9a0fa9d0c0eca4e6a4cbc6a,1829711476467724861,DOBBY,Dobby Inu,9,10,500000,208000000000,113059,1817963,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11407674
13653974,1637439736,0x531bd8f2b02fd70af2fab4fbbb9ec88d34eb1e7bf15a70929548a0e4e1e54f5f,1272,0xb18aa6093ff1b7d7fde1092bbac18a7272335df501422ce185ab136b445ef661,0x97a97c1b4d19a2ea6ae0792c71c2cbd8a67cb349,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0x131102d2174860e269f8e6ff4adc2cc0bc1d776e,1753899002278334514,DOBBY,Dobby Inu,9,12,500000,180000000000,123547,2294700,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11407673
13653974,1637439736,0x670767c16497aa6b22aaa734177e92b5688dff4e2f82e3aa2d65f016e210ea8c,87,0xb18aa6093ff1b7d7fde1092bbac18a7272335df501422ce185ab136b445ef661,0x97a97c1b4d19a2ea6ae0792c71c2cbd8a67cb349,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0x7aa248fb0817d6b19c1cfc63a78269969c233f63,6345062689318417191,DOBBY,Dobby Inu,9,94,220602,133739581845,113119,8799033,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11407673
13653974,1637439736,0x82531d42a4acdcc39a88004a60512d85e9d517ebd5edfbfc4f9afd39a069fd6c,852,0xb18aa6093ff1b7d7fde1092bbac18a7272335df501422ce185ab136b445ef661,0x97a97c1b4d19a2ea6ae0792c71c2cbd8a67cb349,0xceb2a44f05f6129d4703fd786b3872de8f20eb0b,0xb9703d76082c4c9382d810647afafd116cd7b79f,6685145178480976406,DOBBY,Dobby Inu,9,125,166213,133739581845,113119,12067692,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11407673
