blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13545818,1635968278,0x6a19143e85f6e4f7ef2fa1f3179372600f3c6f754739c88881c318e21a675472,0,0x5d3dafd4e4d55081ef5416bea01d88cae06b096666623afe68713c0b3483d366,0x0000000000000000000000000000000000000000,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x25b73b3ecdaebd31977f05592097678546b08cc3,1000000000000000000000000,Mars Inu,MARS INU,9,495,1501050,158368719503,1501050,27791554,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",11515849
13545825,1635968411,0xb3ecab0c6993ce55b5bc01f4b6ab1b44891556f8f0826d51c76fa98babe0bd6e,2,0x76604b2379c42a7938f0786eae281c952594e97442bdfd408010e32c7a2b142f,0x25b73b3ecdaebd31977f05592097678546b08cc3,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x7bd7c4be974ad0a082475d81e0af240339f1f104,1000000000000000000000000,Mars Inu,MARS INU,9,219,3324417,173341188061,2723876,15537968,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11515842
13545829,1635968454,0x262bbe05b840649e6a12a9144899e03a23827929035af555436f4ac0f3aaa90d,256,0x5b8017a7c81f48c2766e49b153e2a6b7beb47b83a41b31676180e3204aabb323,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x47cbc55c8c4e6f9d44f9714ea3afbff0bf1b5be7,14734643407835815380977,Mars Inu,MARS INU,9,11,900000,217853315552,156059,1560183,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515838
13545830,1635968462,0xdf86e6073e5fd0731ce5229cbab20d9f066ca4a9b680b861fdfc030c170bece5,1,0x0a743108046d3d2c61f9974a67ee0c0e4ef547fa5b9b6df600074d00500bb54d,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x7fb871898ed76c5728ca83f781c68a901ba1ddb8,23614913588056535136311,Mars Inu,MARS INU,9,81,750000,175000000000,120857,4264169,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515837
13545831,1635968478,0x1d691eb3d097da8a52c7fc6e07a5088be05976e77e2f5f3df76b66a48ae56a12,809,0x9b27a84139b912b5eeaded39959e203dccd84cef5781e8535fa7a0366e8a67de,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x2992ce7dc4950540678ffbbda8070bf8c2728828,22507817256499174273640,Mars Inu,MARS INU,9,345,1200001,154840134786,120999,19957442,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515836
13545832,1635968501,0xc2689802a2a5c589a8e26561c322e587844a359ece380e5bce08931b4309a0d7,6122,0xbd39e6a023ebc9f0c9dfa4ac652633d651966e1d9076a3fb60a7025dac2a1e03,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0xfcf6a3d7eb8c62a5256a020e48f153c6d5dd6909,61612502327457106651539,Mars Inu,MARS INU,9,37,135140,222000000000,117584,2771580,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515835
13545834,1635968535,0x93592550db771bbb2850c6ddaf5151af3f350fdc3f1bea1c27d3af3faf1fc826,343,0xc9ff09fa0d7f555999efaa569ab1a252c03613ed0030a590e85c66d370ae3c99,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0xdf1bf83a093c50ade535d50e9a8f52fefea46961,29572181223244101034856,Mars Inu,MARS INU,9,93,172758,205892876444,120941,3911173,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515833
13545836,1635968594,0xc13c33aa0a6e88336bda4af7089e9cdb9733330b8b249e0c0ea652e61a3edd34,1178,0x0d1514bc769a442c75bfcb8edde8ce49d7224b1be640f0454ddb511b7a843a7e,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x2e12979da9ad061ccc204c00d0e3a477a8cc4aea,17542598477759423922495,Mars Inu,MARS INU,9,10,203796,168000000000,121835,1664438,deprecated,0xb6f9de95,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515831
13545836,1635968594,0x9b7a83a29c9209d7edf0a94858af139fe79135c2a518c986f099d0e22318ca01,673,0x0d1514bc769a442c75bfcb8edde8ce49d7224b1be640f0454ddb511b7a843a7e,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0xf3fd1ef6d0ff275eeca0ef5f1eadb7f60cd9a8fe,32992209627923460605635,Mars Inu,MARS INU,9,366,163051,166100297166,110525,25247657,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515831
13545841,1635968636,0x7f0e05450f8f5eb78bd07b565ae2dc7a838227417cfd5597972b4a5fd45b6a71,1178,0xa00ffdad2f40401fb29d0b1373a90bef06e1d1105274f66faf16bb40e3582fbc,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x1f916bbf39ab189a9e3d9e1823a7b1a8e9e5f204,30467334310653335605995,Mars Inu,MARS INU,9,286,175748,156127853877,120941,19139783,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515826
13545850,1635968729,0xbd9e50a73e88f6670a818f3013045a5e210b978857280e0e132245c34a0c7158,25,0xa63d86fcd5474521b84d410b605f99d61515351060884b5d225946f4e401ddab,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,28221742319222321302876,Mars Inu,MARS INU,9,297,469048,163072271011,266012,18270367,deprecated,0x415565b0,0x415565b0(),11515817
13545850,1635968729,0xbd9e50a73e88f6670a818f3013045a5e210b978857280e0e132245c34a0c7158,25,0xa63d86fcd5474521b84d410b605f99d61515351060884b5d225946f4e401ddab,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x96c195f6643a3d797cb90cb6ba0ae2776d51b5f3,77459324518610175269,Mars Inu,MARS INU,9,297,469048,163072271011,266012,18270367,deprecated,0x415565b0,0x415565b0(),11515817
13545850,1635968729,0xbd9e50a73e88f6670a818f3013045a5e210b978857280e0e132245c34a0c7158,25,0xa63d86fcd5474521b84d410b605f99d61515351060884b5d225946f4e401ddab,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x6760e46051f729660aae9cfeb4a65fc46f523b9f,28144282994703711127607,Mars Inu,MARS INU,9,297,469048,163072271011,266012,18270367,deprecated,0x415565b0,0x415565b0(),11515817
13545853,1635968775,0xe02119411460860c6a56f3d074f93be8fe3a7f91eb09a372647fe5cdc7edf1b0,16,0x214a23aa011c86fb703491619d0f5fb2a40ba6ac44b835a4f173a4a5a4ec0c7b,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0xb3500ff88547170ff0152b356d251832b812c4d4,142574344369824708753406,Mars Inu,MARS INU,9,174,175748,155590989459,120941,12583456,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515814
13545855,1635968798,0x7ef06573148d43fab757f6def5809b62cac9d25f0c5b79219167c1ad53a37d08,491,0x712426273eb6425ae75b597a2bc2959d77b4f11a4ac57a73cdaf072dd4bab817,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x7e61edafec4203b4387753568ccbc1986d6e9c09,17181074005004019535671,Mars Inu,MARS INU,9,148,135140,163986057339,117584,10563922,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515812
13545855,1635968798,0xead99f9529c4e36b5dc82ba6bf76fd163fd41780e9eabb559c3dcf430c262c3d,1844,0x712426273eb6425ae75b597a2bc2959d77b4f11a4ac57a73cdaf072dd4bab817,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x4bea1fbffa98b51762897fe821539a9768869765,25518568095943598535984,Mars Inu,MARS INU,9,248,175748,163811403339,110525,16772230,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515812
13545869,1635968954,0x2f481b2a4f24fc74a8a6a08cab2243896c9569dc9472ca007a880233ea4559f9,23,0x243e7e0b93d833fe47e2fba524a14984ff7852edb8c0e6d3b8a43c4f5e613cc2,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x4e48a010fbf71853bc8c8481c36be748b3db7d96,21421572989396457158340,Mars Inu,MARS INU,9,331,175748,135008716016,120941,22341656,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515798
13545869,1635968954,0x2a3bd685f39278b3fe1d910daa4e659fa14b366b4cfce5825f1f9b69b305b208,19,0x243e7e0b93d833fe47e2fba524a14984ff7852edb8c0e6d3b8a43c4f5e613cc2,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x3ae1dd06f35a97cff4196037cbd182d09b50b0ad,5314400000001000000000,Mars Inu,MARS INU,9,374,183499,135008716016,117916,26874420,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11515798
13545875,1635969039,0x9148b317e176ea0114d3686b02171ce656ee3f85d81b0866e2707637b7bba325,1,0xc8e4d25f0cc11a8e0bd074aafed626f7ca5ddddb755288d19fba8ad333b4ca11,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x0f5ecc8a3f86862e2243e4a7f32e7715fd9fece4,1476243409499197,Mars Inu,MARS INU,9,88,183470,176000000000,128308,4707229,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11515792
13545875,1635969039,0x26c4323c6ddc1d476a6d55b16224e86aa9cb482c7a70c3cafc9c507f7e6acfb8,78,0xc8e4d25f0cc11a8e0bd074aafed626f7ca5ddddb755288d19fba8ad333b4ca11,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0xebf284356b739ea6ed6d08e5ac33cc99532de2f0,13452309168390652991679,Mars Inu,MARS INU,9,283,175748,155805400461,110525,19394312,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515792
13545884,1635969127,0x4df4efc2241d84bc9d7db060a3cebe755d676f2e7298b5d04b3ca75c2c29f849,11,0xe177f69c2c0ba29a2df88fd5c4ad70b36c6cb54723fd51191912e5ae27320173,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x2d9c7a39e63e625a2055410261544cdbe86d0ead,6471237820542737499934,Mars Inu,MARS INU,9,39,175748,190000000000,120941,3024975,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11515783
13546033,1635970837,0x0c66c087d209dc41753cc8d19c721ebeb4200ce219382dbc4b12986b2283e592,295,0x362e18dabf2a3dfc360cde99ad085cdb6fafea42eb56a211dd721a61f0aeedfb,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x92e41dda69276eb39cda431223420db266647fb9,56740500000000000000000,Mars Inu,MARS INU,9,22,183484,183426799289,128320,2422978,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11515634
13546313,1635974930,0x6f0a13b0f545cf1e23c14b0dbd105a2403f70259bff9daef8d3ced9aef6bf7a0,33,0x37e8f0f78904dbb305dc2a56de59d28c79567b16888a972de381d768a37aeec7,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,9853645798530801178939,Mars Inu,MARS INU,9,228,442992,234416094534,248912,11406006,deprecated,0x415565b0,0x415565b0(),11515354
13546313,1635974930,0x6f0a13b0f545cf1e23c14b0dbd105a2403f70259bff9daef8d3ced9aef6bf7a0,33,0x37e8f0f78904dbb305dc2a56de59d28c79567b16888a972de381d768a37aeec7,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x96c195f6643a3d797cb90cb6ba0ae2776d51b5f3,29443047316248066932,Mars Inu,MARS INU,9,228,442992,234416094534,248912,11406006,deprecated,0x415565b0,0x415565b0(),11515354
13546313,1635974930,0x6f0a13b0f545cf1e23c14b0dbd105a2403f70259bff9daef8d3ced9aef6bf7a0,33,0x37e8f0f78904dbb305dc2a56de59d28c79567b16888a972de381d768a37aeec7,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x56723e85fb64448c4401f1cb03afcd17c89ad187,9824202751214553112007,Mars Inu,MARS INU,9,228,442992,234416094534,248912,11406006,deprecated,0x415565b0,0x415565b0(),11515354
13548500,1636005287,0xcfed3f93bb71e5634b2f8d70eff7c6e26b4b40f100fbb5776b3cee5ce58cd9f4,90,0xe76e3c47a47a4b6a7456ab9de7eb8e08a3ea1f5eb90d042529101a5e1b38dd59,0x7bd7c4be974ad0a082475d81e0af240339f1f104,0xd31ea91a651c9ae14fd7504149423ac6ed4b2ae0,0x74de5d4fcbf63e00296fd95d33236b9794016631,9350042452138114603847,Mars Inu,MARS INU,9,197,218905,104779508418,175413,17762009,deprecated,0x5f575529,"swap(string aggregatorId, address tokenFrom, uint256 amount, bytes data)",11513167
