blockNumber,timeStamp,hash,nonce,blockHash,from,to,contractAddress,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12580731,1622979455,0xbd264a554638d095a899ebcf4f938091a0ec7441c7d1c0202115175564da6ad0,0,0x2ff199f1167eee5f8a51a8f261641aa8ee5e2d1cf926efa1f881374c9ab80838,0x0000000000000000000000000000000000000000,0x625f8eaadf5d47b6dcd95607c5d5ce299d50f025,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1000000000000000000000000000000,Busa Inu,BINU,18,16,2893984,15000000000,2893984,3444835,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12480943
12580731,1622979455,0xbd264a554638d095a899ebcf4f938091a0ec7441c7d1c0202115175564da6ad0,0,0x2ff199f1167eee5f8a51a8f261641aa8ee5e2d1cf926efa1f881374c9ab80838,0x0000000000000000000000000000000000000000,0x625f8eaadf5d47b6dcd95607c5d5ce299d50f025,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1000000000000000000000000000000,Busa Inu,BINU,18,16,2893984,15000000000,2893984,3444835,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12480943
12580757,1622979886,0x69a0f57209bd30aaebbf73d2921965ec60a2dbd2bff7b20c299e9c735cd72cc8,2,0xd56ad1a6508e790b5e82d3c5da45e28a7a4011402f91c3ac551c049ee262a861,0x625f8eaadf5d47b6dcd95607c5d5ce299d50f025,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1000000000000000000000000000000,Busa Inu,BINU,18,71,3311296,13000000000,2717720,7859652,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12480917
12580763,1622979959,0xe4ed71365ea334325eef0bc94def4155342015cfa59e9f8d1279eab76bb6a8bf,3006,0x4f58d1744b8c52b57f2d398f283e8d426a6514098515a63d84775623d9ce322d,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x700bdccb187238bc4263c233bcbe48c3bcf7d32d,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,316407790930933923453433944,Busa Inu,BINU,18,60,221059,16000000000,158110,3410782,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480911
12580766,1622979986,0xbb8d32739661016c8a2e81462973cfe7057dbdf2da13d4fc558400eb79edeb59,20,0x2af45e6cde112e7e113f727a6d7cab72c20b5d23b1f3c2970ffd41ffe573f213,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xbe1d5e2f805f93798ec8680f86db4495ec668f3f,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,316207325524878944643131616,Busa Inu,BINU,18,58,166654,14000000000,123898,2959147,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480908
12580768,1622980025,0x129bc5bfb449a4f126916622ab11d111177aba9f3d7177d5ff30c7428e017503,4,0xef201f83a2421ee3a93a501c7ed3a186d1d14f627127ad9f9d05e6ed703be3a4,0x625f8eaadf5d47b6dcd95607c5d5ce299d50f025,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,1000000000000000000000000000000,Busa Inu,BINU,18,53,100000,14000000000,41625,2848554,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",12480906
12580774,1622980159,0x996e706e8c741c7377aabb46aa716f5a1fb9bfc5f9ed3a06b660a09bc5d245c7,201,0x7b05af706eb9ab96d7bf1d7b0618ff59a355384178854d53c5bc260d4c9cd139,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xb5bf6155596f300c3a438ada1e6d88fcc837bbbf,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,316007050666046797561338537,Busa Inu,BINU,18,17,221044,15000000000,123898,2947074,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480900
12580783,1622980265,0x88811280cfead0440ae2b1025eea96c36c67b119a97c813fd30ee9489785378b,35,0xe259242ce86aa2149495c9274a834bdd44c83c6e7c601054a8446459d02ec3f4,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x89435a7efacc1cd387428490ba6cc9df2d509882,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,631414337839868795892061328,Busa Inu,BINU,18,110,179367,11000000000,123910,8423249,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480891
12580785,1622980299,0x1e0e8fa5d80340b19d34450c199182510f39ec8173231e60a3424d628c865336,465,0x4c7f3e045911e99371ebf3400f64a26f6103c669c45d24ade4eaa551e5421867,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0xe3b8a4f1f3a27b0e83ae7e4562f9f0800880a926,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,508465050094231565896846244,Busa Inu,BINU,18,141,553306,11000000000,415891,11358056,deprecated,0x5c11d795,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480889
12580786,1622980309,0x56516f1c90fd397f1c7ed1c564acff92707fa74fa95060989faaf64b22a0fce5,418,0xad6ba6c8e9f1443b63ca527f9c620aea73827b2e7ec22f2f88cb798171370282,0x2fc561d33a27e06d203d22a3fda82caa656a3e62,0x85ae74669e7fa72c352710648abcf42a859a2f69,0xd5ad9d374eff8f57a42a667a64c218e9145ac5b7,3141929176930799022907438399,Busa Inu,BINU,18,28,179367,30000000000,123910,3080287,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12480888
