blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12430169,1620963757,0xbff23b64c170488ef6730954c0e22345d32616d2387b2f0aae4d1d1ab89cedb5,1,0x6513299f76390a65308b06bbd49b3f40c2e5ca6aa8d97329efb44c97a73dc2af,0x0000000000000000000000000000000000000000,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0xc6c530c9c902e75a78c07cefe984ed6ecd855d6e,1000000000000000000000000000000,Shiba Inu Bone,BONE,18,119,1422803,95000000000,1422803,8817614,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12631485
12430239,1620964682,0x39581ca8fa8a82218c5bbd661fb686695a34e11dbf22b8dbd1c9837ea308dc4f,3,0x96e2f4b4239e476cc61651bd395e16ae7827ed1e3b9b920c201a82bd7f7054eb,0xc6c530c9c902e75a78c07cefe984ed6ecd855d6e,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0x8c4621ab8aebbed0eb63da72f90757e8046ee84f,500000000000000000000000000,Shiba Inu Bone,BONE,18,84,3034182,91000001459,2716665,10141308,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12631415
12430257,1620964872,0x63160e017a295efe82f099ca6cf845175ddb186995667b012affe0c785fe08d9,4,0x47f3a4635aca6e23ca96b947db0d20b612105d8b97841229855740f247ec3e4d,0x8c4621ab8aebbed0eb63da72f90757e8046ee84f,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0xb1adceddb2941033a090dd166a462fe1c2029484,9775084808910328058513245,Shiba Inu Bone,BONE,18,74,202264,81000001459,157776,5339299,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12631397
12430263,1620964931,0xbae4a178668b68f61fb5abd7b880cea42829512190efdc959be34f6017eed57a,9,0x81b8678225494a995ae29ffe285cf85343e9c9956f5ce9563f794977f8d913f1,0x8c4621ab8aebbed0eb63da72f90757e8046ee84f,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0xc6422a5cd423bfd0c31e7db4f9724260e2a151ec,287333981450594212056612,Shiba Inu Bone,BONE,18,114,178946,89100000000,123564,6732551,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12631391
12430267,1620964971,0xb60a474249c88646081e0c5024bb0b971cb9f3d333e35d7b31003140fca74c62,6,0x19a830c80c5ab0432cae27060bd102f8b2e91ae94182fabf0422c17ca8366ce7,0x8c4621ab8aebbed0eb63da72f90757e8046ee84f,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0xf004024ad5fb9fbcabc3cc64fcdd02855c45ad53,573657650544875860392041,Shiba Inu Bone,BONE,18,64,178946,90200000000,123564,4201847,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12631387
12430276,1620965076,0x381426d347ee84349f35d4a47a8021b197166c8e39871d6b65a327e9598bef77,39,0xea131b95b00df9b0eaf07960fa4df6d49967d5d736fe49abd7a3558ec9c4a7d7,0x8c4621ab8aebbed0eb63da72f90757e8046ee84f,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0x890dc94bb1f9bf346de09c7460eb0bf559f7cbf6,497626972539312543474553,Shiba Inu Bone,BONE,18,37,178946,79000000000,123564,5964511,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12631378
12430282,1620965196,0xff1314a984a006aa70511f1d4df15353c09c5deaebd16fb59bcd003f05bfe693,63,0x23b091ec7270ed5de8b5779ee4ab15cd2e25bf5030d77a993ef35dc7d8ff6e5a,0x8c4621ab8aebbed0eb63da72f90757e8046ee84f,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0x699b017b762412a3fa246fd56fd5f3c3a954039e,1425375596723445537137303,Shiba Inu Bone,BONE,18,208,178960,96000000000,123576,11857544,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12631372
12430291,1620965352,0xf5ff7c92777b0f286b2e7c222ee70f50a19729e1c762e6857cb77b627644be88,5,0x1349212a2366f7fa00ac179995e9e4ff285f2f3f09f8864b82c300349b0f0a22,0x8c4621ab8aebbed0eb63da72f90757e8046ee84f,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0xdceec9815515bde39161b39aaf0ddb47be3cc011,18240330308323399254842684,Shiba Inu Bone,BONE,18,160,164047,83000000000,123576,12236039,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12631363
12430291,1620965352,0xbb6f9387b3c107e795bae1dc3024d31aa3515bd3d5a9e870bfcea2c6141a0239,6,0x1349212a2366f7fa00ac179995e9e4ff285f2f3f09f8864b82c300349b0f0a22,0x8c4621ab8aebbed0eb63da72f90757e8046ee84f,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0x7333d3aced57a2b0cc85fa576a3ecca27f2d2941,10000000000000000000000000,Shiba Inu Bone,BONE,18,161,171079,90000000000,120527,12356566,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12631363
12430307,1620965600,0xaa0667b48995b960272efb583a6ed303506930427495f9d9f5d57403ebcf4d0b,4,0x0cfac3bc3347b40cdc1f42faab88c66bed1db7f0a5ec5cbe4b75e2a06204dfd8,0x8c4621ab8aebbed0eb63da72f90757e8046ee84f,0xe7650a78f6f306072badcec2eb987c27a1b65a0d,0xb2b5c2be6f56d88c2b08e9328c7de7faae653dc6,839181500813863201870699,Shiba Inu Bone,BONE,18,97,164034,100000000000,123564,8060394,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12631347
