blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12571963,1622861816,0x4c9ab4498367ea39119e83d042e23e8c43b66f0da96a086f08ec819e943bbcf0,0,0x963c2cbdc6f15d17435654e594f999b15f33a108ff8ccd403bca4943074ffc4b,0x0000000000000000000000000000000000000000,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0x5607a713288a1150bfe7c5bc5c194cd56761f463,1000000000000000000000000000,FTX Arena,ARENA,18,59,2890103,23000000000,2890103,6110845,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12489737
12571980,1622862139,0xb082e7a89a4d7bf1263c603839a0f3f24c6652376494c4e62b43ad6aa0344c09,2,0x73422b9d5bccda21d0aa1a73bce008348cbf42954f1a057229b7f64eb4821414,0x5607a713288a1150bfe7c5bc5c194cd56761f463,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0x63ac9aad0d59ed8179258b92890286696b2e6852,500000000000000000000000000,FTX Arena,ARENA,18,85,3310338,29500000000,2716933,6285077,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12489720
12571985,1622862199,0x4bd94b33f8cd230a879ea457f5a5b98368f6e1299d69c8a89a057b733c2b58bc,3,0x68cffdb2c4d81894b8cf35db8ca0ae326b7aaf7017aaa895636c24311a10a88b,0x5607a713288a1150bfe7c5bc5c194cd56761f463,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0x000000000000000000000000000000000000dead,500000000000000000000000000,FTX Arena,ARENA,18,384,84595,22000000000,41397,9619315,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",12489715
12571989,1622862250,0xe9d09a1039f8581acde493cc7cfc3b7060395132891fdb73b18a461247852186,66,0x89dbf4541680eaba5b5373d374a398d8919c30ed448a263d677ecd12199aef30,0x63ac9aad0d59ed8179258b92890286696b2e6852,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0xbfc29cf450127db75bf49089d7124d1e2006b5ee,5185886930565946937594424,FTX Arena,ARENA,18,33,221044,40000000000,158098,1617387,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",12489711
12571997,1622862382,0xb6db3e4935e8e3c7118b04b30f020967d6db9d683703ec5f5e070d68ec3f8845,50,0xb8f5122f2124acc77bf8bc1c091d9529cb83883e18079205968b7cf8e51fe57f,0x63ac9aad0d59ed8179258b92890286696b2e6852,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0xc40d3787fc3ecc85c494e3916ba5eaf271e4f2db,10000000000000000000000000,FTX Arena,ARENA,18,110,171433,21000000000,131265,5576620,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12489703
12571998,1622862407,0x225ef606d4af0b3b24b1112f1233fe084c3bced103c5b58f7b599501ff3bc3a2,51,0x8d7e2034a432d9d9164eb588d41c615cec546b837be0b82a78651d72c472136a,0x63ac9aad0d59ed8179258b92890286696b2e6852,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0x67dc2e632e18fee19b73c2390772473b18cd4fc7,25000000000000000000000000,FTX Arena,ARENA,18,30,171433,23000000000,131265,1273000,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12489702
12572000,1622862428,0x86627d468982840f088eb3d06f792887db4089c01980abb4a54b99648506f867,52,0x660e77fee595354714d18e2ca4249e8af3d571d95988faf7f97543d9e47d24c4,0x63ac9aad0d59ed8179258b92890286696b2e6852,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0x1f7e1ebcc3fe68bef9b1d8fb2a66faae93f7e049,25000000000000000000000000,FTX Arena,ARENA,18,259,159976,21000000000,131265,11792496,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12489700
12572000,1622862428,0x1c0d789c828c5c7ffb57e1fb46886c77e0b690a48b1bcfdabe1b836bbc7b8e78,53,0x660e77fee595354714d18e2ca4249e8af3d571d95988faf7f97543d9e47d24c4,0x63ac9aad0d59ed8179258b92890286696b2e6852,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0x9230224559051e916fa8807fc4eb6b3bc881d406,10000000000000000000000000,FTX Arena,ARENA,18,300,171433,21000000000,120849,13871266,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12489700
12572000,1622862428,0xaa0fda11af32f5979b5ca134117a47f5cfe6386618b8f283bbb8570b1be7818e,54,0x660e77fee595354714d18e2ca4249e8af3d571d95988faf7f97543d9e47d24c4,0x63ac9aad0d59ed8179258b92890286696b2e6852,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0xc5ae71c42c1c7cbf165882e716c26a60ddfff28c,10000000000000000000000000,FTX Arena,ARENA,18,310,171433,21000000000,120849,14647152,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12489700
12572000,1622862428,0x2ae5a4644ff864284f7d3906701dd32f5e523052b9462f2490f016120c63bb53,55,0x660e77fee595354714d18e2ca4249e8af3d571d95988faf7f97543d9e47d24c4,0x63ac9aad0d59ed8179258b92890286696b2e6852,0xf41508920bfc0e78e8080ca1603aba6a363fc587,0x90d9f88b901cf0b282bafaacbcca9be09d3cee69,10000000000000000000000000,FTX Arena,ARENA,18,311,171433,22000000000,120849,14768001,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12489700
