blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13382748,1633757894,0xe62e6fedc3c7aa1332613be375314020fe153898fd2e52ba52b1e9ac456b18fb,0,0x216bb5edbd6a2c5fdb667231098f00f04cd661ca04a629a2056183c9bed33dfb,0x0000000000000000000000000000000000000000,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xd5c2003212142499560ff8a9559951bb2a51a6e3,1000000000000000000000000000000000,NARUTO INU,NARUTO,18,176,1422791,69735529248,1422791,14756879,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",11678956
13382768,1633758120,0xc7df865074305220726c3d7dab6fda87082a439115d556a16b8d4aac79d81a6f,2,0x746eea01fcde5c3010807c4edae8ac14369ee12e188c920ea3dfd3ba371ed1dc,0xd5c2003212142499560ff8a9559951bb2a51a6e3,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,1000000000000000000000000000000000,NARUTO INU,NARUTO,18,167,3035535,63752849867,2713076,18242150,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",11678936
13382774,1633758198,0x435c2e35e029f676ce9efc4215f7083d5e3a8cd916e77138c444f55db10569f7,3,0x7b9776c8280a1eec4e4f9cd68763fcef31e125bb39789178e4a03f522a23d492,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x80037ce9ff109a3be398bd2ae3a8742323b57682,19550169617820656117026491754416,NARUTO INU,NARUTO,18,223,202291,76194478630,157800,18804372,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678930
13382781,1633758318,0xe9079d14d55d204921714ee31a6fa32c18c7b0fd3e87860256afaaf4494ea344,4,0x32dc0dbedd475433b378aa815a444157932a47cc9363b97f72a57b2ac6fa5964,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x0a59191116f13f4d182cdfddf060fc55da6e596b,9490650027583646182425940442157,NARUTO INU,NARUTO,18,250,164073,83471245947,123600,26708970,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678923
13382792,1633758499,0x807fd8fe746cf8d0b3e2f4597a7de9354be55c804db0de38ffec3311d84126b9,5,0x131e1fa8d9d98561b65634c32d455b5420b52a029260d54239608a0e29423c72,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x182141f21093ee476ad3e35d79861844ece330b6,4676619964605921393099638763363,NARUTO INU,NARUTO,18,130,164073,75930832615,123600,11761320,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678912
13382809,1633758834,0x5abb620801f9c60a00e941345ab092b4ce011a7362ca6fe2ba8912ea830d79ce,6,0x9431cc7a68d83654c66bdc61026a2b0db09d95d74bc91c79527860c353382d00,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x82998d2d08c4eaa1e989d13d9d849949abf75b52,156089389615816559782651585426594,NARUTO INU,NARUTO,18,301,164087,81537786712,123612,25721704,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678895
13382817,1633758889,0x273910399e09c4cc54cb82716e7b2433a67d2a280943002da62fd7ec6406d40e,7,0xcf6e9a4edca0d308c65db5b56f3560d0d205cbcebaf3aa81ba75dbaf9b78d0c6,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x1cc0c7f552bbf6a0941fd906e2dddf945846fbc5,102277531786499448924584950511253,NARUTO INU,NARUTO,18,335,164087,73447323912,123612,21041880,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678887
13382820,1633758928,0x6cf743a1b27627532a335c1611cad3355434fa5f59b59419fbf47e77cacdc92a,67,0xd6df57fd1a8d416c709c60afe2c79bf84155bb96bf28f91e9c2ac6cca641944a,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x16a91ca3cc78a2ace00c3b3c227478500d3543d9,102445614879304295781681823119,NARUTO INU,NARUTO,18,194,178989,85115001892,123600,9507383,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678884
13382829,1633759076,0x0cb9abeb424680b82c1092518016d0afd7c106a8313901a20d350750b52abe1c,8,0x9a06c4974ecd6940e238aa4d3890cecaf4cf239654714ca580cbe455c94a9f88,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x32d0fe46369a193e7916706a558b827128e90752,37789677183490384863628379614255,NARUTO INU,NARUTO,18,353,164073,76649683569,123600,25107532,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678875
13382870,1633759876,0x50064db30dd02e6aec514d589deb50f1379e79dc6eae15be1fdb391985069b3a,10,0xbd57179ddb00cbde350864b7487ce44cc0e588b6ecfb249d58b1ea8f667df443,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x42609514dd50b6fe19de124cd2397c3dcc7def12,17418282169200342675715534118421,NARUTO INU,NARUTO,18,213,164073,77994632085,123600,18578978,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678834
13382879,1633760080,0x5726f6ebce2336130cd5f0980f22b38d5b0dd5e8b2854ee0097910def2d60267,11,0x4541b1f639a98eba46639b189ea37ab21ab5c61f1889bb5d6bd443cf33c75b7b,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x737c15b8bedbfd8c0f4972b0f1c53e0fd5ed9b55,39822440823439774689197156265422,NARUTO INU,NARUTO,18,64,164073,93809931627,123600,4376766,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678825
13382881,1633760141,0xb5e812229e96fcfe894137f224e2a91b2b6b64199bb9a0fec2fd020a3b47d511,118,0x96cbb88659a32e21759b1d22cc1b8f9046d874f0654b05d7b1003f91298cbc40,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xcf69cbe29940b637b0dd503597a7d0562f9a13af,224231412657377217687493280816,NARUTO INU,NARUTO,18,101,166291,109535133499,123600,7933399,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678823
13382884,1633760163,0x0fa53f978596a16435eb6efbc197c9f0c58329522162bdd6bfe23aebc6ff2037,12,0x62d9e8497bd62b000f7f244bab74e81067eb6893d06077465fa82646d8c3771f,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xc025c03e10f656d3ee76685d53d236824d8ef3da,1490690911114873788364239617878,NARUTO INU,NARUTO,18,105,152420,87009153553,123588,7614939,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678820
13382890,1633760189,0x03f4214808ab5544dfe959556b5fe5dfb86db5e52aefd75eab30d149b3b319da,13,0x376857ce4760bff8342c54511eb41f2be3fca15a3bc2b0a5f62123a4f8c0306d,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x95e4aea910b4a8dab9bd9457b4c5e11634cdfe4a,7345879653515598137755258702200,NARUTO INU,NARUTO,18,203,164073,67720615337,123600,20354785,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678814
13382906,1633760446,0x8233ee2ed93ada071ab53483f2374747486a1491c34e367ffba3dfa58779ffb3,14,0x25b6a6780603fd1dc21f67090f8ae49aff9783e235ea7b0cc370e58db26fa1ac,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x4dd49d4794ee2e36f50b70238ae5575b823eb08b,5750546012794386120372813764443,NARUTO INU,NARUTO,18,45,164073,89883988609,123600,3134566,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678798
13382907,1633760454,0x67f568778127ce74921a18575d861a0d58b53a196197939b95da5e0ba6116d49,15,0x6aa96aefbacbf177e7f1e881ad8348c26b04f184f7b57da4160b81c05df08114,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x21e99fb04f7a9a97f6aa2881031a2eb374f84a7a,1000000000000000000000000000000,NARUTO INU,NARUTO,18,119,171106,82688137921,130967,6154874,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11678797
13382914,1633760544,0x9c15f6c8ad99ac31ad043662cc7b1dc2f37fc477758652b020719cd563fd2ae5,16,0x3b9f95bc4dcbd8dba5b3ca25e89db1b7ee5f3287b27208022837f9ca98612803,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xf09195713f53b6099a735624cf414e5863dd4543,20554118743336710796372494353971,NARUTO INU,NARUTO,18,212,164073,82688158595,123600,13580114,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678790
13382919,1633760663,0x9871913a6e3505640dd5cbdc6e805846cdd657569dbd9048a08d3c2d35e4f978,17,0xfa8e0678d31ece710ab56a4fe4dc91eda1c480d3d555ca2d2a79d377aa4ac8a9,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x18c5783d303791a57c684dc8b82ad8b7015aea05,5000000000000000000000000000000,NARUTO INU,NARUTO,18,268,171106,89906478769,130967,22008539,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11678785
13382923,1633760719,0xab7d5553fc0bcfc535ebaf865cee1487bd0b0c6a99c6208133deaedced82c29d,18,0x7f54a157010ff9bd5017bf44375c1344ce72879e161d746b1e26b4fd604b4d5b,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xa480381a993429d7e571cfc447d753087228d03c,30752620157906748313400689637139,NARUTO INU,NARUTO,18,146,164087,98588881182,123612,12447261,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678781
13382944,1633760988,0x720de4a46fd49696dd3bd9abcf5013729b65b89e6b75609426d5fe8bb85314f8,19,0xb704647f7c2850f557325f6ccc692d64c56b8d0bc1ec7d9dd087765b31cf3937,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xccc7bdccfdccc15b392f090f8de2ac5d35c820a1,14165316153962169976685473779281,NARUTO INU,NARUTO,18,91,164073,88504445861,123600,4809053,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678760
13382978,1633761418,0x9c430bb3f329ded18e2d4a14d8625c3e664f09ef56a9ddc3bcfceecece28bf36,20,0xa1fa2750decaa6cb44156ac7a73c5e1a84b0a735a06fecd5542f518da1954dc8,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x2663a3d83cb0e710b56cb1aee967b6490fdc3d62,3000000000000000000000000000000,NARUTO INU,NARUTO,18,114,171106,83925721275,130967,5410085,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11678726
13383010,1633761827,0xd0765b74a8e63dbf7b9a6de7c07114ea704afa6092235bfec3d6f29a815e87c9,21,0xe5b3fd980f172c0d840f047454db74d8939c53af008aedfbf66ef6a5e83a82c0,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x95e4aea910b4a8dab9bd9457b4c5e11634cdfe4a,70758109589216864692451683686689,NARUTO INU,NARUTO,18,324,144977,70988853741,106512,25263336,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678694
13383016,1633761939,0xb76d4570b437ebc52bf57aa4bbe5a12c97f2299c998e7c8ea414148b01570d37,22,0xd1ff4e6d8841486f35daed1961792071ae3d07eec58fc207b908b5610c4541b3,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x2aa13f9d93b29032e6e317f0ac32abfb7334a5ca,4041550355976463374722237232280,NARUTO INU,NARUTO,18,100,164073,77882793431,123600,6199304,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678688
13383024,1633762073,0xabb9acae5ad67d2c6aea052df82931e8ccc2438ffcd1568c62ff508001813393,23,0xd02123775ee76b00b8e73337728a363026f88ccfe3d1f7118085f1b7e3cb3678,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x9f242fec6f0e509030421e3f2c2546dbf9d9572f,1198400051962447444047213312861,NARUTO INU,NARUTO,18,45,164073,79400816245,123600,4035143,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678680
13383032,1633762180,0xce4cedfd5fb2a4417c7edd412c739cfdf16881b67028762d58428c08d361118e,95,0x81b2b7246de77dc1c6b0bcb88271ddce9a58551cbc26bbf452dda84489a23a1b,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x6a8005a3df763044f2326d16c1094aaec0b67472,11951578052678824514009361245,NARUTO INU,NARUTO,18,193,178975,79778556595,123588,11782288,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678672
13383058,1633762716,0x036e5396763eb54c692ead43d144bb5bd8f56f6d9c1d4ce6ac9d9c8f302447bf,24,0x4ed2453e4114f0d59b173ae8444cc5d5d3e834c454483022c027961c9843d31b,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x8e6a20a06b870b877132c08a767ca0f8b76f8228,8000000000000000000000000000000,NARUTO INU,NARUTO,18,101,171092,89566484113,130955,12357312,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11678646
13383063,1633762792,0xfd4a62eff7c7cdc6cb09b3484d2c91752b8dff5c0f2946870f9d3e53c2b29e0c,4,0xd5669a20123428e2398ef77573f0147bbc6a8c269504d78b57a9908400a96cb8,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x6d941efbbd47ffdea6e5924ec72b5874bc5d9b8b,107560307548924999114534436396,NARUTO INU,NARUTO,18,341,178989,79200000000,123600,24662671,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678641
13383064,1633762825,0x64710888eb43973153dbeb83c0dcf6a3258017ceb5133cb744e017a6327a1a65,25,0xa3e3958f5a4deae34772aaa68bf61f7a93d3649a1494b57a07edcf5572233908,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xf330478fc27dc89bf1405cbc398fdc67dde4d936,11227092407721149048500749404497,NARUTO INU,NARUTO,18,124,164073,88793826116,123600,12351966,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678640
13383082,1633763059,0x280a1d199864faa88bd1d7d518143c2c0a675987c123a0f8295b7ad5ed6ea547,26,0xd9b34da1aba3720296011d7f4637bf36adb358c507dad96594c0f8eecdc84e8d,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xfd86c5d686d8cb6d24d1a4e4184bcfd94c11e1bc,800000000000000000000000000000,NARUTO INU,NARUTO,18,167,171092,74265350112,130955,12653825,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",11678622
13383113,1633763441,0x337a6f7797dc60ac7bf447cc656adae0d62109e28713f9b2d01fd0401968e9f1,27,0x42d51b543db5f580bab54c2962edb031a1d784fb9ea83252cf3246d28f59e75a,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xe9dd435bd16ac8c985e5867d2566b7cdb080564c,4671052229432166721291415913031,NARUTO INU,NARUTO,18,91,164073,64372204911,123600,10106050,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678591
13383119,1633763509,0xf476607b040f93de2da675b3c01181a999dab459dcd61ebff3001baceb753226,0,0x433a66c0d352c15c2b3ac4183c9605cadb7c08264eec7f6d429eb866a766965a,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xba493ce0f77c0e7236a7d61a2e6c9c89e911b1c2,35534281479132250140922279788,NARUTO INU,NARUTO,18,80,178975,72489880990,123588,5511084,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678585
13383210,1633764584,0x0a16e609e721f17b4f69ee4c700f2c4ad18723ae01c4e064c37fea6d63ee62ad,28,0x432a71af3996b845ea63a966919e27146e9f36c72901cbf6cc51d26b6aaf6691,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x7c8e4498bd6019603ebdd1f933499395b346f06b,6988750643957740639024376292390,NARUTO INU,NARUTO,18,208,164073,67923353813,123600,20067273,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678494
13383228,1633764886,0x4595d34e11a43cf0d8ee3b307f5f8c146c492e760335afae7fc0d0726a54c9ad,238,0x02de7b0df832fa9a6cf2e64c43f944939eca7b628dcaac5afa57fb775f3c9b80,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x94e662dcbfca4cbed2b248e9569358672c4f4b0b,120240000676758563508357449624,NARUTO INU,NARUTO,18,70,178989,79151696035,123600,4323346,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678476
13383441,1633767709,0xeef0e8dde7b5e580709de396e0b4f162ffa4df5bc86c9b58634bc909282e500b,15,0xe6878e879e36a808ddb2d61292e227e4283d01628bd9a326471160c97bd1ee98,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xabedf8ceffdcce76a7e91604f2b0d471d275e061,103007413804712632416807430043,NARUTO INU,NARUTO,18,186,178989,63309593005,123600,10609939,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678263
13383628,1633770305,0xedf15ce326bb4679a4c2c6e732271cd3b22ee56fe1479223d63e83672359be10,0,0xe7b0a3a021818b4da4178694058c1f1925775cd154361e4082140059c7d94e5a,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x52b55680c4b76a58f96441de93fa83f30c8c205a,181854877144723137233231364425,NARUTO INU,NARUTO,18,215,178989,71000000000,123600,12720638,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11678076
13383709,1633771277,0x052250bce45c4db7d2875df8477b45e4789be35afb9c5bc679bd76f2abfb35c1,6,0x5d57c1dcfecb0eb65da8ed70bfa803336795ee6104f51e6f2c9925a2dcbaad90,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0x8c383447e7bb6851cbe524b2a05fa531625f0725,29150552939234997895054117965,NARUTO INU,NARUTO,18,160,178975,75224426792,123588,8168110,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11677995
13384104,1633776585,0x69b0b220b857d3ef7726fe8b248a14b819520044ab43d7b5a08c032ec196b4e4,29,0x89235945386707ae4e77f77ce28ad71fc5a9383ba90ece8639e131888c766cf7,0xfe5937d85ddab0a8be861ecc8968d4fd08ee7926,0xf5a12f67d2a53b5af7478b85da5c622101c2ff34,0xc771e9fb3e9a0390037c3a9211b2c4b433457f97,16466225564237131808002892011217,NARUTO INU,NARUTO,18,129,164073,53044794112,123600,16017414,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",11677600
