No.,Chain,address,Losses,Type,Root Causes,Sources,URL
1,ETH,0xc3c51c071e5f1eca09575ac35e90956ae3b27311,"$255,000",Combination,Combination,De.Fi,https://twitter.com/De_FiSecurity/status/1676799261659348992?s=20
2,BSC,0x71c349eecc025f1b618f7674ad5efcb9dda135e9,"$398,748",Combination,Combination,PeckShield,https://twitter.com/PeckShieldAlert/status/1592708485724372992?s=20
3,ETH,0x05c9b6764a153faf4262d3885a845af694775953,"$60,000",Combination,Combination,Certik,https://twitter.com/CertiKAlert/status/1673543606496550913?s=20
4,ETH,0x820ba67398c3ea745eb8766fd3f444a92d4de316,"$67,971",Combination,Combination,Beosin,https://twitter.com/BeosinAlert/status/1674973739476459524?s=20
5,ETH,0x4876c5892d975780405f1b73802221b2850feb8e,"$237,272",Combination,Combination,De.Fi,https://twitter.com/De_FiSecurity/status/1676094746475864065
6,ETH,0x7e3e6DB63aAa23f25fdD97064093681dfDFf5A07,"$78,000",Combination,Combination,Web3 Security Expert,https://twitter.com/shoucccc/status/1648890881964146690
7,ETH,0x8Cd8f4eB3C2dF2aaa4B4953C81E80Dae69824325,Unknown,Combination,Combination,Web3 Security Expert,https://twitter.com/shoucccc/status/1648890881964146690
8,BSC,0x1c5E99C04A1FCC474cDFDEC39b80aDD760c0C713,"$105,553",Combination,Combination,Beosin,https://twitter.com/BeosinAlert/status/1558653959924957184
9,BSC,0x448F861728F4Ed28914f42B4C8C0ff70b8bD637B,"$300,000",Combination,Combination,Beosin,https://twitter.com/BeosinAlert/status/1599690223621111808
10,BSC,0x31D9BB2d2e971f0F2832B32f942828E1F5d82Bf9,Unknown,Combination,Combination,Check Point Research,https://research.checkpoint.com/2022/scammers-are-creating-new-fraudulent-crypto-tokens-and-misconfiguring-smart-contracts-to-steal-funds/
11,BSC,0x8ed9C7E4D8DfE480584CC7EF45742ac302bA27D7,Unknown,Combination,Combination,Check Point Research,https://research.checkpoint.com/2022/scammers-are-creating-new-fraudulent-crypto-tokens-and-misconfiguring-smart-contracts-to-steal-funds/
12,ETH,0xdC1A16194E246a7483780b65f52fE197742c8ae1,"$132,742",Combination,Combination,Web3 Security Expert,https://twitter.com/lorem___/status/1578208297412427777
13,BSC,0x4749a5f83F6F003440cB4B6aD1628d39E900D0c4,Unknown,Combination,Combination,Beosin,https://mp.weixin.qq.com/s/qTR5TGe5_LIhySjTWpuS0w
14,BSC,0xdc2ce29256a7f44c3a291f8c08d575593455bc39,"$107,500",Combination,Combination,PeckShield,https://twitter.com/PeckShieldAlert/status/1717060576705237010
15,BSC,0xCDD6494aEB193C8d5541b5B9c5e72a3809A98fdc,"$1,037,288",Combination,Combination,Certik,https://www.certik.com/resources/blog/nuy546zklYCih8ds6zvrw-revisiting-decentraworld
16,ETH,0x1B78F8403db4De43A92d5D12336AFc8b1c1d4086,Unknown,Destroy Token,Burn,Beosin,https://twitter.com/BeosinAlert/status/1682275112471625728
17,ETH,0x4f2c4dffa2f1b0c8695057d3a66b8e1a462f5834,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
18,ETH,0x6ea6531b603f270d23d9edd2d8279135dc5d6773,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
19,ETH,0x19c366386ed73c276ebf883d9c29a4d9208f54e1,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
20,ETH,0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
21,ETH,0x99bc08db67f52010f2d6017b7ad968808113db10,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
22,ETH,0x574f84108a98c575794f75483d801d1d5dc861a5,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
23,ETH,0x662abcad0b7f345ab7ffb1b1fbb9df7894f18e66,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
24,ETH,0x744d70fdbe2ba4cf95131626614a1763df805b9e,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
25,ETH,0x765f0c16d1ddc279295c1a7c24b0883f62d33f75,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
26,ETH,0x0794ce7d4459105926da230f318c1e34bc790517,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
27,ETH,0x814f67fa286f7572b041d041b1d99b432c9155ee,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
28,ETH,0x1829aa045e21e0d59580024a951db48096e01782,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
29,ETH,0x2396fbc0e2e3ae4b7206ebdb5706e2a5920349cb,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
30,ETH,0xafaefa2a7c7aab9f8b047268500035514487ef0a,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
31,ETH,0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
32,ETH,0xc7c03b8a3fc5719066e185ea616e87b88eba44a3,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
33,ETH,0xcbeaec699431857fdb4d37addbbdc20e132d4903,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
34,ETH,0xd0d932c9f78583d297e487a7965223d0fe1008c8,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
35,ETH,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
36,ETH,0xe7d3e4413e29ae35b0893140f4500965c74365e5,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
37,ETH,0xea38eaa3c86c8f9b751533ba2e562deb9acded40,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
38,ETH,0x0cb8d0b37c7487b11d57f1f33defa2b1d3cfccfe,Unknown,Destroy Token,Burn,Pied-Piper,https://github.com/EthereumContractBackdoor/PiedPiperBackdoor/blob/main/Backdoor_List.md
39,BSC,0x9639d76092b2ae074a7e2d13ac030b4b6a0313ff,"$2,270,000",External Call,External Call,Numen,https://www.numencyber.com/circulatebusd-rugpull-analysis/
40,BSC,0x6Fdae33fcC7Ab73743454A0d70347E3f3213B16a,"$104,114",External Call,External Call,Ancilia,https://twitter.com/AnciliaInc/status/1567348638665560064
41,BSC,0x8deDE57516ceEE26590D27aD75b2585f38Ac66C1,"$109,000",External Call,External Call,AegisWeb3,https://twitter.com/AegisWeb3/status/1684440005354336256
42,BSC,0xaE21BFe30aFf40A66Bc9a950D61C1a6B1c82Ad2A,"$2,600,000",External Call,External Call,Certik,https://www.certik.com/resources/blog/5dOgvrjbUrh38V2kU846nM-fut-incident-analysis
43,BSC,0x996F581341881A796481916C6B3f34f1B74Ffcdf,"$82,263",External Call,External Call,HashDit,https://twitter.com/HashDit/status/1712351173531894225
44,ETH,0x2AE38b2b47BF41Ba4aB8F749B092FDd02b00bc1e,"$80,000",External Call,External Call,Check Point Research,https://research.checkpoint.com/2023/crypto-deception-unveiled-check-point-research-reports-manipulation-of-pool-liquidity-skyrockets-token-price-by-22000/
45,ETH,0x16756EC1DEb89A2106C35E0B586a799D0A61837D,"$1,173,805",External Call,External Call,Certik,https://twitter.com/CertiKAlert/status/1516600521540390914
46,ETH,0xb504035a11E672e12a099F32B1672b9C4a78b22f,"$1,300,000",Fake LP Lock ,Fake LP Lock,Certik,https://twitter.com/CertiKAlert/status/1716554530010157508
47,BSC,0x7f19bF116B0F0a4af7d4464CbF584fE75a243fc9,"$60,000",Fee,Fee modification,QuillAudits,https://medium.com/@quillaudits/analyzing-backdoors-in-scam-token-contracts-quillaudits-d426c06199bb
48,ETH,0x25febd7c860b50c79dd38815a451b08f74b7cee5,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
49,ETH,0xc63083fb57d30a744a95959bea21a8f37362fc9f,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
50,ETH,0x3f3c4047ad966abbaa08082e32c6932c145c36d0,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
51,ETH,0x455c31c92810770bcdaeec9287e45b7979aa1e60,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
52,ETH,0x228fb8d52623f7d948659883664a0618e3c71669,Unknown,Fee,Fee modification,From Programming Bugs to Multimillion-Dollar Scams: An Analysis of Trapdoor Tokens on Uniswap,https://github.com/bsdp2023/trapdoor_data/blob/main/trapdoor_list.csv
