blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
4034091,1500281261,0xd1c98a69e00915fc49d13547191effaed3b0dba86d02f0f88cab04651a9741d9,56,0x7b3dd0efd541902e747bb998c6588fb492bb7e5f13c160a2f33caf1632e5e272,0x0000000000000000000000000000000000000000,0x0abdace70d3790235af448c88547603b945604ea,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,820000000000000000000000000,district0x,DNT,18,37,300000,22105999998,194876,1514909,deprecated,0xdd8bf1f5,setDistrict0xNetworkToken(address _district0xNetworkToken),21027423
4034091,1500281261,0xd1c98a69e00915fc49d13547191effaed3b0dba86d02f0f88cab04651a9741d9,56,0x7b3dd0efd541902e747bb998c6588fb492bb7e5f13c160a2f33caf1632e5e272,0x0000000000000000000000000000000000000000,0x0abdace70d3790235af448c88547603b945604ea,0xd20e4d854c71de2428e1268167753e4c7070ae68,180000000000000000000000000,district0x,DNT,18,37,300000,22105999998,194876,1514909,deprecated,0xdd8bf1f5,setDistrict0xNetworkToken(address _district0xNetworkToken),21027423
4034107,1500281504,0xa6d8258b25b672fc58e4d80f13dee555875e5a52c8ecbf1bd54d121a6b98750d,58,0x94e9e704b9511283dc7e743eae6b1e130b530d0295e59902cd65f7fab28ead29,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,0x0abdace70d3790235af448c88547603b945604ea,0x0e90d8f85fc3107df47d20444244feaa824d1082,119000000000000000000000000,district0x,DNT,18,8,3000000,4105999998,1391771,1622359,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21027407
4034107,1500281504,0xa6d8258b25b672fc58e4d80f13dee555875e5a52c8ecbf1bd54d121a6b98750d,58,0x94e9e704b9511283dc7e743eae6b1e130b530d0295e59902cd65f7fab28ead29,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,0x0abdace70d3790235af448c88547603b945604ea,0xa8dc2b53ecebeaa641ebb0601a69fbf936ee04f4,79000000000000000000000000,district0x,DNT,18,8,3000000,4105999998,1391771,1622359,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21027407
4034107,1500281504,0xa6d8258b25b672fc58e4d80f13dee555875e5a52c8ecbf1bd54d121a6b98750d,58,0x94e9e704b9511283dc7e743eae6b1e130b530d0295e59902cd65f7fab28ead29,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,0x0abdace70d3790235af448c88547603b945604ea,0x00e5cdd4b7b3a78a4277749957553371cb6b2310,5000000000000000000000000,district0x,DNT,18,8,3000000,4105999998,1391771,1622359,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21027407
4034107,1500281504,0xa6d8258b25b672fc58e4d80f13dee555875e5a52c8ecbf1bd54d121a6b98750d,58,0x94e9e704b9511283dc7e743eae6b1e130b530d0295e59902cd65f7fab28ead29,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,0x0abdace70d3790235af448c88547603b945604ea,0x518611649ee8fefed0a4da3d47bab213c79ce9b5,5000000000000000000000000,district0x,DNT,18,8,3000000,4105999998,1391771,1622359,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21027407
4034107,1500281504,0xa6d8258b25b672fc58e4d80f13dee555875e5a52c8ecbf1bd54d121a6b98750d,58,0x94e9e704b9511283dc7e743eae6b1e130b530d0295e59902cd65f7fab28ead29,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,0x0abdace70d3790235af448c88547603b945604ea,0xdbd6ffd3cb205576367915dd2f8de0af7edcceef,5000000000000000000000000,district0x,DNT,18,8,3000000,4105999998,1391771,1622359,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21027407
4034107,1500281504,0xa6d8258b25b672fc58e4d80f13dee555875e5a52c8ecbf1bd54d121a6b98750d,58,0x94e9e704b9511283dc7e743eae6b1e130b530d0295e59902cd65f7fab28ead29,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,0x0abdace70d3790235af448c88547603b945604ea,0x61ef0722fb8c4f11cb2f0091ea1dc22b6dff89c1,1000000000000000000000000,district0x,DNT,18,8,3000000,4105999998,1391771,1622359,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21027407
4034107,1500281504,0xa6d8258b25b672fc58e4d80f13dee555875e5a52c8ecbf1bd54d121a6b98750d,58,0x94e9e704b9511283dc7e743eae6b1e130b530d0295e59902cd65f7fab28ead29,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,0x0abdace70d3790235af448c88547603b945604ea,0x8f077c8b4876004ef3549ceebf312d36f5b109ef,1000000000000000000000000,district0x,DNT,18,8,3000000,4105999998,1391771,1622359,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21027407
4034107,1500281504,0xa6d8258b25b672fc58e4d80f13dee555875e5a52c8ecbf1bd54d121a6b98750d,58,0x94e9e704b9511283dc7e743eae6b1e130b530d0295e59902cd65f7fab28ead29,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,0x0abdace70d3790235af448c88547603b945604ea,0xb58f2c5431ba945d765e92c14990bed40990f719,5000000000000000000000000,district0x,DNT,18,8,3000000,4105999998,1391771,1622359,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21027407
4035379,1500307177,0xca10103ee6d968fa528f9aa946c3e2d63bca15822606ca40de0fe9d9b1785a54,60,0xf861dcbadcc12a3ea224ca8a55ce08c97178a489acb5f57f7c23ac6e5a54e3d1,0x0e90d8f85fc3107df47d20444244feaa824d1082,0x0abdace70d3790235af448c88547603b945604ea,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,119000000000000000000000000,district0x,DNT,18,80,3900000,4000000000,1598547,4336828,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21026135
4035379,1500307177,0xca10103ee6d968fa528f9aa946c3e2d63bca15822606ca40de0fe9d9b1785a54,60,0xf861dcbadcc12a3ea224ca8a55ce08c97178a489acb5f57f7c23ac6e5a54e3d1,0x0e90d8f85fc3107df47d20444244feaa824d1082,0x0abdace70d3790235af448c88547603b945604ea,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,119000000000000000000000000,district0x,DNT,18,80,3900000,4000000000,1598547,4336828,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21026135
4035379,1500307177,0xca10103ee6d968fa528f9aa946c3e2d63bca15822606ca40de0fe9d9b1785a54,60,0xf861dcbadcc12a3ea224ca8a55ce08c97178a489acb5f57f7c23ac6e5a54e3d1,0xa8dc2b53ecebeaa641ebb0601a69fbf936ee04f4,0x0abdace70d3790235af448c88547603b945604ea,0xf8094e15c897518b5ac5287d7070ca5850efc6ff,79000000000000000000000000,district0x,DNT,18,80,3900000,4000000000,1598547,4336828,deprecated,0x23bba494,"setContribPeriod(uint256 _softCapAmount, uint256 _afterSoftCapDuration, uint256 _hardCapAmount, uint256 _startTime, uint256 _endTime)",21026135
