blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
10836209,1599769488,0x4836e3a0d98c5586d6e1b7aa58eeeee2dfdac0fc2e9d13d2c48a9e8910bf061c,5191,0xd08317d90105182d4e979642b98eb9d14dc909f8f1ca691d0a89203798243191,0x0000000000000000000000000000000000000000,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xd3d555bb655acba9452bfc6d7cea8cc7b3628c55,1000000000000000000,DefiPulse Index,DPI,18,69,850000,138603021480,766311,4808136,deprecated,0x6d78f47a,"issue(address _setToken, uint256 _quantity, address _to)",14225305
10836224,1599769700,0x55d023dc502aa96b07440affad740b8db9aa05952790138b610485293099bab7,5193,0x828f279b2a276fafd57ce77c2298e6ccfedbc623547f42e264c383fa930346f3,0xd3d555bb655acba9452bfc6d7cea8cc7b3628c55,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,1000000000000000000,DefiPulse Index,DPI,18,62,3021785,130000000000,2691725,8647229,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",14225290
10836224,1599769700,0x25358d927565937dfc211d4f2e763bdf1e003e693556123669f85839b81531e1,31,0x828f279b2a276fafd57ce77c2298e6ccfedbc623547f42e264c383fa930346f3,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xebb4d6cfc2b538e2a7969aa4187b1c00b2762108,665998663994655978,DefiPulse Index,DPI,18,65,300000,130000000000,130117,8939560,deprecated,0x3d153b41,,14225290
10836231,1599769739,0x935291c59f04ac372aeed30757a1199a151ce6033b53b9d7540712d043f52c57,876,0x613f69c096c41bf4a40c6d5ddeaeb9482038f43a6e1584b7a19283cdb0025d14,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xa215f1b06e7945d331f2df30961027123947a40d,39190223843395079,DefiPulse Index,DPI,18,4,198891,209000000000,154759,531871,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14225283
10836236,1599769787,0x85deb54fedc3b0634671140a7fa3a47924fbe36c724bc0243ccd62d858c4773f,28650,0x706227678f1793a6ed950a3dbed89347b5f9d4f54126ecf452ac65a1fe9d8592,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xab5ffdcbe8ae4c0c305aa5017f06141974cae591,108982824926015237,DefiPulse Index,DPI,18,0,1500000,500000000000,230390,230390,deprecated,0xee7d987b,,14225278
10836236,1599769787,0x85deb54fedc3b0634671140a7fa3a47924fbe36c724bc0243ccd62d858c4773f,28650,0x706227678f1793a6ed950a3dbed89347b5f9d4f54126ecf452ac65a1fe9d8592,0xab5ffdcbe8ae4c0c305aa5017f06141974cae591,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x7fe2153de0006d76c85cc04c8ea10bf4546c879e,108982824926015237,DefiPulse Index,DPI,18,0,1500000,500000000000,230390,230390,deprecated,0xee7d987b,,14225278
10836236,1599769787,0x85deb54fedc3b0634671140a7fa3a47924fbe36c724bc0243ccd62d858c4773f,28650,0x706227678f1793a6ed950a3dbed89347b5f9d4f54126ecf452ac65a1fe9d8592,0x7fe2153de0006d76c85cc04c8ea10bf4546c879e,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x7059010320d07a47d2ad54db88bb89ea644c3e6f,108982824926015237,DefiPulse Index,DPI,18,0,1500000,500000000000,230390,230390,deprecated,0xee7d987b,,14225278
10836242,1599769835,0x989b290ea641b4aa02f62bec8921d75225acdd0183accbe27412ed42957829d7,1390,0xde548a44028dd514f47daf419378a83f567ebeff9a6c048534d18ca2c80e06ae,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0xca55ae215caaf0d12601160211959ec6bd8f84e3,26478605455799043,DefiPulse Index,DPI,18,0,165367,400000000000,124759,124759,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14225272
10836243,1599769843,0xa9274dfa4f396d052851e9c6a0107865fa0ae3473f393f30fc3241b3a1e8bcfa,5464,0x868845c579e558cd516c84153c4ce7958a0e4e23e5bbd01160bbd64bc322a01f,0xebb4d6cfc2b538e2a7969aa4187b1c00b2762108,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,665998663994655978,DefiPulse Index,DPI,18,102,193362,226500000000,121841,2510545,deprecated,0x0e0aa113,,14225271
10836249,1599769925,0x84ce4c365b8e5355ae990133a83d85c5e6329fe7d1c9ab5385ea7d2a4bb33330,120,0x9dac3dc9fc96e9003f27bc8593bc755cfdc7986bb31ad17d94b05d68b5065515,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,0x2389ede1fe0fcf55d5957e365de7c60d03809489,147154799570544147,DefiPulse Index,DPI,18,54,283310,130000000000,239936,4005547,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14225265
