blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
3851355,1497113923,0xf125676c8aa70d8b15fe2011415286f91a89afdcc4c0956c012b81b5b16f4f1e,1,0x85c1cfc7fd0cfbf6d632636a47a490ae3780949d790838f71979020a987b7e94,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85,1000000000000000000,Bancor,BNT,18,31,164400,21000000000,137000,1193875,deprecated,0xb3cffc6e,contributeBTCs(),21210141
3851355,1497113923,0xf125676c8aa70d8b15fe2011415286f91a89afdcc4c0956c012b81b5b16f4f1e,1,0x85c1cfc7fd0cfbf6d632636a47a490ae3780949d790838f71979020a987b7e94,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x5894110995b8c8401bd38262ba0c8ee41d4e4658,1000000000000000000,Bancor,BNT,18,31,164400,21000000000,137000,1193875,deprecated,0xb3cffc6e,contributeBTCs(),21210141
3851433,1497115448,0xf68e53d4940740eacc8428670d1477295ffb4a02137d4b4a12d89850fe20c012,31,0x67b1f52f5434d36e5f841da3d8c67260a842e5b8d0832f59e953fb5ca95d3519,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x51a3ac2399c89ffa893b0f627c740c05193875a6,0,Bancor,BNT,18,69,48889,21000000000,40544,2493664,deprecated,0x475a9fa9,"issueTokens(address _for, uint256 tokenCount)",21210063
3860991,1497272344,0x5a9c1306ce7346e7540dae4dbf98a74ad5f7e1a65913112e4a35bc68a277a8f0,2,0x3d2dff105b23fdffd1e3a409cdc34c8f458384554985bf1f7000794c5a6c4ce5,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0xeb68aa2764b4a9a943658b2e61db4c902b2ebf85,1999999000000000000000000,Bancor,BNT,18,65,250000,24161021854,77000,2451492,deprecated,0xb3cffc6e,contributeBTCs(),21200505
3860991,1497272344,0x5a9c1306ce7346e7540dae4dbf98a74ad5f7e1a65913112e4a35bc68a277a8f0,2,0x3d2dff105b23fdffd1e3a409cdc34c8f458384554985bf1f7000794c5a6c4ce5,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x5894110995b8c8401bd38262ba0c8ee41d4e4658,1999999000000000000000000,Bancor,BNT,18,65,250000,24161021854,77000,2451492,deprecated,0xb3cffc6e,contributeBTCs(),21200505
3861203,1497276017,0x7c36cb2aaf1085c49f8786993fb2593e6080006a3d25c3605ae97bb333f095cd,1,0xfdc75785607db38712d2d287c39b73cf6bd69e2c04d586368f05d9527eebf17f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x5dacbdd20b9eafaaa30bfad3b2af1793036d65f3,200000000000000000000,Bancor,BNT,18,67,99000,50000000000,90748,2688026,deprecated,0x,,21200293
3861203,1497276017,0x7c36cb2aaf1085c49f8786993fb2593e6080006a3d25c3605ae97bb333f095cd,1,0xfdc75785607db38712d2d287c39b73cf6bd69e2c04d586368f05d9527eebf17f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x5894110995b8c8401bd38262ba0c8ee41d4e4658,200000000000000000000,Bancor,BNT,18,67,99000,50000000000,90748,2688026,deprecated,0x,,21200293
3861203,1497276017,0xdcab6e56839ef3b2065d82270c7edefb2a74345598373ef6c67e7e3d98459059,0,0xfdc75785607db38712d2d287c39b73cf6bd69e2c04d586368f05d9527eebf17f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0xc1137d2f9272f339f6fc6b8e249483f78a1e0ea3,219000000000000000000,Bancor,BNT,18,68,99000,50000000000,90748,2778774,deprecated,0x,,21200293
3861203,1497276017,0xdcab6e56839ef3b2065d82270c7edefb2a74345598373ef6c67e7e3d98459059,0,0xfdc75785607db38712d2d287c39b73cf6bd69e2c04d586368f05d9527eebf17f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x5894110995b8c8401bd38262ba0c8ee41d4e4658,219000000000000000000,Bancor,BNT,18,68,99000,50000000000,90748,2778774,deprecated,0x,,21200293
3861203,1497276017,0x6b8b02babf0d4cf75b2be9048542ae0f96e9d2a446c01bf925c3c38f2c426be9,34,0xfdc75785607db38712d2d287c39b73cf6bd69e2c04d586368f05d9527eebf17f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x27516b47c217b6cca6f1239ca892cc06a9f3e9bd,1000000000000000000000,Bancor,BNT,18,127,121000,42000000000,90748,4238135,deprecated,0x,,21200293
