blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13543763,1635940966,0xcf69adf76a85fb9f6f3293e24a1fc07a53e62ef9ccdd30706597e5290a65900e,1,0x56d751b2d7ff1c85126f6561f1441c40bf4d7c81e4ba39183bdb814b8e72e428,0x0000000000000000000000000000000000000000,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0xa2dee32662f6243da539bf6a8613f9a9e39843d3,1289596564525099921097,EURA (previously agEUR),EURA,18,221,386535,128813887519,315995,14482700,deprecated,0x074ee446,"mint(uint256 bet_id, address gameToken, address recipient, uint256 gameAmount)",11368948
13544018,1635944655,0xee3ef8759304237338007d99f70177acfe67bc888b3cf83667ef89d5973ff1f3,4,0x083d1853d998ef346d8ee6b11f36cc957c534fc02f4626d16b793718373ed1a0,0x0000000000000000000000000000000000000000,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0xe8172d1aaa9f0db3ea8bd40aef494c73d3ac8348,34357850533041869850344,EURA (previously agEUR),EURA,18,140,504192,198763833160,247620,10434516,deprecated,0x074ee446,"mint(uint256 bet_id, address gameToken, address recipient, uint256 gameAmount)",11368693
13544091,1635945764,0xfaacdc19ebc32cf761276c6ece9ad223c5bc853f3e3f6e024847a1d144a114da,6,0x8dcbda7af1cf9a2cfc071146c88bf550d2163995106739a66b8e8f5deedafb26,0x0000000000000000000000000000000000000000,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0xa2dee32662f6243da539bf6a8613f9a9e39843d3,1292210035408929959408,EURA (previously agEUR),EURA,18,381,280551,226586638861,230148,17275145,deprecated,0x074ee446,"mint(uint256 bet_id, address gameToken, address recipient, uint256 gameAmount)",11368620
13544119,1635946119,0x13c347f57d5223e77d2e744260d0283743768fb72c15485af8689997d3c747b1,57,0x0ebb876a6ba52053910dafd7a6401433423c504ad4e56284cf2a42d227f0faeb,0x0000000000000000000000000000000000000000,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x8330faaba3d4bb27ea70dd45b3180c737f6fc9b3,103165863909097551044656,EURA (previously agEUR),EURA,18,407,302558,183070950821,242856,19377221,deprecated,0x074ee446,"mint(uint256 bet_id, address gameToken, address recipient, uint256 gameAmount)",11368592
13544183,1635947061,0xd5983de14f7656a952d872c8732467f422720ff88d398c0a4301c67baa6cebfb,13,0x130c43e19d1b2a99c2abddd195e7fba9b41c32a2d3a47422ee49af863276688e,0x0000000000000000000000000000000000000000,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0xe8172d1aaa9f0db3ea8bd40aef494c73d3ac8348,21536833923482165990154,EURA (previously agEUR),EURA,18,108,218043,180098052911,178872,5976496,deprecated,0x074ee446,"mint(uint256 bet_id, address gameToken, address recipient, uint256 gameAmount)",11368528
13544284,1635948320,0x113802b3fd5018408cd6e1bcbe78b97d67f1690ff792ae7453e7e77cd2d6c18b,5,0xdc64ba906b71d05114d64be43adff0199048b65e0fa33993561e9503f579dfff,0x0000000000000000000000000000000000000000,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x29931342801b1c43e1276b125cffecc21265f782,1925304452739873909663,EURA (previously agEUR),EURA,18,218,239540,130001044041,191160,16410534,deprecated,0x074ee446,"mint(uint256 bet_id, address gameToken, address recipient, uint256 gameAmount)",11368427
13544761,1635954760,0xd194430895e45821fb650c719669ec38df1feb2e00339855f4770cd48ad1131c,20,0x0eaa87f549e19c4432a788b8702261795b87e1028f3c93e6b6f7d168c391ebd9,0xa2dee32662f6243da539bf6a8613f9a9e39843d3,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0xb1f2a25ffb2b095e99f430caf507cc31f9a3eaab,2500000000000000000000,EURA (previously agEUR),EURA,18,503,138660,140057141228,133668,28191591,deprecated,0xa694fc3a,stake(uint256 countryID),11367950
13544762,1635954792,0xa09b34d0a4cb4558ac2e04051b9c0456c1a61cbc4769bf502788f489783259e6,26,0xd41a3205604cb979f945024e91118223065bc1c670de5d9b565b1f2e2f547e3d,0xe8172d1aaa9f0db3ea8bd40aef494c73d3ac8348,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0xb1f2a25ffb2b095e99f430caf507cc31f9a3eaab,55894684456524035840498,EURA (previously agEUR),EURA,18,80,166435,150640044504,138198,5052980,deprecated,0xa694fc3a,stake(uint256 countryID),11367949
13544786,1635955034,0xde2ba69712c6b845158f1fdaa60efa69eb1545698f271ef8d77938ccf7e992f1,59,0xa269a3fa1e00babf2edc2219ae384cca3922a08dec52025cc9c02c6a9584c820,0x8330faaba3d4bb27ea70dd45b3180c737f6fc9b3,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0xb1f2a25ffb2b095e99f430caf507cc31f9a3eaab,101102546630915600023762,EURA (previously agEUR),EURA,18,97,157053,150183748203,125886,10897404,deprecated,0xa694fc3a,stake(uint256 countryID),11367925
13544814,1635955268,0x6ba111b903d269be0428626732e24bf71a8b9581f079980b11e42408a9accfe5,1,0x8ae8bbf4af1135ed718cd1312c12471713d2e88fed49fb564e8b916258aa6953,0x0000000000000000000000000000000000000000,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x527d8c5f9f7e0e29675cd1b9af9abdea0ee0f455,86125798860005181794627,EURA (previously agEUR),EURA,18,449,239569,125005398689,191184,28959580,deprecated,0x074ee446,"mint(uint256 bet_id, address gameToken, address recipient, uint256 gameAmount)",11367897
13544818,1635955345,0xa50f3ba3fe0f97b9172e9da73805c4314a5cd65ede2bada5ab5d4f27cafe750f,1812,0x9288bdabc41a5617ad52b65ed7f667396bcf89119f1f0a557bd43656fa370ef6,0x0000000000000000000000000000000000000000,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x391891af67e29d97e61e30c3036a0874f5da411e,8614733569392866396061,EURA (previously agEUR),EURA,18,275,239554,167252085057,202654,17150873,deprecated,0x074ee446,"mint(uint256 bet_id, address gameToken, address recipient, uint256 gameAmount)",11367893
