blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
13142784,1630539461,0xb18346299dbadddb4e8992b6f8c007c8d96f9527774a06e330f4cb4b8f91a958,57,0x3783f4bba84605ffa296db73fcbdb010caf0542b460035d7bed4129db02fd0e2,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0xf73fe15cfb88ea3c7f301f16ade3c02564aca407,10000000000000000000000,Adventure Gold,AGLD,18,201,165540,82864961367,110360,17888417,deprecated,0xcbf0b276,claimAllForOwner(),11769927
13142950,1630541604,0xb625ec0c7a85ef2842b1a0e70ba2d546a0113eeedc26c1dca29ab6d4f271ed9b,305,0xd8612316d81529ccc73faf26318594a50cc4dffbbe0553ccf7a14a514f889fff,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0x8de3c3891268502f77db7e876d727257dec0f852,10000000000000000000000,Adventure Gold,AGLD,18,71,134664,89908976419,89776,10417048,deprecated,0xbecf7741,claimById(uint256 tokenId),11769761
13142966,1630541770,0xd17fc982b897e1406dc0838dda98589cd47d337e9106548313f2f871db3eaaff,61,0x1605392466b635d4eb1552f66832ade6da40a904b00566502b4ba3bdb08ab6a8,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0xdd3767abcab26f261e2508a1da1914053c7dda78,10000000000000000000000,Adventure Gold,AGLD,18,163,538359,71000000000,358698,24731506,deprecated,0x878e7ea5,"claimRangeForOwner(uint256 ownerIndexStart, uint256 ownerIndexEnd)",11769745
13142966,1630541770,0xd17fc982b897e1406dc0838dda98589cd47d337e9106548313f2f871db3eaaff,61,0x1605392466b635d4eb1552f66832ade6da40a904b00566502b4ba3bdb08ab6a8,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0xdd3767abcab26f261e2508a1da1914053c7dda78,10000000000000000000000,Adventure Gold,AGLD,18,163,538359,71000000000,358698,24731506,deprecated,0x878e7ea5,"claimRangeForOwner(uint256 ownerIndexStart, uint256 ownerIndexEnd)",11769745
13142966,1630541770,0xd17fc982b897e1406dc0838dda98589cd47d337e9106548313f2f871db3eaaff,61,0x1605392466b635d4eb1552f66832ade6da40a904b00566502b4ba3bdb08ab6a8,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0xdd3767abcab26f261e2508a1da1914053c7dda78,10000000000000000000000,Adventure Gold,AGLD,18,163,538359,71000000000,358698,24731506,deprecated,0x878e7ea5,"claimRangeForOwner(uint256 ownerIndexStart, uint256 ownerIndexEnd)",11769745
13142966,1630541770,0xd17fc982b897e1406dc0838dda98589cd47d337e9106548313f2f871db3eaaff,61,0x1605392466b635d4eb1552f66832ade6da40a904b00566502b4ba3bdb08ab6a8,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0xdd3767abcab26f261e2508a1da1914053c7dda78,10000000000000000000000,Adventure Gold,AGLD,18,163,538359,71000000000,358698,24731506,deprecated,0x878e7ea5,"claimRangeForOwner(uint256 ownerIndexStart, uint256 ownerIndexEnd)",11769745
13142966,1630541770,0xd17fc982b897e1406dc0838dda98589cd47d337e9106548313f2f871db3eaaff,61,0x1605392466b635d4eb1552f66832ade6da40a904b00566502b4ba3bdb08ab6a8,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0xdd3767abcab26f261e2508a1da1914053c7dda78,10000000000000000000000,Adventure Gold,AGLD,18,163,538359,71000000000,358698,24731506,deprecated,0x878e7ea5,"claimRangeForOwner(uint256 ownerIndexStart, uint256 ownerIndexEnd)",11769745
13142966,1630541770,0xd17fc982b897e1406dc0838dda98589cd47d337e9106548313f2f871db3eaaff,61,0x1605392466b635d4eb1552f66832ade6da40a904b00566502b4ba3bdb08ab6a8,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0xdd3767abcab26f261e2508a1da1914053c7dda78,10000000000000000000000,Adventure Gold,AGLD,18,163,538359,71000000000,358698,24731506,deprecated,0x878e7ea5,"claimRangeForOwner(uint256 ownerIndexStart, uint256 ownerIndexEnd)",11769745
13142966,1630541770,0xd17fc982b897e1406dc0838dda98589cd47d337e9106548313f2f871db3eaaff,61,0x1605392466b635d4eb1552f66832ade6da40a904b00566502b4ba3bdb08ab6a8,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0xdd3767abcab26f261e2508a1da1914053c7dda78,10000000000000000000000,Adventure Gold,AGLD,18,163,538359,71000000000,358698,24731506,deprecated,0x878e7ea5,"claimRangeForOwner(uint256 ownerIndexStart, uint256 ownerIndexEnd)",11769745
13142966,1630541770,0xd17fc982b897e1406dc0838dda98589cd47d337e9106548313f2f871db3eaaff,61,0x1605392466b635d4eb1552f66832ade6da40a904b00566502b4ba3bdb08ab6a8,0x0000000000000000000000000000000000000000,0x32353a6c91143bfd6c7d363b546e62a9a2489a20,0xdd3767abcab26f261e2508a1da1914053c7dda78,10000000000000000000000,Adventure Gold,AGLD,18,163,538359,71000000000,358698,24731506,deprecated,0x878e7ea5,"claimRangeForOwner(uint256 ownerIndexStart, uint256 ownerIndexEnd)",11769745
