blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
11348423,1606584722,0x146db1a46cfbcae4af91a74c64878ee951cc135f12910516fae05b3c69e19905,1,0x8e3fdb1eed132d88feffa1a50b62f6c21395ce7e45a04eb797a38e3443622a18,0x0000000000000000000000000000000000000000,0x3472a5a71965499acd81997a54bba8d852c6e53d,0xda25ee226e534d868f0dd8a459536b03fee9079b,21000000000000000000000000,Badger,BADGER,18,15,7863154,14100000000,6935718,7889987,deprecated,0x885b48e7,"newTokenAndInstance(string _tokenName, string _tokenSymbol, string _id, address[] _holders, uint256[] _stakes, uint64[3] _votingSettings, uint64 _financePeriod, bool _useAgentAsVault)",13713066
11381099,1607017764,0x59a93db347c7850292cc3c9a0cee3e23469274a97a68340ee660315f5e0a77bd,194,0x8e35155d1794d7699025b25e8029b11d1561e54079263e0fd7243bca969489ba,0xda25ee226e534d868f0dd8a459536b03fee9079b,0x3472a5a71965499acd81997a54bba8d852c6e53d,0xbd9c69654b8f3e5978dfd138b00cb0be29f28ccf,45000000000000000000000,Badger,BADGER,18,12,4000000,80000000000,142515,687702,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",13680390
11381102,1607017808,0x96dab44a31ec39add15b31e87af93d905dfb7f765122c523fe20e14f44363de1,196,0x7923ca00089f80d1745bbac27289a4c1cf223c9d8863d59d86281093e9fb5b77,0xda25ee226e534d868f0dd8a459536b03fee9079b,0x3472a5a71965499acd81997a54bba8d852c6e53d,0x0c79406977314847a9545b11783635432d7fe019,65000000000000000000000,Badger,BADGER,18,10,4000000,80000000000,142515,474985,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",13680387
11381105,1607017830,0x77cda8ee312657b4a88d014102d72c68169c1ac475ce2fa385fdf6c48d7e6307,198,0xaf69c030fe8cda286d787c171a4c969954fd150f0594535b1e8906dde7c95c9b,0xda25ee226e534d868f0dd8a459536b03fee9079b,0x3472a5a71965499acd81997a54bba8d852c6e53d,0x394dcfbcf25c5400fcc147ebd9970ed34a474543,2100000000000000000000000,Badger,BADGER,18,25,4000000,80000000000,142515,749079,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",13680384
11381110,1607017866,0x99f43036b72bccb1a837895932498ce102ac22cf030e172e170968fbf8e79f12,199,0xa20b7eba0ca56972b26334f1708d2c59590fc924dc653d0c575c3192ac8338f1,0xda25ee226e534d868f0dd8a459536b03fee9079b,0x3472a5a71965499acd81997a54bba8d852c6e53d,0x660802fc641b154aba66a62137e71f331b6d787a,417000000000000000000000,Badger,BADGER,18,1,4000000,80000000000,142515,163515,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",13680379
11381111,1607017875,0x11c252dbe213f05e24b3c613636b43cdce1a27a730e90e1c280233877e11e40f,200,0x9b579ad4f0d946691a7073c7835ae767d848d55db28f81f1fe02386eb4c32c2c,0xda25ee226e534d868f0dd8a459536b03fee9079b,0x3472a5a71965499acd81997a54bba8d852c6e53d,0x19d099670a21bc0a8211a89b84cedf59abb4377f,7873000000000000000000000,Badger,BADGER,18,2,4000000,80000000000,142527,398578,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",13680378
11381113,1607017891,0xed83802aed924cd187cddc4555ba60492119e00371e7caba91dd32911b57deb8,201,0xfc53dbd8001f74213d434221f33b7c9d82874f781f26341e30d4fe6e1d8adf44,0xda25ee226e534d868f0dd8a459536b03fee9079b,0x3472a5a71965499acd81997a54bba8d852c6e53d,0x4441776e6a5d61fa024a5117bfc26b953ad1f425,7350000000000000000000000,Badger,BADGER,18,0,4000000,80000000000,142527,142527,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",13680376
11381114,1607017898,0x0660102db89f3641adacac690d3d6d544d5dedc77a1a24a3e975a0f670b8f086,202,0xbdfb86ab19525ade55771fdecfea561d27232a09b870523acedaa41451dd842a,0xda25ee226e534d868f0dd8a459536b03fee9079b,0x3472a5a71965499acd81997a54bba8d852c6e53d,0xe4aa1d8aaf8a50422bc5c7310deb1262d1f6f657,2100000000000000000000000,Badger,BADGER,18,25,4000000,80000000000,142527,1393433,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",13680375
11381154,1607018387,0x835070c45b91661c327f2178b1376b60f673c88f89abd8f647b14f523bad2cb4,1606,0x0f52ad562f81fa9c551847d9471db5e0707bcb4c57cdc7df6cc712a2c041a9fa,0x394dcfbcf25c5400fcc147ebd9970ed34a474543,0x3472a5a71965499acd81997a54bba8d852c6e53d,0x2b4a3ebb0b5be22e53d058029948d882b4afe27b,44502320945364008960,Badger,BADGER,18,127,291457,40000000000,191820,8252281,deprecated,0x2e7ba6ef,"claim(uint256 index, address account, uint256 amount, bytes32[] merkleProof)",13680335
11381154,1607018387,0xd6977eb300f71257526b81ea9e3187d7d020ced43fbd1ad13fce3fd09c37fb2b,362,0x0f52ad562f81fa9c551847d9471db5e0707bcb4c57cdc7df6cc712a2c041a9fa,0x394dcfbcf25c5400fcc147ebd9970ed34a474543,0x3472a5a71965499acd81997a54bba8d852c6e53d,0xa5faa04902de90deaba061e4fddb8e569016fc19,99857902986555195392,Badger,BADGER,18,128,291421,40000000000,170092,8422373,deprecated,0x2e7ba6ef,"claim(uint256 index, address account, uint256 amount, bytes32[] merkleProof)",13680335
