blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
11383460,1607049151,0x4b6779c8c47ed0a865a6e9f966912bfae0b55e1517bea1a450631140f6220047,3,0xa1afa5f6939d3decbb4d42e8b37ca4d67f156156652d1d7b6bc73b5a87da8580,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0xd29fc595d45b9e86684258f7aef02e27234fd744,50000000000000000000000000,DerivaDAO,DDX,18,119,5000000,47000000000,3195016,10603031,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",13678052
11385040,1607070342,0x7a28ba011bcf9c38ee66b18f799f557ebdf4bbeeb5d9370d8f99e896737276bb,2,0x7019384ee7cbf5fba96426f58d341f56149132ce6a22f5b8f2c0da0e859cfedc,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0x0b49c554cc5e983ac8826e59c10c2e0627474056,8323820395738204000,DerivaDAO,DDX,18,82,552286,44000000000,544060,6014337,deprecated,0xce015d24,claimDDXFromInsuranceMining(address _claimant),13676472
11385069,1607070826,0xc51dd420eb42b72dfc90494bae6345485b71cbf92146fa28b0ab4233d4d279b1,3,0xf0ac83d9f9bb7c892858e277b9a1931ecbb1ed2ccaab1926711f4ab6c1f4f8a1,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0x0b49c554cc5e983ac8826e59c10c2e0627474056,34484398782343988000,DerivaDAO,DDX,18,34,522761,85000000000,485000,2269305,deprecated,0x77063ce3,"withdrawFromInsuranceFund(bytes32 _collateralName, uint96 _amount)",13676443
11387259,1607099660,0xb761180a19be0c00cd4e7349d817abf1b81962d597fda3df553193985e909143,2,0x5b590852b973bf77697e82d93c0802551d22c75116b132676e5be907e74f569f,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0x0778ea03d76184bfffdb1a93381426122b0c719f,4456478287738592034,DerivaDAO,DDX,18,51,708094,47000000000,667437,4156357,deprecated,0x77063ce3,"withdrawFromInsuranceFund(bytes32 _collateralName, uint96 _amount)",13674253
11387336,1607100532,0x94e845593b159407a7c566891f71216e99745fb9472aad7cd56144fa0040a1d1,1254,0x8b94ae4a1b0a612a154c116dc6b6a617e4e35d6e011dbc2fb1f2d3726bb107eb,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0xa996ca2f9fd71d035901fcd805633a897faede8a,838091908134239269,DerivaDAO,DDX,18,8,672743,80000000000,647639,1011883,deprecated,0x4b9e6056,"stakeToInsuranceFund(bytes32 _collateralName, uint96 _amount)",13674176
11387360,1607100901,0x02209fecfbd2922d65b8ffe450ade50298f70effca7bbc12d431cbdf1aa9a95b,1932,0xdd2cda24f03b4ff6d703990a7aea3066ad7d96bed09849b383257723311570d9,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0x6553fbe1aa9f9aa27c8955da4102d66d3c3cf0be,11418310609647430055,DerivaDAO,DDX,18,15,672801,99000000000,647696,2967501,deprecated,0x4b9e6056,"stakeToInsuranceFund(bytes32 _collateralName, uint96 _amount)",13674152
11387371,1607100993,0xfe5001604994ada70bb850f91c5fcd3e6c05dba4bcfdcc78575c764b7f2e4b68,2950,0x38d05eafabf48171c00c5d84c5c37820d5ccd337c36e64aeb99ea71a0ae4a157,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0xdc0f982352d50f9431b13a276f3a1a57cc666796,9901091113102877306,DerivaDAO,DDX,18,123,537093,52000000000,409497,9985975,deprecated,0xce015d24,claimDDXFromInsuranceMining(address _claimant),13674141
11387377,1607101069,0x0f0b56c3f197147c1e8897caf840518b132006b4aa2b223f9f3c09f543354247,1256,0xbf2508be75025b496ab9de325a2823657ddb6ededf1449dd80826f51718d4d6a,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0xa996ca2f9fd71d035901fcd805633a897faede8a,3412340353556983703,DerivaDAO,DDX,18,3,488982,100000000000,466749,537761,deprecated,0x4b9e6056,"stakeToInsuranceFund(bytes32 _collateralName, uint96 _amount)",13674135
11387385,1607101165,0x317a851b16155d0a4176bb519799502f9ae6fd00f7e6c9629a784f62541c103d,270,0xffd466c745044d0e5a97c5f3a5f40ed028d1d28f1f4e01faf2fd8336a1ffa6ba,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0x3ac7512f96f2ca33884da5d95f23874365c92848,1930555222182698801,DerivaDAO,DDX,18,10,901289,91000000000,675739,1244541,deprecated,0x4b9e6056,"stakeToInsuranceFund(bytes32 _collateralName, uint96 _amount)",13674127
11387385,1607101165,0x73a2f141bd7880648e3b5fed3b807210cb262893933679c1a8d5fabe2cfd259e,213,0xffd466c745044d0e5a97c5f3a5f40ed028d1d28f1f4e01faf2fd8336a1ffa6ba,0x0000000000000000000000000000000000000000,0x3a880652f47bfaa771908c07dd8673a787daed3a,0x6431f9ba5b9329ab3bc4d02db7a36e0f9bffa006,555390235860117670,DerivaDAO,DDX,18,67,672789,53000000000,519702,5232482,deprecated,0x4b9e6056,"stakeToInsuranceFund(bytes32 _collateralName, uint96 _amount)",13674127
