blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
15790178,1666279391,0x34d8da8f13023e8262cc08fe366c4da31fcd8dbbf55cb4e74d020b21531146ca,3157,0x269721d1741e131e69da80f15d485f709197e611eefd1eac3924c8faffc62114,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0xa3a7b6f88361f48403514059f1f16c8e78d60eec,0,Across Protocol Token,ACX,18,246,221756,35383688289,209893,21242758,deprecated,0xd2ce7d65,"outboundTransfer(address _token, address _to, uint256 _amount, uint256 _maxGas, uint256 _gasPriceBid, bytes _data)",9122530
15796596,1666356659,0x0701945e1ff25f2a30e3cdf6b90a90bfbb2a1b945cfcce75e3dde2523a51342d,3159,0xdb0c6226ac243e78f6c5c1a1bcbc818c9afe4517499e1fb2d7bfda0bab9204d3,0x0000000000000000000000000000000000000000,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,1000000000000000000000000000,Across Protocol Token,ACX,18,208,105812,22404625507,70541,20008920,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",9116112
15796635,1666357127,0xacc739fd27b64428b38f2dd4e01762678d39a6d75cdf0f2d4d8cc7be053a17de,3161,0xf67181bbbe4fe084edf364dc0aa0f4f2dcbea3b2eda24c3196ec3f49bbbc5c0d,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0xb524735356985d2f267fa010d681f061dff03715,1000000000000000000000000000,Across Protocol Token,ACX,18,158,77279,23303249149,46719,12519506,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",9116073
15869797,1667240471,0x0854b8a10a3924505d08d0673ec3085887f47dac6bf536c6336751d7048d90aa,513,0x3755f1ddb3286b2e57e00a9529d3a264865b2e457a705b22ba8b8d60daa5f70c,0xb524735356985d2f267fa010d681f061dff03715,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,100000000000000000000,Across Protocol Token,ACX,18,68,93991,45121151950,93057,5824230,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",9042911
15869846,1667241083,0x41bac0e2b9ccf09b13d2b4e112005c7fd78e6eb2e4c8ad01f5e32d6f3aa7990e,3171,0x1d0a21201d82ad9ce6ebdda985ae2e57f60c76005dbd8f46c987006097dbbd6f,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,1000000000000000000,Across Protocol Token,ACX,18,130,219003,33411744411,211485,12396181,deprecated,0x58a997f6,"depositERC20(address _l1Token, address _l2Token, uint256 _amount, uint32 _l2Gas, bytes _data)",9042862
15869861,1667241263,0xba73881600fb7f6f9328671b0b3b8b69a6e44c98f4267c3c39d1c3934adc9248,3172,0x9f57cf935a3b6f6e8123ae130454668d180ce7466be45741268334708f6f7e07,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0xa3a7b6f88361f48403514059f1f16c8e78d60eec,1000000000000000000,Across Protocol Token,ACX,18,119,245626,31385816904,232665,15433179,deprecated,0xd2ce7d65,"outboundTransfer(address _token, address _to, uint256 _amount, uint256 _maxGas, uint256 _gasPriceBid, bytes _data)",9042847
15869885,1667241551,0xc5f0bf0ef8e453c43d3b5d1d21c286baf1858b46d2631803fec191ca25e714e9,3174,0xf3bb81309b0bac18b4da78bedf202b76463043060c0e0b217ddde99cf880b7fd,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,1000000000000000000,Across Protocol Token,ACX,18,207,114128,29408885176,106659,26983115,deprecated,0xe3dec8fb,"depositFor(address user, address rootToken, bytes depositData)",9042823
15875796,1667313179,0x07821b0558ba22290e9ac6dc036ec07220ae2891c4ccf042795e73786945b21d,3175,0xd7605f87749b3dc94cc0a9dab4cf2c93568e4a053868087b42eed9b2e541d94b,0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,1000000000000000000,Across Protocol Token,ACX,18,192,375237,16599576155,230045,19307276,deprecated,0x3805550f,exit(bytes inputData),9036912
15890840,1667494775,0x97b4f70083e49a31232e0b7ffbc2efdc3e21bced7584fa88d9cab2b313c08eee,3183,0x6a9a8534fea762a2a1fb5769ce533342dad177b4ffab6eb3bde5657c58427afc,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,30000000000000000000,Across Protocol Token,ACX,18,115,77242,25711128320,51495,7045911,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",9021868
15890846,1667494847,0x12c69c6183a82f9424880a77c8dddadf26227a31d62ed0d24f68f2c2ea6a9a1e,3184,0xe1ea925e59e4878ede796fc9aafac823bdecaf249ffb744d42cfc827cb85a28b,0x9a8f92a830a5cb89a3816e3d267cb7791c16b04d,0x44108f0223a3c3028f5fe7aec7f9bb2e66bef82f,0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,30000000000000000000,Across Protocol Token,ACX,18,153,51592,27283416589,34395,11205499,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",9021862
