blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
10668783,1597549968,0xe9071d077b067dceca69e10b1b8c212f4ade38592075dc199ae26e40e22bcc56,115,0x951972ef4e5d03f918b0e24554efa1ebea7f73bdf8958d13212e5e021d129fb2,0xaf0f7ffb806ed54411d8923af1b79fb6e188ccae,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,416666500000000000000000,Jupiter,JUP,18,58,3022413,84000000000,2707280,8124138,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",14392759
10668786,1597549988,0x75a7f2ba20a96054085103a90ca9d9790424e03db136ca2f42ba84af915a5fde,2869,0xaf5004c60166d52cfc46eec3bddf10df0a05a4641b584f5227b9979a56b861d1,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0x21e479e62603a3ea0b6dc687cb86b9938d39a3dd,69270718776054694013673,Jupiter,JUP,18,110,3022413,83999999999,170848,8166402,deprecated,0xf088d547,buy(address recipient),14392756
10668786,1597549988,0xd53c820bb205b5bfc2cb987a742ed0e946edfb49a7a8cc9672af464a7952854a,169,0xaf5004c60166d52cfc46eec3bddf10df0a05a4641b584f5227b9979a56b861d1,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0xd601b8ba16d603e5ef6d29b02e3b91527f9daa0d,45194240426289435440176,Jupiter,JUP,18,113,3022413,83999999999,113022,8337860,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392756
10668802,1597550230,0x252f2cdd7f243227e5f8b06cb92d717f3e94d93af8934089ea780a05d20bad75,45,0x2cfd5a886101cd84763d1f264322f96c0ae58839eb4dbddb209d644a02e688c5,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0xbc4c9e1905e9fc4090877a779d267cd521980c37,235724043096291992799,Jupiter,JUP,18,134,218223,88000000000,172875,9517326,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392740
10668808,1597550300,0xf9335db9b17504654641234210e7eedefab3507736eb215bccc2a39a03615492,538,0x130f9576b3fff092c25aac78d63ef4a187639e5b81d7f7bd86b750c2a94e8fe3,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0xb59e2ad912fc80a9f44dc8f8786f2e4292419f51,12536323635346489457171,Jupiter,JUP,18,217,165705,92400000000,125062,11638514,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392734
10668823,1597550504,0x37364eff3d7cdfa598fefeb76a4b707f89d55663c2714ef05d5fbd3a221004ab,24,0x930cc1d3e059bc06c89fa91a700aaf7bb094f619097555445e91c427b942dcbc,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0x02579243ba7ce7de1eafbc1b3f3410bbdf0a8fe4,3950132144720155764230,Jupiter,JUP,18,143,165691,84000000000,125050,9767524,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392719
10668835,1597550657,0x946ed5fae7aba4e443b416b5bbdb89364a5b50ae4d00364010fc4dd05d25d888,184,0x0c7c1e08f1fc5065c46474f65bfd9bd413dd102b4d5c9f682e74e7dc22cc73e5,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0x6a170a55a2c49b94652ebec8cf78f284a59d056b,3843605410980023435834,Jupiter,JUP,18,51,165691,98010000000,125050,3556416,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392707
10668855,1597550977,0x513a79838372edb92b2b00c0db75bb2e41749988e8341a798ba8a2261f494df1,195,0x72279e7208bf841c4373ebbc783a78e287447080c12ca0f27614ee19c0952393,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0x5b78c2321f569c6e3ef47fd4178e84e4d330fc6b,4786403058467468927343,Jupiter,JUP,18,34,217334,84000000000,187067,2071944,deprecated,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392687
10668868,1597551067,0x6c0550b6c6a4145b924f08e7839b879978fb66b1e2d198c313503edc457cba15,6,0xfe3d6d156d15968284498eb03c1d0e31090a50e8f5ccc571fdb07ea245ace3fb,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0xd3ee08f430725d8dbf2c71b4394c651813ea6614,3615879108464238119234,Jupiter,JUP,18,49,165691,67000000000,125050,12212131,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392674
10668870,1597551076,0x7973b148ef605b9b63a3b320ea32c254588e48829fde7d61383c7dc911c74981,117,0xcde1cd60da5eb6de4096151441faf7b8c2c86d0a1a16bb88ecaa702264e246a9,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0x68e48c7a395b5431bad9093b15558adc46d0fa7b,3522507501706284282774,Jupiter,JUP,18,46,165691,111000000000,125050,1503453,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392672
10668883,1597551206,0x7df369e24fe3555670df3f8d0a911da7e2ee690d2d203118ba69a23e3b0e0d2f,171,0xeff10d4a279f0526f0f8f0ac5e61967c1cc100c36e0fa494ddfdf1a3872d4be2,0xd601b8ba16d603e5ef6d29b02e3b91527f9daa0d,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,45194240426289435440176,Jupiter,JUP,18,20,200000,194827057920,112325,1115403,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392659
10668883,1597551206,0xb9f2cd343af4644943a1f5d54458df6bd7c67f5a412eb48d527b5e0b6a888703,2872,0xeff10d4a279f0526f0f8f0ac5e61967c1cc100c36e0fa494ddfdf1a3872d4be2,0x21e479e62603a3ea0b6dc687cb86b9938d39a3dd,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,69270718776054694013673,Jupiter,JUP,18,27,239635,128175696000,108824,1447184,deprecated,0x94b6f9d4,sell(address),14392659
10668885,1597551241,0xa8a65cf7ea4bd1426be839c97f2113228ae790bcd70dc4e4763e969ffe9e2192,0,0x5ad16528520007be6d812522ecbc1f7d46973e59a39d65a9154c5ed7e14374da,0x2dfee82f4250dd3f3c6811c5d2926ede8b37a7d5,0x4b1e80cac91e2216eeb63e29b957eb91ae9c2be8,0x8de5d69b444efc50f2b0da5882bff161c78aa12e,6920636554326462168034,Jupiter,JUP,18,104,165705,100000000000,125062,5706452,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14392657
