blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
19371662,1709674199,0x143955622501605a763c6f373edef7c4a9139efffbbecb82d1833324dd558be1,2,0x1c6ccdb5a5efeef4620084fff8bc9519845fa775a15be90dae545594c8d0a875,0x0000000000000000000000000000000000000000,0x57e114b691db790c35207b2e685d4a43181e6061,0x688ae58ebd684b3c475c81584f976593930ca67f,3750000000000000000000000000,Ethena,ENA,18,52,2469299,119793030353,1899461,6014823,deprecated,0x61016060,,5689857
19371662,1709674199,0x143955622501605a763c6f373edef7c4a9139efffbbecb82d1833324dd558be1,2,0x1c6ccdb5a5efeef4620084fff8bc9519845fa775a15be90dae545594c8d0a875,0x0000000000000000000000000000000000000000,0x57e114b691db790c35207b2e685d4a43181e6061,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,11250000000000000000000000000,Ethena,ENA,18,52,2469299,119793030353,1899461,6014823,deprecated,0x61016060,,5689857
19512465,1711381595,0xc3682fee7209b93692103316f66ea99cc32f9ced9f92568bf70fdd4edfee3100,3,0x9c41257e3cd2c98d247414d443f9e132147dfbdb211b945a51c237910d8f3217,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x688ae58ebd684b3c475c81584f976593930ca67f,1000000000000000000,Ethena,ENA,18,139,143126,36665947410,140841,11368000,deprecated,0x8d80ff0a,multiSend(bytes transactions),5549054
19532780,1711630991,0xd740c4dd43115a37326d47170960d84ee48d834942a42afd9f95221f47264eed,32,0x7066b4905b6980e0a0d58f1242f4142ce3ba6e529d62ce767c7fd7d4dfbe8b88,0x688ae58ebd684b3c475c81584f976593930ca67f,0x57e114b691db790c35207b2e685d4a43181e6061,0x6f0a25cb80132581e7c46c6ba3d6bd17caeeb161,1000000000000000000,Ethena,ENA,18,43,130367,47407962104,128182,3950238,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5528739
19532787,1711631075,0x35b48694cad314011dd20690eabbc6b486c6c03ede0c0429d2edec1961137efc,33,0x4aa6b0c200702068aee21cbc723222646beaea480695c7edd638430dd3503ef5,0x688ae58ebd684b3c475c81584f976593930ca67f,0x57e114b691db790c35207b2e685d4a43181e6061,0x6f0a25cb80132581e7c46c6ba3d6bd17caeeb161,79000000000000000000,Ethena,ENA,18,222,94749,38741771776,93794,18244958,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5528732
19533381,1711638467,0x11251ffbebc6cfc8520d7f4342a1f79a8ff6dece46e52c9d77ef77aaf6d90ee8,5,0xb255f796af5dad4799d39647e1e7929c06a392cb0f10bee0f1911ef12911e6c5,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x688ae58ebd684b3c475c81584f976593930ca67f,749999999000000000000000000,Ethena,ENA,18,27,106062,63490967362,104069,2588812,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5528138
19533381,1711638467,0x11251ffbebc6cfc8520d7f4342a1f79a8ff6dece46e52c9d77ef77aaf6d90ee8,5,0xb255f796af5dad4799d39647e1e7929c06a392cb0f10bee0f1911ef12911e6c5,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0xa83da8c88fb57d9cdefd05accff871030bf463d3,80000000000000000000,Ethena,ENA,18,27,106062,63490967362,104069,2588812,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5528138
19540071,1711720307,0xb4c9a1773a7399d9d9f8388252ef16b6642422d2d9e51bcd1acfaa02b9aff8f4,6,0x3ee4b96858e42643544a8a7c3056cfb8ec1ed4175686e752f52f05800a3f58a0,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x61ab3fca8ab46c56f6bb2127357820c79edfc196,50000000000000000000,Ethena,ENA,18,31,86811,33000000000,85887,3870314,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5521448
19540081,1711720427,0x80159046df3595ee4842703cab1338cc503292cf56b2f2fcb4bfcf7cdb0b8a35,7,0xff9745e192a72d064e9a5825b6adfda443a7c14f63354a8f7a54d7e973ea591a,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x6f0a25cb80132581e7c46c6ba3d6bd17caeeb161,50000000000000000000,Ethena,ENA,18,56,69655,29000000000,68799,4884568,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5521438
19540287,1711722923,0xd3449a96c685be3cdd42c35ac085c8875907bd6e58a3d6224a4bc220fc80ae09,8,0x65f070002142fe550ce39cfa6950418c0b512e18b559c1604bd8bbf02ed80b95,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x6f0a25cb80132581e7c46c6ba3d6bd17caeeb161,15600020000000000000000000,Ethena,ENA,18,78,73677,29298166735,72805,8762141,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5521232
19540299,1711723067,0xc9020d0328b09b4e45fb6ac266db9d91f43e55f4573ed44d5843ce3a7b492ff3,9,0x8791f43b06e4e57c4a4ce1597183a58a3d9db927742c3c74c4031d22e23bb825,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x61ab3fca8ab46c56f6bb2127357820c79edfc196,299999950000000000000000000,Ethena,ENA,18,30,73665,32000000000,72793,3178389,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5521220
19548502,1711822799,0x0f6a22d520c7faa8fd7820fdd0452de24c70944fdfc858e70ad2482eb664afac,10,0xeb7a10af642fcba098259a95732015234726b9c025fb0d40d7136168857c22e6,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x31034fb4a5212994f1540ab7067f721f152421ac,10000000000000000000,Ethena,ENA,18,15,90796,28527550885,89857,1926603,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5513017
19555016,1711901987,0xafa4515baf3f4bbe7cec5b418641c5c811437ac218396af89264ba2be264a4b7,11,0x9d27c80b7931cf14fdbb4b08368e0d75783bdc077a2e36c738585e7349cfa58d,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x31034fb4a5212994f1540ab7067f721f152421ac,3749990000000000000000000,Ethena,ENA,18,111,69679,25289385979,68823,5728781,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5506503
19555027,1711902119,0x7f0a160d9dfd517e4734841faa8c4f095660fac8854be255a9fa382efd2e6098,12,0xaf6f21642f5ab07e47d18920e938c8d31af94acc2b7eeeda1ff4b1f8f868bd7d,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x7b9711916d1fb3b550f67d0c1a5a7f9123de4aee,30000000000000000000,Ethena,ENA,18,76,86823,25000000000,85899,5478875,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5506492
19555040,1711902275,0x241f2795334548eafe0a5a2510b13e86c202664c9b34b00de8fe472277f6af45,96,0x94b4da4a60094a24ec0cc505a45561bcfb07ba4e662fd52e774fa2d9eca661f8,0x31034fb4a5212994f1540ab7067f721f152421ac,0x57e114b691db790c35207b2e685d4a43181e6061,0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,3750000000000000000000000,Ethena,ENA,18,28,200000,25000000000,46629,2633766,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",5506479
19555123,1711903295,0xc3f360b996877761733d4176de51b660b1ab1e028c04e38f66af639e537b906b,13,0x7cc6804b9d91d220e33da4fbf24b9d77d4ec36cd8af0c0a07562773f2faa128a,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0xdcbaa44742b18b12a6b7b55ffe64f871a37adaeb,30000000000000000000,Ethena,ENA,18,24,123262,26000000000,121133,5851138,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5506396
19555123,1711903295,0xc3f360b996877761733d4176de51b660b1ab1e028c04e38f66af639e537b906b,13,0x7cc6804b9d91d220e33da4fbf24b9d77d4ec36cd8af0c0a07562773f2faa128a,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0x3c913152811b2581591bc0f8dc0fe0683070f53e,30000000000000000000,Ethena,ENA,18,24,123262,26000000000,121133,5851138,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5506396
19555775,1711911251,0xe3154ebb79d1113f998fb7a2f61473b755e00619980983ad75852469e639f3da,14,0x30344e0df522c439dfef00d9689d340cdb7d83cfe931d2a5586886056ef24551,0xd4b34207a671b813b5e66d31ea0b0a9849de9bc1,0x57e114b691db790c35207b2e685d4a43181e6061,0xdcbaa44742b18b12a6b7b55ffe64f871a37adaeb,49967759000000000000000000,Ethena,ENA,18,39,146480,26465665068,144169,2956154,deprecated,0x8d80ff0a,multiSend(bytes transactions),5505744
