blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
14033682,1642564531,0x2e370613c43f5261cc6bbe152c788c24e5b8a64174d67ebe1c67eb58d1d3f046,121,0xe71d4046249bc7dd30f3676c7dba10a3577641cc51d148abfe3545905741174f,0x0000000000000000000000000000000000000000,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x783c330a7a4968a08ce100a16ac27ff2ccfaebdf,200000000000000000000000000,Galxe,GAL,18,291,1372026,100383572905,1247297,19264165,deprecated,0x61016060,,11027848
14509469,1648939150,0x39bfbed5d4111427f8f54185eb3af8f60ed1ecc2126d65de16916e3c74cfe92a,2,0x43ddb536635735d655ab0b951e6c156311fa403d47fd5370de14319aeefb9630,0x783c330a7a4968a08ce100a16ac27ff2ccfaebdf,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x9ca33da9d11ccb2e2b0870f83c0f963573b74a43,10000000000000000000,Galxe,GAL,18,60,79526,56683537175,78785,4810370,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",10552061
14509478,1648939241,0xa9a307b061c24ac32a0661594dc23785111f7681cbe140fcbc583ee10a104047,1741316,0x5df7620f0675ff2605b1714a453abf9d9ec0526fa6d8e0c76ce24774fcf12ae4,0x9ca33da9d11ccb2e2b0870f83c0f963573b74a43,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,10000000000000000000,Galxe,GAL,18,194,500000,46378008966,70137,19717957,deprecated,0x2da03409,"flushForwarderTokens(address forwarderAddress, address tokenContractAddress)",10552052
14522646,1649117730,0xacc2c34db2de8f4153ac4a52ac022ba531d4d4d7f18113a933f532b278817cba,3,0x131c416657b171c963761b70498d1d75a85db95f527c9ffe27282df6c313b3d1,0x783c330a7a4968a08ce100a16ac27ff2ccfaebdf,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x9ca33da9d11ccb2e2b0870f83c0f963573b74a43,288911970000000000000000,Galxe,GAL,18,51,79550,71513236881,78809,2978358,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",10538884
14522655,1649117812,0xc98d8518cbd8ddb05d85c199c6a7b4a07422d499c3489e238cda8bc0d17c5c12,1744160,0x8b55f9769c39e4114f42f57f4dacfed7451df5ce7ec74497924a4c1f114998b0,0x9ca33da9d11ccb2e2b0870f83c0f963573b74a43,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,288911970000000000000000,Galxe,GAL,18,170,500000,53556981631,53037,14115975,deprecated,0x2da03409,"flushForwarderTokens(address forwarderAddress, address tokenContractAddress)",10538875
14663441,1651021376,0x8d6509b82ea862449ab85f7098d07eeb00b8bc772990e5be84638d47b0b478ad,6,0xfe1506c0ac71ec0472338251ed2ac220f364c6712d011dc119c9627aac3aecfc,0x783c330a7a4968a08ce100a16ac27ff2ccfaebdf,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x70fabf5238f70b0cea742e51201fbdbbba3dc5e5,10000000000000000000,Galxe,GAL,18,81,90534,37311001767,89645,5608680,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",10398089
14663449,1651021493,0x42d69100c5029e988ed331c16221a89ad808ceecf48baaeb96b37495c492bb26,1801812,0xbb76a0a469a2ffaaae040a240de8b04d649b85458850d677ed6a29bd841ad5d3,0x70fabf5238f70b0cea742e51201fbdbbba3dc5e5,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,10000000000000000000,Galxe,GAL,18,98,500000,37418073129,51590,9358263,deprecated,0x2da03409,"flushForwarderTokens(address forwarderAddress, address tokenContractAddress)",10398081
14663819,1651026361,0x0f00bd6f7ee9748d5a0de34dbb919fdb7de89a90b948927698fc991a630e3eac,7,0xd0c164a2ab2bffa4eb60c54ddc9bb52f8b8a7e74e86b32b6183b7250bac76aaa,0x783c330a7a4968a08ce100a16ac27ff2ccfaebdf,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x70fabf5238f70b0cea742e51201fbdbbba3dc5e5,9630722450000000000000000,Galxe,GAL,18,199,90582,78974062520,89693,9492187,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",10397711
14663828,1651026485,0x7033c44d8792c65ee82b4048df683d8464f16f69c46c844f44b934b240a3a0bf,1801849,0xf2f09fde3a5d94f9164c6e9ae9f4e369a1212133b7c02f8d05ed9db07dd05b9e,0x70fabf5238f70b0cea742e51201fbdbbba3dc5e5,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x8d1f2ebfaccf1136db76fdd1b86f1dede2d23852,9630722450000000000000000,Galxe,GAL,18,206,500000,58763041519,51590,15290368,deprecated,0x2da03409,"flushForwarderTokens(address forwarderAddress, address tokenContractAddress)",10397702
14675914,1651190504,0x64cc0d8cfa846c6826ae82b3ba2c6982b0160632ecc6a5ad5fc214284163303d,1,0x560237638e231067df2133df5d9a1d0a93feb05dfc3203ed6cedfaf4401b6a0f,0x783c330a7a4968a08ce100a16ac27ff2ccfaebdf,0x5faa989af96af85384b8a938c2ede4a7378d9875,0x018d745ec7b8b96ea58c4f5cf70de59803a022a4,10000000000000000000,Galxe,GAL,18,55,86676,38000000000,85839,2746385,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",10385616
