blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
14001474,1642134121,0x0112fdcff063353f56a00d602a588deae64991a2dcf8ab00a72b248d95721c8c,18,0x839069b06bbe2d55ae2024c845821c4c02204299376f5f73517e64c50d835b6d,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x2c5fa5560c84f0e29c8e72f1d2307addf4bf3c88,1000000000000000000,League of Kingdoms Arena,LOKA,18,42,73445,143448255099,73445,1782272,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11060075
14001497,1642134449,0x88cd033e84a52907e53e89b4923769abe4dd0e235f6e9f0f8f180e3e91b552b2,19,0xf4eee60084f2f1f41ca07832366c7f1b9bd7e156da7bf28456f46686c895cfeb,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x1f776aa36a9a05324fe476e6eb604929c991ded3,1000000000000000000,League of Kingdoms Arena,LOKA,18,61,56345,140717626733,56345,5034802,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11060052
14010865,1642260807,0xb2ff8e51e733dde7b92919b30a9ec1535f44ea7a5a6b10dd3b9bb56a2efd2747,20,0x249e654991a7efd355c12ac8763fc4078fa934da2bfaf518053499593415327a,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x2c5fa5560c84f0e29c8e72f1d2307addf4bf3c88,24999999000000000000000000,League of Kingdoms Arena,LOKA,18,77,58921,110000000000,39281,5642070,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11050684
14010885,1642261087,0x2e49ca9a268bd7f1298342dcca54a1bab1fdd33278e0de25fa00e8aba7bfc4c3,21,0x1fa4cedce55f0d7591be5d9ba23f2b7df68d11a8a5e44f0411a78f2645548cfb,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x1f776aa36a9a05324fe476e6eb604929c991ded3,99999000000000000000000,League of Kingdoms Arena,LOKA,18,17,58903,180000000000,39269,1450174,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11050664
14011001,1642262583,0xabbc47001009bdec9b03b2e85655f479a65d3bae820148ac241c27f136b1e347,5,0x4894a42a858a8713b68fb649d18b820ac47bb510a460d8aa4318c6f07d7e828b,0x1f776aa36a9a05324fe476e6eb604929c991ded3,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x28c6c06298d514db089934071355e5743bf21d60,100000000000000000000000,League of Kingdoms Arena,LOKA,18,6,104720,177000000000,47560,491204,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",11050548
14011788,1642273221,0x625959986c6009042fd288bcb7eeb4b4329bf0a4932dfa616d99f9e9712b4e5a,0,0x91eed1da06fc90b92bac48eccaeb3da4cead98142c6321cb6b062f443320912f,0x2c5fa5560c84f0e29c8e72f1d2307addf4bf3c88,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x28c6c06298d514db089934071355e5743bf21d60,25000000000000000000000000,League of Kingdoms Arena,LOKA,18,85,70520,142000000000,30460,3772863,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",11049761
14032954,1642554761,0x87dbf6bc29ea618511d9fd02664fd3520461c6a5fb4bcd765a725d0eaa3eeb4d,26,0x01c53f80cd0ce91dfae37315e9667d05180e736b402ed38dca4becc74fdc69d6,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0xbbaf1393bccabd05362a85534703bf1928fde4df,200000000000000000000000,League of Kingdoms Arena,LOKA,18,40,84535,120000000000,56357,3261603,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028595
14033009,1642555422,0x6e1e155e2fe698af53e1a1dcc3609b78a6f5684c602d39280082ade3610886ec,27,0x56a5b615aac5ec09a4265996ecd4fad2dedcb9585c9c2a7a0367c465ba47c0fe,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0xf9e9351fd7f397dd4afc0e58dc94800440da1e66,200000000000000000000000,League of Kingdoms Arena,LOKA,18,19,84535,120000000000,56357,842217,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028540
14033030,1642555630,0x8f50c9feff37fef16d7f27ea1f94f0f84f0abd25e9dc7d1782df169942ff66c0,28,0x84fd91fd21c87e13300eec3d053983b22aa75b7f8fd4496449be5d48f0827a56,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0xb8df398496d9571d33fc176f1d78c2ad639cf2bf,47560009000000000000000000,League of Kingdoms Arena,LOKA,18,17,84571,120000000000,56381,1746579,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028519
14033058,1642555910,0x18d5b32452ee905066257fdbded06de12521b70e47b31f4f607f1eaeabbf5914,29,0xa4d6d2d0cd6e2b2cb146528ac291a96f06bf8b1e0feada8a9fc882f23fa9da0a,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0xadf3a71cc85473ecef65d32e18c52cb53416a1fb,18612226000000000000000000,League of Kingdoms Arena,LOKA,18,115,84571,120000000000,56381,2881405,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028491
14033074,1642556165,0x64b25e31d64b42ba791c949ebeb689b67a8309b09b1cdc0f7cea27448c84dc63,30,0x4056cec8c2710b24a7b0fc66cd697053527e23d455b7115343092ebf7d34b8ab,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0xf0d25e7085c46361666358baa8448b7b078c0159,3000000000000000000000000,League of Kingdoms Arena,LOKA,18,27,84553,120000000000,56369,2219063,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028475
14033087,1642556389,0x548d17da43758029bd673c70e8ae0a89434a3bf7acf3220119c459072d4e61e2,31,0x2e11de0d390ac8fa7e6d0aef2d3fa978b4e77d7c2676dedec27bd264cb5789fe,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x8235f7b0c4af6de8a619cfd153c4207245f25a12,1500000000000000000000000,League of Kingdoms Arena,LOKA,18,68,84571,120000000000,56381,6025102,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028462
14033114,1642556701,0x527d12e9ce97a13c75e1cb20fb6b1ef89f2bd2eb8fe36504cec35ea83b62e08f,32,0x3a911224d14eab0ad877d87957eaa7a8f52c1d0dffb6cf5c6f66d8c34a5312de,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0xd204cf31f31374e2f090af146f9b2faf4c081e86,3000000000000000000000000,League of Kingdoms Arena,LOKA,18,20,84553,120000000000,56369,3402283,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028435
14033127,1642556791,0x447ce4a3bb8139fc84941f97860b6a42b8e941f694458b0b212e34112e28723e,33,0x446a90333c667dc0efcbf7bced96baedef3c7827ac2baae408ff67558e37af1c,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x3204ba4f5b13efce7bcf941f447815a08418cf29,3000000000000000000000000,League of Kingdoms Arena,LOKA,18,70,84553,120000000000,56369,4150975,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028422
14033140,1642556950,0x8182682b22177db13393fb9b6afd278013fbd5159f89ca23d3085d8495022b14,34,0xed3a5cd647824f679d7ff938f32c47fee6437304718b8bea58ac547259bc0010,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x70b6c7ff9544c865f694e2a63481cf94414f5a4a,3000000000000000000000000,League of Kingdoms Arena,LOKA,18,7,84553,120000000000,56369,501035,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028409
14033154,1642557174,0x0404ca4840d61512168df30677cd92f69f03092c1aa8c562547a608db34a0aa3,35,0xe899f572119c9d70ee136c72f160c02288fdaa48b9aad16bce09defc8f75ca91,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x5a513ffaa37bb95cc2273baeb5cba5c7f6cef1b7,400000000000000000000000,League of Kingdoms Arena,LOKA,18,7,84535,120000000000,56357,593405,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028395
14033165,1642557316,0x8f9548552b14cf46ddfa717da9b00466fb787bffd06eb2f3169c1db616003ed3,36,0x45390beae226f5649559bb0ce6102cbf62ed1d5d1562eaccf668120f02d86e76,0x0000000000000000000000000000000000000000,0x61e90a50137e1f645c9ef4a0d3a4f01477738406,0x3c5a4e4b3964aabdf06b1a26e181b584318973f4,400000000000000000000000,League of Kingdoms Arena,LOKA,18,22,84535,120000000000,56357,2765326,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",11028384
