blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12460943,1621374929,0x01a8df827a774290f005c9fba5ff5b8ff50acabdd3869f483fc84ab8e06ba3cb,315,0xf295c78a576ac7ba7f68d2f0f6e84d7fa3c91bb0f5ac1208e3cb34bba185852f,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x2ce780d7c743a57791b835a9d6f998b15bbba5a4,1000000000000000000000,Burn,ASH,18,115,361689,96000000000,197149,4674840,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12600541
12467276,1621460392,0xaf926882690c2798f471d5e8797e3ece9ef529bc1c538434306327b93a99641c,223,0xabc41095661ae808dff3478fc9a03568e22ce00bab89b83b099ab2a7f25543ef,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xf930a731f1d22fcbea9d18f82a2154547d85a83b,999861380253149402000,Burn,ASH,18,54,552162,200000000000,251918,2701133,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594208
12467278,1621460413,0x34dda4db10ccd6770e9091b077baef2af8f927b92650f7fadcbabdd3d401db49,163,0xc65029caa55e5e715b5817a6d4f48d188a52d306be51915489815a9906b91a62,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xce61ca41e238e0aa4c88d3c385dee9a91c8e83d5,999722798848433348000,Burn,ASH,18,259,488527,179000000000,210529,14012612,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594206
12467289,1621460528,0xc79a8f504ff3337ad5feadf85ec9ec4badae817689d3cfc746d81029a10939d8,164,0xc6616477a4fd429133d9460443f3e77b0d05ba0b30894d8e7da76d20b99e006b,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xce61ca41e238e0aa4c88d3c385dee9a91c8e83d5,999584255836858551000,Burn,ASH,18,52,449842,182000000000,170208,4648649,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594195
12467294,1621460576,0x0fb3c97ee58866f361b3bd5527814751d1310910c07c9f8eb6278f3e6ba870df,48,0x80455a53bbf1f3c77b3b7bd7c80bae498d29072b6d25b101dc89cf3f157c86ae,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x1de6ef717ff10b180e3faa5e359fa8c55204cb8e,999445751260327466000,Burn,ASH,18,17,449709,366000000000,200208,3233909,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594190
12467297,1621460676,0x2669081da67aa00d4211e79982ff3b54566ff462a07f0f77625196d0d642fae2,144,0x369e733c69762fc8cba5b60b31e70545488ac098afcfdbed964b1e46ce29b68a,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x41bf39033c732f884a52ddf38f647ad63457ceec,999307285015278074000,Burn,ASH,18,106,449709,172000000000,202658,11292801,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594187
12467300,1621460697,0xe5ba066deba8bd2f2ff68fba67de27c91ad3abcf671867026d531458bfcfab4f,49,0x27461ef1e238ffec3c46ef87b2909288e6cd5645767f6234dc6aae5a6cdbcaae,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x1de6ef717ff10b180e3faa5e359fa8c55204cb8e,999168857171314257000,Burn,ASH,18,7,453636,377000000000,172658,767752,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594184
12467302,1621460743,0xc03b8887006865cd255e6ca3cd904061bb9997acd3ad2d754dacd416c069a479,63,0x9912431c493714fea85997f611811cc312f06ab6fc051205c877ed79a76d1788,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x4ec741b83ec1f0b491152904b1b8383c2975031a,999030467674458514000,Burn,ASH,18,107,471670,154000000000,201662,7994280,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594182
12467302,1621460743,0x8805ad0b1a5cad3b793032950bf4c4039b8a092028d8361ae091e1e8bdb4cc5c,2,0x9912431c493714fea85997f611811cc312f06ab6fc051205c877ed79a76d1788,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xfe917312344b4ed3283c5e142868cd3eaa782933,998892116508778374000,Burn,ASH,18,181,464863,152150000000,225233,14380518,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594182
12467304,1621460748,0x4d0a88383e8d80581eeab62d109fc32244408794da5d9b3625872c213d400004,0,0xb2f49be0ee2cf0ce8e9c8bad6919315087a1a41f7dbfde064bb385f94679bc4a,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x9359310724cfce1809398c15bb4e8c75a5fb3280,998753803658350220000,Burn,ASH,18,89,491469,152150000000,227333,6118735,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594180
12467304,1621460748,0xa099ecae730785e405e7333332ac995eb000c62df346d1b361d927ddcb944855,84,0xb2f49be0ee2cf0ce8e9c8bad6919315087a1a41f7dbfde064bb385f94679bc4a,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x91b80a39f12630500bd40f6bda7cceb6b89841b3,998615529107259248000,Burn,ASH,18,126,464863,152000000000,225233,10088601,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594180
12467315,1621460981,0x7f318b0fc0342774404635d686d512090e6ebaa23e89a28e14f1d9283e2c6088,265,0x2af27f71d1e2659dd9f90ea9e67f5c170c15f5be9cf7b006043fb778e374aa67,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xd595710aedaba1d2e18bfdbab46ab796664c6d89,998477292790073149000,Burn,ASH,18,69,468657,175000000000,227683,6882652,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594169
12467321,1621461036,0xc1ef00503400d00a8ff359d215a93cd2e9b3222544f9a2e9ef95553921291ca1,899,0x66e51028eb4ea32d7f65b76dc97398c53fefb5e826de74fc5613a3f173c084e4,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xeee5eb24e7a0ea53b75a1b9ad72e7d20562f4283,998339094785494384000,Burn,ASH,18,59,452650,154000000000,217012,5390158,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594163
12467321,1621461036,0x791db5155a4b288892ef19a96ca172d4947077e8b06c9a0ef0420d5b93f16704,22,0x66e51028eb4ea32d7f65b76dc97398c53fefb5e826de74fc5613a3f173c084e4,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xa9bd952a63354f1938fd07a317c553df1ca0b39f,998200935032568885000,Burn,ASH,18,135,452650,152000000000,217012,14596433,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594163
12467328,1621461125,0x2c1e2bcc9c91714ceaf81bdac1319a91a44d9f01334355ded3c8aa847ad72a88,266,0x45f72e7f10e9ac16afcf9b5993c2b28df96894893dc0acd70eaa59cd0ef9ed70,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xd595710aedaba1d2e18bfdbab46ab796664c6d89,998062813515417049000,Burn,ASH,18,39,442185,225000000000,210583,2424380,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594156
12467330,1621461177,0x9fbc6e6f721cb4bf729597ef4346967e92959d99ef71248cca91d589928e00bb,70,0x732dc1c38a4ab8d6b2c0c2a3497fab156700929b5e4fcf58759ad48e2c51c518,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x5b550ff0013c8ef7882e044ca6d487bb7631e1f1,997924730218168064000,Burn,ASH,18,4,468657,300000000000,227683,685453,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594154
12467330,1621461177,0x100b1a31ced4e21176dedb4add1418067f6871558e66ce1e386529db12c35a74,498,0x732dc1c38a4ab8d6b2c0c2a3497fab156700929b5e4fcf58759ad48e2c51c518,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x45f6e731798684b1cf9d980777c9d636e1064ffc,997786685124959895000,Burn,ASH,18,142,452650,195000000000,217012,7492077,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594154
12467330,1621461177,0x52fca50513821659c533d22190400ca29bbc5364bc637b389bead6850c6efedb,150,0x732dc1c38a4ab8d6b2c0c2a3497fab156700929b5e4fcf58759ad48e2c51c518,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xecbde5878a4127b8def2af355dc7e2be5311f904,997648678219939271000,Burn,ASH,18,145,495262,195000000000,229783,8122427,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594154
12467330,1621461177,0x37dcd1d8c500fa86caa2ccb259a09379d0e33cf20a997c8215ab7be78cd4931e,302,0x732dc1c38a4ab8d6b2c0c2a3497fab156700929b5e4fcf58759ad48e2c51c518,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x7cabb73f5b840b245ec2528751445da1f6dd7eee,997510709487261727000,Burn,ASH,18,148,495262,192000000000,229783,8394210,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594154
12467330,1621461177,0xb7a35fbff9319229c2661451ce3b8c5ea7da360d4c717ff0575c4f5266e76243,68,0x732dc1c38a4ab8d6b2c0c2a3497fab156700929b5e4fcf58759ad48e2c51c518,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xcb6589cde12845296469ba0aecd1402c63974168,997372778911091514000,Burn,ASH,18,184,452650,186000000000,217012,10844642,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594154
12467330,1621461177,0x5698b5a3c726baf0a335da0eb3c7457e3023f60c72f5ae440c5cd24f2932c7b4,60,0x732dc1c38a4ab8d6b2c0c2a3497fab156700929b5e4fcf58759ad48e2c51c518,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x0fe61de274aed1803e66ba1b863d966079cb9116,997234886475601689000,Burn,ASH,18,185,452650,186000000000,217012,11061654,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594154
12467332,1621461186,0x35f38fe6c548080d62ed833862cc6653ccbedf365ad8766a19806515961ad2b2,621,0x0a0e8fba59f24e74a7cec630ca5ac5753b46dbf1ef545c7af5b26c5c6fc50a88,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x85c0c90946e3e959f537d01cebd93f97c9b5e372,997097032164974021000,Burn,ASH,18,3,468657,349000000000,227683,1199995,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594152
12467332,1621461186,0xb390e1b3943f5bd8eab634cc33c5c2c6be07cb7bc4fb7e2c67ee1d7bb945c593,130,0x0a0e8fba59f24e74a7cec630ca5ac5753b46dbf1ef545c7af5b26c5c6fc50a88,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0xb38bd68a6f0ba599808d65c7a9cf2a428105b680,996959215963399053000,Burn,ASH,18,9,495262,250000000000,229783,1604512,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594152
12467332,1621461186,0x86f1b37fe187f24ca4d7d065623ef0eecf7c3ed10b5842b4cc17ab7a4111f226,443,0x0a0e8fba59f24e74a7cec630ca5ac5753b46dbf1ef545c7af5b26c5c6fc50a88,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x41f33855fe7bff95a6d8204cf93e8905cefa0485,996821437806128049000,Burn,ASH,18,26,479256,222000000000,206562,2457295,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594152
12467332,1621461186,0xfa2ccfd292c46e5c1a140165c3f83e8d13355cb326c98a0868555773ab02ba3e,2967,0x0a0e8fba59f24e74a7cec630ca5ac5753b46dbf1ef545c7af5b26c5c6fc50a88,0x0000000000000000000000000000000000000000,0x64d91f12ece7362f91a6f8e7940cd55f05060b92,0x0a2542a170aa02b96b588aa3af8b09ab22a9d7ac,996683697773184330000,Burn,ASH,18,184,472449,204000000000,230133,9346771,deprecated,0x42842e0e,"safeTransferFrom(address from, address to, uint256 assetId)",12594152
