blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
20279432,1720654703,0x219a80cb50c59da586a0ca9e8f797e74969ffca7990a282fff4377de26eb3135,73,0x86719689dce2c43fcb78f8b7c271e6fb5287aac361f595b6e7685f8c44f7600e,0x0000000000000000000000000000000000000000,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,1000000000000000000000000000,Covalent X Token,CXT,18,114,3250608,2539290293,2501250,14807384,deprecated,0x61016034,,4782079
20279685,1720657763,0x4f364ecfd78db1f26905438bf5b860676ccad4a8984b10a855a86a6d78d6ff53,77,0xfa6779bdef4b85568c6e6ff3fe73d7d3407d22ccf050c8403433b890471f1991,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0xfe97b0c517a84f98fc6ede3cd26b43012d31992a,194036056217725930000000000,Covalent X Token,CXT,18,1,29026642,2707155157,28570801,28765764,deprecated,0xad8bc26b,"batchDistribute(address[] batchReceivers, uint256[] amountsInQKC)",4781826
20279685,1720657763,0x4f364ecfd78db1f26905438bf5b860676ccad4a8984b10a855a86a6d78d6ff53,77,0xfa6779bdef4b85568c6e6ff3fe73d7d3407d22ccf050c8403433b890471f1991,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0xbf7a6ed78f9399f4299a8d000a83db84beafbcfd,62347609308384130000000000,Covalent X Token,CXT,18,1,29026642,2707155157,28570801,28765764,deprecated,0xad8bc26b,"batchDistribute(address[] batchReceivers, uint256[] amountsInQKC)",4781826
20279685,1720657763,0x4f364ecfd78db1f26905438bf5b860676ccad4a8984b10a855a86a6d78d6ff53,77,0xfa6779bdef4b85568c6e6ff3fe73d7d3407d22ccf050c8403433b890471f1991,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0x3b888a4b8c67e8710e9e575e38ea05b0bab33e91,53526281000000000000000000,Covalent X Token,CXT,18,1,29026642,2707155157,28570801,28765764,deprecated,0xad8bc26b,"batchDistribute(address[] batchReceivers, uint256[] amountsInQKC)",4781826
20279685,1720657763,0x4f364ecfd78db1f26905438bf5b860676ccad4a8984b10a855a86a6d78d6ff53,77,0xfa6779bdef4b85568c6e6ff3fe73d7d3407d22ccf050c8403433b890471f1991,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0x220b7eebd8974aa9dcff93371bc554e03236e57e,51552384299869800000000000,Covalent X Token,CXT,18,1,29026642,2707155157,28570801,28765764,deprecated,0xad8bc26b,"batchDistribute(address[] batchReceivers, uint256[] amountsInQKC)",4781826
20279685,1720657763,0x4f364ecfd78db1f26905438bf5b860676ccad4a8984b10a855a86a6d78d6ff53,77,0xfa6779bdef4b85568c6e6ff3fe73d7d3407d22ccf050c8403433b890471f1991,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0xb270fc573f9f9868ab11b52ae7119120f6a4471d,38379374431141510000000000,Covalent X Token,CXT,18,1,29026642,2707155157,28570801,28765764,deprecated,0xad8bc26b,"batchDistribute(address[] batchReceivers, uint256[] amountsInQKC)",4781826
20279685,1720657763,0x4f364ecfd78db1f26905438bf5b860676ccad4a8984b10a855a86a6d78d6ff53,77,0xfa6779bdef4b85568c6e6ff3fe73d7d3407d22ccf050c8403433b890471f1991,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0x6af3d183d225725d975c5eaa08d442dd01aad8ff,33486222927043460000000000,Covalent X Token,CXT,18,1,29026642,2707155157,28570801,28765764,deprecated,0xad8bc26b,"batchDistribute(address[] batchReceivers, uint256[] amountsInQKC)",4781826
20279685,1720657763,0x4f364ecfd78db1f26905438bf5b860676ccad4a8984b10a855a86a6d78d6ff53,77,0xfa6779bdef4b85568c6e6ff3fe73d7d3407d22ccf050c8403433b890471f1991,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0x1ddd4459302eeeda17f855055c7c78d84efa1ffd,19168591995837370000000000,Covalent X Token,CXT,18,1,29026642,2707155157,28570801,28765764,deprecated,0xad8bc26b,"batchDistribute(address[] batchReceivers, uint256[] amountsInQKC)",4781826
20279685,1720657763,0x4f364ecfd78db1f26905438bf5b860676ccad4a8984b10a855a86a6d78d6ff53,77,0xfa6779bdef4b85568c6e6ff3fe73d7d3407d22ccf050c8403433b890471f1991,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0x61da29c512ffc3a06649de10845170d3101df0c1,14303444000000000000000000,Covalent X Token,CXT,18,1,29026642,2707155157,28570801,28765764,deprecated,0xad8bc26b,"batchDistribute(address[] batchReceivers, uint256[] amountsInQKC)",4781826
20279685,1720657763,0x4f364ecfd78db1f26905438bf5b860676ccad4a8984b10a855a86a6d78d6ff53,77,0xfa6779bdef4b85568c6e6ff3fe73d7d3407d22ccf050c8403433b890471f1991,0x88dc6032a0e2814d958c8d0c6dce76d64c927018,0x7abc8a5768e6be61a6c693a6e4eacb5b60602c4d,0x073fde00b37e92e5579ea355ff67cf9c2ef27e54,10000000000000000000000000,Covalent X Token,CXT,18,1,29026642,2707155157,28570801,28765764,deprecated,0xad8bc26b,"batchDistribute(address[] batchReceivers, uint256[] amountsInQKC)",4781826
