blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
17040448,1681413983,0x7e948d27dea531a8c6bb54fe7fd7efc195310f7124ef0d2c849b562cd76e89e4,0,0x39784241dd8dab9e62f69177993b121956e6b75346db4922f9358e85bd2a11d5,0x0000000000000000000000000000000000000000,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x8981a111b8d70918cf950d0ae2869871e883a35d,10000000000000000000,Fidelity Digital Dollar,FIDD,18,16,125000,46000000000,88536,736726,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",8021077
17069856,1681775459,0xda2b10470ef1a4f9d335dc4311463c59102594ffe0cff401bf11d756b44baf3c,1,0x2dac828b2d9332af9a6fe4b0fb0768abebd4d8e8601a29f76be6f55967e6f1f1,0x8981a111b8d70918cf950d0ae2869871e883a35d,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x0000000000000000000000000000000000000000,1000000000000000000,Fidelity Digital Dollar,FIDD,18,15,125000,71000000000,47707,2950387,deprecated,0x42966c68,burn(uint256 amount),7991669
17096845,1682105507,0xada9cdd5c76994a11b5e2f0c986de8adc766a3ba1b1cfcc4ab8b1699b2234d4e,2,0xff516d305b6af63b3fd53229ee63662f866ccd8f16fbc2bd2ea9803c757393ea,0x8981a111b8d70918cf950d0ae2869871e883a35d,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x0000000000000000000000000000000000000000,9000000000000000000,Fidelity Digital Dollar,FIDD,18,18,125000,56000000000,38166,2923585,deprecated,0x42966c68,burn(uint256 amount),7964680
17124992,1682446559,0x6b3de6a44072b0a1c2bdcd61a7ea79b6d4a3bd67d496c0de29322f1ebfa8d491,3,0xda9ccd97e13c5aacce9fe15be230dd724ae9eba1db2060b510f1fa413b644425,0x0000000000000000000000000000000000000000,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x8981a111b8d70918cf950d0ae2869871e883a35d,80000000000000000000,Fidelity Digital Dollar,FIDD,18,16,125000,47000000000,88548,1904130,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",7936533
17139954,1682628119,0xf294488cd3d8b342972ddad912151d94c914615f61a60fe96c254f6476fb350c,4,0x7f57927d3f8761dbc29a58cbe92dd94ba080a0ae7d7756af48984b3025cc49f7,0x0000000000000000000000000000000000000000,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x8981a111b8d70918cf950d0ae2869871e883a35d,1000000000000000000,Fidelity Digital Dollar,FIDD,18,10,125000,44000000000,54336,951969,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",7921571
17168788,1682978219,0x8b6f44d7d95a37132258efee5fdc097ac6a3c6d09cce6743dec1d58ce946df0a,5,0x535b5fd6ea8896aff0b15c38b93abd40b6011e65abc6618b598c0ff0d35c187f,0x8981a111b8d70918cf950d0ae2869871e883a35d,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x0000000000000000000000000000000000000000,81000000000000000000,Fidelity Digital Dollar,FIDD,18,10,125000,83000000000,38176,1751057,deprecated,0x42966c68,burn(uint256 amount),7892737
17345103,1685126399,0x86c5c3056cf3aa10cb0956777086d78529965000449e7227044734f8aeeeb6dd,6,0x6a386fa7574dca276a241e5a07289960039cae192c240b7d8b7669d02bb5d545,0x0000000000000000000000000000000000000000,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x8981a111b8d70918cf950d0ae2869871e883a35d,100000000000000000000,Fidelity Digital Dollar,FIDD,18,31,125000,50000000000,88548,4154663,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",7716422
17345342,1685129267,0xdf2a40e9530b5b935dfa48d9ca006e9281988a9c1bc2aaa6005015601c6eadf5,7,0x09bcaea9bbb70ba4b452236176e31192ae92ce4649d9700539d5bd4f46f43a3f,0x8981a111b8d70918cf950d0ae2869871e883a35d,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x519437620fc9bcb649308fc94ab04a028db653f2,10000000000000000000,Fidelity Digital Dollar,FIDD,18,18,65000,32000000000,63956,1460269,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",7716183
17360933,1685318231,0x9046ac7a9e20fcf604b05d8703bd72109b86b131db491c40c1809fce556caf2c,10,0xa47d1bea92cda4b6e1a8ad3d5336b6ddfd190f7c8a87305bec1de543bd04e8e3,0x8981a111b8d70918cf950d0ae2869871e883a35d,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x519437620fc9bcb649308fc94ab04a028db653f2,5000000000000000000,Fidelity Digital Dollar,FIDD,18,14,65000,29000000000,46856,4901652,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",7700592
17373349,1685469227,0xe7b009facf6cc1cd61aeb2701cbead0db78b58beffa9b093e432f39a64cd2975,0,0x16de750471ae28006cf2be3bcc88b246404e1542a748fabc0d499daeb728362f,0x519437620fc9bcb649308fc94ab04a028db653f2,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x8981a111b8d70918cf950d0ae2869871e883a35d,15000000000000000000,Fidelity Digital Dollar,FIDD,18,26,65000,55000000000,42056,3330879,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",7688176
17374416,1685482139,0x99d8b464a06de5dc66963bf04b0d6056bbb4511d336fc391cd62f41f5b39bee3,11,0x8f7e47764eeddcd015bbfa5002f63edc72aa79c68d5f442246118365d9324a9c,0x8981a111b8d70918cf950d0ae2869871e883a35d,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x0000000000000000000000000000000000000000,100000000000000000000,Fidelity Digital Dollar,FIDD,18,12,125000,51000000000,38176,1685242,deprecated,0x42966c68,burn(uint256 amount),7687109
17381546,1685568851,0x5ab698ad05e1513616ba31b1046b6a3b983b58e27ee5d6bbe39cb88717b1c514,12,0xa0e9c675abfa5f141bdc55761676284e8903227fac9b278e4538e2c9183402ae,0x0000000000000000000000000000000000000000,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x8981a111b8d70918cf950d0ae2869871e883a35d,9000000000000000000,Fidelity Digital Dollar,FIDD,18,7,125000,39000000000,88536,962985,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",7679979
17381833,1685572355,0xc21d5ebbca3c310fb979f1f85057960920b06774df5e737b1cc7b17af8afd33d,13,0xac85705b64a31acd385da771e595a09d5454e3d77a33510b0d9fcb9499458ec5,0x8981a111b8d70918cf950d0ae2869871e883a35d,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x40a21c8fbee6a9721f257c485320205d4dbd099b,1000000000000000000,Fidelity Digital Dollar,FIDD,18,80,65000,30000000000,63956,6082799,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",7679692
17382087,1685575463,0x2101a44503829273fea6441867e7f4f83d17d6bf08e98b07a7768fd0ca02f77c,0,0x7375e83aa2bf72f4e5f18ac29cb6cb88d9717b327b4c1cc2be89f5025af78427,0x40a21c8fbee6a9721f257c485320205d4dbd099b,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x8981a111b8d70918cf950d0ae2869871e883a35d,1000000000000000000,Fidelity Digital Dollar,FIDD,18,22,65000,31000000000,42056,2724004,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",7679438
17382266,1685577611,0xc278bcc1ab4aa18bfaf3986006e4a7fa7a1028c018e64e5aa0b4e64be5f857cb,15,0xe0ef11cab4909c80599087b4ffb0bf1e92b1affcc72abc3b802f20a9d5d21096,0x8981a111b8d70918cf950d0ae2869871e883a35d,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x0000000000000000000000000000000000000000,9000000000000000000,Fidelity Digital Dollar,FIDD,18,356,125000,26000000000,38166,22611770,deprecated,0x42966c68,burn(uint256 amount),7679259
17387054,1685635775,0xb182a498d982371640e1dbec493943df6991f8909cace5fd75c4accedad8e969,16,0xe57267f612f22577d17ed40eab26cb4834aaa7c7760f4033138b915a37e6af72,0x0000000000000000000000000000000000000000,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x9350dd9c38e61ca822b6986191d4acb24f556a26,10000000000000000000,Fidelity Digital Dollar,FIDD,18,95,125000,55000000000,90536,7215035,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",7674471
17387947,1685646671,0x81143130ec74be89d0b14464bc76beba5b36b79d07ed4054ed0cea17bb9bccbd,0,0xefeb7ee0453e10d46ed0fee040f0f3ff157dd0c2c7c6af8ca1882fef21150781,0x0000000000000000000000000000000000000000,0x7c135549504245b5eae64fc0e99fa5ebabb8e35d,0x8981a111b8d70918cf950d0ae2869871e883a35d,10000000000000000000,Fidelity Digital Dollar,FIDD,18,76,125000,53000000000,73436,6908621,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",7673578
