blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
11289014,1605796533,0x7d9cadea026963dc5dda21f374566908e8180df11fdd2c55bca18fcd0984be1b,0,0x95705481ff36e80ea16c8977bdd026fec50d6e7d0c3f63acfb5c6076b5763876,0x0000000000000000000000000000000000000000,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x84fd58b5788d0c61a2a72bcaf841e69a4de8f66b,16757868840000000000,Golem Network Token,GLM,18,103,750000,46000000000,120593,8138210,deprecated,0x454b0608,migrate(uint256 _value),13772518
11289043,1605796830,0x9e6fd272f1bd72ca915a7b4bfb61d7dc62281bbefbc4c6b0a34cf021a538c4ef,29,0x9fbd5925d55a4c668b83e40d439d8ac0bcd44c4a864f3992886035d68ffc5177,0x0000000000000000000000000000000000000000,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x74446b4fb2cca2fd8a475bc40606b77d8d7659c4,3000000000000000000,Golem Network Token,GLM,18,25,750000,46000000000,105581,1893981,deprecated,0x454b0608,migrate(uint256 _value),13772489
11289160,1605798214,0x5d27fcd4d12617c7d7bf85583ad39cd50020438bf0d23c34c1de0c1192c4b5ee,0,0x3aab4dd99a677e099eb2a3758b82539969890e5c20d43afc1e835d02c0804a8e,0x0000000000000000000000000000000000000000,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x210e05622e777bfb824bf586b3111c515061c7a4,1000000000000000000,Golem Network Token,GLM,18,194,750000,56000000000,105581,8225360,deprecated,0x454b0608,migrate(uint256 _value),13772372
11289175,1605798418,0x7bc8b10a0986223ba219415b99fc2213693bdaa82144faf0f36ccb6420648766,1,0xf3524ad2c9f48f165c1715d841811480f6ca0e44fe06dd7181cbcb7ef53a26b0,0x0000000000000000000000000000000000000000,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x210e05622e777bfb824bf586b3111c515061c7a4,4684999000000000000000000,Golem Network Token,GLM,18,66,750000,55000000000,60605,5918492,deprecated,0x454b0608,migrate(uint256 _value),13772357
11289181,1605798487,0xe20aa368a919d7cb3db62f52b8992c7063108b5ddf066be3bf3e5d392d39cf00,148,0xff7f93baa612819cb107eeeb665032aac187c201393260af83a49fbc8de1e3a6,0x0000000000000000000000000000000000000000,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x14654861ca25eff9577a417d4d8d6063939c0b35,105353605000000000000000,Golem Network Token,GLM,18,100,750000,50000000000,90617,5282550,deprecated,0x454b0608,migrate(uint256 _value),13772351
11289199,1605798699,0x62534aad27437455755133354e88fe2b3b8c092e270ea26a4fa702d24a5d8eed,3,0x06c5bac6e16219c9994538cbfbaeea9f46e84ad95bbb32017a245e65df51b8fb,0x210e05622e777bfb824bf586b3111c515061c7a4,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,329072000000000000000000,Golem Network Token,GLM,18,49,3015245,55000000000,2700759,6418984,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",13772333
11289199,1605798699,0xbfca8edf2fe06e6002faeb55a1f85abe0a70bcdbf82ddf5bef0c904c31b30838,4648,0x06c5bac6e16219c9994538cbfbaeea9f46e84ad95bbb32017a245e65df51b8fb,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x3e1804fa401d96c48bed5a9de10b6a5c99a53965,2360373130355331410030,Golem Network Token,GLM,18,50,800000,55000000000,193436,6612420,deprecated,0x0756d6f4,,13772333
11289199,1605798699,0xbfca8edf2fe06e6002faeb55a1f85abe0a70bcdbf82ddf5bef0c904c31b30838,4648,0x06c5bac6e16219c9994538cbfbaeea9f46e84ad95bbb32017a245e65df51b8fb,0x3e1804fa401d96c48bed5a9de10b6a5c99a53965,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,4716,Golem Network Token,GLM,18,50,800000,55000000000,193436,6612420,deprecated,0x0756d6f4,,13772333
11289201,1605798725,0xa20df9c3b86bd929bd6c8ce7057b6d6369d550c2e0f0acad806fa89cee2de96b,9,0x30aff7c1381f0672a12f1c3f23ef950ee0d035d64df1cc3b801a689cae876bdb,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x5bdee9e649350c40df6ae2be031aac733f8a6ac6,163955122383031580198,Golem Network Token,GLM,18,33,180561,75000000000,154515,2540712,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13772331
11289206,1605798782,0x7577ea9e927e0537efc85ad5e4974b111b9343ffdf81f1244ea2973c2800e9ca,92,0xbb48b0a035bd07b7a45494a2a8e1330420769003bb93c8110e440ea721858011,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0xab05b2e63facef33cecc458ecfd6c190db05c085,46814029646144049254,Golem Network Token,GLM,18,96,165093,50000000000,124515,7860349,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13772326
11289213,1605798832,0xe119056004f6ddac2892ccf7e87ce94b2b9f9476030a147cfd2c6d8e36d1fc28,928,0x46f21c217fb060d63827718787c894bef0aa731682b9f82984a334748eb8f635,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x5d163d5bd182a47db111e41c49820af7c4dd7084,2092827132389983818831,Golem Network Token,GLM,18,175,165093,54000000000,124515,11028523,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13772319
11289221,1605798952,0xd1fc822ab65ac2060aaf677f657797d860da4f1bb59da1bf7516ed679d5ff28d,10,0x2129b7dbead37b459575cdea774f3ed866616974e8363f12cc0bafbe61a9942d,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x817507b2af6cc29cf0e05390eacdbb2f814eb805,461425480804497105520,Golem Network Token,GLM,18,88,165093,50000000000,124515,6235906,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13772311
11289223,1605798959,0xcb6de726375466089ba17a36fc919f75554df08e05ab4055a56bdc4d8135a1ad,130,0x1f8c72786de78e651ebbab945f5df57758a9b85e0142a7dc6638182f4c547047,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0x99046907448b77efd3897f05b5a6a00f0aadf2e7,230219870232175098392,Golem Network Token,GLM,18,16,151666,61000000000,124515,809207,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13772309
11289226,1605798982,0x76d240a001ed2423d6570d5c2078017e5b02a286207e3fc9e5dc8a7e41c93aea,150,0x5f5970c25d557b4f0fb41bf2c24743af12e38438ab90c94d48c32f20fa1b416b,0x14654861ca25eff9577a417d4d8d6063939c0b35,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429,0xb5f790a03b7559312d9e738df5056a4b4c8459f4,104904177976254111230225,Golem Network Token,GLM,18,72,171469,48000000000,142311,5838241,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",13772306
