blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
11465581,1608140520,0x1c3339f6e08324aea59d21f2bb68f184f5a5fd1da7605e17b0508f23c5e19673,49,0x8701fa59631d4b073ef8944275e2a74af7376a5b64612f834d4678bc8d698ab9,0x0000000000000000000000000000000000000000,0x853d955acef822db058eb8505911ed77f175b99e,0x234d953a9404bf9dbc3b526271d440cd2870bcd2,2000000000000000000000000,Frax,FRAX,18,28,8000000,90000000000,3736376,5546427,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",13595946
11465945,1608145173,0xa7b2be79c83db117cdacd0e3a7c33e23a43edc066604b1f97af514cdc69fdfe9,34,0x255838c7f0cd12a9b3e09e9c2087aa247f8a5203a42bb6bcacf48393f6cb49a3,0x234d953a9404bf9dbc3b526271d440cd2870bcd2,0x853d955acef822db058eb8505911ed77f175b99e,0x642a101709e48d986844656f6ec7586bed71bedd,100000000000000000000,Frax,FRAX,18,65,8000000,90000000000,226250,4470338,deprecated,0xe8e33700,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",13595582
11465946,1608145188,0x0158497fb95f0119d0e4b1b0b4b343770454414fa0ca705db53b70ef7e03c8f3,36,0xeba440892f9e6e53183084aa5e84c141bd7d4b6bcfabf09f801460ca8a973331,0x234d953a9404bf9dbc3b526271d440cd2870bcd2,0x853d955acef822db058eb8505911ed77f175b99e,0x97c4adc5d28a86f9470c70dd91dc6cc2f20d2d4d,100000000000000000000,Frax,FRAX,18,16,8000000,90000000000,236621,1048754,deprecated,0xe8e33700,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",13595581
11465946,1608145188,0x578af4ef6d21eb9b40e467d765d1691a6b62c92217f3c762556cc61bf51d051a,38,0xeba440892f9e6e53183084aa5e84c141bd7d4b6bcfabf09f801460ca8a973331,0x234d953a9404bf9dbc3b526271d440cd2870bcd2,0x853d955acef822db058eb8505911ed77f175b99e,0xfd0a40bc83c5fae4203dec7e5929b446b07d1c76,600000000000000000000,Frax,FRAX,18,18,8000000,90000000000,230039,1593713,deprecated,0xe8e33700,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",13595581
11465946,1608145188,0x4924fa73cc9b73412e1fd41966c7006184bb543d39d0501fdaa502f84d1c5ce0,40,0xeba440892f9e6e53183084aa5e84c141bd7d4b6bcfabf09f801460ca8a973331,0x234d953a9404bf9dbc3b526271d440cd2870bcd2,0x853d955acef822db058eb8505911ed77f175b99e,0xe1573b9d29e2183b1af0e743dc2754979a40d237,100000000000000000000,Frax,FRAX,18,21,8000000,90000000000,287605,2189814,deprecated,0xe8e33700,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",13595581
11466309,1608150141,0x0691aed634e9bb2fa28f2eb3932b8ac5a8b9f8c05cb16796b14b5e00de1247b2,79,0xc73eeb8fef590d997f15655fd27378b2c24bca87ed5fc5b54f9e54cedeb21ba7,0x234d953a9404bf9dbc3b526271d440cd2870bcd2,0x853d955acef822db058eb8505911ed77f175b99e,0x69863cdd8a25bae9a57271f7a29a76764da87f1a,1000000000000000000000,Frax,FRAX,18,20,8000000,75000000000,51367,1133678,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",13595218
11466330,1608150435,0x00c890d434edfca73d36e206cbb6327d6fcbd2edfe09c5988107673d027d6277,80,0xd3c533d888932f4e542e50e30d53c54f305c34f24860962923b4ed3ff0a2b47b,0x234d953a9404bf9dbc3b526271d440cd2870bcd2,0x853d955acef822db058eb8505911ed77f175b99e,0xfd0a40bc83c5fae4203dec7e5929b446b07d1c76,600000000000000000000,Frax,FRAX,18,127,189256,48000000000,165226,5189938,deprecated,0xe8e33700,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",13595197
11466336,1608150478,0x1a6b82639fd8f7ec66194cfb11efd3236fb4538c7d1fb825fd1ff119f2317b91,1875,0xe828f3b005876b89c6f0983af466327314128a4ce9b5bc5848911f1bae0536ce,0xfd0a40bc83c5fae4203dec7e5929b446b07d1c76,0x853d955acef822db058eb8505911ed77f175b99e,0xca55ae215caaf0d12601160211959ec6bd8f84e3,239423654192515509305,Frax,FRAX,18,8,165312,121000000000,124711,534616,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",13595191
11466342,1608150573,0xd9b18c0fb8afb0aa1b79147d860a7291e304f9150d9ab1fa0f3558fe03c2cd17,81,0x3c1f9bc65c170d4b6c946673427ac6ff44ef33cb128e383ba4df8fc5020313f3,0x234d953a9404bf9dbc3b526271d440cd2870bcd2,0x853d955acef822db058eb8505911ed77f175b99e,0x97c4adc5d28a86f9470c70dd91dc6cc2f20d2d4d,1000000000000000000000,Frax,FRAX,18,22,198822,42000000000,173879,3478561,deprecated,0xe8e33700,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",13595185
11466342,1608150573,0x9d3fb833d9b644bf8f10a8b33b2840494bd93c19ea360fe7caf1209ec37ea0e5,7059,0x3c1f9bc65c170d4b6c946673427ac6ff44ef33cb128e383ba4df8fc5020313f3,0x97c4adc5d28a86f9470c70dd91dc6cc2f20d2d4d,0x853d955acef822db058eb8505911ed77f175b99e,0x78a55b9b3bbeffb36a43d9905f654d2769dc55e8,122601936944376828954,Frax,FRAX,18,23,1000700,42000000000,325612,3804173,deprecated,0xc89e4361,delegate(),13595185
