blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
23846206,1763713763,0x8478202f401ecf27834fdb28c25329df9b058680e09ce40f06dd9850f738f9ed,1,0x6140c268a3e7092c8762b6f89603f86187c443d92cc4cac32f5f7849d24562ba,0x0000000000000000000000000000000000000000,0x8b1484d57abbe239bb280661377363b03c89caea,0xb937721da0bdfa2a75e433f267983dbded0fa15a,2000000000000000000000,ADI,ADI,18,64,116047,2474346664,113975,10898801,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",1066502
23874280,1764055043,0x1ef3c3d01cf76ed1a7f86b0308b43f09ae52d93e28ad021d78e7668881448b34,6,0xca068670f70f3804f07d5200926390cb34970efb50283c276c4bb71284c709a1,0xb937721da0bdfa2a75e433f267983dbded0fa15a,0x8b1484d57abbe239bb280661377363b03c89caea,0x64fb633ea2b6934ec7aa667c6fc0b7f948c04b26,5000000000000000000,ADI,ADI,18,142,113899,95267748,111844,20540279,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",1038428
23874623,1764059219,0xc81839913bca4b3fed96e6e1bfd0b7690262f3a19a648b74ea1db79eff7a1dda,3,0x0c6c3c45300f7c168c4cc7b62ebe0b653a39c0b25f082cc098daffd05eec8b72,0x64fb633ea2b6934ec7aa667c6fc0b7f948c04b26,0x8b1484d57abbe239bb280661377363b03c89caea,0x59be28de6efb1f78802e96188d2b7907059be59f,2000000000000000000,ADI,ADI,18,41,86004,2087335805,56529,5926601,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",1038085
23874626,1764059255,0x5d83793cc5e0d81b6ff137b01d5ea8befa1d483984c5663809290368c2d6a90d,4,0x4a2ff7ec41dd8efae14fcdb72e9ee8f5c6b065bc25c25e69dfc7a4eb9e53d8ea,0x64fb633ea2b6934ec7aa667c6fc0b7f948c04b26,0x8b1484d57abbe239bb280661377363b03c89caea,0x63b1df2941e9c2d27d1d3cd71b373c3f437b9e3c,2000000000000000000,ADI,ADI,18,86,86004,2078329875,56529,16477649,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",1038082
23874906,1764062615,0x08163acd04fcadc9299f187a8dfb43c81039bd61bcd5b5b2f6fcec06e025dce6,25,0x47da88da5c74661e5a82998783a96cbd7a82dbf70a3a8678a7c60c64c666d088,0x59be28de6efb1f78802e96188d2b7907059be59f,0x8b1484d57abbe239bb280661377363b03c89caea,0x0a0f8912162ff83a036883dbada42eff647a3065,36169138080000000,ADI,ADI,18,46,704940,100000000,510365,6993784,deprecated,0xd52471c1,requestL2TransactionDirect(tuple _request),1037802
23874907,1764062627,0x36a003b8e2f3c7fcdc96276574b1dfe4fa41f82c9f2d1ff7e5f685d07b88418b,27,0x216af05c5714d55186c7e442b1ecfcda2d1fdfd1a6ee39c0367ec740cf26e951,0x59be28de6efb1f78802e96188d2b7907059be59f,0x8b1484d57abbe239bb280661377363b03c89caea,0x0a0f8912162ff83a036883dbada42eff647a3065,36168626592000000,ADI,ADI,18,120,504296,100000000,344818,9843733,deprecated,0xd52471c1,requestL2TransactionDirect(tuple _request),1037801
23874908,1764062639,0x91b4ee67692e57deb07950e3fddaa892c8078d91513ed8ab4cf6c9c3359cb417,29,0xb8a900fbd87c44f3457976c8d1d18158ec4e881bc6594f21b1fdc95d50184e94,0x59be28de6efb1f78802e96188d2b7907059be59f,0x8b1484d57abbe239bb280661377363b03c89caea,0x0a0f8912162ff83a036883dbada42eff647a3065,36168626592000000,ADI,ADI,18,94,1499300,100000000,1025163,9926678,deprecated,0xd52471c1,requestL2TransactionDirect(tuple _request),1037800
23874908,1764062639,0x781751a19ce8e9f3410e56fe92961a6119dd652b8a0d71b62e8773b7fc60be50,31,0xb8a900fbd87c44f3457976c8d1d18158ec4e881bc6594f21b1fdc95d50184e94,0x59be28de6efb1f78802e96188d2b7907059be59f,0x8b1484d57abbe239bb280661377363b03c89caea,0x0a0f8912162ff83a036883dbada42eff647a3065,36168626592000000,ADI,ADI,18,96,660328,100000000,451507,10429516,deprecated,0xd52471c1,requestL2TransactionDirect(tuple _request),1037800
23874909,1764062651,0x9674d40a88acfee8dc478b1906363b79c9f834024d35bd97f27d34a4d275fdfd,33,0xc30bb84828310f866befeb07249206f390c1ca6c32b1a993375c148ea797a8fb,0x59be28de6efb1f78802e96188d2b7907059be59f,0x8b1484d57abbe239bb280661377363b03c89caea,0x0a0f8912162ff83a036883dbada42eff647a3065,36168626592000000,ADI,ADI,18,70,924536,100000000,632162,9792281,deprecated,0xd52471c1,requestL2TransactionDirect(tuple _request),1037799
23874910,1764062663,0x3cf2a61117821a11a79d223f77621f357742075979cd6e502d398fb949d8823b,35,0xe663a84c3482c8854d320afbd191ad1e4d0dc701c6af82546c73029f961dac63,0x59be28de6efb1f78802e96188d2b7907059be59f,0x8b1484d57abbe239bb280661377363b03c89caea,0x0a0f8912162ff83a036883dbada42eff647a3065,36168626592000000,ADI,ADI,18,109,368303,100000000,266645,10960428,deprecated,0xd52471c1,requestL2TransactionDirect(tuple _request),1037798
23875561,1764070667,0x3fba7024843f15e989297fd32790708e958cb834681477819c6a7e6e946ff581,6,0x1828641d1ba9484fdae8a18be548e7136dc7b106bafc6b7c5e0c0cf782497159,0x63b1df2941e9c2d27d1d3cd71b373c3f437b9e3c,0x8b1484d57abbe239bb280661377363b03c89caea,0x64fb633ea2b6934ec7aa667c6fc0b7f948c04b26,2000000000000000000,ADI,ADI,18,131,59946,2083917382,34629,17124074,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",1037147
23875565,1764070715,0x8124546a70de5a77b863c6d4733eca60e2bfe73b45e0e3fe809076bf21ec4456,45,0x24f77b9487541bbc8d9e127ea87daaf3c2fa57e5c0c59d851b67bef51b1cd706,0x59be28de6efb1f78802e96188d2b7907059be59f,0x8b1484d57abbe239bb280661377363b03c89caea,0x64fb633ea2b6934ec7aa667c6fc0b7f948c04b26,1782987728960000000,ADI,ADI,18,115,59964,2091807671,34641,15588411,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",1037143
23878236,1764103187,0xeba1bf8c51ee99930307b606be1dc3522c0d8cb0d595a0afa2ffb23bf7786f15,9,0xe84f4544a976147b8db5372fc0f11ce326852e145aeb67a71f6767c8fab9e8d6,0x64fb633ea2b6934ec7aa667c6fc0b7f948c04b26,0x8b1484d57abbe239bb280661377363b03c89caea,0x0a0f8912162ff83a036883dbada42eff647a3065,1010076608639885000,ADI,ADI,18,123,390000,83127810,244987,10208085,deprecated,0xd52471c1,requestL2TransactionDirect(tuple _request),1034472
23882439,1764154295,0xfd419fbfb9d063951d203d41536e317a1ddbc24b5e3dd2952d53d913d36045bf,11,0xca45e1727eaca6cb22cde755aa41f73fb82ae7bfcf5e87513b7ae829d852b457,0x64fb633ea2b6934ec7aa667c6fc0b7f948c04b26,0x8b1484d57abbe239bb280661377363b03c89caea,0x0a0f8912162ff83a036883dbada42eff647a3065,1515076390282632000,ADI,ADI,18,164,390000,59984269,239900,18156019,deprecated,0xd52471c1,requestL2TransactionDirect(tuple _request),1030269
23882819,1764158867,0xf140602de9edd4087df104e2eef2ad22fe6cd4a3ec698a8856e561bd4eafce5f,14,0x8cacbbde45696989603eed8121c6761fd9df701f7c7291bff28d599c38a9c640,0x64fb633ea2b6934ec7aa667c6fc0b7f948c04b26,0x8b1484d57abbe239bb280661377363b03c89caea,0x0a0f8912162ff83a036883dbada42eff647a3065,505076468594497000,ADI,ADI,18,285,480563,62009834,297479,28822926,deprecated,0xd52471c1,requestL2TransactionDirect(tuple _request),1029889
23883115,1764162491,0xdc073831981b99c769b8ee24a154e2a08bc9e522dc019703d56495bdfa3d1004,15,0x5c880f0caadef410915f56ff863f11edd8af807da025d6f05777db43ff763198,0x0a0f8912162ff83a036883dbada42eff647a3065,0x8b1484d57abbe239bb280661377363b03c89caea,0x64fb633ea2b6934ec7aa667c6fc0b7f948c04b26,50000000000000000,ADI,ADI,18,234,197067,62423244,188697,27914678,deprecated,0x74beea82,,1029593
23883295,1764164651,0x35f6db78f0005526e24a67959f36cb280b8a0cb546412524b5f6aae9915bfdb6,4,0x7d5497b1a994ef0dbe8ec465687dbbce705b5571f5e9a542c1618a7e64089bf4,0xb937721da0bdfa2a75e433f267983dbded0fa15a,0x8b1484d57abbe239bb280661377363b03c89caea,0x54c1effc778f0a765ad5c5e23b161b363f61846a,200000000000000000000,ADI,ADI,18,313,135340,52683110,133116,54624400,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",1029413
