blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
16489867,1674722591,0xd73b17f4bc5a9d746e0b7102bb521fe5d66737ce6f48167fbcd72c72f2f25159,1,0x9a41de3ea928533593847d4bff2b68d82583f5e018f3a76d37750dc9bc6f57b4,0x0000000000000000000000000000000000000000,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,115792089237316195423570985008687907853269984665640564039457584007913129639935,Kuji,KUJI,6,9,672848,19872796672,672848,18854700,deprecated,0xf7955637,"deployERC20(string _cosmosDenom, string _name, string _symbol, uint8 _decimals)",8571678
16491131,1674737807,0xd9ed35c257f1706afe1b0291f8f5ed471fa26105d5cef97a7006daefa157648f,1253,0xc60eba534376a20b91e1afb3aba66f1f33d131d42fce6f61589cd534aa97c7a9,0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0x1f70cd15b7b43fc60e1f542961bc8e75ceeeee60,66979800,Kuji,KUJI,6,7,548189,17890203648,543217,3366128,deprecated,0x8690ff98,"submitBatch(tuple _currentValset,tuple[] _sigs,uint256[] _amounts,address[] _destinations,uint256[] _fees,uint256 _batchNonce,address _tokenContract,uint256 _batchTimeout)",8570414
16491131,1674737807,0xd9ed35c257f1706afe1b0291f8f5ed471fa26105d5cef97a7006daefa157648f,1253,0xc60eba534376a20b91e1afb3aba66f1f33d131d42fce6f61589cd534aa97c7a9,0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0xf3ec82f0f8b9907ba0faf20b8f2c3252412eb1e8,34000000,Kuji,KUJI,6,7,548189,17890203648,543217,3366128,deprecated,0x8690ff98,"submitBatch(tuple _currentValset,tuple[] _sigs,uint256[] _amounts,address[] _destinations,uint256[] _fees,uint256 _batchNonce,address _tokenContract,uint256 _batchTimeout)",8570414
16491475,1674741959,0x01843630ad438f12e7efa488d60d1ed66cf96b6522b73e567b204ebc749ede80,17,0x171ac3c594aa146455be81ca299be851562878da0436011d47e083b7c7aa0027,0x1f70cd15b7b43fc60e1f542961bc8e75ceeeee60,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0xa4c9a9473d327d5ba007536c9ef7d456c1c65bcb,66979800,Kuji,KUJI,6,111,6326164,19122169584,5180730,14698759,deprecated,0xac9650d8,multicall(bytes[] data),8570070
16498335,1674824735,0x97c7f64ffe4587f2fcf94553d892d3abf9b9b25112172b1bbc9d9b2691f589d8,278,0xe42d785da8d959151076f9cc3d67d28ebf0867a7e3fd9d62d2e3392c4f29bd08,0xa4c9a9473d327d5ba007536c9ef7d456c1c65bcb,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0x25d3a2267fb70cdc7f1f16177f8f34a09a6c6661,8650080,Kuji,KUJI,6,75,353562,16528815005,268860,3342351,deprecated,0x3593564c,"execute(bytes commands,bytes[] inputs,uint256 deadline)",8563210
16500287,1674848315,0x0359791a1d86eae8583b1af8272c7506a052c87dec7611be77e41a656f22227b,2662,0x1464497cd5ae7c60b2f55bd45cd687e1489c0261df433e0b4ab2b075094d4838,0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0xa53e96aab610264891f7132aac720f0530473757,7953857473,Kuji,KUJI,6,5,610662,26457735927,605690,869141,deprecated,0x8690ff98,"submitBatch(tuple _currentValset,tuple[] _sigs,uint256[] _amounts,address[] _destinations,uint256[] _fees,uint256 _batchNonce,address _tokenContract,uint256 _batchTimeout)",8561258
16500287,1674848315,0x0359791a1d86eae8583b1af8272c7506a052c87dec7611be77e41a656f22227b,2662,0x1464497cd5ae7c60b2f55bd45cd687e1489c0261df433e0b4ab2b075094d4838,0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0xa53e96aab610264891f7132aac720f0530473757,31425588,Kuji,KUJI,6,5,610662,26457735927,605690,869141,deprecated,0x8690ff98,"submitBatch(tuple _currentValset,tuple[] _sigs,uint256[] _amounts,address[] _destinations,uint256[] _fees,uint256 _batchNonce,address _tokenContract,uint256 _batchTimeout)",8561258
16500287,1674848315,0x0359791a1d86eae8583b1af8272c7506a052c87dec7611be77e41a656f22227b,2662,0x1464497cd5ae7c60b2f55bd45cd687e1489c0261df433e0b4ab2b075094d4838,0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0x5dbd454952e6aac62688251b7483504161f06825,46926809,Kuji,KUJI,6,5,610662,26457735927,605690,869141,deprecated,0x8690ff98,"submitBatch(tuple _currentValset,tuple[] _sigs,uint256[] _amounts,address[] _destinations,uint256[] _fees,uint256 _batchNonce,address _tokenContract,uint256 _batchTimeout)",8561258
16500287,1674848315,0x0359791a1d86eae8583b1af8272c7506a052c87dec7611be77e41a656f22227b,2662,0x1464497cd5ae7c60b2f55bd45cd687e1489c0261df433e0b4ab2b075094d4838,0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0xdb515a3ea13befc4acc0f2c27c0e4025a6665840,999680,Kuji,KUJI,6,5,610662,26457735927,605690,869141,deprecated,0x8690ff98,"submitBatch(tuple _currentValset,tuple[] _sigs,uint256[] _amounts,address[] _destinations,uint256[] _fees,uint256 _batchNonce,address _tokenContract,uint256 _batchTimeout)",8561258
16500287,1674848315,0x0359791a1d86eae8583b1af8272c7506a052c87dec7611be77e41a656f22227b,2662,0x1464497cd5ae7c60b2f55bd45cd687e1489c0261df433e0b4ab2b075094d4838,0xa4108aa1ec4967f8b52220a4f7e94a8201f2d906,0x96543ef8d2c75c26387c1a319ae69c0bee6f3fe7,0x45c2b9ab1ab2db007b0aa1656bf94430914e4d9a,166130254,Kuji,KUJI,6,5,610662,26457735927,605690,869141,deprecated,0x8690ff98,"submitBatch(tuple _currentValset,tuple[] _sigs,uint256[] _amounts,address[] _destinations,uint256[] _fees,uint256 _batchNonce,address _tokenContract,uint256 _batchTimeout)",8561258
