blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
19858924,1715577107,0x737492fba9caf3eba8488978f7a6e9a0eaf76d17579b37d745dbb80c1a04a4d2,2,0x4523a9aaa8d43206ac39e718b19378395ad30ce5fd9844f989390262cba6b4ce,0x0000000000000000000000000000000000000000,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0xbd6e434db90fd8ad4e28d85c133ad34ca6fbfb6d,10000000000000000000000000000,Gravity,G,18,213,72961,3386310907,72961,23348513,deprecated,0x484b973c,"ownerMint(address to, uint256 tokens)",5202606
19864935,1715649635,0xbfd9d2115564314afa58a54d9b60489396109a497294a488d692041e8e816f73,10,0x3bd1fac3e749a0f7474fe4f16bec28d4d44937ce7b27cb2e0b6e101d82acd974,0xbd6e434db90fd8ad4e28d85c133ad34ca6fbfb6d,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x249ac00402716b7bf6d6ed24531d7b4c10788942,10000000000000000000000,Gravity,G,18,70,101023,5000000000,99069,5004538,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5196595
19865099,1715651627,0xec24b7974273ae9d71095017c75be2da7ae302224fe1dde891cac8af2a33df36,11,0x29821fcc5c511d112ad99f37ec245245b19935e0c6577a02e122169560f369e1,0x249ac00402716b7bf6d6ed24531d7b4c10788942,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x397b9dab337f286f169c5bcf2810aea2dce1ee13,6000000000000000000000,Gravity,G,18,138,207343,4009850703,112666,10059149,deprecated,0x46261fa9,"upgradeTokenByPermit(uint256 amount,uint256 deadline,uint8 v,bytes32 r,bytes32 s)",5196431
19865107,1715651723,0x90d3f26007e28430d9a9c1926d688575a7c03d5d5a07565bd80d9b047f5333cd,12,0xb6991dedf7e6b638f9b647a3884d2b9cefa886d32994504644f0485099120fb2,0x397b9dab337f286f169c5bcf2810aea2dce1ee13,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0xd65776c5f9fa552cb5c9556b3e86bf6c376b233b,60000000000000000000,Gravity,G,18,159,81987,3817389038,53861,13484396,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",5196423
19865541,1715656979,0x901da521d23a55fbdd07652a47da4dd79d419d1b475055fa4abe823f8002d2d5,0,0x01a8ecef5412437b0b67780fa9c1b88a92dad315461935e03b99c241afb1833b,0xc4c3fb4c7c8418bbaeb46eef686b97ff904dc0a1,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7792088f88b68163433f548c014a70a120aa9e4d,0,Gravity,G,18,55,6592301,6490929481,6592301,12165265,deprecated,0xcb73d6e2,createRollup(tuple deployParams),5195989
19865569,1715657315,0xa18a032668a46f4240d38aea96d1549edf773242fbc8dc0011a83e8114715b7a,4,0x96a10844af7db7824093fe85c2d7c489273f093e231aca879b12bae424fd38d4,0xd65776c5f9fa552cb5c9556b3e86bf6c376b233b,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x06b6465aff6d69b740f638507a6462951a6d70ef,50000000000000000,Gravity,G,18,44,160916,7178429202,138989,5349118,deprecated,0xb79092fd,depositERC20(uint256 _amount),5195961
19865569,1715657315,0xa18a032668a46f4240d38aea96d1549edf773242fbc8dc0011a83e8114715b7a,4,0x96a10844af7db7824093fe85c2d7c489273f093e231aca879b12bae424fd38d4,0x06b6465aff6d69b740f638507a6462951a6d70ef,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7792088f88b68163433f548c014a70a120aa9e4d,50000000000000000,Gravity,G,18,44,160916,7178429202,138989,5349118,deprecated,0xb79092fd,depositERC20(uint256 _amount),5195961
19865571,1715657339,0x1cb327c8b9b3b2c48ca99eada89741d2deb3fcf04c885e787e262900d03e8769,6,0x3f751f85dd87387e8ba30da25b193c0e22198a98c00ffaad163ce215f5c72412,0xd65776c5f9fa552cb5c9556b3e86bf6c376b233b,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x06b6465aff6d69b740f638507a6462951a6d70ef,600000000000000,Gravity,G,18,6,3451489,7058822832,3353455,4354250,deprecated,0x8277742b,"createTokenBridge(address inbox,address rollupOwner,uint256 maxGasForContracts,uint256 gasPriceBid)",5195959
19865571,1715657339,0x1cb327c8b9b3b2c48ca99eada89741d2deb3fcf04c885e787e262900d03e8769,6,0x3f751f85dd87387e8ba30da25b193c0e22198a98c00ffaad163ce215f5c72412,0x06b6465aff6d69b740f638507a6462951a6d70ef,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7792088f88b68163433f548c014a70a120aa9e4d,600000000000000,Gravity,G,18,6,3451489,7058822832,3353455,4354250,deprecated,0x8277742b,"createTokenBridge(address inbox,address rollupOwner,uint256 maxGasForContracts,uint256 gasPriceBid)",5195959
19865571,1715657339,0x1cb327c8b9b3b2c48ca99eada89741d2deb3fcf04c885e787e262900d03e8769,6,0x3f751f85dd87387e8ba30da25b193c0e22198a98c00ffaad163ce215f5c72412,0xd65776c5f9fa552cb5c9556b3e86bf6c376b233b,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x06b6465aff6d69b740f638507a6462951a6d70ef,3090346200000000,Gravity,G,18,6,3451489,7058822832,3353455,4354250,deprecated,0x8277742b,"createTokenBridge(address inbox,address rollupOwner,uint256 maxGasForContracts,uint256 gasPriceBid)",5195959
19865571,1715657339,0x1cb327c8b9b3b2c48ca99eada89741d2deb3fcf04c885e787e262900d03e8769,6,0x3f751f85dd87387e8ba30da25b193c0e22198a98c00ffaad163ce215f5c72412,0x06b6465aff6d69b740f638507a6462951a6d70ef,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7792088f88b68163433f548c014a70a120aa9e4d,3090346200000000,Gravity,G,18,6,3451489,7058822832,3353455,4354250,deprecated,0x8277742b,"createTokenBridge(address inbox,address rollupOwner,uint256 maxGasForContracts,uint256 gasPriceBid)",5195959
19873467,1715753063,0xad51252f4213774a0759185c18c606194310166fd25ffd8fb3268a7179c64da3,1,0xaaf24f740775f720380e2a3dd7f1e09ec3ca67f954f2e29b3cff99df7e299ed2,0x249ac00402716b7bf6d6ed24531d7b4c10788942,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0xbd6e434db90fd8ad4e28d85c133ad34ca6fbfb6d,4000000000000000000000,Gravity,G,18,46,86695,4884251937,80330,4609411,deprecated,0x6a761202,"execTransaction(address to, uint256 value, bytes data, uint8 operation, uint256 safeTxGas, uint256 baseGas, uint256 gasPrice, address gasToken, address refundReceiver, bytes signatures)",5188063
19898364,1716053843,0x8cc45e895fa944fdd15443047c58bd3633eb5cf885d54d46d081010615022312,10,0xebbab3b895b49a025f1e49a785121d77acbf1c28e807de71d789c80327df2cbc,0xa24eda32bb36171a6c34cbb4b56f89ff7b8fd49a,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7983403dda368aa7d67145a9b81c5c517f364c42,0,Gravity,G,18,87,6592810,5319614546,6592810,17339817,deprecated,0xcb73d6e2,createRollup(tuple deployParams),5163166
19898393,1716054191,0x723c388ed7e998f976b76a96edaddde7c388572812643833f8abdea11664b555,14,0xb324e61e8f024658a678bef8352938faa7f81c3a79aebd88ccb5c2efa0059fd7,0xd65776c5f9fa552cb5c9556b3e86bf6c376b233b,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7ad2a94beff3294a31894cfb5ba4206957a53c19,50000000000000000,Gravity,G,18,94,160916,6359278020,138989,9462809,deprecated,0xb79092fd,depositERC20(uint256 _amount),5163137
19898393,1716054191,0x723c388ed7e998f976b76a96edaddde7c388572812643833f8abdea11664b555,14,0xb324e61e8f024658a678bef8352938faa7f81c3a79aebd88ccb5c2efa0059fd7,0x7ad2a94beff3294a31894cfb5ba4206957a53c19,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7983403dda368aa7d67145a9b81c5c517f364c42,50000000000000000,Gravity,G,18,94,160916,6359278020,138989,9462809,deprecated,0xb79092fd,depositERC20(uint256 _amount),5163137
19898395,1716054215,0xa04a9152e2a3b84e6efc61730cc6ada743738b1d6b2893e68748f469ffb42c28,16,0x17617f89d2f8bf170b8974bb3ce7a8f985682f361c96c3acaccb4ec579de4cc0,0xd65776c5f9fa552cb5c9556b3e86bf6c376b233b,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7ad2a94beff3294a31894cfb5ba4206957a53c19,600000000000000,Gravity,G,18,91,3451489,6182667475,3353455,13351218,deprecated,0x8277742b,"createTokenBridge(address inbox,address rollupOwner,uint256 maxGasForContracts,uint256 gasPriceBid)",5163135
19898395,1716054215,0xa04a9152e2a3b84e6efc61730cc6ada743738b1d6b2893e68748f469ffb42c28,16,0x17617f89d2f8bf170b8974bb3ce7a8f985682f361c96c3acaccb4ec579de4cc0,0x7ad2a94beff3294a31894cfb5ba4206957a53c19,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7983403dda368aa7d67145a9b81c5c517f364c42,600000000000000,Gravity,G,18,91,3451489,6182667475,3353455,13351218,deprecated,0x8277742b,"createTokenBridge(address inbox,address rollupOwner,uint256 maxGasForContracts,uint256 gasPriceBid)",5163135
19898395,1716054215,0xa04a9152e2a3b84e6efc61730cc6ada743738b1d6b2893e68748f469ffb42c28,16,0x17617f89d2f8bf170b8974bb3ce7a8f985682f361c96c3acaccb4ec579de4cc0,0xd65776c5f9fa552cb5c9556b3e86bf6c376b233b,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7ad2a94beff3294a31894cfb5ba4206957a53c19,3090348600000000,Gravity,G,18,91,3451489,6182667475,3353455,13351218,deprecated,0x8277742b,"createTokenBridge(address inbox,address rollupOwner,uint256 maxGasForContracts,uint256 gasPriceBid)",5163135
19898395,1716054215,0xa04a9152e2a3b84e6efc61730cc6ada743738b1d6b2893e68748f469ffb42c28,16,0x17617f89d2f8bf170b8974bb3ce7a8f985682f361c96c3acaccb4ec579de4cc0,0x7ad2a94beff3294a31894cfb5ba4206957a53c19,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7983403dda368aa7d67145a9b81c5c517f364c42,3090348600000000,Gravity,G,18,91,3451489,6182667475,3353455,13351218,deprecated,0x8277742b,"createTokenBridge(address inbox,address rollupOwner,uint256 maxGasForContracts,uint256 gasPriceBid)",5163135
19915398,1716259703,0x30a6ad3b2c625b86af98dc29861efee3cc4af52dd23f09ba84fdf41778f1bca1,14,0xbd2d94f145c402956df70c0ee49b92a3a979336018de2bc72b858da13723cfc5,0x397b9dab337f286f169c5bcf2810aea2dce1ee13,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7ad2a94beff3294a31894cfb5ba4206957a53c19,100001203877869920000,Gravity,G,18,92,169801,11293344823,131269,7779617,deprecated,0x549e8426,"createRetryableTicket(address to,uint256 l2CallValue,uint256 maxSubmissionCost,address excessFeeRefundAddress,address callValueRefundAddress,uint256 gasLimit,uint256 maxFeePerGas,uint256 tokenTotalFeeAmount,bytes data)",5146132
19915398,1716259703,0x30a6ad3b2c625b86af98dc29861efee3cc4af52dd23f09ba84fdf41778f1bca1,14,0xbd2d94f145c402956df70c0ee49b92a3a979336018de2bc72b858da13723cfc5,0x7ad2a94beff3294a31894cfb5ba4206957a53c19,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7983403dda368aa7d67145a9b81c5c517f364c42,100001203877869920000,Gravity,G,18,92,169801,11293344823,131269,7779617,deprecated,0x549e8426,"createRetryableTicket(address to,uint256 l2CallValue,uint256 maxSubmissionCost,address excessFeeRefundAddress,address callValueRefundAddress,uint256 gasLimit,uint256 maxFeePerGas,uint256 tokenTotalFeeAmount,bytes data)",5146132
19940486,1716562703,0x188d4cdb73a1bdd451313661a0a6fdae710b171415a5d02371abb35b15115824,15,0xcd2ef848b7ba3dd0d1856e9e272f454a17bfd3be1e35d880b93d468427ca1ee8,0x397b9dab337f286f169c5bcf2810aea2dce1ee13,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0xd3cedfc7b4cd9b5aa63aafcd0287c85fbfc188ab,5000000000000000000,Gravity,G,18,56,81969,9635938758,53849,6821908,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",5121044
19940566,1716563675,0xd5c43d93fd6d2524f5b2d0250d2bd1e732740d4327d2364d6b2ab41e2485bcf8,49,0xe4ad4b3ef41ec369d0a92260a4a2ad5416ffc0e04c7e1349e8de3ed481de4e11,0xd3cedfc7b4cd9b5aa63aafcd0287c85fbfc188ab,0x9c7beba8f6ef6643abd725e45a4e8387ef260649,0x7ad2a94beff3294a31894cfb5ba4206957a53c19,6465740247000000,Gravity,G,18,115,471012,16712264517,272223,9323039,deprecated,0x4fb1a07b,"outboundTransferCustomRefund(address _token, address _refundTo, address _to, uint256 _amount, uint256 _maxGas, uint256 _gasPriceBid, bytes _data)",5120964
