blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
23018096,1753711175,0xa420c47be0d1975159c2b398545bfb7c453872ec7315f31b6bdebd23acebf57b,3,0x590d69269f487943b44f45272ad799472c2d7dce413df62ade9a72c6074a6c2f,0x0000000000000000000000000000000000000000,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x13620833364653fa125ccdd7cf54b9e4a22ab6d9,1000000000000000000,AZTEC,AZTEC,18,82,85779,1233208686,70620,7631027,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",2043393
23018124,1753711511,0x14dc925b5f54455b59de067fbdfa702af3fe67d3468ad02448bb6446b6b3e242,4,0x3753f855ca646d39dbb78121eb11d0b1eca54575f44be5f0e52c7989278460c0,0x0000000000000000000000000000000000000000,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x13620833364653fa125ccdd7cf54b9e4a22ab6d9,9999999999000000000000000000,AZTEC,AZTEC,18,258,44197,1214889836,36468,28046096,deprecated,0x40c10f19,"mint(address _owner, uint256 _amount)",2043365
23018138,1753711679,0x5cb5adbcef9bd0c4aa44e6d032f8adb38f2d03d5e36704806d05d3623ab9ed2b,5,0xf2e2274dc0b2140cdaff4598381a4fff18c08b660664de06f6647a148cb1ecd9,0x13620833364653fa125ccdd7cf54b9e4a22ab6d9,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x92ba0fd39658105fac4df2b9bade998b5816b350,1000000000000000000,AZTEC,AZTEC,18,213,62371,1206832766,51583,25543904,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",2043351
23018147,1753711787,0x6fc44ae8beb8ec67707d4bf0bbbf3e57337eb85d63d0abed1e515a006d7d6024,6,0x003425326b8d1f1f0ba3928fd4307e294502910d3987ba4b8ab8355734a7de60,0x13620833364653fa125ccdd7cf54b9e4a22ab6d9,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x92ba0fd39658105fac4df2b9bade998b5816b350,4999999999000000000000000000,AZTEC,AZTEC,18,146,41868,1245573391,34531,14651981,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",2043342
23290350,1756996199,0x7c167e50077558c146024addbce8fa057fb48cbaef309fd11b2f2c58aa17f082,1,0x1ad0a69e773d361fe51c43cd0cc26377176bc334978ef54305129aa1df424abd,0x92ba0fd39658105fac4df2b9bade998b5816b350,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,1000000000000000000,AZTEC,AZTEC,18,134,62371,1198240153,51583,14233206,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",1771139
23290374,1756996487,0xbef7cc689bafec5b868bf84d1befa01485bcdd6a1747fc7ea77abbcb322e26aa,2,0x5d162779093d2dd88640f29a4b4ba1e230ebdcd53b8464c80fc5daa56cdcb7b7,0x92ba0fd39658105fac4df2b9bade998b5816b350,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,2232706151000000000000000000,AZTEC,AZTEC,18,155,41868,1085610511,34531,18430054,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",1771115
23291037,1757004467,0xb6b294df9cb46ac4143b58a40944ac8b09c0a0cad9e308d535d03d354458b6b7,5,0x90e4b789aea2e1306d8e3208833568c18856c34212d09cba51ac4321915611b4,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x87a9fd37dded2086304bdd7b9fb0ada3baa0668e,599999000000000000000000,AZTEC,AZTEC,18,10,17842981,1567051245,12917996,14640833,deprecated,0xee681f79,,1770452
23291037,1757004467,0xb6b294df9cb46ac4143b58a40944ac8b09c0a0cad9e308d535d03d354458b6b7,5,0x90e4b789aea2e1306d8e3208833568c18856c34212d09cba51ac4321915611b4,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0xd1f5fddd678f6b72f03545d4a9a20be1f3299d14,599997000000000000000000,AZTEC,AZTEC,18,10,17842981,1567051245,12917996,14640833,deprecated,0xee681f79,,1770452
23291037,1757004467,0xb6b294df9cb46ac4143b58a40944ac8b09c0a0cad9e308d535d03d354458b6b7,5,0x90e4b789aea2e1306d8e3208833568c18856c34212d09cba51ac4321915611b4,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x30b8443f872fded2946a3417a0eb86430447b998,45926000000000000000000,AZTEC,AZTEC,18,10,17842981,1567051245,12917996,14640833,deprecated,0xee681f79,,1770452
23291037,1757004467,0xb6b294df9cb46ac4143b58a40944ac8b09c0a0cad9e308d535d03d354458b6b7,5,0x90e4b789aea2e1306d8e3208833568c18856c34212d09cba51ac4321915611b4,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x444536733ad1b820ee49bf6d866dd94e6e69054b,466670000000000000000000,AZTEC,AZTEC,18,10,17842981,1567051245,12917996,14640833,deprecated,0xee681f79,,1770452
23291037,1757004467,0xb6b294df9cb46ac4143b58a40944ac8b09c0a0cad9e308d535d03d354458b6b7,5,0x90e4b789aea2e1306d8e3208833568c18856c34212d09cba51ac4321915611b4,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0xe6b39d63c91d679e989453a53d2c70485d3da643,599999000000000000000000,AZTEC,AZTEC,18,10,17842981,1567051245,12917996,14640833,deprecated,0xee681f79,,1770452
23291037,1757004467,0xb6b294df9cb46ac4143b58a40944ac8b09c0a0cad9e308d535d03d354458b6b7,5,0x90e4b789aea2e1306d8e3208833568c18856c34212d09cba51ac4321915611b4,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0xb0df3d8e2d4f6086658aeb3c54517bd43071590b,600000000000000000000000,AZTEC,AZTEC,18,10,17842981,1567051245,12917996,14640833,deprecated,0xee681f79,,1770452
23291037,1757004467,0xb6b294df9cb46ac4143b58a40944ac8b09c0a0cad9e308d535d03d354458b6b7,5,0x90e4b789aea2e1306d8e3208833568c18856c34212d09cba51ac4321915611b4,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0xa7ebd3b1ad92ee41ed777825f05ac8740568650e,90067000000000000000000,AZTEC,AZTEC,18,10,17842981,1567051245,12917996,14640833,deprecated,0xee681f79,,1770452
23291037,1757004467,0xb6b294df9cb46ac4143b58a40944ac8b09c0a0cad9e308d535d03d354458b6b7,5,0x90e4b789aea2e1306d8e3208833568c18856c34212d09cba51ac4321915611b4,0x23d5e1fb8315fc3321993c272f3270712e2d5c69,0xa27ec0006e59f245217ff08cd52a7e8b169e62d2,0x6429b5c1d54e350c77b641de30d1892f08b3181e,9000001000000000000000000,AZTEC,AZTEC,18,10,17842981,1567051245,12917996,14640833,deprecated,0xee681f79,,1770452
