blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
10587546,1596467681,0x1d75732db97246afc8fa56893112115f4f125acdaf72b4a7b2190ee1ea8eee67,17,0xdb9983f5cf9541127583b9a4a84f059868b310ecbdb8cea6c926146a9a354e96,0x0000000000000000000000000000000000000000,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0x23c2c34f38ce66ccc10e71e9bb2a06532d52c5e9,7000000000000000000000000,AdEx,ADX,18,96,110275,98000000000,72850,8025741,deprecated,0xc6c3bbe6,"mint(address wallet, address buyer, uint256 tokenAmount)",14325163
10587574,1596468044,0x93f522e506810b88100aa5699914e27b80a97ef36e2fce77dad1ec70b8c48742,583,0x824fa4ccff6b0f1b27b6ba76e7592ee4cf80c313137fcf16ed9509a3c1bd13cd,0x0000000000000000000000000000000000000000,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0xd6e371526cdaee04cd8af225d42e37bc14688d9e,777000000000000000000,AdEx,ADX,18,119,114853,101000000000,61368,9926766,deprecated,0x94b918de,swap(uint256 _tokenId),14325135
10593806,1596550653,0x5822c83e3db21214f88ff64c111adf091b72118ef9f6e4026191321e4bafe7a4,595,0x925ef68b0dd84e98c37ce081911570f5d9a8a913a85d137141c1dec5e1e95845,0x0000000000000000000000000000000000000000,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0x3893336290926e85aa599f3b5011fa0c07a36b60,888000000000000000000,AdEx,ADX,18,135,593746,58002000000,320134,9468857,deprecated,0x9c4ae2d0,"deploy(bytes code, uint256 salt)",14318903
10593806,1596550653,0x5822c83e3db21214f88ff64c111adf091b72118ef9f6e4026191321e4bafe7a4,595,0x925ef68b0dd84e98c37ce081911570f5d9a8a913a85d137141c1dec5e1e95845,0x3893336290926e85aa599f3b5011fa0c07a36b60,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0x4846c6837ec670bbd1f5b485471c8f64ecb9c534,888000000000000000000,AdEx,ADX,18,135,593746,58002000000,320134,9468857,deprecated,0x9c4ae2d0,"deploy(bytes code, uint256 salt)",14318903
10594328,1596557555,0xcc5d5c51c1f786b7eafbcffc4c63881c16e4a07293bf711d745b5615c75c9f49,20,0x8784275f2f74c0cc20b1d75afa8d12b0815dda4a51b66b523bde5ffa5e669257,0x0000000000000000000000000000000000000000,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0x4846c6837ec670bbd1f5b485471c8f64ecb9c534,5588077005500000000000000,AdEx,ADX,18,88,64597,64000000000,42874,3897425,deprecated,0xc6c3bbe6,"mint(address wallet, address buyer, uint256 tokenAmount)",14318381
10594701,1596562634,0xe8dd07478ee5a090953ebd227f4699426edcec4639e7c7ce831852dab17667a9,598,0x8549fc9d885e458c110ae7bacf464f84f923b3bd430011c5724418c948adfaea,0x0000000000000000000000000000000000000000,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0x3893336290926e85aa599f3b5011fa0c07a36b60,2000000000000000000000,AdEx,ADX,18,27,216473,43810695578,134617,2220356,deprecated,0x9d8908c3,executeBySender(tuple[] txns),14318008
10594701,1596562634,0xe8dd07478ee5a090953ebd227f4699426edcec4639e7c7ce831852dab17667a9,598,0x8549fc9d885e458c110ae7bacf464f84f923b3bd430011c5724418c948adfaea,0x3893336290926e85aa599f3b5011fa0c07a36b60,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0x4846c6837ec670bbd1f5b485471c8f64ecb9c534,2000000000000000000000,AdEx,ADX,18,27,216473,43810695578,134617,2220356,deprecated,0x9d8908c3,executeBySender(tuple[] txns),14318008
10594752,1596563402,0x10444b51baec89088e55b0496cfe27a4de3fd575f6cd1bde797fade1e807b59b,17,0xdb6c62410038c43e7a001e25211784d612c0039b87090b25018a36f02229a21e,0x0000000000000000000000000000000000000000,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0x5b99f191eba9991ae962257857de0ff2d3688641,500000000000000000000000,AdEx,ADX,18,225,380593,54000000000,305134,12324980,deprecated,0x9c4ae2d0,"deploy(bytes code, uint256 salt)",14317957
10594752,1596563402,0x10444b51baec89088e55b0496cfe27a4de3fd575f6cd1bde797fade1e807b59b,17,0xdb6c62410038c43e7a001e25211784d612c0039b87090b25018a36f02229a21e,0x5b99f191eba9991ae962257857de0ff2d3688641,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0x4846c6837ec670bbd1f5b485471c8f64ecb9c534,500000000000000000000000,AdEx,ADX,18,225,380593,54000000000,305134,12324980,deprecated,0x9c4ae2d0,"deploy(bytes code, uint256 salt)",14317957
10594981,1596566518,0x767106c7ef6745a65cb0e623f6188d331bcf0d687f144856ad764298d934174d,19,0x8e2ba8e1d2ee0b5a2df27a0243c31d628ee9de6cab07d6fad538aa83423b6d66,0x0000000000000000000000000000000000000000,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,0x5b99f191eba9991ae962257857de0ff2d3688641,500000000000000000000000,AdEx,ADX,18,184,260000,44000000000,149653,10221841,deprecated,0x9d8908c3,executeBySender(tuple[] txns),14317728
