blockNumber,timeStamp,hash,nonce,blockHash,from,to,contractAddress,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
16868295,1679308151,0x8a930151d210e6b7e6b700d2ee7b679dcd4611def6c86a033810be1c7a823c9e,240,0x92c054bef764a64695134f5c9c47d7aea2d7e25cdf05aebcfd1999ef9410c845,0x553222b267bc978aca3c28493aef72d924b264bd,0x553222b267bc978aca3c28493aef72d924b264bd,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,0,Arbitrum,ARB,18,81,51387,14305949004,33971,6578304,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",8193187
16886124,1679524379,0x9d1b41bb4a4c2345a7eff447c47fe8d12613037b869666e9c1e80ff57c64bfdb,484,0x678665c8d7cf70491f32869d9de88320e82af653578eca5ef0f23a17f3b74277,0x7ee567d2ac5dca4c422281deb1e2334a805ba6c1,0x7ee567d2ac5dca4c422281deb1e2334a805ba6c1,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,0,Arbitrum,ARB,18,320,51387,14285823550,33971,27214702,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",8175358
16937907,1680153179,0x3393e843d21f3ef2d2c49a07452e98e32b54e184047c0cadd957b202c3760faa,1279,0x60ed8fe52ea0664671d73e10719f6d6fa016a5e54372ca616d2bc2026ddc8738,0x0000000000000000000000000000000000000000,0xe2705d443051a2fa902f1f0dccacef2e670fe74f,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,875000000000000000000,Arbitrum,ARB,18,88,213994,30087398367,192331,18116919,deprecated,0x08635a95,"executeTransaction(bytes32[] proof, uint256 index, address l2Sender, address to, uint256 l2Block, uint256 l1Block, uint256 l2Timestamp, uint256 value, bytes data)",8123575
16937958,1680153791,0x500e1d542b8197d0896f830fbe89431301b45d6f52050d2df9c2fa5f81456212,519,0x515a45cb6d0252b9a9f34793d9e4c45bc9f4586ee3ba17405c5a0f481de0a7df,0x0000000000000000000000000000000000000000,0xdd06284f0da8835bdbe5c192f2534b28284d6667,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,1125000000000000000000,Arbitrum,ARB,18,105,196557,24298545563,175207,10762291,deprecated,0x08635a95,"executeTransaction(bytes32[] proof, uint256 index, address l2Sender, address to, uint256 l2Block, uint256 l1Block, uint256 l2Timestamp, uint256 value, bytes data)",8123524
16937978,1680154031,0x3cfa1ae2b30e35632de198e0dfab4d3ea962d9ef5de8fce23ab3bde11e354266,1280,0x6e3cf49cf5ffae9dd093b0fbaff7d4ba41e115b94ce718735745bf7009a8c042,0xe2705d443051a2fa902f1f0dccacef2e670fe74f,0x9ec0a237670f96005d0a490ba537f8e55edc841c,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,50000000000000000000,Arbitrum,ARB,18,96,88746,29065576007,58743,6711766,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",8123504
16938002,1680154319,0x18aceb92de0cacf118b6e1fc5be5d376928775f197555d918809de3072370a75,521,0x2b3482f67c7c4fcc455735cb728be544858648b182e4657bb15ac7090004ad25,0xdd06284f0da8835bdbe5c192f2534b28284d6667,0x0000000000000000000000000000000000000000,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,1125000000000000000000,Arbitrum,ARB,18,116,203999,26666490939,188089,10968816,deprecated,0xd2ce7d65,"outboundTransfer(address _token, address _to, uint256 _amount, uint256 _maxGas, uint256 _gasPriceBid, bytes _data)",8123480
16938017,1680154499,0xd32615c0d221ca06603f35d99f5d5de694efacd182deb659a37d73a6648fac9e,34,0xf6eed71692eefe7163ce33776a8b8d9b3462ec918bace4209a705dc9254de917,0x0000000000000000000000000000000000000000,0x32ec2becb5bbd582584af62c702fb5025d969869,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,1750000000000000000000,Arbitrum,ARB,18,10,196612,40166495827,175261,2621570,deprecated,0x08635a95,"executeTransaction(bytes32[] proof, uint256 index, address l2Sender, address to, uint256 l2Block, uint256 l1Block, uint256 l2Timestamp, uint256 value, bytes data)",8123465
16938118,1680155723,0x322faeea0884145669b2598db81d04d1e1e00ec9a6e5fedfbe43df73ac4fcb23,1282,0xb67967ebd01fd55aa47437c41b914218e4a51a8cea45e0362ab2bc6ff86d986c,0xe2705d443051a2fa902f1f0dccacef2e670fe74f,0x0000000000000000000000000000000000000000,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,150000000000000000000,Arbitrum,ARB,18,117,203987,23416872437,192877,7586233,deprecated,0xd2ce7d65,"outboundTransfer(address _token, address _to, uint256 _amount, uint256 _maxGas, uint256 _gasPriceBid, bytes _data)",8123364
16938132,1680155891,0x64c889a12fbe890225969fc63026abde0656b09ac3aad80313cee2d48f212bdd,121,0x2903951d704197af4518bf5c892b8be7c068168d64552862d0fb97915f3ab613,0x0000000000000000000000000000000000000000,0x746cd2b5c84e90c741a32addede94f856f1a5de1,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,2700000000000000000000,Arbitrum,ARB,18,168,196592,26982835231,175241,17102464,deprecated,0x08635a95,"executeTransaction(bytes32[] proof, uint256 index, address l2Sender, address to, uint256 l2Block, uint256 l1Block, uint256 l2Timestamp, uint256 value, bytes data)",8123350
16938247,1680157295,0xac426422fa749b08b96883bacc951cfebf8bc044953fb33ba37f10fe7c376682,122,0xc4bf1ce1ea6c91a50f2b00c9fd952b964ce306225d9db4e8efa8cff1702aee1a,0x746cd2b5c84e90c741a32addede94f856f1a5de1,0x2269969d7029f34dde99ed18eb31b04151eb7f05,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,100000000000000000000,Arbitrum,ARB,18,295,59188,33375506710,58755,10951662,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",8123235
16938265,1680157523,0x50e8be33ff9aba18ba4bfbf26a5c1fa7f491a2cd5692e5446728780826fd1e68,0,0x895fc99e0cf6aec5145f439ea72877ef812134ad9a923c50cda070713c5f30d1,0x9ec0a237670f96005d0a490ba537f8e55edc841c,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,50000000000000000000,Arbitrum,ARB,18,122,100000,28718561694,53955,7037349,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",8123217
16938322,1680158207,0xdb7cf3d8312e8398a88d4e477993bc7ff49c5f9d2ac6253dcabf06ac0f05bc5f,1283,0xbf6069516e8ea173e54bd3a8a51f56f2509c793968ebdb7745b4b365ca005110,0xe2705d443051a2fa902f1f0dccacef2e670fe74f,0x0000000000000000000000000000000000000000,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,675000000000000000000,Arbitrum,ARB,18,95,203987,27065855750,188077,12198949,deprecated,0xd2ce7d65,"outboundTransfer(address _token, address _to, uint256 _amount, uint256 _maxGas, uint256 _gasPriceBid, bytes _data)",8123160
16938335,1680158363,0x8672cc782074e9248552d668332f58644bd86d37835569153219b43285ece584,7,0xfcab906ca5ed72112c742513f2635d761d1cbe676b09a2bcfb41a4c289e37c6e,0x0000000000000000000000000000000000000000,0x981846592682c38f20cec1eb50f6d93f727c78ec,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,1690000000000000000000,Arbitrum,ARB,18,119,196965,29019280289,175615,11245623,deprecated,0x08635a95,"executeTransaction(bytes32[] proof, uint256 index, address l2Sender, address to, uint256 l2Block, uint256 l1Block, uint256 l2Timestamp, uint256 value, bytes data)",8123147
16938375,1680158843,0xa1ee00b2e5f525a80195931d5f9877575282992453b6bcb5e569589768fbdfff,123,0x911295c26a08b8b7de8ec6b41c7899b58774097a0d3381d62ab08bb943dd72b4,0x746cd2b5c84e90c741a32addede94f856f1a5de1,0x2269969d7029f34dde99ed18eb31b04151eb7f05,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,2600000000000000000000,Arbitrum,ARB,18,65,41816,27039432545,36855,3762463,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",8123107
