blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
12314534,1619421369,0xc8bec08c9c1872fbcff5ec47b2f27ee5bd23a2834b339504b9861f93883a5549,0,0xc8c98d4186c7e0187f932c3ac67b43ad2ccb51653b8c6d5768d6b844b48d623f,0x0000000000000000000000000000000000000000,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0xf5997bea71e1b66434eff247b3c584508df69895,270000000000000000000000000,Axie Infinity Shard,AXS,18,117,779200,42000000000,729200,11461399,deprecated,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",12746955
12314554,1619421590,0xa726ff48ad0da1d913248b8a2d3e529de53e3c749db427e9b241520154171337,4,0x2f32ea20a4dc763cd9c9d50070a62f14cb2dfa551d273de02ef94b54229996d1,0xf5997bea71e1b66434eff247b3c584508df69895,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0x73b1714fb3bfaefa12f3707befcba3205f9a1162,270000000000000000000000000,Axie Infinity Shard,AXS,18,176,101629,40300000000,36629,13365174,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",12746935
12324215,1619550175,0x3676ff660870073a7bbf79f32f16176ee3a6e8980c5aa886acd7a62761367d4f,1307,0x1b7e5c881b7df9e0c3fced57f8124c969ed1627700b2e11903b82142c9a103b7,0x73b1714fb3bfaefa12f3707befcba3205f9a1162,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0x4bb4c1b0745ef7b4642feeccd0740dec417ca0a0,10000000000000000000,Axie Infinity Shard,AXS,18,173,150147,74000000000,84718,7964905,deprecated,0xdc73e49c,swapToken(),12737274
12324232,1619550348,0x3f7f1aac0cbf7ea44f4238e658753bd45888bdaa06ce950b61811a861be1ef27,1310,0xeb7ae0f562e192e9b7806dd16e2f5a076b334f4440ae8321c131a602786387f2,0x4bb4c1b0745ef7b4642feeccd0740dec417ca0a0,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0x0c365789dbbb94a29f8720dc465554c587e897db,10000000000000000000,Axie Infinity Shard,AXS,18,59,2558529,78000000000,2268912,5145484,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",12737257
12326864,1619585372,0x573de1abc035723d59de5cc7c621f1d9663d9ce082402171f34fe5a09f2c370e,215,0x5de477d5748fb19f10349cb4ca0b089971cd1320b822883fceae32fef1ab1242,0x73b1714fb3bfaefa12f3707befcba3205f9a1162,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0x51c24edadd5d125181aae839fdf29c19a7cf42f3,1100000000000000000,Axie Infinity Shard,AXS,18,206,291052,38500000000,221525,11619566,deprecated,0xa5a5fdb8,"swapAndBridge(address _recipient, uint256 _amount)",12734625
12326864,1619585372,0x573de1abc035723d59de5cc7c621f1d9663d9ce082402171f34fe5a09f2c370e,215,0x5de477d5748fb19f10349cb4ca0b089971cd1320b822883fceae32fef1ab1242,0x73b1714fb3bfaefa12f3707befcba3205f9a1162,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,900000000000000000,Axie Infinity Shard,AXS,18,206,291052,38500000000,221525,11619566,deprecated,0xa5a5fdb8,"swapAndBridge(address _recipient, uint256 _amount)",12734625
12327055,1619587940,0x51f37a63a5747c7fff4b208c89e8e84789cb1454b9dba8c4dd1e3545892415b8,1105,0x374e327fbc62b459af38459671075da93049c6967726ec890587643ec2e0903c,0x0c365789dbbb94a29f8720dc465554c587e897db,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0x6dd9edb70ed2684d9fd6e5fe492b0143a18ac71a,1000000000000000000,Axie Infinity Shard,AXS,18,188,204441,35000000000,161272,13362919,deprecated,0xfb3bdb41,"swapETHForExactTokens(uint256 amountOut, address[] path, address to, uint256 deadline)",12734434
12327125,1619588867,0x4ca6ee261f57d3651f81afe81592f47d42083f554d64d585937a3a3125c472b4,216,0x826c3d3f6c5bd111fd83af4540586af21b21c03c126034677cc5f09aead628c5,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0xc100f73d4c6184417f1b1e85d83a1979f8ce8a32,900000000000000000,Axie Infinity Shard,AXS,18,63,240812,38000000000,173354,8083684,deprecated,0x993e1c42,"withdrawERC20For(uint256 _withdrawalId, address _user, address _token, uint256 _amount, bytes _signatures)",12734364
12327668,1619596423,0x3059846279a702cb4f9e5b83a2ea1d427a8aaef13a7427b8832b52ce412cce69,3320,0x8e46d38f5bab57d86355f0d51bb46aaf69d03a0e9b270f17ff5b72a1d5329b94,0x73b1714fb3bfaefa12f3707befcba3205f9a1162,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0x3f86f18322a888d9b3adef38f127c941bccc014d,22776471410268144225165,Axie Infinity Shard,AXS,18,159,291064,39000001459,221537,12387327,deprecated,0xa5a5fdb8,"swapAndBridge(address _recipient, uint256 _amount)",12733821
12327668,1619596423,0x3059846279a702cb4f9e5b83a2ea1d427a8aaef13a7427b8832b52ce412cce69,3320,0x8e46d38f5bab57d86355f0d51bb46aaf69d03a0e9b270f17ff5b72a1d5329b94,0x73b1714fb3bfaefa12f3707befcba3205f9a1162,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,500000000000000000000,Axie Infinity Shard,AXS,18,159,291064,39000001459,221537,12387327,deprecated,0xa5a5fdb8,"swapAndBridge(address _recipient, uint256 _amount)",12733821
